state_accident_id, vehicle_number, age, sex, person_type, injury_severity
14331015, 1, 40.0, 2.0, DRIVER, U - UNKNOWN
14323363, 1, 17.0, 1.0, DRIVER, U - UNKNOWN
14323363, 2, 18.0, 2.0, DRIVER, U - UNKNOWN
14323368, 1, 27.0, 1.0, DRIVER, U - UNKNOWN
14323369, 1, 19.0, 1.0, DRIVER, U - UNKNOWN
14327213, 1, 24.0, 1.0, DRIVER, U - UNKNOWN
14327213, 2, 62.0, 2.0, DRIVER, U - UNKNOWN
14311953, 2, nan, 3.0, DRIVER, U - UNKNOWN
14311953, 3, nan, 3.0, DRIVER, U - UNKNOWN
14311953, 1, 36.0, 1.0, DRIVER, U - UNKNOWN
14316101, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
14331043, 1, 42.0, 2.0, DRIVER, U - UNKNOWN
14340637, 1, 55.0, 2.0, DRIVER, U - UNKNOWN
14323401, 1, 22.0, 2.0, DRIVER, U - UNKNOWN
14323410, 1, 27.0, 1.0, DRIVER, U - UNKNOWN
14340643, 1, 40.0, 1.0, DRIVER, U - UNKNOWN
14340643, 2, 47.0, 1.0, DRIVER, U - UNKNOWN
14319237, 1, 22.0, 2.0, DRIVER, U - UNKNOWN
14340646, 2, 42.0, 1.0, DRIVER, U - UNKNOWN
14340646, 1, 43.0, 2.0, DRIVER, U - UNKNOWN
14340651, 1, 44.0, 1.0, DRIVER, U - UNKNOWN
14340653, 1, 19.0, 1.0, DRIVER, U - UNKNOWN
14331087, 1, 82.0, 1.0, DRIVER, U - UNKNOWN
14331109, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
14334710, 1, 30.0, 2.0, DRIVER, U - UNKNOWN
14334710, 2, nan, nan, nan, nan
14334712, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
14296499, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14296499, 2, 23.0, 1.0, DRIVER, U - UNKNOWN
14334713, 1, 42.0, 1.0, DRIVER, U - UNKNOWN
14296515, 1, 23.0, 2.0, DRIVER, U - UNKNOWN
14331118, 2, 32.0, 2.0, DRIVER, U - UNKNOWN
14331118, 1, 25.0, 2.0, DRIVER, U - UNKNOWN
14305435, 2, 35.0, 2.0, DRIVER, U - UNKNOWN
14305435, 1, 82.0, 2.0, DRIVER, U - UNKNOWN
14312014, 1, 72.0, 2.0, DRIVER, U - UNKNOWN
14312014, 2, 84.0, 2.0, DRIVER, U - UNKNOWN
14312016, 1, 29.0, 1.0, DRIVER, U - UNKNOWN
14305491, 1, 21.0, 2.0, DRIVER, U - UNKNOWN
14331181, 2, 52.0, 2.0, DRIVER, U - UNKNOWN
14331181, 1, 63.0, 1.0, DRIVER, U - UNKNOWN
14337275, 1, 61.0, 1.0, DRIVER, U - UNKNOWN
14296597, 2, 39.0, 1.0, DRIVER, U - UNKNOWN
14296597, 1, 44.0, 2.0, DRIVER, U - UNKNOWN
14340722, 1, 41.0, 2.0, DRIVER, U - UNKNOWN
14312076, 2, 46.0, 1.0, DRIVER, U - UNKNOWN
14312076, 3, nan, 3.0, DRIVER, U - UNKNOWN
14312076, 1, 23.0, 2.0, DRIVER, U - UNKNOWN
14331207, 1, 46.0, 1.0, DRIVER, U - UNKNOWN
14323563, 1, 25.0, 1.0, DRIVER, U - UNKNOWN
14316330, 1, 29.0, 2.0, DRIVER, U - UNKNOWN
14337297, 2, 54.0, 1.0, DRIVER, U - UNKNOWN
14337297, 4, 40.0, 2.0, DRIVER, U - UNKNOWN
14337297, 1, 28.0, 1.0, DRIVER, U - UNKNOWN
14337297, 3, 52.0, 1.0, DRIVER, U - UNKNOWN
14331223, 1, 50.0, 1.0, DRIVER, U - UNKNOWN
14340749, 9, 61.0, 1.0, DRIVER, U - UNKNOWN
14340749, 3, 51.0, 1.0, DRIVER, U - UNKNOWN
14340749, 1, 59.0, 1.0, DRIVER, U - UNKNOWN
14340749, 11, 62.0, 1.0, DRIVER, U - UNKNOWN
14340749, 10, 73.0, 1.0, DRIVER, U - UNKNOWN
14340749, 4, 36.0, 1.0, DRIVER, U - UNKNOWN
14340749, 12, 58.0, 1.0, DRIVER, U - UNKNOWN
14340749, 2, 32.0, 1.0, DRIVER, U - UNKNOWN
14340749, 7, 26.0, 1.0, DRIVER, U - UNKNOWN
14340749, 8, 48.0, 1.0, DRIVER, U - UNKNOWN
14340749, 6, 74.0, 1.0, DRIVER, U - UNKNOWN
14340749, 5, 29.0, 1.0, DRIVER, U - UNKNOWN
14334871, 2, 22.0, 1.0, DRIVER, U - UNKNOWN
14334871, 1, 23.0, 2.0, DRIVER, U - UNKNOWN
14334873, 1, 52.0, 1.0, DRIVER, U - UNKNOWN
14310323, 1, 27.0, 1.0, DRIVER, U - UNKNOWN
14296704, 4, 39.0, 1.0, DRIVER, U - UNKNOWN
14296704, 2, 44.0, 2.0, DRIVER, U - UNKNOWN
14296704, 1, 43.0, 2.0, DRIVER, U - UNKNOWN
14296704, 3, 23.0, 2.0, DRIVER, U - UNKNOWN
14334893, 1, 59.0, 1.0, DRIVER, U - UNKNOWN
14334893, 2, 62.0, 2.0, DRIVER, U - UNKNOWN
14340798, 1, 33.0, 1.0, DRIVER, U - UNKNOWN
14340804, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14312919, 1, 25.0, 1.0, DRIVER, U - UNKNOWN
14327722, 2, 52.0, 1.0, DRIVER, U - UNKNOWN
14327722, 1, 30.0, 2.0, DRIVER, U - UNKNOWN
14302245, 1, 18.0, 1.0, DRIVER, U - UNKNOWN
14331270, 2, 60.0, 2.0, DRIVER, U - UNKNOWN
14331270, 1, 26.0, 1.0, DRIVER, U - UNKNOWN
14340809, 1, 50.0, 2.0, DRIVER, U - UNKNOWN
14327723, 2, 32.0, 1.0, DRIVER, U - UNKNOWN
14327723, 1, 22.0, 2.0, DRIVER, U - UNKNOWN
14334923, 1, 32.0, 2.0, DRIVER, U - UNKNOWN
14334923, 2, 24.0, 1.0, DRIVER, U - UNKNOWN
14334924, 1, 31.0, 1.0, DRIVER, U - UNKNOWN
14337386, 1, 41.0, 1.0, DRIVER, U - UNKNOWN
14319838, 2, 21.0, 2.0, DRIVER, U - UNKNOWN
14319838, 1, 43.0, 2.0, DRIVER, U - UNKNOWN
14334943, 1, 76.0, 2.0, DRIVER, U - UNKNOWN
14323653, 2, 40.0, 1.0, DRIVER, U - UNKNOWN
14323653, 1, 48.0, 2.0, DRIVER, U - UNKNOWN
14312953, 1, 45.0, 2.0, DRIVER, U - UNKNOWN
14319892, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
14302342, 3, nan, 3.0, DRIVER, U - UNKNOWN
14302342, 2, nan, 3.0, DRIVER, U - UNKNOWN
14302342, 1, 44.0, 1.0, DRIVER, U - UNKNOWN
14340941, 1, 45.0, 1.0, DRIVER, U - UNKNOWN
14312981, 1, 40.0, 2.0, DRIVER, U - UNKNOWN
