state_accident_id,dt,latitude,longitude,city,county,street_1,street_2,crash_type,death_count,severe_injury_count
15622969,2016-01-02T13:00:00,40.816320980535785,-73.63583802614272,Roslyn Harbor,Nassau,BRYANT AVE,MOTTS COVE RD S,COLL. W/LIGHT SUPPORT/UTILITY POLE,0,1
15623253,2016-01-02T18:30:00,40.690903895048166,-73.54246560918233,Hempstead,Nassau,NEWBRIDGE RD,JERUSALEM AVE,COLLISION WITH MOTOR VEHICLE,0,1
15623354,2016-01-01T20:00:00,41.235552897398826,-73.91639060222599,Cortlandt,Westchester,ALBANY POST RD,Springvale Rd,COLLISION WITH MOTOR VEHICLE,0,1
15623631,2016-01-02T21:11:00,41.16293002961185,-74.09491797924194,Ramapo,Rockland,[Route] 202,LIME KILN RD,COLLISION WITH MOTOR VEHICLE,0,1
15623730,2016-01-01T05:00:00,43.09928195837083,-78.19828303842606,Elba,Genesee,LOCKPORT RD,Driveway,COLLISION WITH TREE,0,1
15623892,2016-01-01T13:58:00,42.275025898169346,-79.71579622338196,Ripley,Chautauqua,I 90,Connecting Road,COLLISION WITH MOTOR VEHICLE,0,1
15624019,2016-01-01T12:58:00,43.028398595979986,-76.46306382460132,Elbridge,Onondaga,HAMILTON RD,nan,COLLISION WITH TREE,0,1
15624087,2016-01-01T03:48:00,40.71081311738154,-73.41384663064345,Babylon,Suffolk,SOUTHERN STATE PKWY,nan,COLLISION WITH MOTOR VEHICLE,0,1
15624921,2016-01-02T08:21:00,42.72716569173612,-73.74210189064016,Colonie,Albany,ELKS LN,Watervliet Shaker Rd,COLL. W/LIGHT SUPPORT/UTILITY POLE,0,1
15624954,2016-01-03T22:25:00,43.050215273620175,-77.33529833837683,Macedon,Wayne,VICTOR RD,Unnamed Street,COLL. W/LIGHT SUPPORT/UTILITY POLE,0,1
15625084,2016-01-01T17:22:00,42.80030697902071,-73.92832704978315,Schenectady,Schenectady,ALBANY ST,S BRANDYWINE AVE,COLLISION WITH MOTOR VEHICLE,0,1
15625285,2016-01-03T10:03:00,43.875656981413506,-76.01238127683928,Adams,Jefferson,[Route] 81,nan,COLLISION WITH SNOW EMBANKMENT,0,1
15625292,2016-01-01T05:18:00,41.767403330606044,-74.6592075794342,Fallsburg,Sullivan,COUNTY ROAD 104,Leroy Rd,COLLISION WITH SIGN POST,0,1
15625309,2016-01-01T22:01:00,43.081992328386455,-76.10195162631449,De Witt,Onondaga,COURT STREET RD,N Midler Ave,COLL. W/EARTH ELE./ROCK CUT/DITCH,0,1
15625343,2016-01-01T02:23:00,43.04871519655627,-76.15664739592997,Syracuse,Onondaga,W FAYETTE ST,S FRANKLIN ST,COLLISION WITH PEDESTRIAN,0,1
15625531,2016-01-04T11:38:00,43.00391387940492,-73.84792232013676,Ballston Spa,Saratoga,MALTA AVE,Scott St,COLLISION WITH SIGN POST,0,1
15625728,2016-01-04T00:45:00,43.06664806827234,-76.41824152154773,Elbridge,Onondaga,WHITING RD,Driveway,COLLISION WITH TREE,0,1
15626074,2016-01-04T05:20:00,40.884237244941794,-73.85708728670265,Bronx,Bronx,E 222ND ST,BRONXWOOD AVE,COLLISION WITH MOTOR VEHICLE,1,1
15626588,2016-01-05T18:00:00,40.798146892737265,-73.499802866394,Oyster Bay,Nassau,LONG ISLAND EXPY,Ramp,COLLISION WITH MOTOR VEHICLE,0,1
15626872,2016-01-03T00:25:00,40.917007210585034,-72.6925437876753,Riverhead,Suffolk,W MAIN ST,nan,COLLISION WITH PEDESTRIAN,0,1
15626874,2016-01-04T15:42:00,42.541115948847484,-76.51859342374597,Lansing,Tompkins,RIDGE RD,Portland Point Rd,COLLISION WITH MOTOR VEHICLE,0,2
15626916,2016-01-05T08:52:00,40.824050230649995,-72.71668892126371,Southampton,Suffolk,MONTAUK HWY,Eastpond Ln,COLLISION WITH TREE,0,1
