state_accident_id,vehicle_number,body_type
13038861,1,SUBURBAN
13038861,2,TRACTOR
13038867,1,4 DOOR SEDAN
13038949,1,4 DOOR SEDAN
13039044,1,SUBURBAN
13039047,1,SUBURBAN
13039119,1,4 DOOR SEDAN
13039119,2,4 DOOR SEDAN
13039150,1,4 DOOR SEDAN
13039172,1,2 DOOR SEDAN
13039178,1,4 DOOR SEDAN
13039178,2,4 DOOR SEDAN
13039251,1,4 DOOR SEDAN
13039251,2,4 DOOR SEDAN
13039338,1,SUBURBAN
13039388,1,4 DOOR SEDAN
13039605,2,2 DOOR SEDAN
13039605,1,4 DOOR SEDAN
13039757,1,2 DOOR SEDAN
13039758,2,SUBURBAN
13039758,1,4 DOOR SEDAN
13039812,1,4 DOOR SEDAN
13039890,1,4 DOOR SEDAN
13039959,1,4 DOOR SEDAN
13039959,2,4 DOOR SEDAN
13040072,1,SUBURBAN
13040159,1,SUBURBAN
13040203,1,4 DOOR SEDAN
13040203,2,SUBURBAN
13040297,1,4 DOOR SEDAN
13040297,2,SUBURBAN
13040342,1,4 DOOR SEDAN
13040342,2,UNKNOWN TRUCK
13040380,1,BUS (OMNIBUS)
13040420,1,4 DOOR SEDAN
13040498,2,4 DOOR SEDAN
13040498,1,SUBURBAN
13040518,1,4 DOOR SEDAN
13040604,1,4 DOOR SEDAN
13040604,2,4 DOOR SEDAN
13040639,1,4 DOOR SEDAN
13040639,2,SUBURBAN
13040685,2,SUBURBAN
13040685,1,4 DOOR SEDAN
13040701,1,4 DOOR SEDAN
13040777,1,2 DOOR SEDAN
13040837,1,SUBURBAN
13040856,1,4 DOOR SEDAN
13040859,1,PICK-UP TRUCK
13040864,1,SUBURBAN
13040864,2,4 DOOR SEDAN
13040920,1,SUBURBAN
13041008,1,4 DOOR SEDAN
13041118,1,SUBURBAN
13041137,1,2 DOOR SEDAN
13041142,1,4 DOOR SEDAN
13041146,1,2 DOOR SEDAN
13041146,2,SUBURBAN
13041155,1,PICK-UP TRUCK
13041155,2,UNKNOWN VEHICLE
13041177,1,SUBURBAN
13041267,1,SUBURBAN
13041267,2,4 DOOR SEDAN
13041376,1,PICK-UP TRUCK
13041382,1,4 DOOR SEDAN
13041382,2,4 DOOR SEDAN
13041428,1,PICK-UP TRUCK
13041467,1,PICK-UP TRUCK
13041496,1,4 DOOR SEDAN
13041496,2,2 DOOR SEDAN
13041545,1,4 DOOR SEDAN
13042552,1,PICK-UP TRUCK
13042553,1,PICK-UP TRUCK
13042554,1,SUBURBAN
13042554,2,4 DOOR SEDAN
13042555,1,4 DOOR SEDAN
13042555,2,4 DOOR SEDAN
13042557,1,TRACTOR
13042557,2,TRACTOR
13042568,1,SUBURBAN
13042568,2,4 DOOR SEDAN
13042593,1,SUBURBAN
13042705,1,4 DOOR SEDAN
13042723,1,SUBURBAN
13042733,1,2 DOOR SEDAN
13042733,2,4 DOOR SEDAN
13042733,3,PICK-UP TRUCK
13042880,1,SUBURBAN
13043029,1,4 DOOR SEDAN
13043074,1,4 DOOR SEDAN
13043081,1,SUBURBAN
13043154,1,4 DOOR SEDAN
13043165,1,4 DOOR SEDAN
13043165,2,SUBURBAN
13043169,1,4 DOOR SEDAN
13043171,1,4 DOOR SEDAN
13043171,2,SUBURBAN
13043183,1,4 DOOR SEDAN
13043183,2,SUBURBAN
13043183,3,SUBURBAN
13043183,4,4 DOOR SEDAN
13043186,1,PICK-UP TRUCK
13043186,2,SNOWMOBILE
13043196,1,4 DOOR SEDAN
13043196,2,4 DOOR SEDAN
13043207,1,SUBURBAN
13043223,1,4 DOOR SEDAN
13043223,2,SUBURBAN
13043232,1,4 DOOR SEDAN
13043232,2,SUBURBAN
13043340,1,SUBURBAN
13043422,1,4 DOOR SEDAN
13043438,1,VAN TRUCK
13043455,1,4 DOOR SEDAN
13043455,2,TANK TRUCK
13043471,1,4 DOOR SEDAN
13043471,2,4 DOOR SEDAN
13043471,3,SUBURBAN
13043471,4,SUBURBAN
13043478,1,PICK-UP TRUCK
13043499,1,4 DOOR SEDAN
13043499,2,4 DOOR SEDAN
13043499,3,2 DOOR SEDAN
13043570,1,4 DOOR SEDAN
13043593,1,4 DOOR SEDAN
13043593,2,4 DOOR SEDAN
13043664,1,2 DOOR SEDAN
13043730,1,VAN TRUCK
13043800,1,4 DOOR SEDAN
13043864,1,4 DOOR SEDAN
13043866,1,SUBURBAN
13043866,2,4 DOOR SEDAN
13043948,1,4 DOOR SEDAN
13043967,1,4 DOOR SEDAN
13044017,2,TRACTOR
13044017,1,4 DOOR SEDAN
13044067,1,4 DOOR SEDAN
13044730,1,CONVERTIBLE
13044758,1,4 DOOR SEDAN
13044758,2,4 DOOR SEDAN
13045526,1,4 DOOR SEDAN
13045526,2,2 DOOR SEDAN
13046099,1,BUS (OMNIBUS)
13046740,1,PICK-UP TRUCK
13046753,1,PICK-UP TRUCK
13046760,1,PICK-UP TRUCK
13046760,2,TRACTOR
13046764,1,4 DOOR SEDAN
13046764,2,4 DOOR SEDAN
13046764,3,4 DOOR SEDAN
13046765,1,TRACTOR
13046765,2,2 DOOR SEDAN
