state_accident_id,vehicle_number,age,sex,person_type,injury_severity
15164603,1,29.0,2.0,DRIVER,U - UNKNOWN
15164739,2,28.0,2.0,DRIVER,U - UNKNOWN
15164739,1,52.0,1.0,DRIVER,U - UNKNOWN
15164901,3,74.0,1.0,DRIVER,U - UNKNOWN
15164901,2,45.0,1.0,DRIVER,U - UNKNOWN
15164901,1,29.0,2.0,DRIVER,U - UNKNOWN
15165194,1,nan,3.0,DRIVER,U - UNKNOWN
15165345,1,44.0,2.0,DRIVER,U - UNKNOWN
15165522,1,17.0,2.0,DRIVER,U - UNKNOWN
15165522,2,23.0,1.0,DRIVER,U - UNKNOWN
15165533,1,22.0,2.0,DRIVER,U - UNKNOWN
15165551,2,nan,3.0,DRIVER,U - UNKNOWN
15165551,1,67.0,2.0,DRIVER,U - UNKNOWN
15165637,1,41.0,1.0,DRIVER,U - UNKNOWN
15165703,2,49.0,2.0,DRIVER,U - UNKNOWN
15165703,1,18.0,1.0,DRIVER,U - UNKNOWN
15165753,1,89.0,2.0,DRIVER,U - UNKNOWN
15165753,2,42.0,1.0,DRIVER,U - UNKNOWN
15165829,1,69.0,1.0,DRIVER,U - UNKNOWN
15165848,1,66.0,2.0,DRIVER,U - UNKNOWN
15165860,1,60.0,1.0,DRIVER,U - UNKNOWN
15165879,1,25.0,2.0,DRIVER,U - UNKNOWN
15165879,2,54.0,1.0,DRIVER,U - UNKNOWN
15166006,2,38.0,2.0,DRIVER,U - UNKNOWN
15166006,3,nan,3.0,DRIVER,U - UNKNOWN
15166006,1,44.0,2.0,DRIVER,U - UNKNOWN
15166156,2,26.0,1.0,DRIVER,U - UNKNOWN
15166156,1,48.0,1.0,DRIVER,U - UNKNOWN
15166160,1,92.0,2.0,DRIVER,U - UNKNOWN
15166199,2,24.0,1.0,DRIVER,U - UNKNOWN
15166199,1,42.0,2.0,DRIVER,U - UNKNOWN
15166215,1,70.0,1.0,DRIVER,U - UNKNOWN
15166215,2,61.0,2.0,DRIVER,U - UNKNOWN
15166256,1,85.0,2.0,DRIVER,U - UNKNOWN
15166281,1,48.0,1.0,DRIVER,U - UNKNOWN
15166281,2,22.0,2.0,DRIVER,U - UNKNOWN
15166446,1,23.0,2.0,DRIVER,U - UNKNOWN
15166452,1,64.0,2.0,DRIVER,U - UNKNOWN
15166553,1,44.0,1.0,DRIVER,U - UNKNOWN
15166594,1,78.0,2.0,DRIVER,U - UNKNOWN
15166652,1,23.0,2.0,DRIVER,U - UNKNOWN
15166698,1,55.0,2.0,DRIVER,U - UNKNOWN
15166740,1,52.0,1.0,DRIVER,U - UNKNOWN
15166740,2,83.0,2.0,DRIVER,U - UNKNOWN
15167249,2,79.0,2.0,DRIVER,U - UNKNOWN
15167249,1,46.0,2.0,DRIVER,U - UNKNOWN
15167712,1,64.0,1.0,DRIVER,U - UNKNOWN
15167813,1,62.0,2.0,DRIVER,U - UNKNOWN
15167843,2,24.0,2.0,DRIVER,U - UNKNOWN
15167843,1,54.0,2.0,DRIVER,U - UNKNOWN
15167866,1,69.0,2.0,DRIVER,U - UNKNOWN
15168077,1,50.0,1.0,DRIVER,U - UNKNOWN
15168077,2,36.0,2.0,DRIVER,U - UNKNOWN
15168153,1,51.0,1.0,DRIVER,U - UNKNOWN
15168157,2,54.0,1.0,DRIVER,U - UNKNOWN
15168157,1,26.0,1.0,DRIVER,U - UNKNOWN
15168266,1,19.0,2.0,DRIVER,U - UNKNOWN
15168266,2,27.0,2.0,DRIVER,U - UNKNOWN
15168273,1,35.0,1.0,DRIVER,U - UNKNOWN
15168273,2,nan,3.0,DRIVER,U - UNKNOWN
15168276,1,33.0,2.0,DRIVER,U - UNKNOWN
15168319,1,21.0,2.0,DRIVER,U - UNKNOWN
15170049,2,51.0,2.0,DRIVER,U - UNKNOWN
15170049,1,38.0,2.0,DRIVER,U - UNKNOWN
15170065,2,60.0,1.0,DRIVER,U - UNKNOWN
15170065,1,18.0,1.0,DRIVER,U - UNKNOWN
15170086,1,18.0,2.0,DRIVER,U - UNKNOWN
15170086,2,25.0,1.0,DRIVER,U - UNKNOWN
15170105,1,33.0,1.0,DRIVER,U - UNKNOWN
15170161,1,56.0,1.0,DRIVER,U - UNKNOWN
15170163,2,24.0,2.0,DRIVER,U - UNKNOWN
15170163,3,30.0,1.0,DRIVER,U - UNKNOWN
15170163,1,30.0,2.0,DRIVER,U - UNKNOWN
15170370,1,22.0,1.0,DRIVER,U - UNKNOWN
15170373,1,44.0,1.0,DRIVER,U - UNKNOWN
15170833,2,54.0,1.0,DRIVER,U - UNKNOWN
15170833,1,37.0,1.0,DRIVER,U - UNKNOWN
15171527,1,48.0,2.0,DRIVER,U - UNKNOWN
15171928,2,57.0,1.0,DRIVER,U - UNKNOWN
