state_accident_id,vehicle_number,age,sex,person_type,injury_severity
17142990,2,57.0,1.0,DRIVER,U - UNKNOWN
17142990,1,18.0,1.0,DRIVER,U - UNKNOWN
17143038,2,43.0,1.0,DRIVER,U - UNKNOWN
17143038,1,62.0,2.0,DRIVER,U - UNKNOWN
17143047,1,22.0,2.0,DRIVER,U - UNKNOWN
17143091,1,37.0,1.0,DRIVER,U - UNKNOWN
17143115,1,23.0,2.0,DRIVER,U - UNKNOWN
17143115,2,39.0,1.0,DRIVER,U - UNKNOWN
17143148,1,46.0,2.0,DRIVER,U - UNKNOWN
17143148,2,23.0,1.0,DRIVER,U - UNKNOWN
17143265,1,22.0,1.0,DRIVER,U - UNKNOWN
17143285,1,22.0,2.0,DRIVER,U - UNKNOWN
17143285,2,55.0,1.0,DRIVER,U - UNKNOWN
17143417,1,33.0,1.0,DRIVER,U - UNKNOWN
17143581,1,23.0,1.0,DRIVER,U - UNKNOWN
17143600,6,nan,3.0,DRIVER,U - UNKNOWN
17143600,3,41.0,2.0,DRIVER,U - UNKNOWN
17143600,7,54.0,1.0,DRIVER,U - UNKNOWN
17143600,1,24.0,1.0,DRIVER,U - UNKNOWN
17143600,5,33.0,1.0,DRIVER,U - UNKNOWN
17143600,4,37.0,1.0,DRIVER,U - UNKNOWN
17143600,2,38.0,1.0,DRIVER,U - UNKNOWN
17143609,1,68.0,1.0,DRIVER,U - UNKNOWN
17143627,1,74.0,1.0,DRIVER,U - UNKNOWN
17143710,2,nan,3.0,DRIVER,U - UNKNOWN
17143710,1,33.0,2.0,DRIVER,U - UNKNOWN
17143742,1,30.0,2.0,DRIVER,U - UNKNOWN
17143742,2,nan,3.0,DRIVER,U - UNKNOWN
17143745,2,27.0,1.0,DRIVER,U - UNKNOWN
17143745,1,56.0,2.0,DRIVER,U - UNKNOWN
17143978,1,35.0,2.0,DRIVER,U - UNKNOWN
17143978,2,nan,3.0,DRIVER,U - UNKNOWN
17143995,1,25.0,2.0,DRIVER,U - UNKNOWN
17144099,1,65.0,2.0,DRIVER,U - UNKNOWN
17144099,2,63.0,2.0,DRIVER,U - UNKNOWN
17144105,1,64.0,1.0,DRIVER,U - UNKNOWN
17144145,1,19.0,2.0,DRIVER,U - UNKNOWN
17144170,1,66.0,2.0,DRIVER,U - UNKNOWN
17144170,2,38.0,1.0,DRIVER,U - UNKNOWN
17144364,1,39.0,2.0,DRIVER,U - UNKNOWN
17144364,2,37.0,2.0,DRIVER,U - UNKNOWN
17144377,1,70.0,1.0,DRIVER,U - UNKNOWN
17144377,2,59.0,1.0,DRIVER,U - UNKNOWN
17144693,1,54.0,2.0,DRIVER,U - UNKNOWN
17144715,1,25.0,1.0,DRIVER,U - UNKNOWN
17144724,1,58.0,2.0,DRIVER,U - UNKNOWN
17144824,1,25.0,1.0,DRIVER,U - UNKNOWN
17144892,2,71.0,1.0,DRIVER,U - UNKNOWN
17144892,1,20.0,1.0,DRIVER,U - UNKNOWN
17144927,1,40.0,2.0,DRIVER,U - UNKNOWN
17144927,2,34.0,2.0,DRIVER,U - UNKNOWN
17144951,2,24.0,2.0,DRIVER,U - UNKNOWN
17144951,1,54.0,1.0,DRIVER,U - UNKNOWN
17145023,1,nan,3.0,DRIVER,U - UNKNOWN
17145400,1,25.0,1.0,DRIVER,U - UNKNOWN
17145409,1,33.0,1.0,DRIVER,U - UNKNOWN
17145409,3,nan,3.0,DRIVER,U - UNKNOWN
17145409,2,nan,3.0,DRIVER,U - UNKNOWN
17145417,2,23.0,1.0,DRIVER,U - UNKNOWN
17145417,1,37.0,1.0,DRIVER,U - UNKNOWN
17145622,2,47.0,2.0,DRIVER,U - UNKNOWN
17145622,1,52.0,2.0,DRIVER,U - UNKNOWN
17145938,1,27.0,2.0,DRIVER,U - UNKNOWN
17145974,3,34.0,2.0,DRIVER,U - UNKNOWN
17145974,2,76.0,2.0,DRIVER,U - UNKNOWN
17145974,1,54.0,1.0,DRIVER,U - UNKNOWN
17145984,2,46.0,1.0,DRIVER,U - UNKNOWN
17145984,1,25.0,1.0,DRIVER,U - UNKNOWN
17145999,1,56.0,1.0,DRIVER,U - UNKNOWN
17146146,1,38.0,2.0,DRIVER,U - UNKNOWN
17146162,2,nan,3.0,DRIVER,U - UNKNOWN
17146162,3,nan,3.0,DRIVER,U - UNKNOWN
17146162,1,61.0,1.0,DRIVER,U - UNKNOWN
17146294,1,34.0,1.0,DRIVER,U - UNKNOWN
17146401,2,48.0,1.0,DRIVER,U - UNKNOWN
17146401,1,73.0,2.0,DRIVER,U - UNKNOWN
17146401,3,32.0,1.0,DRIVER,U - UNKNOWN
17146407,1,51.0,1.0,DRIVER,U - UNKNOWN
17146407,2,41.0,1.0,DRIVER,U - UNKNOWN
17146517,1,26.0,1.0,DRIVER,U - UNKNOWN
17146608,1,22.0,1.0,DRIVER,U - UNKNOWN
17146910,2,63.0,2.0,DRIVER,U - UNKNOWN
17146924,2,40.0,1.0,DRIVER,U - UNKNOWN
17146924,1,36.0,1.0,DRIVER,U - UNKNOWN
17146949,1,38.0,1.0,DRIVER,U - UNKNOWN
17146949,2,46.0,2.0,DRIVER,U - UNKNOWN
17147127,1,66.0,1.0,DRIVER,U - UNKNOWN
17147127,2,48.0,1.0,DRIVER,U - UNKNOWN
17147205,1,37.0,2.0,DRIVER,U - UNKNOWN
17147208,1,36.0,1.0,DRIVER,U - UNKNOWN
17147251,1,26.0,2.0,DRIVER,U - UNKNOWN
17147290,1,64.0,1.0,DRIVER,U - UNKNOWN
17147290,3,22.0,1.0,DRIVER,U - UNKNOWN
17147290,2,24.0,1.0,DRIVER,U - UNKNOWN
17147335,1,42.0,2.0,DRIVER,U - UNKNOWN
17147335,2,48.0,2.0,DRIVER,U - UNKNOWN
17147346,1,17.0,1.0,DRIVER,U - UNKNOWN
17147352,2,67.0,1.0,DRIVER,U - UNKNOWN
17147352,1,18.0,1.0,DRIVER,U - UNKNOWN
17147355,2,59.0,1.0,DRIVER,U - UNKNOWN
17147355,1,51.0,1.0,DRIVER,U - UNKNOWN
17147362,2,57.0,1.0,DRIVER,U - UNKNOWN
17147362,1,31.0,2.0,DRIVER,U - UNKNOWN
17147386,1,21.0,2.0,DRIVER,U - UNKNOWN
17147386,2,28.0,2.0,DRIVER,U - UNKNOWN
17147523,1,79.0,1.0,DRIVER,U - UNKNOWN
17147523,2,57.0,1.0,DRIVER,U - UNKNOWN
17147550,2,50.0,2.0,DRIVER,U - UNKNOWN
17147550,1,44.0,2.0,DRIVER,U - UNKNOWN
17147615,2,38.0,2.0,DRIVER,U - UNKNOWN
17147615,1,25.0,1.0,DRIVER,U - UNKNOWN
17147842,2,52.0,2.0,DRIVER,U - UNKNOWN
17147842,1,33.0,2.0,DRIVER,U - UNKNOWN
17147982,1,17.0,2.0,DRIVER,U - UNKNOWN
17147982,2,34.0,2.0,DRIVER,U - UNKNOWN
17148027,1,57.0,1.0,DRIVER,U - UNKNOWN
17148027,2,84.0,2.0,DRIVER,U - UNKNOWN
17148047,1,55.0,1.0,DRIVER,U - UNKNOWN
17148047,2,78.0,2.0,DRIVER,U - UNKNOWN
17148047,3,58.0,1.0,DRIVER,U - UNKNOWN
17148060,1,47.0,2.0,DRIVER,U - UNKNOWN
17148115,1,40.0,1.0,DRIVER,U - UNKNOWN
17148194,1,53.0,2.0,DRIVER,U - UNKNOWN
17148679,1,39.0,1.0,DRIVER,U - UNKNOWN
17148702,1,73.0,1.0,DRIVER,U - UNKNOWN
17148702,2,61.0,1.0,DRIVER,U - UNKNOWN
17148796,1,74.0,2.0,DRIVER,U - UNKNOWN
17148803,1,76.0,2.0,DRIVER,U - UNKNOWN
17148852,1,39.0,2.0,DRIVER,U - UNKNOWN
17148880,2,50.0,1.0,DRIVER,U - UNKNOWN
17148880,1,22.0,1.0,DRIVER,U - UNKNOWN
17148895,1,25.0,2.0,DRIVER,U - UNKNOWN
17148919,2,16.0,1.0,DRIVER,U - UNKNOWN
17148919,1,33.0,1.0,DRIVER,U - UNKNOWN
17148922,1,49.0,1.0,DRIVER,U - UNKNOWN
17149251,2,nan,3.0,DRIVER,U - UNKNOWN
17149251,1,58.0,2.0,DRIVER,U - UNKNOWN
17149530,2,74.0,1.0,DRIVER,U - UNKNOWN
17149530,1,49.0,1.0,DRIVER,U - UNKNOWN
17149784,1,63.0,1.0,DRIVER,U - UNKNOWN
17149794,1,20.0,1.0,DRIVER,U - UNKNOWN
17149938,1,32.0,1.0,DRIVER,U - UNKNOWN
17150179,3,27.0,1.0,DRIVER,U - UNKNOWN
17150179,1,92.0,1.0,DRIVER,U - UNKNOWN
17150179,2,27.0,1.0,DRIVER,U - UNKNOWN
17150179,4,17.0,2.0,DRIVER,U - UNKNOWN
17150191,3,50.0,2.0,DRIVER,U - UNKNOWN
17150191,2,65.0,2.0,DRIVER,U - UNKNOWN
17150191,1,19.0,2.0,DRIVER,U - UNKNOWN
17150259,1,49.0,1.0,DRIVER,U - UNKNOWN
17150354,1,22.0,1.0,DRIVER,U - UNKNOWN
17150493,1,48.0,1.0,DRIVER,U - UNKNOWN
17150710,1,nan,3.0,DRIVER,U - UNKNOWN
17150777,1,57.0,1.0,DRIVER,U - UNKNOWN
17150914,2,24.0,1.0,DRIVER,U - UNKNOWN
17150914,1,27.0,1.0,DRIVER,U - UNKNOWN
17150915,2,nan,nan,nan,nan
17150915,1,26.0,1.0,DRIVER,U - UNKNOWN
17151008,1,54.0,2.0,DRIVER,U - UNKNOWN
17151128,1,31.0,1.0,DRIVER,U - UNKNOWN
17151149,1,44.0,1.0,DRIVER,U - UNKNOWN
17151162,1,27.0,2.0,DRIVER,U - UNKNOWN
