state_accident_id, vehicle_number, age, sex, person_type, injury_severity
17673840, 1, 43.0, 1.0, DRIVER, U - UNKNOWN
17674699, 1, 51.0, 2.0, DRIVER, U - UNKNOWN
17674699, 2, 26.0, 2.0, DRIVER, U - UNKNOWN
17674741, 2, 64.0, 2.0, DRIVER, U - UNKNOWN
17674741, 1, 61.0, 1.0, DRIVER, U - UNKNOWN
17674764, 1, 23.0, 1.0, DRIVER, U - UNKNOWN
17674764, 2, 34.0, 1.0, DRIVER, U - UNKNOWN
17674764, 3, 43.0, 1.0, DRIVER, U - UNKNOWN
17674768, 1, 27.0, 1.0, DRIVER, U - UNKNOWN
17675681, 1, 20.0, 2.0, DRIVER, U - UNKNOWN
17675835, 1, 61.0, 1.0, DRIVER, U - UNKNOWN
17676182, 1, 70.0, 2.0, DRIVER, U - UNKNOWN
17676395, 1, 57.0, 1.0, DRIVER, U - UNKNOWN
17676466, 1, 49.0, 2.0, DRIVER, U - UNKNOWN
17676719, 2, 63.0, 2.0, DRIVER, U - UNKNOWN
17676719, 3, 44.0, 1.0, DRIVER, U - UNKNOWN
17676719, 1, 59.0, 1.0, DRIVER, U - UNKNOWN
17676934, 2, 72.0, 1.0, DRIVER, U - UNKNOWN
17676987, 1, 44.0, 2.0, DRIVER, U - UNKNOWN
17677037, 1, 25.0, 2.0, DRIVER, U - UNKNOWN
17677237, 2, 17.0, 2.0, DRIVER, U - UNKNOWN
17677237, 1, 28.0, 2.0, DRIVER, U - UNKNOWN
17677279, 1, 25.0, 1.0, DRIVER, U - UNKNOWN
17677279, 2, 61.0, 1.0, DRIVER, U - UNKNOWN
17677279, 3, 29.0, 2.0, DRIVER, U - UNKNOWN
17677279, 4, 22.0, 1.0, DRIVER, U - UNKNOWN
17677427, 1, 39.0, 2.0, DRIVER, U - UNKNOWN
17677427, 2, 28.0, 1.0, DRIVER, U - UNKNOWN
17677620, 1, 18.0, 2.0, DRIVER, U - UNKNOWN
17677620, 2, 18.0, 1.0, DRIVER, U - UNKNOWN
17677641, 1, 57.0, 2.0, DRIVER, U - UNKNOWN
17677831, 1, 29.0, 2.0, DRIVER, U - UNKNOWN
17678039, 1, 61.0, 2.0, DRIVER, U - UNKNOWN
17678039, 2, 70.0, 2.0, DRIVER, U - UNKNOWN
17678190, 1, 29.0, 1.0, DRIVER, U - UNKNOWN
17678190, 2, nan, 3.0, DRIVER, U - UNKNOWN
17678438, 1, nan, 3.0, DRIVER, U - UNKNOWN
17678439, 2, 55.0, 1.0, DRIVER, U - UNKNOWN
17678439, 1, 69.0, 1.0, DRIVER, U - UNKNOWN
17678908, 1, 20.0, 2.0, DRIVER, U - UNKNOWN
17678908, 2, 45.0, 2.0, DRIVER, U - UNKNOWN
17678975, 2, 23.0, 2.0, DRIVER, U - UNKNOWN
17678975, 1, 83.0, 2.0, DRIVER, U - UNKNOWN
17679086, 1, 66.0, 1.0, DRIVER, U - UNKNOWN
17679086, 2, 52.0, 1.0, DRIVER, U - UNKNOWN
17679506, 1, 53.0, 1.0, DRIVER, U - UNKNOWN
17679904, 1, 44.0, 1.0, DRIVER, U - UNKNOWN
17680069, 1, 46.0, 1.0, DRIVER, U - UNKNOWN
17680458, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
17680500, 2, 20.0, 1.0, DRIVER, U - UNKNOWN
17680500, 1, 65.0, 1.0, DRIVER, U - UNKNOWN
17680529, 1, 33.0, 2.0, DRIVER, U - UNKNOWN
17680529, 2, 46.0, 1.0, DRIVER, U - UNKNOWN
17680836, 1, 49.0, 1.0, DRIVER, U - UNKNOWN
17680890, 1, 18.0, 1.0, DRIVER, U - UNKNOWN
17680892, 1, 86.0, 1.0, DRIVER, U - UNKNOWN
17681040, 1, 48.0, 1.0, DRIVER, U - UNKNOWN
17681674, 1, 37.0, 2.0, DRIVER, U - UNKNOWN
17681687, 1, 73.0, 1.0, DRIVER, U - UNKNOWN
17681687, 2, nan, 3.0, DRIVER, U - UNKNOWN
17681713, 1, 25.0, 1.0, DRIVER, U - UNKNOWN
17681713, 2, 30.0, 2.0, DRIVER, U - UNKNOWN
17681861, 2, 46.0, 2.0, DRIVER, U - UNKNOWN
17681861, 1, 19.0, 1.0, DRIVER, U - UNKNOWN
17682031, 3, 58.0, 1.0, DRIVER, U - UNKNOWN
17682031, 1, 54.0, 1.0, DRIVER, U - UNKNOWN
17682031, 2, 44.0, 1.0, DRIVER, U - UNKNOWN
17682033, 1, 62.0, 1.0, DRIVER, U - UNKNOWN
17682033, 2, 42.0, 2.0, DRIVER, U - UNKNOWN
17682100, 2, 28.0, 2.0, DRIVER, U - UNKNOWN
17682100, 1, 38.0, 1.0, DRIVER, U - UNKNOWN
17682180, 1, 71.0, 1.0, DRIVER, U - UNKNOWN
17682296, 1, 22.0, 1.0, DRIVER, U - UNKNOWN
17682297, 2, 29.0, 1.0, DRIVER, U - UNKNOWN
17682297, 1, 24.0, 1.0, DRIVER, U - UNKNOWN
17682299, 2, 21.0, 2.0, DRIVER, U - UNKNOWN
17682299, 1, 24.0, 1.0, DRIVER, U - UNKNOWN
17682408, 1, 23.0, 2.0, DRIVER, U - UNKNOWN
17682490, 2, 17.0, 1.0, DRIVER, U - UNKNOWN
17682490, 1, 45.0, 1.0, DRIVER, U - UNKNOWN
17682494, 2, 61.0, 1.0, DRIVER, U - UNKNOWN
17682494, 1, 59.0, 1.0, DRIVER, U - UNKNOWN
17682528, 1, 41.0, 2.0, DRIVER, U - UNKNOWN
17682664, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
