state_accident_id,dt,latitude,longitude,city,county,street_1,street_2,crash_type,death_count,severe_injury_count
17131262,2019-01-01T17:05:00,40.71896917963166,-73.68899815202425,Floral Park,Nassau,COVERT AVE,CHESTER AVE,COLLISION WITH MOTOR VEHICLE,0,1
17131562,2019-01-01T05:59:00,40.66123099194968,-74.00071899211315,Brooklyn,Kings,3RD AVE,26TH ST,COLLISION WITH BICYCLIST,1,0
17133397,2019-01-02T14:48:00,42.126254025849434,-75.90717925453947,Dickinson,Broome,UPPER FRONT ST,Ramp,COLLISION WITH MOTOR VEHICLE,0,1
17133650,2019-01-01T18:56:00,42.582103625700334,-78.72638631957737,Concord,Erie,US HWY 219,nan,COLL. W/EARTH ELE./ROCK CUT/DITCH,0,1
17134024,2019-01-01T03:13:00,41.387270347222305,-73.60579460004878,Southeast,Putnam,ALLVIEW AVE,nan,COLLISION WITH SIGN POST,0,1
17134087,2019-01-02T18:10:00,40.59594672174434,-73.99701695089395,Brooklyn,Kings,CROPSEY AVE,Bay 32nd St,COLLISION WITH PEDESTRIAN,1,0
17135332,2019-01-02T16:43:00,41.03253000244865,-73.75823595781243,White Plains,Westchester,WESTCHESTER AVE,BLOOMINGDALE RD,COLLISION WITH MOTOR VEHICLE,0,1
17135343,2019-01-02T01:12:00,41.60243769323098,-73.98047804490568,Marlborough,Ulster,HIGHLAND AVE,Center St,COLLISION WITH TREE,0,1
17135751,2019-01-02T11:45:00,40.706377956314704,-73.53182602891721,Hempstead,Nassau,N JERUSALEM RD,OAKFIELD AVE,COLLISION WITH MOTOR VEHICLE,0,1
17135794,2019-01-02T13:19:00,43.14069473002178,-77.24814535227549,Marion,Wayne,WALWORTH MARION RD,Marion Rd,COLLISION WITH MOTOR VEHICLE,0,1
17135885,2019-01-02T07:52:00,42.946983504720905,-73.85177060415137,Ballston,Saratoga,LAKE RD,Lazur Rd,COLLISION WITH MOTOR VEHICLE,0,1
17136009,2019-01-04T07:23:00,41.07020405155404,-73.7862488462015,Mount Pleasant,Westchester,GRASSLANDS RD,Westchester Community College,COLL. W/LIGHT SUPPORT/UTILITY POLE,0,1
17136076,2019-01-03T07:33:00,43.40956893012196,-76.17556632212256,Mexico,Oswego,FRENCH ST,LA ROBARDIERE RD,COLLISION WITH TREE,0,1
17136357,2019-01-01T12:25:00,42.075069275740574,-75.80856164620245,Kirkwood,Broome,[Route] 11,Golden St,COLLISION WITH GUIDERAIL - END,0,1
17136412,2019-01-03T12:33:00,42.6559750108193,-73.77387745622839,Albany,Albany,MADISON AVE,Robin St,COLLISION WITH MOTOR VEHICLE,0,1
17136626,2019-01-02T11:49:00,42.99114453497329,-78.72430548979969,Amherst,Erie,MAPLE RD,YOUNGS RD,COLLISION WITH MOTOR VEHICLE,0,1
17136787,2019-01-03T09:40:00,43.167951028259324,-75.22802594295162,Marcy,Oneida,GLASS FACTORY RD,Hillside Ter,COLLISION WITH GUIDE RAIL,0,1
17136838,2019-01-03T20:53:00,44.888458162067636,-75.01905602537151,Louisville,St Lawrence,COUNTY ROUTE 36,Arena Dr,COLLISION WITH OTHER,0,1
17136844,2019-01-01T02:03:00,42.33956568473449,-73.67675849785915,Ghent,Columbia,QUINN LN,nan,COLLISION WITH TREE,0,1
17136926,2019-01-03T15:45:00,43.41447628209677,-73.48911621832477,Fort Ann,Washington,CATHERINE ST,Ann St,COLLISION WITH MOTOR VEHICLE,0,1
17136985,2019-01-05T10:58:00,42.64899469554135,-77.70438040187263,Sparta,Livingston,STATE ROUTE 256,Powell Rd,COLL. W/EARTH ELE./ROCK CUT/DITCH,1,0
17137016,2019-01-04T08:29:00,43.05352195478032,-76.16605595802412,Syracuse,Onondaga,VAN RENSSELAER ST,W GENESEE ST,COLLISION WITH MOTOR VEHICLE,0,3
17137071,2019-01-05T13:21:00,42.74413417212833,-76.83362716018678,Romulus,Seneca,STATE HWY 96,E Patrol Rd,COLLISION WITH OTHER BARRIER,0,1
17137400,2019-01-04T20:27:00,40.87056897070461,-73.42266794703139,Huntington,Suffolk,ELM ST,Nassau Rd,COLLISION WITH MOTOR VEHICLE,0,1
17137570,2019-01-05T10:48:00,43.21560710768481,-77.45094173300116,Webster,Monroe,RAMP,Frontage Rd,COLLISION WITH MOTOR VEHICLE,0,1
17137604,2019-01-03T08:58:00,44.61381575002433,-75.11367675611483,Canton,St Lawrence,US HIGHWAY 11,Cowan Rd,RAN OFF ROAD ONLY,0,1
17137673,2019-01-04T12:15:00,42.392166744630785,-77.4002981252344,Avoca,Steuben,OWENS RD,State Route 415,COLLISION WITH PEDESTRIAN,0,1
17137693,2019-01-04T07:35:00,42.91243929627944,-78.76640846732792,Cheektowaga,Erie,I 90,Ramp,COLLISION WITH MOTOR VEHICLE,0,1
17137704,2019-01-03T18:45:00,41.399533398673086,-73.91605490803468,Philipstown,Putnam,[Route] 9,OAK HOLW,COLLISION WITH MOTOR VEHICLE,0,1
17137899,2019-01-05T00:30:00,40.58840273976,-73.66063823134527,Long Beach,Nassau,E PARK AVE,Parking Lot,COLLISION WITH PEDESTRIAN,1,1
