state_accident_id, vehicle_number, age, sex, person_type, injury_severity
18045234, 1, nan, 3.0, DRIVER, U - UNKNOWN
18045234, 2, 60.0, 2.0, DRIVER, U - UNKNOWN
18045235, 1, 42.0, 1.0, DRIVER, U - UNKNOWN
18045334, 1, nan, 3.0, DRIVER, U - UNKNOWN
18045475, 1, 60.0, 1.0, DRIVER, U - UNKNOWN
18045536, 1, 37.0, 1.0, DRIVER, U - UNKNOWN
18045641, 1, 26.0, 1.0, DRIVER, U - UNKNOWN
18045933, 1, 76.0, 1.0, DRIVER, U - UNKNOWN
18046123, 2, 33.0, 2.0, DRIVER, U - UNKNOWN
18046123, 3, nan, 3.0, DRIVER, U - UNKNOWN
18046123, 1, 29.0, 2.0, DRIVER, U - UNKNOWN
18046462, 1, 39.0, 1.0, DRIVER, U - UNKNOWN
18046514, 1, 43.0, 1.0, DRIVER, U - UNKNOWN
18046514, 3, nan, 3.0, DRIVER, U - UNKNOWN
18046514, 2, 32.0, 1.0, DRIVER, U - UNKNOWN
18046545, 1, 26.0, 2.0, DRIVER, U - UNKNOWN
18046549, 1, 36.0, 1.0, DRIVER, U - UNKNOWN
18046668, 2, 20.0, 2.0, DRIVER, U - UNKNOWN
18046668, 1, 42.0, 2.0, DRIVER, U - UNKNOWN
18046690, 3, nan, 3.0, DRIVER, U - UNKNOWN
18046690, 2, 23.0, 2.0, DRIVER, U - UNKNOWN
18046690, 1, nan, 3.0, DRIVER, U - UNKNOWN
18046965, 1, 21.0, 1.0, DRIVER, U - UNKNOWN
18046965, 2, 41.0, 1.0, DRIVER, U - UNKNOWN
18046965, 3, 50.0, 1.0, DRIVER, U - UNKNOWN
18047071, 1, nan, 3.0, DRIVER, U - UNKNOWN
18047145, 1, 29.0, 2.0, DRIVER, U - UNKNOWN
18047145, 2, 21.0, 1.0, DRIVER, U - UNKNOWN
18047197, 1, 19.0, 2.0, DRIVER, U - UNKNOWN
