state_accident_id, vehicle_number, body_type
13889024, 1, 4 DOOR SEDAN
13889024, 2, SUBURBAN
13889024, 3, 4 DOOR SEDAN
13878371, 1, SUBURBAN
13902222, 1, SUBURBAN
13878389, 1, 4 DOOR SEDAN
13878389, 2, PICK-UP TRUCK
13892318, 1, 4 DOOR SEDAN
13885327, 1, 4 DOOR SEDAN
13885327, 2, 4 DOOR SEDAN
13878413, 1, PICK-UP TRUCK
13902265, 1, 2 DOOR SEDAN
13902265, 2, 4 DOOR SEDAN
13902267, 1, 4 DOOR SEDAN
13902267, 2, SUBURBAN
13902267, 3, 4 DOOR SEDAN
13898545, 1, VAN TRUCK
13898545, 2, 4 DOOR SEDAN
13916032, 1, 4 DOOR SEDAN
13916035, 1, MOTORCYCLE
13882871, 1, 4 DOOR SEDAN
13895103, 1, PICK-UP TRUCK
13918926, 1, 4 DOOR SEDAN
13918926, 2, 4 DOOR SEDAN
13918929, 1, 4 DOOR SEDAN
13916050, 2, 2 DOOR SEDAN
13916050, 1, SUBURBAN
13898564, 1, 4 DOOR SEDAN
13898564, 2, SUBURBAN
13918932, 1, SUBURBAN
13918936, 1, SUBURBAN
13918936, 2, 4 DOOR SEDAN
13918937, 1, 4 DOOR SEDAN
13918937, 2, PICK-UP TRUCK
13918938, 1, 4 DOOR SEDAN
13918939, 1, 4 DOOR SEDAN
13918940, 1, SUBURBAN
13918942, 1, BUS (OMNIBUS)
13918943, 1, 2 DOOR SEDAN
13918943, 2, SUBURBAN
13918943, 3, 2 DOOR SEDAN
13882882, 1, 4 DOOR SEDAN
13883201, 1, MOTORCYCLE
13883206, 1, MOTORCYCLE
13909430, 1, 4 DOOR SEDAN
13909430, 2, SUBURBAN
13883270, 1, SUBURBAN
13912781, 1, 4 DOOR SEDAN
13892403, 1, 4 DOOR SEDAN
13912785, 1, 4 DOOR SEDAN
13898583, 1, SUBURBAN
13898583, 2, MOTORCYCLE
13883273, 1, 2 DOOR SEDAN
13883273, 2, TRACTOR
13883923, 1, 4 DOOR SEDAN
13883924, 1, 4 DOOR SEDAN
13885402, 1, 4 DOOR SEDAN
13885402, 2, 4 DOOR SEDAN
13885402, 3, 4 DOOR SEDAN
13885402, 4, SUBURBAN
13885403, 1, BUS (OMNIBUS)
13885403, 2, SUBURBAN
13895140, 1, 4 DOOR SEDAN
13892438, 1, 4 DOOR SEDAN
13892438, 2, 4 DOOR SEDAN
13892445, 1, PICK-UP TRUCK
13892445, 2, BUS (OMNIBUS)
13892446, 1, SUBURBAN
13922212, 1, 4 DOOR SEDAN
13912814, 1, VAN TRUCK
13885424, 1, 4 DOOR SEDAN
13878518, 1, SUBURBAN
13878518, 2, 4 DOOR SEDAN
13909488, 1, SUBURBAN
13909505, 1, 2 DOOR SEDAN
13919055, 1, SUBURBAN
13919055, 2, SUBURBAN
13902344, 1, PICK-UP TRUCK
13916129, 1, PICK-UP TRUCK
13916129, 2, 4 DOOR SEDAN
13899066, 1, 4 DOOR SEDAN
13909533, 1, 4 DOOR SEDAN
13909533, 2, SUBURBAN
13909533, 3, SUBURBAN
13892495, 1, PICK-UP TRUCK
13892495, 2, 4 DOOR SEDAN
13892495, 3, PICK-UP TRUCK
13919111, 1, SUBURBAN
13919111, 2, SUBURBAN
13909583, 1, 4 DOOR SEDAN
13889177, 1, 4 DOOR SEDAN
13879825, 1, SUBURBAN
13919123, 1, 4 DOOR SEDAN
13879835, 1, 4 DOOR SEDAN
13899125, 1, SUBURBAN
13922289, 1, 2 DOOR SEDAN
13922292, 1, PICK-UP TRUCK
13895239, 1, 4 DOOR SEDAN
13919144, 1, SUBURBAN
13902423, 1, PICK-UP TRUCK
13879879, 1, PICK-UP TRUCK
13879879, 2, SUBURBAN
13916208, 1, 4 DOOR SEDAN
13906253, 1, 4 DOOR SEDAN
13912965, 1, 4 DOOR SEDAN
13899167, 1, TRACTOR
13899167, 2, SUBURBAN
13899167, 3, SUBURBAN
13916216, 1, 4 DOOR SEDAN
13916216, 2, SUBURBAN
13916216, 3, PICK-UP TRUCK
13902427, 1, 4 DOOR SEDAN
13902427, 2, 4 DOOR SEDAN
13922341, 1, 4 DOOR SEDAN
13906270, 1, PICK-UP TRUCK
13906270, 2, 4 DOOR SEDAN
13879906, 1, PICK-UP TRUCK
13879906, 2, SUBURBAN
13899191, 1, SUBURBAN
13899191, 2, SUBURBAN
13912973, 1, 4 DOOR SEDAN
13912973, 2, SUBURBAN
13879918, 1, SUBURBAN
13879918, 2, PICK-UP TRUCK
13879918, 3, SUBURBAN
13895295, 1, SUBURBAN
13922366, 1, 2 DOOR SEDAN
13922366, 2, SUBURBAN
13919206, 1, PICK-UP TRUCK
13919207, 1, 4 DOOR SEDAN
13919207, 2, PICK-UP TRUCK
13919207, 3, PICK-UP TRUCK
13919207, 4, PICK-UP TRUCK
13902465, 1, DUMP TRUCK
13902465, 2, 2 DOOR SEDAN
13919218, 1, SUBURBAN
13885587, 1, 4 DOOR SEDAN
13885587, 2, 4 DOOR SEDAN
13885587, 3, SUBURBAN
13899238, 1, SUBURBAN
13922387, 1, 4 DOOR SEDAN
13922387, 2, 4 DOOR SEDAN
13889265, 1, 4 DOOR SEDAN
13899249, 1, SUBURBAN
13885592, 1, SUBURBAN
13885609, 1, 4 DOOR SEDAN
13885614, 1, PICK-UP TRUCK
13885614, 2, SUBURBAN
13885614, 3, 4 DOOR SEDAN
13902534, 1, SUBURBAN
13902534, 2, 4 DOOR SEDAN
13895361, 1, SUBURBAN
13922430, 1, 4 DOOR SEDAN
13922430, 2, 4 DOOR SEDAN
13895364, 1, SUBURBAN
13895364, 2, SUBURBAN
13895364, 3, 4 DOOR SEDAN
13895364, 4, SUBURBAN
13913068, 1, SUBURBAN
13880212, 1, 4 DOOR SEDAN
13880212, 2, 4 DOOR SEDAN
13889310, 1, 4 DOOR SEDAN
13889310, 2, 4 DOOR SEDAN
13889310, 3, 4 DOOR SEDAN
13895374, 1, SUBURBAN
13895374, 2, SUBURBAN
13902563, 1, SUBURBAN
13916405, 1, SUBURBAN
13916405, 2, 4 DOOR SEDAN
13895379, 1, SUBURBAN
13895379, 2, 4 DOOR SEDAN
13895379, 3, SUBURBAN
13902572, 1, 4 DOOR SEDAN
13919311, 1, SUBURBAN
13899324, 1, 2 DOOR SEDAN
13913089, 1, 4 DOOR SEDAN
13880253, 1, 4 DOOR SEDAN
13880253, 2, SUBURBAN
13880253, 3, 4 DOOR SEDAN
13902599, 1, SUBURBAN
13902599, 2, 4 DOOR SEDAN
13916491, 1, 4 DOOR SEDAN
13889355, 2, PICK-UP TRUCK
13889355, 1, VAN TRUCK
13916498, 1, SUBURBAN
13913110, 1, SUBURBAN
13885710, 1, 4 DOOR SEDAN
13885710, 2, 2 DOOR SEDAN
13902632, 1, PICK-UP TRUCK
13919394, 1, SUBURBAN
13899387, 1, 4 DOOR SEDAN
13909860, 1, SUBURBAN
13909860, 2, 4 DOOR SEDAN
13902655, 1, SUBURBAN
13902655, 2, PICK-UP TRUCK
13885738, 1, 2 DOOR SEDAN
13885738, 2, SUBURBAN
13889381, 2, 4 DOOR SEDAN
13889381, 1, SUBURBAN
13913153, 1, 2 DOOR SEDAN
13913153, 2, 4 DOOR SEDAN
13913153, 3, PICK-UP TRUCK
13880342, 1, 4 DOOR SEDAN
13899413, 1, 4 DOOR SEDAN
13919419, 1, SUBURBAN
13919419, 2, SUBURBAN
13892738, 1, 4 DOOR SEDAN
13906746, 1, 4 DOOR SEDAN
13906746, 2, SUBURBAN
13906746, 3, 4 DOOR SEDAN
13922517, 1, SUBURBAN
13922517, 2, STAKE TRUCK
13885773, 1, 4 DOOR SEDAN
13885773, 2, SUBURBAN
13880391, 1, 2 DOOR SEDAN
13880391, 2, PICK-UP TRUCK
13902706, 1, SUBURBAN
13902706, 2, 2 DOOR SEDAN
13889430, 1, SUBURBAN
13916640, 1, SUBURBAN
13916640, 2, CONVERTIBLE
13880430, 1, PICK-UP TRUCK
13880430, 2, 4 DOOR SEDAN
13880437, 1, 2 DOOR SEDAN
13880437, 2, 4 DOOR SEDAN
13919479, 1, PICK-UP TRUCK
13922569, 1, STAKE TRUCK
13892824, 1, 4 DOOR SEDAN
13922610, 1, SUBURBAN
13919534, 1, 4 DOOR SEDAN
13919534, 2, SUBURBAN
13906898, 1, 4 DOOR SEDAN
13906898, 2, SUBURBAN
13902749, 1, 4 DOOR SEDAN
13922624, 1, PICK-UP TRUCK
13922624, 2, 4 DOOR SEDAN
13899525, 1, SUBURBAN
13885902, 1, 4 DOOR SEDAN
13885922, 1, 4 DOOR SEDAN
13885922, 2, MOTORCYCLE
13919584, 1, 4 DOOR SEDAN
13919584, 2, SUBURBAN
13902790, 1, 4 DOOR SEDAN
13902790, 2, 4 DOOR SEDAN
13922686, 1, 4 DOOR SEDAN
13922687, 1, 4 DOOR SEDAN
13910037, 1, 2 DOOR SEDAN
13910037, 2, PICK-UP TRUCK
13885971, 1, 4 DOOR SEDAN
13902810, 1, FLAT BED TRUCK
13922691, 1, 4 DOOR SEDAN
13896158, 1, FLAT BED TRUCK
13896158, 2, 4 DOOR SEDAN
13925606, 1, SUBURBAN
13892922, 1, 4 DOOR SEDAN
13892922, 2, SUBURBAN
13913425, 1, SUBURBAN
13899621, 1, SUBURBAN
13922719, 1, SUBURBAN
13913447, 1, 2 DOOR SEDAN
13913447, 2, PICK-UP TRUCK
13913453, 1, VAN TRUCK
13896196, 1, DELIVERY TRUCK
13896196, 2, SUBURBAN
13896196, 3, 4 DOOR SEDAN
13899643, 1, SUBURBAN
13899643, 2, SUBURBAN
13910093, 1, 4 DOOR SEDAN
13910093, 2, 4 DOOR SEDAN
13899665, 1, SUBURBAN
13899665, 2, 4 DOOR SEDAN
13902886, 1, 4 DOOR SEDAN
13889596, 1, 4 DOOR SEDAN
13925676, 1, 4 DOOR SEDAN
13925676, 2, SUBURBAN
13902895, 1, 4 DOOR SEDAN
13902895, 2, PICK-UP TRUCK
13902895, 3, 4 DOOR SEDAN
13913477, 1, SUBURBAN
13910136, 1, TRACTOR
13910136, 2, 4 DOOR SEDAN
13910136, 3, TRACTOR
13899688, 1, 2 DOOR SEDAN
13889625, 1, PICK-UP TRUCK
13889625, 2, SUBURBAN
13919686, 1, 4 DOOR SEDAN
13910166, 1, PICK-UP TRUCK
13902943, 1, PICK-UP TRUCK
13902943, 2, TRACTOR
13913503, 1, SUBURBAN
13913503, 2, SUBURBAN
13913504, 1, SUBURBAN
13925735, 1, SUBURBAN
13913518, 1, SUBURBAN
13913518, 2, TRACTOR
13907172, 1, 4 DOOR SEDAN
13910212, 1, 4 DOOR SEDAN
13910212, 2, 4 DOOR SEDAN
13922802, 1, SUBURBAN
13889655, 1, PICK-UP TRUCK
13889655, 2, 4 DOOR SEDAN
13919727, 1, 4 DOOR SEDAN
13916851, 1, 4 DOOR SEDAN
13916851, 2, 4 DOOR SEDAN
13886077, 1, PICK-UP TRUCK
13886090, 1, 4 DOOR SEDAN
13886090, 2, VAN TRUCK
13886106, 1, SUBURBAN
13913573, 1, SUBURBAN
13913573, 2, 4 DOOR SEDAN
13913573, 3, TRACTOR
13925782, 1, 4 DOOR SEDAN
13889688, 1, 4 DOOR SEDAN
13889688, 2, SUBURBAN
13922842, 1, 4 DOOR SEDAN
13922842, 2, SUBURBAN
13922847, 1, 2 DOOR SEDAN
13922847, 2, SUBURBAN
13896333, 1, SUBURBAN
13907221, 1, 2 DOOR SEDAN
13907221, 2, 2 DOOR SEDAN
13903039, 1, 4 DOOR SEDAN
13903039, 2, SUBURBAN
13893111, 1, SUBURBAN
13893111, 2, SUBURBAN
13899775, 1, 4 DOOR SEDAN
13899775, 2, SUBURBAN
13925820, 1, PICK-UP TRUCK
13925820, 2, 4 DOOR SEDAN
13896348, 1, 4 DOOR SEDAN
13896348, 2, POLICE
13886137, 1, 4 DOOR SEDAN
13886137, 2, 4 DOOR SEDAN
13903067, 1, PICK-UP TRUCK
13916914, 1, 4 DOOR SEDAN
13916914, 2, 4 DOOR SEDAN
13922885, 1, PICK-UP TRUCK
13916934, 1, PICK-UP TRUCK
13925840, 1, 4 DOOR SEDAN
13903114, 1, 4 DOOR SEDAN
13903114, 2, 4 DOOR SEDAN
13893162, 1, 2 DOOR SEDAN
13893162, 2, 4 DOOR SEDAN
13893163, 1, 4 DOOR SEDAN
13893163, 2, PICK-UP TRUCK
13893164, 1, TRACTOR
13899827, 1, DUMP TRUCK
13913640, 1, 4 DOOR SEDAN
13925870, 1, MOTORCYCLE
13925880, 1, 4 DOOR SEDAN
13925880, 2, 2 DOOR SEDAN
13922964, 1, 4 DOOR SEDAN
13922964, 2, 2 DOOR SEDAN
13925908, 1, 4 DOOR SEDAN
13886217, 1, 2 DOOR SEDAN
13886217, 2, 4 DOOR SEDAN
13913707, 1, 4 DOOR SEDAN
13913707, 2, 4 DOOR SEDAN
13922993, 1, SUBURBAN
13922993, 2, TANK TRUCK
13917012, 1, SUBURBAN
13886236, 1, SUBURBAN
13910340, 1, UNKNOWN VEHICLE
13923000, 1, PICK-UP TRUCK
13899912, 1, PICK-UP TRUCK
13899915, 1, SUBURBAN
13899915, 2, 4 DOOR SEDAN
13886271, 1, SUBURBAN
13913765, 1, 2 DOOR SEDAN
13913765, 2, SUBURBAN
13913765, 3, 4 DOOR SEDAN
13886295, 1, 4 DOOR SEDAN
13893581, 1, 4 DOOR SEDAN
13903289, 1, 4 DOOR SEDAN
13903289, 2, 4 DOOR SEDAN
13903289, 3, PICK-UP TRUCK
13910397, 1, 2 DOOR SEDAN
13910397, 2, POLICE
13910397, 3, POLICE
13896546, 1, UTILITY TRUCK
13896546, 2, PICK-UP TRUCK
13886312, 1, SUBURBAN
13896547, 1, 4 DOOR SEDAN
13896547, 2, 2 DOOR SEDAN
13903304, 1, SUBURBAN
13907433, 1, 4 DOOR SEDAN
13907433, 2, SUBURBAN
13923102, 1, CONVERTIBLE
13923102, 2, 4 DOOR SEDAN
13903329, 1, SUBURBAN
13903329, 2, 4 DOOR SEDAN
13913832, 1, SUBURBAN
13900145, 1, 4 DOOR SEDAN
13900145, 2, TRACTOR
13917155, 1, SUBURBAN
13917155, 2, 4 DOOR SEDAN
13917155, 3, 4 DOOR SEDAN
13889956, 1, 4 DOOR SEDAN
13913875, 1, 4 DOOR SEDAN
13913875, 2, 2 DOOR SEDAN
13913875, 3, SUBURBAN
13913881, 1, 4 DOOR SEDAN
13920342, 1, 4 DOOR SEDAN
13896602, 1, 4 DOOR SEDAN
13896602, 2, 4 DOOR SEDAN
13896602, 3, SUBURBAN
13896602, 4, SUBURBAN
13900537, 1, 4 DOOR SEDAN
13900537, 2, SUBURBAN
13903377, 1, 2 DOOR SEDAN
13903377, 2, 4 DOOR SEDAN
13900548, 1, SUBURBAN
13917199, 1, 4 DOOR SEDAN
13913924, 1, 4 DOOR SEDAN
13926059, 1, 2 DOOR SEDAN
13926059, 2, 2 DOOR SEDAN
13903425, 1, 4 DOOR SEDAN
13886471, 1, 4 DOOR SEDAN
13910561, 1, 4 DOOR SEDAN
13910561, 2, PICK-UP TRUCK
13890020, 1, CONVERTIBLE
13890020, 2, 4 DOOR SEDAN
13890031, 1, MOTORCYCLE
13890031, 2, 4 DOOR SEDAN
13900632, 1, BUS (OMNIBUS)
13900632, 2, VAN TRUCK
13903465, 1, TRACTOR
13903465, 2, TRACTOR
13897352, 1, UNKNOWN VEHICLE
13914001, 1, SUBURBAN
13914001, 2, 4 DOOR SEDAN
13900650, 1, 4 DOOR SEDAN
13900650, 2, SUBURBAN
13893807, 1, PICK-UP TRUCK
13893811, 1, 4 DOOR SEDAN
13907831, 1, SUBURBAN
13886551, 1, SUBURBAN
13886551, 2, SUBURBAN
13886551, 3, PICK-UP TRUCK
13914019, 1, SUBURBAN
13893815, 1, PICK-UP TRUCK
13897416, 1, TRACTOR
13897416, 2, 4 DOOR SEDAN
13920453, 1, 4 DOOR SEDAN
13920453, 2, 4 DOOR SEDAN
13923296, 1, SUBURBAN
13917339, 1, 4 DOOR SEDAN
13917339, 2, 4 DOOR SEDAN
13907884, 1, VAN TRUCK
13907884, 2, SUBURBAN
13920477, 1, 4 DOOR SEDAN
13920477, 2, PICK-UP TRUCK
13886586, 1, 4 DOOR SEDAN
13886586, 2, 4 DOOR SEDAN
13886587, 1, SUBURBAN
13926352, 1, 4 DOOR SEDAN
13926352, 2, 4 DOOR SEDAN
13926352, 3, 2 DOOR SEDAN
13907909, 1, SUBURBAN
13907909, 2, SUBURBAN
13917379, 1, 4 DOOR SEDAN
13900941, 1, SUBURBAN
13903576, 1, PICK-UP TRUCK
13914201, 1, UNKNOWN VEHICLE
13926371, 1, 4 DOOR SEDAN
13926371, 2, SUBURBAN
13903593, 1, SUBURBAN
13900964, 1, 4 DOOR SEDAN
13900964, 2, 4 DOOR SEDAN
13920531, 1, 4 DOOR SEDAN
13920531, 2, 4 DOOR SEDAN
13917405, 1, PICK-UP TRUCK
13910684, 1, 2 DOOR SEDAN
13910684, 2, SUBURBAN
13910684, 3, PICK-UP TRUCK
13910685, 1, SUBURBAN
13910685, 2, PICK-UP TRUCK
13910686, 1, 4 DOOR SEDAN
13910686, 2, UTILITY TRUCK
13907939, 1, 4 DOOR SEDAN
13907939, 2, 4 DOOR SEDAN
13890147, 1, 4 DOOR SEDAN
13890152, 1, 4 DOOR SEDAN
13890152, 2, SUBURBAN
13890152, 3, SUBURBAN
13890152, 4, SUBURBAN
13910687, 1, 4 DOOR SEDAN
13910688, 1, 4 DOOR SEDAN
13910692, 1, 4 DOOR SEDAN
13926393, 1, SUBURBAN
13907943, 1, SUBURBAN
13907943, 2, 4 DOOR SEDAN
13920553, 1, SEDAN
13900979, 1, 4 DOOR SEDAN
13910775, 1, 4 DOOR SEDAN
13910775, 2, 4 DOOR SEDAN
13910775, 3, 4 DOOR SEDAN
13910775, 4, 4 DOOR SEDAN
13893892, 1, SUBURBAN
13917430, 1, 4 DOOR SEDAN
13886644, 1, 2 DOOR SEDAN
13910791, 1, PICK-UP TRUCK
13910791, 2, 4 DOOR SEDAN
13914414, 1, 4 DOOR SEDAN
13914414, 2, CONVERTIBLE
13886655, 1, 4 DOOR SEDAN
13917446, 1, SUBURBAN
13917446, 2, 4 DOOR SEDAN
13917451, 1, 4 DOOR SEDAN
13914430, 1, PICK-UP TRUCK
13914439, 1, PICK-UP TRUCK
13914439, 2, SUBURBAN
13897545, 1, PICK-UP TRUCK
13910854, 1, PICK-UP TRUCK
13923400, 1, 2 DOOR SEDAN
13903684, 1, 4 DOOR SEDAN
13926486, 1, SUBURBAN
13897563, 1, 2 DOOR SEDAN
13897564, 1, 4 DOOR SEDAN
13897565, 1, PICK-UP TRUCK
