state_accident_id,dt,latitude,longitude,city,county,street_1,street_2,crash_type,death_count,severe_injury_count
18519514,2022-01-01T14:28:00,42.09778602617342,-79.31018302111882,Lakewood,Chautauqua,E FAIRMOUNT AVE,WOODCREST AVE,COLLISION WITH CURBING,0,1
18520309,2022-01-01T06:00:00,40.736387618707994,-73.9088412075055,Queens,Queens,58TH STREET,58TH STREET,COLLISION WITH MOTOR VEHICLE,0,2
18520317,2022-01-02T01:22:00,40.88220986452997,-73.8804498895017,Manhattan,Bronx,DEKALB AVENUE,nan,COLLISION WITH PEDESTRIAN,1,0
18520322,2022-01-01T00:32:00,40.59572913992943,-73.76465244038319,Queens,Queens,SEAGIRT BLVD,Edgemere Ave,COLLISION WITH PEDESTRIAN,0,1
18520331,2022-01-01T10:42:00,40.82457502109266,-73.87250304865186,Bronx,Bronx,BRONX RIVER PKWY,nan,OVERTURNED,0,1
18520475,2022-01-01T05:18:00,40.614838977052216,-73.82171447754418,Queens,Queens,CROSS BAY BLVD,Connecting Road,COLLISION WITH TREE,0,1
18520524,2022-01-02T00:32:00,40.82096708510213,-73.89162284132934,Bronx,Bronx,E 163RD ST,Southern Blvd,COLLISION WITH MOTOR VEHICLE,0,1
18520537,2022-01-01T20:55:00,40.86402295649613,-73.86450597315705,Bronx,Bronx,BOSTON RD,WALLACE AVE,COLLISION WITH PEDESTRIAN,0,1
18520540,2022-01-01T05:16:00,40.756578082206744,-73.92975751090857,Queens,Queens,36TH AVE,31st St,COLLISION WITH MOTOR VEHICLE,0,1
18520618,2022-01-01T06:45:00,40.75649497664058,-73.97236745460373,Manhattan,New York,LEXINGTON AVE,E 50th St,COLLISION WITH PEDESTRIAN,0,1
18520645,2022-01-04T00:42:00,40.7208340191582,-73.93812401171867,Brooklyn,Kings,MORGAN AVE,DIVISION PL,COLLISION WITH MOTOR VEHICLE,1,1
18520657,2022-01-02T04:36:00,40.76127005745756,-73.95570714716227,Manhattan,New York,FDR DR,nan,COLLISION WITH MOTOR VEHICLE,0,1
18520681,2022-01-02T22:20:00,40.835815974323,-73.82880901984603,Bronx,Bronx,EDISON AVE,BAISLEY AVE,COLLISION WITH MOTOR VEHICLE,0,1
18520696,2022-01-01T17:07:00,40.76781672596931,-73.9895087313947,Manhattan,New York,W 55TH ST,10th Ave,COLLISION WITH OTHER PEDESTRIAN,0,1
18520725,2022-01-03T04:47:00,40.85783303381102,-73.8676000256341,Bronx,Bronx,PELHAM PKWY N,WHITE PLAINS RD,COLLISION WITH MOTOR VEHICLE,0,1
18520767,2022-01-03T17:25:00,40.73697203262472,-73.74128103483852,Queens,Queens,STATE PKWY 907M,nan,COLLISION WITH GUIDE RAIL,0,1
18520820,2022-01-02T10:15:00,40.74324221620741,-73.71937629240131,Queens,Queens,UNION TPKE,251st St,COLL. W/LIGHT SUPPORT/UTILITY POLE,1,0
18521114,2022-01-02T09:18:00,41.39297594660873,-74.45866688021094,Wawayanda,Orange,RIDGEBURY HILL RD,Wilcox Rd,COLLISION WITH TREE,0,1
18521713,2022-01-04T19:21:00,40.58039047101653,-73.96765542748705,Brooklyn,Kings,OCEAN PKWY,Neptune Ave,COLLISION WITH PEDESTRIAN,1,0
18521958,2022-01-03T13:39:00,42.88024208057461,-78.69987948565256,Cheektowaga,Erie,LOSSON RD,Parking Lot,COLLISION WITH MOTOR VEHICLE,0,1
18522112,2022-01-03T07:58:00,40.81905423588728,-73.57740327251267,Upper Brookville,Nassau,[Route] 107,Equestrian Ct,COLLISION WITH MOTOR VEHICLE,0,1
18522322,2022-01-02T13:01:00,41.60908198846006,-73.9689960591439,Marlborough,Ulster,ROUTE 9W,YOUNG AVE,COLLISION WITH MOTOR VEHICLE,0,1
18522332,2022-01-01T09:57:00,42.95019086170404,-73.39321029441318,Hoosick,Rensselaer,DAUN LN,State Route 67,COLL. W/EARTH ELE./ROCK CUT/DITCH,0,1
18522484,2022-01-01T14:40:00,41.002506038385576,-72.29598795155005,Sag Harbor,Suffolk,MAIN ST,FERRY RD,COLLISION WITH OTHER BARRIER,0,1
18522559,2022-01-03T13:56:00,40.92302133142081,-73.75305657866383,Larchmont,Westchester,BEACH AVE,Willow Ave,COLLISION WITH MOTOR VEHICLE,0,2
18522983,2022-01-03T18:25:00,40.586536177940914,-73.94643403536966,Brooklyn,Kings,VOORHIES AVE,Dooley St,COLLISION WITH PEDESTRIAN,0,1
18523127,2022-01-04T13:55:00,40.664791299805394,-73.91532033805534,Brooklyn,Kings,BLAKE AVE,Strauss St,COLLISION WITH MOTOR VEHICLE,0,2
18523181,2022-01-01T05:50:00,40.827140817366605,-73.95005111978928,Manhattan,New York,BROADWAY,W 146th St,COLLISION WITH MOTOR VEHICLE,0,1
18523370,2022-01-03T19:13:00,42.7513280032787,-78.85151100641748,Hamburg,Erie,SOWLES RD,[Route] 20,COLLISION WITH MOTOR VEHICLE,0,1
18523551,2022-01-03T22:50:00,43.861121091136965,-75.52479753650924,Lowville,Lewis,EAST RD,SHACK RD,COLLISION WITH TREE,0,1
18523596,2022-01-03T19:55:00,40.736489158452414,-73.59003532870047,Hempstead,Nassau,STEWART AVENUE,nan,COLLISION WITH PEDESTRIAN,1,0
18523661,2022-01-02T08:45:00,41.29874790486871,-74.18525605510477,Monroe,Orange,MANSION RIDGE BLVD,Orange Tpke,COLLISION WITH TREE,0,1
18524030,2022-01-03T18:11:00,43.23930371800162,-76.63333800194374,Victory,Cayuga,POPLE RD,Pierce Rd,COLLISION WITH SNOW EMBANKMENT,0,1
18524033,2022-01-02T17:54:00,41.11340200167514,-74.04838600837918,Spring Valley,Rockland,W CHURCH ST,JOHNSON ST,COLLISION WITH PEDESTRIAN,0,1
18524086,2022-01-03T21:35:00,42.800259897628514,-73.95203625605313,Schenectady,Schenectady,3RD AVE,SPRING ST,COLLISION WITH MOTOR VEHICLE,0,1
18524094,2022-01-02T15:16:00,41.55221682225339,-74.18365399568056,Walden,Orange,COLDENHAM RD,Driveway,COLLISION WITH TREE,0,1
18524133,2022-01-02T11:02:00,41.66528972874558,-73.97405291136415,Marlborough,Ulster,MILTON TPKE,Mills Pl,COLL. W/EARTH ELE./ROCK CUT/DITCH,0,1
18524335,2022-01-01T01:28:00,40.858709989071805,-73.90362702980093,Bronx,Bronx,JEROME AVE,E 183RD ST,COLLISION WITH MOTOR VEHICLE,0,1
18524357,2022-01-04T20:30:00,40.68255085325244,-73.79264750261187,Queens,Queens,116TH AVE,Sutphin Blvd,COLLISION WITH BICYCLIST,0,1
18524535,2022-01-04T15:16:00,40.65455299692692,-73.63437501473923,Rockville Centre,Nassau,MERRICK RD,S LONG BEACH RD,COLLISION WITH PEDESTRIAN,0,1
18524547,2022-01-06T01:41:00,43.085569350821544,-76.72950071937731,Savannah,Wayne,CARNCROSS RD,Number 39 Rd,COLL. W/EARTH ELE./ROCK CUT/DITCH,0,1
18524601,2022-01-07T16:50:00,42.731858625959916,-78.83552713205918,Hamburg,Erie,CAMP RD,Unnamed Street,COLLISION WITH MOTOR VEHICLE,0,1
