state_accident_id, vehicle_number, body_type
15164603, 1, 2 DOOR SEDAN
15164739, 1, 4 DOOR SEDAN
15164739, 2, SUBURBAN
15164901, 1, 4 DOOR SEDAN
15164901, 2, 4 DOOR SEDAN
15164901, 3, 4 DOOR SEDAN
15165194, 1, SUBURBAN
15165345, 1, 4 DOOR SEDAN
15165522, 1, 4 DOOR SEDAN
15165522, 2, 4 DOOR SEDAN
15165533, 1, 4 DOOR SEDAN
15165551, 1, 4 DOOR SEDAN
15165551, 2, PICK-UP TRUCK
15165637, 1, 4 DOOR SEDAN
15165703, 1, 4 DOOR SEDAN
15165703, 2, SUBURBAN
15165753, 1, 4 DOOR SEDAN
15165753, 2, PICK-UP TRUCK
15165829, 1, 4 DOOR SEDAN
15165848, 1, 4 DOOR SEDAN
15165860, 1, 4 DOOR SEDAN
15165879, 1, 2 DOOR SEDAN
15165879, 2, PICK-UP TRUCK
15166006, 1, 4 DOOR SEDAN
15166006, 2, 4 DOOR SEDAN
15166006, 3, SUBURBAN
15166156, 1, SUBURBAN
15166156, 2, 4 DOOR SEDAN
15166160, 1, 4 DOOR SEDAN
15166199, 1, 4 DOOR SEDAN
15166199, 2, PICK-UP TRUCK
15166215, 1, SUBURBAN
15166215, 2, 4 DOOR SEDAN
15166256, 1, SUBURBAN
15166281, 2, 4 DOOR SEDAN
15166281, 1, 4 DOOR SEDAN
15166446, 1, SUBURBAN
15166452, 1, 4 DOOR SEDAN
15166553, 1, VAN TRUCK
15166594, 1, 4 DOOR SEDAN
15166652, 1, 4 DOOR SEDAN
15166698, 1, PICK-UP TRUCK
15166740, 1, SUBURBAN
15166740, 2, SUBURBAN
15167249, 1, SUBURBAN
15167249, 2, SUBURBAN
15167712, 1, 4 DOOR SEDAN
15167813, 1, 4 DOOR SEDAN
15167843, 2, 4 DOOR SEDAN
15167843, 1, SUBURBAN
15167866, 1, SUBURBAN
15168077, 1, 4 DOOR SEDAN
15168077, 2, SUBURBAN
15168153, 1, SUBURBAN
15168157, 1, PICK-UP TRUCK
15168157, 2, DUMP TRUCK
15168266, 1, 2 DOOR SEDAN
15168266, 2, SUBURBAN
15168273, 1, SUBURBAN
15168273, 2, 4 DOOR SEDAN
15168276, 1, SUBURBAN
15168319, 1, 4 DOOR SEDAN
15170049, 1, SUBURBAN
15170049, 2, 4 DOOR SEDAN
15170065, 1, 4 DOOR SEDAN
15170065, 2, TRACTION ENGINE
15170086, 1, 4 DOOR SEDAN
15170086, 2, 4 DOOR SEDAN
15170105, 1, 4 DOOR SEDAN
15170161, 1, PICK-UP TRUCK
15170163, 1, 4 DOOR SEDAN
15170163, 2, 4 DOOR SEDAN
15170163, 3, 4 DOOR SEDAN
15170370, 1, 4 DOOR SEDAN
15170373, 1, SUBURBAN
15170833, 1, 4 DOOR SEDAN
15170833, 2, 4 DOOR SEDAN
15171527, 1, 4 DOOR SEDAN
15171928, 2, PICK-UP TRUCK
15171928, 1, 4 DOOR SEDAN
15172341, 1, FLAT BED TRUCK
15172341, 2, 4 DOOR SEDAN
15172352, 1, 4 DOOR SEDAN
15172360, 1, 4 DOOR SEDAN
15172452, 1, 4 DOOR SEDAN
15172471, 1, 4 DOOR SEDAN
15172471, 2, VAN TRUCK
15172569, 1, SUBURBAN
15172570, 1, 4 DOOR SEDAN
15172570, 2, SUBURBAN
15172638, 1, PICK-UP TRUCK
15172638, 2, 4 DOOR SEDAN
15172736, 1, PICK-UP TRUCK
15172886, 1, SUBURBAN
15172926, 1, PICK-UP TRUCK
15172926, 2, SUBURBAN
15173039, 1, SUBURBAN
15173056, 2, 4 DOOR SEDAN
15173076, 1, SUBURBAN
15173101, 1, 4 DOOR SEDAN
15173124, 1, SUBURBAN
15173238, 1, 4 DOOR SEDAN
15173479, 1, SUBURBAN
15173479, 2, SUBURBAN
15173500, 1, 4 DOOR SEDAN
15173500, 2, SUBURBAN
15173505, 1, SUBURBAN
15173505, 2, SUBURBAN
15173639, 1, SUBURBAN
15173673, 2, 4 DOOR SEDAN
15173673, 1, 4 DOOR SEDAN
15173763, 2, 4 DOOR SEDAN
15173763, 1, 4 DOOR SEDAN
15173822, 1, 4 DOOR SEDAN
15173822, 2, 4 DOOR SEDAN
15173936, 1, 4 DOOR SEDAN
15173973, 1, 4 DOOR SEDAN
15174055, 1, 4 DOOR SEDAN
15174055, 2, SUBURBAN
15174209, 1, SUBURBAN
15174209, 2, 4 DOOR SEDAN
15174245, 1, SUBURBAN
15174245, 2, 4 DOOR SEDAN
15174249, 1, 4 DOOR SEDAN
15174321, 1, 4 DOOR SEDAN
15174440, 1, TRACTOR
15174440, 2, SUBURBAN
15174746, 1, 4 DOOR SEDAN
15174746, 2, 4 DOOR SEDAN
15174755, 1, 4 DOOR SEDAN
15174830, 1, BUS (OMNIBUS)
15174845, 1, 4 DOOR SEDAN
15174845, 2, SUBURBAN
15174943, 1, PICK-UP TRUCK
15174955, 1, 2 DOOR SEDAN
15174976, 1, 4 DOOR SEDAN
15175034, 1, SUBURBAN
15175131, 1, SUBURBAN
15175131, 2, DUMP TRUCK
15175202, 1, SUBURBAN
15175203, 1, SUBURBAN
15175203, 2, SUBURBAN
15175630, 1, SUBURBAN
15176236, 1, PICK-UP TRUCK
15176236, 2, PICK-UP TRUCK
15176271, 1, 4 DOOR SEDAN
15176271, 2, 2 DOOR SEDAN
15176541, 1, 2 DOOR SEDAN
15176541, 2, TRACTOR
15177053, 1, SUBURBAN
15177053, 2, SUBURBAN
15177064, 1, SUBURBAN
15177064, 2, 4 DOOR SEDAN
15177100, 1, SUBURBAN
15177322, 1, MOTORCYCLE
15177329, 2, 4 DOOR SEDAN
15177329, 1, SUBURBAN
15177498, 1, 4 DOOR SEDAN
15177498, 2, SUBURBAN
15177498, 3, CONVERTIBLE
15177498, 4, 4 DOOR SEDAN
15177618, 1, PICK-UP TRUCK
15178674, 1, PICK-UP TRUCK
15178707, 1, SUBURBAN
15178708, 1, 4 DOOR SEDAN
15178790, 1, SUBURBAN
15178807, 1, SUBURBAN
15178874, 2, SUBURBAN
15178874, 1, 4 DOOR SEDAN
15178897, 2, 4 DOOR SEDAN
15178897, 1, 4 DOOR SEDAN
15178907, 1, 4 DOOR SEDAN
15178983, 1, 4 DOOR SEDAN
15178988, 1, 4 DOOR SEDAN
15179043, 1, SUBURBAN
15179161, 1, 4 DOOR SEDAN
15179161, 2, 4 DOOR SEDAN
15179161, 3, 4 DOOR SEDAN
15179161, 4, 4 DOOR SEDAN
15179161, 5, 4 DOOR SEDAN
15179161, 6, 4 DOOR SEDAN
15179194, 1, 4 DOOR SEDAN
15179194, 2, SUBURBAN
15179197, 1, PICK-UP TRUCK
15179274, 1, PICK-UP TRUCK
15179279, 1, 4 DOOR SEDAN
15179281, 1, 2 DOOR SEDAN
15179295, 1, PICK-UP TRUCK
15179318, 1, PICK-UP TRUCK
15179323, 1, SUBURBAN
15179332, 1, 4 DOOR SEDAN
15179386, 1, SUBURBAN
15179386, 2, DUMP TRUCK
15179484, 1, SUBURBAN
15179615, 3, SUBURBAN
15179615, 2, VAN TRUCK
15179615, 1, 4 DOOR SEDAN
15180613, 1, SUBURBAN
15180618, 1, 2 DOOR SEDAN
15180676, 15, SUBURBAN
15180676, 14, 4 DOOR SEDAN
15180676, 13, PICK-UP TRUCK
15180676, 12, SUBURBAN
15180676, 11, 4 DOOR SEDAN
15180676, 10, 4 DOOR SEDAN
15180676, 9, SUBURBAN
15180676, 8, SUBURBAN
15180676, 7, 2 DOOR SEDAN
15180676, 6, SUBURBAN
15180676, 5, 4 DOOR SEDAN
15180676, 4, 4 DOOR SEDAN
15180676, 3, 4 DOOR SEDAN
15180676, 2, SUBURBAN
15180676, 1, SUBURBAN
15180732, 1, 4 DOOR SEDAN
15180975, 1, 4 DOOR SEDAN
15181136, 1, PICK-UP TRUCK
15181136, 2, PICK-UP TRUCK
15181137, 1, SUBURBAN
15181137, 2, 4 DOOR SEDAN
15181225, 1, 4 DOOR SEDAN
15181315, 1, SUBURBAN
15181315, 2, SUBURBAN
15181324, 1, 4 DOOR SEDAN
15181324, 2, CONVERTIBLE
15181339, 1, 4 DOOR SEDAN
15181339, 2, SUBURBAN
15181366, 1, 4 DOOR SEDAN
15181368, 1, 4 DOOR SEDAN
15181369, 1, 4 DOOR SEDAN
15181369, 2, 4 DOOR SEDAN
15181369, 3, 4 DOOR SEDAN
15181994, 1, 4 DOOR SEDAN
15181994, 2, TRACTOR
15182017, 1, 4 DOOR SEDAN
15182117, 1, 4 DOOR SEDAN
15182187, 1, 4 DOOR SEDAN
15182198, 1, 4 DOOR SEDAN
15182198, 2, SUBURBAN
15182198, 3, 4 DOOR SEDAN
15182343, 2, 2 DOOR SEDAN
15182343, 1, TRACTOR
15182369, 1, 2 DOOR SEDAN
15182643, 1, CONVERTIBLE
15182647, 1, 2 DOOR SEDAN
15182647, 2, 2 DOOR SEDAN
15182750, 1, SUBURBAN
15182936, 1, SUBURBAN
15183015, 2, SUBURBAN
15183015, 1, 4 DOOR SEDAN
15183092, 1, SUBURBAN
15183092, 2, 4 DOOR SEDAN
15183113, 1, 4 DOOR SEDAN
15183113, 2, SUBURBAN
15183160, 1, SUBURBAN
15183196, 1, 4 DOOR SEDAN
15183332, 1, SUBURBAN
15183348, 1, SUBURBAN
15183348, 2, PICK-UP TRUCK
15183353, 1, SUBURBAN
15183491, 1, 2 DOOR SEDAN
15183491, 2, 4 DOOR SEDAN
15183501, 1, 4 DOOR SEDAN
15183502, 1, 4 DOOR SEDAN
15183503, 1, 4 DOOR SEDAN
15183515, 1, SUBURBAN
15183515, 3, UNKNOWN VEHICLE
15183517, 1, 2 DOOR SEDAN
15183518, 1, 2 DOOR SEDAN
15183518, 2, 4 DOOR SEDAN
15184023, 1, 4 DOOR SEDAN
15184023, 2, SUBURBAN
15184076, 1, 4 DOOR SEDAN
15184076, 2, 4 DOOR SEDAN
15184111, 1, 4 DOOR SEDAN
15184111, 2, SUBURBAN
15184184, 1, SUBURBAN
15184190, 1, 4 DOOR SEDAN
15184219, 1, 4 DOOR SEDAN
15184231, 1, 4 DOOR SEDAN
15184231, 2, SUBURBAN
15184231, 3, 4 DOOR SEDAN
15184231, 4, VAN TRUCK
15184231, 5, SUBURBAN
15184262, 1, 4 DOOR SEDAN
15184262, 2, 4 DOOR SEDAN
15184263, 1, 4 DOOR SEDAN
15184265, 1, 4 DOOR SEDAN
15184265, 2, SUBURBAN
15184265, 3, 4 DOOR SEDAN
15184528, 1, 4 DOOR SEDAN
15184529, 1, 4 DOOR SEDAN
15184529, 2, 4 DOOR SEDAN
15184646, 2, 4 DOOR SEDAN
15184646, 1, PICK-UP TRUCK
15184662, 1, 4 DOOR SEDAN
15184663, 2, 4 DOOR SEDAN
15184663, 1, SUBURBAN
15184664, 2, SUBURBAN
15184664, 1, SUBURBAN
15184673, 2, 4 DOOR SEDAN
15184673, 1, SUBURBAN
15184720, 2, 4 DOOR SEDAN
15184797, 1, 4 DOOR SEDAN
15184797, 2, TRACTOR
15184823, 1, 4 DOOR SEDAN
15184823, 2, SUBURBAN
15184870, 1, 4 DOOR SEDAN
