state_accident_id, vehicle_number, body_type
19088967, 2, 4 DOOR SEDAN
19088967, 1, MOPED
19096513, 2, MOTORCYCLE
19096513, 1, SUBURBAN
19174125, 1, UNKNOWN VEHICLE
19172838, 1, SUBURBAN
19090907, 1, TRACTOR
19090907, 2, TRACTOR
19090909, 1, SUBURBAN
19090909, 2, BUS (OMNIBUS)
19090091, 1, SUBURBAN
19091076, 1, 4 DOOR SEDAN
19102001, 3, 2 DOOR SEDAN
19102001, 2, SUBURBAN
19102001, 1, 4 DOOR SEDAN
19102001, 4, SUBURBAN
19138597, 2, 4 DOOR SEDAN
19138597, 1, SUBURBAN
19091242, 1, SUBURBAN
19139263, 1, SUBURBAN
19139263, 2, 4 DOOR SEDAN
19091465, 1, SUBURBAN
19091465, 2, 2 DOOR SEDAN
19139396, 1, UNKNOWN VEHICLE
19102751, 1, SEDAN
19094342, 1, SUBURBAN
19092260, 1, SUBURBAN
19139881, 2, SUBURBAN
19139881, 1, SUBURBAN
19092532, 1, SUBURBAN
19092532, 2, SUBURBAN
19188354, 1, 4 DOOR SEDAN
19188354, 2, SUBURBAN
19092654, 1, SUBURBAN
19092654, 2, 4 DOOR SEDAN
19092662, 1, 4 DOOR SEDAN
19092662, 2, SUBURBAN
19092714, 1, 4 DOOR SEDAN
19092859, 1, PICK-UP TRUCK
19092859, 2, SUBURBAN
19140034, 2, 2 DOOR SEDAN
19140035, 2, SUBURBAN
19140035, 1, SUBURBAN
19094431, 2, SUBURBAN
19094431, 1, SUBURBAN
19092992, 1, 4 DOOR SEDAN
19093010, 2, SUBURBAN
19093010, 1, SUBURBAN
19093048, 1, SUBURBAN
19117929, 2, SUBURBAN
19117929, 1, SUBURBAN
19093248, 1, 4 DOOR SEDAN
19093627, 1, SUBURBAN
19093724, 2, SUBURBAN
19093724, 1, SUBURBAN
19093298, 2, PICK-UP TRUCK
19093298, 1, SUBURBAN
19093409, 1, SUBURBAN
19102848, 2, 4 DOOR SEDAN
19102848, 1, 4 DOOR SEDAN
19093579, 1, SUBURBAN
19093583, 1, SUBURBAN
19093583, 2, SUBURBAN
19094471, 1, SUBURBAN
19094476, 1, 4 DOOR SEDAN
19094476, 2, MOTORCYCLE
19094477, 1, 4 DOOR SEDAN
19094477, 3, SUBURBAN
19094477, 2, 4 DOOR SEDAN
19094478, 1, CEMENT MIXER
19094481, 1, 4 DOOR SEDAN
19094641, 1, 4 DOOR SEDAN
19113445, 2, 4 DOOR SEDAN
19113445, 1, PICK-UP TRUCK
19113496, 1, SUBURBAN
19140195, 1, VAN TRUCK
19095680, 1, 4 DOOR SEDAN
19095680, 2, SUBURBAN
19140218, 1, SUBURBAN
19095760, 2, 4 DOOR SEDAN
19095760, 1, 2 DOOR SEDAN
19095771, 1, 4 DOOR SEDAN
19181071, 1, SUBURBAN
19181074, 1, UNKNOWN VEHICLE
19181076, 2, MOTORCYCLE
19181076, 1, 4 DOOR SEDAN
19181089, 1, SUBURBAN
19181106, 1, SUBURBAN
19178614, 1, SUBURBAN
19178614, 3, 4 DOOR SEDAN
