state_accident_id, dt, latitude, longitude, city, county, street_1, street_2, crash_type, death_count, severe_injury_count
15164603, 2015-01-01T03:05:00, 40.59933626066854, -73.48295064992561, Hempstead, Nassau, OCEAN PKWY, Connecting Road, OVERTURNED, 0, 1
15164739, 2015-01-01T00:56:00, 40.954513268394024, -72.78707809109216, Riverhead, Suffolk, SOUND AVE, FRESH POND AVE, COLLISION WITH MOTOR VEHICLE, 0, 2
15164901, 2015-01-01T20:55:00, 40.73840698488531, -73.48134000904346, Oyster Bay, Nassau, CENTRAL AVE, STEWART AVE, COLLISION WITH MOTOR VEHICLE, 0, 3
15165194, 2015-01-02T17:50:00, 42.439521910873054, -74.93708931128839, Davenport, Delaware, STATE HIGHWAY 23, Pumpkin Hollow Rd, OTHER NON-COLLISION, 0, 2
15165345, 2015-01-02T19:00:00, 40.74760566772037, -73.54173291078884, Oyster Bay, Nassau, BRITTLE LN, LEVITTOWN PKWY, COLLISION WITH BICYCLIST, 0, 1
15165522, 2015-01-01T14:23:00, 43.0408758125808, -77.68070938580752, Henrietta, Monroe, ERIE STATION RD, Thruway Park Dr, COLLISION WITH MOTOR VEHICLE, 0, 1
15165533, 2015-01-03T03:42:00, 42.780002158820125, -73.92518146949567, Rotterdam, Schenectady, RAMP, I 890, COLLISION WITH SIGN POST, 0, 1
15165551, 2015-01-03T15:53:00, 42.71852620633031, -73.68226810771083, Troy, Rensselaer, LINDEN AVE, SPRING AVE, COLLISION WITH MOTOR VEHICLE, 0, 1
15165637, 2015-01-01T03:14:00, 42.731695292818614, -74.05958839264721, Guilderland, Albany, SETTLES HILL RD, VAN AUKEN LN, COLLISION WITH TREE, 0, 3
15165703, 2015-01-02T17:51:00, 41.09330078558383, -74.10430748461829, Airmont, Rockland, SMITH HILL RD, SHUART RD, COLLISION WITH MOTOR VEHICLE, 0, 1
15165753, 2015-01-02T13:37:00, 42.82084601067505, -77.83374301996268, York, Livingston, CHANDLER RD, Genesee St, COLLISION WITH MOTOR VEHICLE, 0, 1
15165829, 2015-01-03T14:37:00, 44.79470143328977, -74.84362187059578, Stockholm, St Lawrence, COUNTY ROUTE 49, Catamount Ridge Rd, COLLISION WITH TREE, 0, 1
15165848, 2015-01-02T18:11:00, 42.674625001564436, -76.76925486545207, Ovid, Seneca, STATE ROUTE 96, Moorehouse Rd, COLLISION WITH DEER, 0, 1
15165860, 2015-01-03T16:15:00, 41.3375502537268, -74.17607709894699, Monroe, Orange, STATE HWY 17, nan, COLLISION WITH GUIDE RAIL, 0, 1
15165879, 2015-01-02T16:15:00, 41.42081886823332, -73.57665363055493, Southeast, Putnam, ROUTE 22, Clock Tower Commons, COLLISION WITH MOTOR VEHICLE, 0, 1
15166006, 2015-01-02T15:50:00, 40.668417456913424, -73.57542264626586, Hempstead, Nassau, BABYLON TPKE, ELM ST, COLLISION WITH MOTOR VEHICLE, 0, 1
15166156, 2015-01-03T22:55:00, 40.78029121683369, -73.66205277030531, North Hills, Nassau, SEARINGTOWN RD, Long Island Expy, COLLISION WITH MOTOR VEHICLE, 0, 1
15166160, 2015-01-04T10:52:00, 40.78065396387551, -73.64967202525537, North Hempstead, Nassau, WILLIS AVE, PRINCETON ST, COLLISION WITH PEDESTRIAN, 1, 0
15166199, 2015-01-01T14:36:00, 43.24419791683149, -77.95990913546923, Clarkson, Monroe, [Route] 104, SUMMER RIDGE CIR, COLLISION WITH MOTOR VEHICLE, 0, 2
15166215, 2015-01-02T17:00:00, 41.70620601144574, -73.92967297417309, Poughkeepsie, Dutchess, MILL ST, COLUMBUS DR, COLLISION WITH MOTOR VEHICLE, 0, 1
15166256, 2015-01-03T10:04:00, 42.02094231363575, -79.69367643547314, French Creek, Chautauqua, ROUTE 426, nan, COLL. W/EARTH ELE./ROCK CUT/DITCH, 0, 2
15166281, 2015-01-03T16:28:00, 43.0751929583791, -78.11943339084597, Elba, Genesee, [Route] 262, nan, COLLISION WITH MOTOR VEHICLE, 0, 1
15166446, 2015-01-02T07:15:00, 42.37108519969799, -74.98438098899628, Meredith, Delaware, STATE HWY 28, Smith Hill Rd, COLLISION WITH DEER, 0, 1
15166452, 2015-01-03T14:43:00, 42.29406044797561, -75.56304093514011, Coventry, Chenango, STATE HIGHWAY 41, Hodge Rd, COLL. W/EARTH ELE./ROCK CUT/DITCH, 0, 1
15166553, 2015-01-04T04:12:00, 43.1737210351905, -73.6554642618993, Northumberland, Saratoga, ROUTE 50, Putnam Rd, COLLISION WITH GUIDE RAIL, 0, 1
15166594, 2015-01-03T10:24:00, 42.19540662636634, -79.09598623833081, Ellington, Chautauqua, S ROUTE 62, Driveway, COLL. W/EARTH ELE./ROCK CUT/DITCH, 0, 1
