state_accident_id,vehicle_number,body_type
16101499,1,SUBURBAN
16101499,2,SUBURBAN
16101546,1,SUBURBAN
16101546,2,4 DOOR SEDAN
16101637,1,4 DOOR SEDAN
16101637,2,SUBURBAN
16101821,2,4 DOOR SEDAN
16101821,1,SUBURBAN
16102911,1,SUBURBAN
16102911,2,4 DOOR SEDAN
16102911,3,SUBURBAN
16102950,1,SEDAN
16102950,2,SEDAN
16103005,1,SUBURBAN
16103190,1,SEDAN
16103191,1,4 DOOR SEDAN
16103191,2,4 DOOR SEDAN
16103191,3,4 DOOR SEDAN
16103191,4,4 DOOR SEDAN
16103191,5,4 DOOR SEDAN
16103191,6,SUBURBAN
16103191,7,SUBURBAN
16103192,1,4 DOOR SEDAN
16103204,1,4 DOOR SEDAN
16103233,1,SUBURBAN
16103233,2,4 DOOR SEDAN
16103245,1,4 DOOR SEDAN
16103270,1,MOTORCYCLE
16103281,1,4 DOOR SEDAN
16103281,2,SEDAN
16103282,1,TAXI
16103314,1,4 DOOR SEDAN
16103314,2,4 DOOR SEDAN
16103739,1,2 DOOR SEDAN
16103748,1,4 DOOR SEDAN
16103748,2,2 DOOR SEDAN
16103789,1,4 DOOR SEDAN
16103789,2,SEDAN
16103819,1,SUBURBAN
16103940,1,SUBURBAN
16103940,2,SUBURBAN
16104183,1,SUBURBAN
16104506,1,SUBURBAN
16104553,1,4 DOOR SEDAN
16104553,2,4 DOOR SEDAN
16104588,1,SUBURBAN
16104591,1,SUBURBAN
16104643,1,BUS (OMNIBUS)
16104646,1,SUBURBAN
16104683,1,LIMOUSINE (OMNIBUS)
16104690,1,SUBURBAN
16104712,1,SUBURBAN
16104712,2,4 DOOR SEDAN
16105036,1,SUBURBAN
16105036,2,SUBURBAN
16105659,1,4 DOOR SEDAN
16105716,1,2 DOOR SEDAN
16105716,2,VAN TRUCK
16105852,1,PICK-UP TRUCK
16105862,1,4 DOOR SEDAN
16105936,1,SUBURBAN
16105978,1,SUBURBAN
16105978,3,BUS (OMNIBUS)
16106175,1,SUBURBAN
16106331,1,SUBURBAN
16106331,2,4 DOOR SEDAN
16106347,1,4 DOOR SEDAN
16106387,1,4 DOOR SEDAN
16106451,1,4 DOOR SEDAN
16106451,2,4 DOOR SEDAN
16106451,3,4 DOOR SEDAN
16106587,1,PICK-UP TRUCK
16106643,1,4 DOOR SEDAN
16106643,2,SUBURBAN
16106742,1,SUBURBAN
16106742,2,4 DOOR SEDAN
16106900,1,4 DOOR SEDAN
16106900,2,SUBURBAN
16107288,1,SUBURBAN
16107306,1,SUBURBAN
16107532,1,VAN TRUCK
16107532,2,SEDAN
16107538,1,4 DOOR SEDAN
16107556,1,4 DOOR SEDAN
16107566,1,4 DOOR SEDAN
16107597,1,SUBURBAN
16107597,2,4 DOOR SEDAN
16107615,1,SUBURBAN
16107616,1,UNKNOWN VEHICLE
16107637,1,UNKNOWN VEHICLE
16107829,1,4 DOOR SEDAN
16107829,2,PICK-UP TRUCK
16107881,1,4 DOOR SEDAN
16107881,2,SUBURBAN
16107910,1,VAN TRUCK
16107943,1,PICK-UP TRUCK
16107943,2,4 DOOR SEDAN
16108367,1,4 DOOR SEDAN
16108367,2,SUBURBAN
16108431,1,4 DOOR SEDAN
16108557,1,SUBURBAN
16108616,1,4 DOOR SEDAN
16108616,2,4 DOOR SEDAN
16108662,1,VAN TRUCK
16108662,2,4 DOOR SEDAN
16108741,1,2 DOOR SEDAN
16108776,1,4 DOOR SEDAN
16108776,2,SUBURBAN
16108777,1,4 DOOR SEDAN
16108777,2,4 DOOR SEDAN
16108819,1,PICK-UP TRUCK
16108824,1,4 DOOR SEDAN
16108827,1,4 DOOR SEDAN
16109175,1,PICK-UP TRUCK
16109175,2,4 DOOR SEDAN
16109186,1,SUBURBAN
16109282,1,4 DOOR SEDAN
16109282,2,PICK-UP TRUCK
16109289,1,SUBURBAN
16109289,2,SUBURBAN
16109370,1,4 DOOR SEDAN
16109370,2,BUS (OMNIBUS)
16109384,1,PICK-UP TRUCK
16109384,2,SUBURBAN
16109431,1,SUBURBAN
16109431,2,4 DOOR SEDAN
16109440,1,SUBURBAN
16109475,1,4 DOOR SEDAN
16109475,2,SUBURBAN
16109562,1,4 DOOR SEDAN
16109763,1,4 DOOR SEDAN
16109763,2,PICK-UP TRUCK
16109763,3,2 DOOR SEDAN
16109802,1,SUBURBAN
16109975,1,SUBURBAN
16109975,2,4 DOOR SEDAN
16109975,3,SUBURBAN
16109991,1,SUBURBAN
16109991,2,4 DOOR SEDAN
16110108,1,4 DOOR SEDAN
16110108,2,4 DOOR SEDAN
16110135,1,4 DOOR SEDAN
16110174,1,SUBURBAN
16110174,2,4 DOOR SEDAN
16110230,1,4 DOOR SEDAN
16110230,2,4 DOOR SEDAN
16110424,1,2 DOOR SEDAN
16110478,1,SUBURBAN
16110507,1,4 DOOR SEDAN
16110507,2,SUBURBAN
16110507,3,SUBURBAN
16110507,4,VAN TRUCK
16110619,1,UNKNOWN VEHICLE
16110625,1,4 DOOR SEDAN
16110644,1,SUBURBAN
16110660,1,SEDAN
16110660,2,SEDAN
16110674,1,SEDAN
16110674,2,SUBURBAN
16110705,1,SUBURBAN
16110839,1,SUBURBAN
16110960,1,SEDAN
16110997,1,4 DOOR SEDAN
16110997,2,4 DOOR SEDAN
16111005,1,2 DOOR SEDAN
16111026,1,4 DOOR SEDAN
16111026,2,SUBURBAN
16111026,3,SUBURBAN
