state_accident_id,vehicle_number,body_type
13441118,1,SUBURBAN
13441118,2,SUBURBAN
13441302,1,SUBURBAN
13441302,2,4 DOOR SEDAN
13442323,1,PICK-UP TRUCK
13442434,1,4 DOOR SEDAN
13445120,1,SUBURBAN
13445120,2,SEDAN
13445328,1,BUS (OMNIBUS)
13445336,1,SUBURBAN
13445409,1,4 DOOR SEDAN
13445409,2,SUBURBAN
13445477,1,BUS (OMNIBUS)
13445477,2,4 DOOR SEDAN
13445481,1,2 DOOR SEDAN
13445481,2,SUBURBAN
13445533,1,4 DOOR SEDAN
13445651,1,4 DOOR SEDAN
13445651,2,PICK-UP TRUCK
13446769,1,SUBURBAN
13446827,1,SUBURBAN
13446827,2,PICK-UP TRUCK
13446934,1,4 DOOR SEDAN
13447390,1,4 DOOR SEDAN
13447510,1,SUBURBAN
13447510,2,SUBURBAN
13447548,1,4 DOOR SEDAN
13447650,4,4 DOOR SEDAN
13447650,3,4 DOOR SEDAN
13447650,2,4 DOOR SEDAN
13447650,1,4 DOOR SEDAN
13447655,2,SUBURBAN
13447655,1,2 DOOR SEDAN
13447680,1,4 DOOR SEDAN
13447680,2,4 DOOR SEDAN
13447702,1,4 DOOR SEDAN
13447706,1,4 DOOR SEDAN
13447707,1,SUBURBAN
13447826,1,4 DOOR SEDAN
13447826,2,4 DOOR SEDAN
13447826,3,SUBURBAN
13447826,4,SUBURBAN
13448020,1,VAN TRUCK
13448070,1,4 DOOR SEDAN
13448070,2,PICK-UP TRUCK
13448075,1,4 DOOR SEDAN
13448075,2,4 DOOR SEDAN
13448184,1,POLICE
13448184,2,4 DOOR SEDAN
13448224,1,4 DOOR SEDAN
13448359,1,PICK-UP TRUCK
13448383,1,4 DOOR SEDAN
13448417,1,SUBURBAN
13448453,1,SUBURBAN
13448454,1,SUBURBAN
13448454,2,4 DOOR SEDAN
13448486,1,SUBURBAN
13448486,2,SUBURBAN
13448494,1,4 DOOR SEDAN
13448509,1,UTILITY TRUCK
13448610,1,SUBURBAN
13448610,2,4 DOOR SEDAN
13448610,3,4 DOOR SEDAN
13448691,1,SUBURBAN
13448753,1,2 DOOR SEDAN
13448935,1,4 DOOR SEDAN
13448941,1,4 DOOR SEDAN
13448986,1,UNKNOWN VEHICLE
13449056,1,2 DOOR SEDAN
13449067,1,4 DOOR SEDAN
13449117,1,2 DOOR SEDAN
13449238,1,4 DOOR SEDAN
13449425,1,4 DOOR SEDAN
13449562,1,4 DOOR SEDAN
13449587,1,4 DOOR SEDAN
13449834,1,4 DOOR SEDAN
13449834,2,4 DOOR SEDAN
13450641,1,SUBURBAN
13450672,1,4 DOOR SEDAN
13450679,1,4 DOOR SEDAN
13450725,1,SUBURBAN
13450736,1,TRACTOR
13450898,1,PICK-UP TRUCK
13451165,1,SUBURBAN
13451215,1,4 DOOR SEDAN
13451215,2,TRACTOR
13451268,1,4 DOOR SEDAN
13451268,2,SUBURBAN
13451348,1,4 DOOR SEDAN
13452156,1,CONVERTIBLE
13452156,2,SUBURBAN
13452157,1,4 DOOR SEDAN
13452254,1,UNKNOWN VEHICLE
13452526,1,2 DOOR SEDAN
13452564,1,PICK-UP TRUCK
13452564,2,2 DOOR SEDAN
13452564,3,4 DOOR SEDAN
13452564,4,4 DOOR SEDAN
13452717,1,PICK-UP TRUCK
13452740,1,SUBURBAN
13452740,2,4 DOOR SEDAN
13452745,1,SUBURBAN
13452745,2,SUBURBAN
13452776,1,4 DOOR SEDAN
13452813,1,4 DOOR SEDAN
13453063,1,SUBURBAN
13453101,1,SUBURBAN
13453163,1,4 DOOR SEDAN
13453266,1,4 DOOR SEDAN
13453271,1,4 DOOR SEDAN
13453888,1,VAN TRUCK
13453963,1,SUBURBAN
13453976,1,2 DOOR SEDAN
13453976,2,PICK-UP TRUCK
13454785,1,TRACTOR
13454819,1,4 DOOR SEDAN
13454819,2,PICK-UP TRUCK
13454819,3,4 DOOR SEDAN
13454845,1,4 DOOR SEDAN
13454851,1,4 DOOR SEDAN
13454851,2,4 DOOR SEDAN
13454894,1,4 DOOR SEDAN
13454909,1,4 DOOR SEDAN
13455126,1,4 DOOR SEDAN
13455174,1,4 DOOR SEDAN
13455174,2,2 DOOR SEDAN
13455224,1,4 DOOR SEDAN
13455266,1,SUBURBAN
13455329,1,4 DOOR SEDAN
13455329,2,4 DOOR SEDAN
13455329,3,SUBURBAN
13455536,1,4 DOOR SEDAN
13455536,2,SUBURBAN
13455575,1,TRACTION ENGINE
13455575,2,4 DOOR SEDAN
13455741,1,4 DOOR SEDAN
13455741,2,SUBURBAN
13455827,1,PICK-UP TRUCK
13455834,1,4 DOOR SEDAN
13455834,2,DUMP TRUCK
13455841,1,4 DOOR SEDAN
13455841,2,PICK-UP TRUCK
13455892,1,4 DOOR SEDAN
13456028,1,4 DOOR SEDAN
13456028,2,TRUCK CRANE
13456042,1,4 DOOR SEDAN
13456130,3,4 DOOR SEDAN
13456130,2,4 DOOR SEDAN
13456130,1,SUBURBAN
13456269,1,4 DOOR SEDAN
13456328,1,4 DOOR SEDAN
13456328,2,4 DOOR SEDAN
13456328,3,TRACTOR
13456376,1,SUBURBAN
13456387,1,SUBURBAN
13456408,1,PICK-UP TRUCK
13456408,2,4 DOOR SEDAN
13456484,1,4 DOOR SEDAN
13456484,2,PICK-UP TRUCK
13456567,1,SEDAN
13456581,1,2 DOOR SEDAN
13456737,1,PICK-UP TRUCK
13456737,2,4 DOOR SEDAN
13456834,1,4 DOOR SEDAN
13456902,1,2 DOOR SEDAN
13456958,1,4 DOOR SEDAN
13456958,2,4 DOOR SEDAN
13456994,1,SUBURBAN
13457029,1,PICK-UP TRUCK
13457064,1,4 DOOR SEDAN
13457064,2,PICK-UP TRUCK
13457190,1,2 DOOR SEDAN
13457204,1,4 DOOR SEDAN
13457204,2,UNKNOWN VEHICLE
13457209,1,2 DOOR SEDAN
13457337,1,4 DOOR SEDAN
13457387,1,PICK-UP TRUCK
13457454,1,SUBURBAN
13457483,1,4 DOOR SEDAN
13457485,1,SUBURBAN
13457485,2,2 DOOR SEDAN
13457513,1,SUBURBAN
13457545,1,4 DOOR SEDAN
13457630,1,4 DOOR SEDAN
13457630,2,SUBURBAN
13457739,1,4 DOOR SEDAN
13457744,1,SUBURBAN
13457755,1,4 DOOR SEDAN
13457755,2,VAN TRUCK
13457809,1,2 DOOR SEDAN
13457820,1,4 DOOR SEDAN
13457820,2,TRACTOR
13457820,3,PICK-UP TRUCK
13458045,1,4 DOOR SEDAN
13458045,2,SUBURBAN
13458361,1,2 DOOR SEDAN
13458361,2,SUBURBAN
13458494,1,PICK-UP TRUCK
13458494,2,4 DOOR SEDAN
13458516,1,4 DOOR SEDAN
13458543,1,SUBURBAN
13458543,2,SUBURBAN
13458651,1,PICK-UP TRUCK
13458671,1,2 DOOR SEDAN
13458747,1,SUBURBAN
13458747,2,4 DOOR SEDAN
13458906,1,SUBURBAN
13458906,2,SUBURBAN
13459071,1,PICK-UP TRUCK
13459071,2,4 DOOR SEDAN
13459071,3,SUBURBAN
13459084,1,4 DOOR SEDAN
13459084,2,4 DOOR SEDAN
13459084,3,PICK-UP TRUCK
13459135,1,SUBURBAN
13459228,1,SUBURBAN
13459228,2,4 DOOR SEDAN
13459382,1,PICK-UP TRUCK
13459387,1,4 DOOR SEDAN
13459387,2,4 DOOR SEDAN
13459388,1,4 DOOR SEDAN
13459392,1,4 DOOR SEDAN
13459392,2,PICK-UP TRUCK
13459395,1,4 DOOR SEDAN
13459396,1,PICK-UP TRUCK
13459397,1,SUBURBAN
13459398,1,UTILITY TRUCK
13459398,3,4 DOOR SEDAN
13459399,1,SUBURBAN
13459399,2,DUMP TRUCK
13459419,1,POLICE
13459419,2,PICK-UP TRUCK
13459419,3,4 DOOR SEDAN
13459443,1,4 DOOR SEDAN
13459444,1,4 DOOR SEDAN
13459444,2,2 DOOR SEDAN
13459552,1,SUBURBAN
13459554,1,2 DOOR SEDAN
13459554,2,4 DOOR SEDAN
13459612,1,4 DOOR SEDAN
13459643,1,4 DOOR SEDAN
13459643,2,4 DOOR SEDAN
13459645,1,4 DOOR SEDAN
13459715,1,PICK-UP TRUCK
13459879,1,2 DOOR SEDAN
13459879,2,4 DOOR SEDAN
13460064,1,4 DOOR SEDAN
13460064,2,4 DOOR SEDAN
13460073,1,4 DOOR SEDAN
13460126,1,PICK-UP TRUCK
13460139,1,SUBURBAN
13460231,1,4 DOOR SEDAN
13460231,2,DELIVERY TRUCK
13460273,1,4 DOOR SEDAN
13460357,1,4 DOOR SEDAN
13460357,2,4 DOOR SEDAN
13460537,1,PICK-UP TRUCK
13460537,2,SUBURBAN
