state_accident_id,vehicle_number,age,sex,person_type,injury_severity
13869600,1,56.0,1.0,DRIVER,U - UNKNOWN
13872970,1,42.0,2.0,DRIVER,U - UNKNOWN
13880521,1,38.0,2.0,DRIVER,U - UNKNOWN
13880521,2,25.0,2.0,DRIVER,U - UNKNOWN
13901510,2,nan,3.0,DRIVER,U - UNKNOWN
13901510,1,24.0,1.0,DRIVER,U - UNKNOWN
13880745,2,62.0,2.0,DRIVER,U - UNKNOWN
13880745,1,23.0,1.0,DRIVER,U - UNKNOWN
13870229,1,23.0,2.0,DRIVER,U - UNKNOWN
13870369,1,35.0,1.0,DRIVER,U - UNKNOWN
13894529,2,69.0,2.0,DRIVER,U - UNKNOWN
13894529,1,48.0,1.0,DRIVER,U - UNKNOWN
13901612,1,nan,3.0,DRIVER,U - UNKNOWN
13876628,2,29.0,2.0,DRIVER,U - UNKNOWN
13876628,1,45.0,2.0,DRIVER,U - UNKNOWN
13876685,2,56.0,2.0,DRIVER,U - UNKNOWN
13876685,1,89.0,1.0,DRIVER,U - UNKNOWN
13894555,1,16.0,1.0,DRIVER,U - UNKNOWN
13894556,1,51.0,1.0,DRIVER,U - UNKNOWN
13876712,1,50.0,2.0,DRIVER,U - UNKNOWN
13876724,2,52.0,1.0,DRIVER,U - UNKNOWN
13876724,1,54.0,2.0,DRIVER,U - UNKNOWN
13905026,1,45.0,2.0,DRIVER,U - UNKNOWN
13905028,1,18.0,2.0,DRIVER,U - UNKNOWN
13905352,2,45.0,1.0,DRIVER,U - UNKNOWN
13905352,1,56.0,2.0,DRIVER,U - UNKNOWN
13908661,2,21.0,1.0,DRIVER,U - UNKNOWN
13908661,1,22.0,2.0,DRIVER,U - UNKNOWN
13897997,1,26.0,1.0,DRIVER,U - UNKNOWN
13870567,1,47.0,1.0,DRIVER,U - UNKNOWN
13887970,1,nan,3.0,DRIVER,U - UNKNOWN
13870589,1,46.0,1.0,DRIVER,U - UNKNOWN
13901666,1,19.0,2.0,DRIVER,U - UNKNOWN
13901666,2,51.0,1.0,DRIVER,U - UNKNOWN
13905408,3,nan,3.0,DRIVER,U - UNKNOWN
13905408,2,46.0,1.0,DRIVER,U - UNKNOWN
13905408,1,42.0,1.0,DRIVER,U - UNKNOWN
13887991,1,nan,3.0,DRIVER,U - UNKNOWN
13887991,3,21.0,1.0,DRIVER,U - UNKNOWN
13887991,2,26.0,1.0,DRIVER,U - UNKNOWN
13905409,1,33.0,1.0,DRIVER,U - UNKNOWN
13898051,1,53.0,1.0,DRIVER,U - UNKNOWN
13905530,1,48.0,2.0,DRIVER,U - UNKNOWN
13888053,1,nan,3.0,DRIVER,U - UNKNOWN
13880815,1,20.0,1.0,DRIVER,U - UNKNOWN
13880815,2,27.0,1.0,DRIVER,U - UNKNOWN
13898092,1,53.0,1.0,DRIVER,U - UNKNOWN
13898092,3,29.0,1.0,DRIVER,U - UNKNOWN
13898092,2,47.0,2.0,DRIVER,U - UNKNOWN
13876902,1,21.0,1.0,DRIVER,U - UNKNOWN
13876902,2,31.0,1.0,DRIVER,U - UNKNOWN
