id,vehicle_number,year,make,model,hit_run
20130101I-2013-008287,1,1991,CHEVROLET,FLT, 
20130101I-2013-011789,1,2005,TOYOTA,CAM, 
20130101I-2013-011789,2,2007,FORD,ESP, 
20130101I-2013-011789,3,2012,HYUNDAI,SON, 
20130101I-2013-027200,1,1997,CHEVROLET,TAHOE, 
2013010213-007094,1,2000,MERCURY,MNTNEER, 
2013010213-022914,1,2000,DODGE,GRAND CA, 
2013010213-022914,2,2011,FORD,CROWNVIC, 
2013010213-026307,1,2000,TOYOTA,CEL, 
2013010213-026307,2,2006,ACURA,TL, 
2013010213-037805,1,1996,HONDA,ACCORD, 
2013010213-042663,1,2000,MITSUBISHI,GALANT, 
2013010213-049841,1,2000,CHRYSLER,VAN, 
2013010213-049841,2,2005,ACURA,TL, 
2013010213-108278,1,2001,FORD,EXCUR., 
2013010213-108278,2,2000,DODGE,INTREPID, 
2013010213-108278,3,2012,NAB,BUS, 
2013010213-108672,1,2000,DODGE,GRDCAR, 
2013010213-108672,2,2002,HONDA,CF4, 
20130103I-2013-09776,1,2008,NISSAN,2DR, 
20130103I-2013-09776,2,2008,HONDA,WAGON, 
20130103I-2013-09776,3,2009,TOYOTA,4DR, 
201301042013000041,1,2005,DODGE,R15, 
20130105A090-2013-00213A,1,1995,JEEP,GRAND CHEROKEE, 
20130105A090-2013-00220A,1,2007,SPTN,FIRE TRUCK, 
20130105A090-2013-00220A,2,1996,HONDA,PASSPORT, 
20130105A090-2013-00243A,1,1999,NISSAN,PATHFINDER, 
20130105A090-2013-00419A,1,2007,NISSAN,VERSA, 
20130105A090-2013-00419A,2,2004,GMC,SIERRA, 
2013010813-37869,1,2001,HONDA,CBR600F4, 
2013010813-52697,1,2002,VOLKSWAGEN,4DR, 
2013010813-52697,2,2008,FORD,F250, 
2013010813-68945,1,2003,HONDA,S2000, 
20130108E030-2013-00392A,1,2012,CAPRI,CRU, 
20130108E030-2013-00392A,2,1995,FORD,99, 
20130108E030-2013-00413A,1,2003,TOYOTA,CAM, 
20130108E030-2013-01048A,1,2001,JEEP,GRAND CHEROKEE, 
20130110A090-2013-00010A,1,2012,CHEVROLET,SUBURBAN, 
20130110A090-2013-00010A,2,2000,CHEVROLET,AST, 
20130110A090-2013-00137A,1,2002,CHEVROLET,TAHOE,Y
20130110A090-2013-00137A,2,2000,HONDA,ACC, 
20130110A090-2013-00413A,1,1994,FORD,RAN, 
201301112013-00004089,1,2007,PONTIAC,G6, 
201301112013-00020726,1,2005,HARLEY DAVIDSON,, 
201301112013-00025603,1,2013,FORD,FESTIVA, 
201301112013-00025603,2,2001,HARLEY DAVIDSON,SOFTTAIL, 
201301112013-00032029,1,2009,SUZUKI,, 
201301112013-00032029,2,2000,MERCURY,MOUNTAINEER, 
201301112013-00035225,1,2008,NISSAN,ALTIMA, 
201301112013-00035225,2,2005,FORD,EXPLORER, 
201301122013004620,1,1993,HONDA,ACC, 
201301122013004792,1,2005,TOYOTA,COA, 
201301122013004792,2,1999,HONDA,, 
201301122013007001,1,2006,TOYOTA,OTH, 
201301122013007001,2,2009,FORD,, 
201301122013007001,3,1999,FORD,MUS, 
201301122013007807,1,1994,CADILLAC,DEV, 
201301122013016870,1,2013,,, 
201301122013016870,2,2005,HONDA,CIV, 
201301122013016870,3,2010,PONTIAC,G6, 
201301122013016870,4,    ,,, 
201301122013019956,1,1994,FORD,BRO, 
201301122013019956,2,2003,BMW,325, 
201301122013022700,1,1999,HONDA,CIV, 
201301122013025877,1,2005,NISSAN,ALT, 
201301122013041767,1,2009,TOYOTA,RAV, 
20130112A160-2013-00812A,1,2006,CHEVROLET,TRA, 
20130113I-2013-10393,1,2000,PONTIAC,GRAND, 
20130113I-2013-10393,2,1998,JEEP,GRAND, 
20130113I-2013-12688,1,2010,CHEVROLET,4DR, 
20130113I-2013-13759,1,2000,MACK,TRUCK, 
20130113I-2013-13759,2,2008,LEXUS,RX, 
20130113I-2013-16820,1,2011,TOYOTA,CAM, 
