id,vehicle_number,position,occupant_number,age,sex,condition
20130101I-2013-008287,1,01,1,27,M,04
20130101I-2013-011789,1,01,1,59,M,02
20130101I-2013-011789,2,01,2,22,F,  
20130101I-2013-011789,2,03,3,55,F,  
20130101I-2013-011789,3,01,4,50,M,  
20130101I-2013-011789,3,03,5,67,F,  
20130101I-2013-027200,1,01,1,59,M,  
2013010213-007094,1,01,1,82,M,  
2013010213-022914,1,01,1,46,M,03
2013010213-022914,2,01,2,36,F,02
2013010213-026307,1,01,1,35,M,03
2013010213-026307,1,03,2,30,M,02
2013010213-026307,2,01,3,20,M,02
2013010213-026307,2,03,4,20,M,02
2013010213-037805,1,01,1,53,M,  
2013010213-042663,1,01,1,40,M,04
2013010213-049841,1,01,1,54,M,03
2013010213-049841,1,04,2,31,F,03
2013010213-049841,1,06,3,,M,02
2013010213-049841,2,01,4,29,M,04
2013010213-108278,1,01,1,26,F,04
2013010213-108278,1,03,2,37,M,04
2013010213-108278,2,  ,3,38,M,04
2013010213-108278,2,  ,4,81,M,04
2013010213-108278,2,  ,5,43,F,04
2013010213-108278,2,  ,6,60,M,04
2013010213-108278,2,  ,7,16,M,04
2013010213-108278,2,  ,8,15,M,04
2013010213-108278,2,  ,9,31,M,04
2013010213-108278,2,01,10,53,F,03
2013010213-108278,2,03,11,66,M,02
2013010213-108278,2,06,12,21,M,03
2013010213-108672,1,01,1,68,M,04
2013010213-108672,2,01,2,30,M,02
2013010213-108672,2,05,3,22,F,02
20130103I-2013-09776,1,01,1,22,F,02
201301042013000041,1,01,1,76,M,02
20130105A090-2013-00213A,1,01,1,18,F,04
20130105A090-2013-00213A,1,04,2,43,F,02
20130105A090-2013-00213A,1,06,3,20,M,04
20130105A090-2013-00220A,1,01,1,53,M,  
20130105A090-2013-00220A,1,03,2,33,M,  
20130105A090-2013-00220A,1,06,3,33,M,  
20130105A090-2013-00220A,2,01,4,32,F,02
20130105A090-2013-00220A,2,03,5,28,F,03
20130105A090-2013-00220A,2,06,6,33,M,02
20130105A090-2013-00243A,1,01,1,23,M,04
20130105A090-2013-00243A,1,03,2,43,M,04
20130105A090-2013-00243A,1,04,3,53,M,02
20130105A090-2013-00243A,1,05,4,39,M,04
20130105A090-2013-00243A,1,06,5,44,M,04
20130105A090-2013-00419A,1,01,1,18,M,03
20130105A090-2013-00419A,1,03,2,19,M,02
20130105A090-2013-00419A,2,01,3,32,M,03
2013010813-37869,1,01,1,27,M,02
2013010813-52697,1,01,1,40,M,04
2013010813-52697,2,01,2,52,M,02
2013010813-68945,1,01,1,20,M,02
20130108E030-2013-00392A,1,01,1,31,F,  
20130108E030-2013-00392A,2,01,2,59,M,03
20130108E030-2013-00392A,2,03,3,35,M,02
20130108E030-2013-00413A,1,01,1,59,F,02
20130108E030-2013-00413A,1,03,2,62,F,  
20130108E030-2013-00413A,1,06,3,85,F,04
20130108E030-2013-01048A,1,01,1,69,M,02
20130110A090-2013-00010A,1,01,1,41,M,03
20130110A090-2013-00010A,2,01,2,50,M,02
20130110A090-2013-00010A,2,03,3,21,M,02
20130110A090-2013-00137A,1,01,1,36,M,04
20130110A090-2013-00137A,2,01,2,51,M,02
20130110A090-2013-00413A,1,01,1,35,M,02
201301112013-00004089,1,01,1,53,F,02
201301112013-00020726,1,01,1,47,M,03
201301112013-00020726,1,05,2,54,F,02
201301112013-00025603,1,01,1,23,F,  
201301112013-00025603,1,03,2,18,F,  
201301112013-00025603,1,04,3,22,F,  
201301112013-00025603,2,01,4,54,M,02
201301112013-00032029,1,01,1,31,M,02
201301112013-00032029,2,01,2,26,M,  
201301112013-00035225,1,01,1,30,M,02
201301112013-00035225,2,01,2,46,M,  
201301122013004620,1,01,1,19,M,02
201301122013004792,1,01,1,29,F,02
201301122013004792,2,01,2,26,M,  
201301122013004792,2,04,3,, ,  
201301122013004792,2,06,4,, ,  
201301122013007001,1,01,1,51,F,04
201301122013007001,2,01,2,71,F,  
201301122013007001,3,01,3,22,M,02
201301122013007001,3,03,4,, ,02
201301122013007807,1,01,1,38,M,02
201301122013016870,1,01,1,51,F,02
201301122013016870,1,03,2,, ,03
201301122013016870,2,01,3,31,F,  
201301122013016870,3,01,4,21,F,04
201301122013016870,4,01,5,24,F,04
201301122013019956,1,01,1,57,M,02
201301122013019956,2,01,2,19,F,04
201301122013022700,1,01,1,24,M,04
201301122013022700,1,03,2,39,M,02
201301122013025877,1,01,1,19,M,02
201301122013041767,1,01,1,62,F,02
20130112A160-2013-00812A,1,01,1,33,M,02
20130113I-2013-10393,1,01,1,27,M,02
20130113I-2013-10393,2,01,2,23,M,03
20130113I-2013-10393,2,04,3,32,M,03
20130113I-2013-10393,2,06,4,16,M,03
20130113I-2013-12688,1,01,1,32,F,02
20130113I-2013-13759,1,01,1,46,M,  
20130113I-2013-13759,2,01,2,70,M,02
20130113I-2013-13759,2,03,3,62,F,02
20130113I-2013-16820,1,01,1,38,M,02
20130113I-2013-16820,1,03,2,37,F,02
20130113I-2013-16820,2,01,3,55,M,04
20130113I-2013-16820,2,03,4,48,F,02
20130113I-2013-16820,2,06,5,16,F,03
2013011613-02650,1,01,1,62,F,  
20130117I-2013-001267,1,01,1,23,M,02
20130117I-2013-005479,1,01,1,112,F,02
20130117I-2013-005479,2,01,2,16,M,03
20130117I-2013-011114,1,01,1,26,F,03
20130117I-2013-011114,1,04,2,24,F,02
20130117I-2013-011114,1,05,3,5M,F,04
20130117I-2013-012683,1,01,1,33,F,02
20130117I-2013-012683,1,03,2,4,M,04
20130117I-2013-012683,1,06,3,6,F,04
20130117I-2013-012683,2,01,4,23,M,03
20130122I-2013-09151,1,01,1,51,M,02
20130122I-2013-09151,2,01,2,86,F,  
2013020213-17,1,01,1,25,M,02
2013020213-17,2,01,2,36,M,04
20130202AF13-12,1,01,1,41,F,02
2013020313-18215,1,01,1,21,M,02
20130205D030-2013-01552A,1,01,1,19,M,03
20130205D030-2013-01552A,1,03,2,21,F,02
20130205D030-2013-01552A,2,01,3,47,M,04
20130206I-2013-003906,1,01,1,31,M,02
20130212ER-13-05838,1,01,1,68,M,02
20130212ER-13-07423,1,01,1,22,M,  
20130212ER-13-07456,1,01,1,22,M,02
201302132013-004812,1,01,1,34,M,  
201302132013-004812,1,03,2,29,F,  
201302132013-004812,2,01,3,35,M,02
201302132013-008160,1,01,1,22,F,03
201302132013-008160,1,03,2,23,F,02
201302132013-008160,1,04,3,24,M,04
201302142013:33748,1,01,1,36,M,02
20130215I-2013-005655,1,01,1,43,M,02
20130215I-2013-007318,1,01,1,48,M,02
20130215I-2013-024920,1,01,1,51,M,  
