,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
73,2017043180,73,M,8.0,1,1.0
74,2017043180,65,M,3.0,1,2.0
75,2017043180,63,M,8.0,1,2.0
76,2017043180,19,M,3.0,1,2.0
77,2017043180,22,F,2.0,2,1.0
159,2017030393,25,M,2.0,1,1.0
160,2017030393,27,F,4.0,1,2.0
188,2017043631,38,M,1.0,1,1.0
315,2017047836,34,M,1.0,1,1.0
316,2017047836,63,M,0.0,2,1.0
419,2017070078,41,M,2.0,1,1.0
420,2017070078,28,F,4.0,1,2.0
447,2017037844,47,M,3.0,1,1.0
448,2017037844,47,F,2.0,1,2.0
491,2017047377,53,M,4.0,1,1.0
492,2017047377,11,F,0.0,3,2.0
493,2017047377,13,M,0.0,4,2.0
494,2017047377,10,M,0.0,4,2.0
495,2017047377,9,F,0.0,4,2.0
496,2017047377,46,F,2.0,2,1.0
497,2017047377,40,F,0.0,3,1.0
498,2017047377,47,F,0.0,4,1.0
499,2017047377,57,M,0.0,5,1.0
504,2017043924,36,M,1.0,1,1.0
571,2017043217,55,M,2.0,1,1.0
695,2017075432,22,M,2.0,1,1.0
696,2017075432,48,M,0.0,2,1.0
697,2017075432,70,M,0.0,2,2.0
838,2017045087,25,M,3.0,1,1.0
839,2017045087,41,M,2.0,2,1.0
840,2017045087,19,M,2.0,2,2.0
842,2017066042,36,M,0.0,1,1.0
843,2017066042,47,F,3.0,2,1.0
844,2017066042,17,F,2.0,2,2.0
858,2017048020,48,M,1.0,1,1.0
894,2017034535,50,M,3.0,1,1.0
895,2017034535,57,M,2.0,2,7.0
998,2017035274,17,M,2.0,1,1.0
999,2017035274,67,F,0.0,2,1.0
1000,2017035274,17,M,2.0,1,2.0
1001,2017035274,37,F,0.0,2,2.0
1061,2017042783,28,M,9.0,1,1.0
1062,2017042783,21,M,2.0,1,2.0
1068,2017031752,30,F,2.0,1,1.0
1069,2017031752,46,M,2.0,2,1.0
1070,2017031752,27,F,2.0,1,2.0
1071,2017031752,75,M,2.0,2,2.0
1084,2017045395,53,M,1.0,1,1.0
1137,2017043174,22,M,2.0,1,1.0
1187,2017075208,57,M,2.0,1,1.0
1274,2017043199,40,F,1.0,1,1.0
1275,2017043199,17,F,8.0,1,2.0
1276,2017043199,12,F,8.0,1,2.0
1277,2017043199,7,F,8.0,1,2.0
1468,2017047617,83,M,1.0,1,1.0
1469,2017047617,62,M,0.0,1,2.0
1470,2017047617,65,M,0.0,1,2.0
1479,2017035228,18,F,2.0,1,1.0
1495,2017045838,27,M,1.0,1,1.0
1546,2017067090,31,M,3.0,1,1.0
1547,2017067090,32,M,2.0,1,2.0
1559,2017046371,23,M,2.0,1,1.0
1729,2017045812,55,M,1.0,1,1.0
1730,2017045812,33,M,8.0,2,1.0
1793,2017041823,81,F,1.0,1,1.0
1794,2017041823,45,F,3.0,2,1.0
1800,2017045477,31,M,2.0,1,1.0
1801,2017045477,46,M,3.0,2,1.0
1802,2017045477,11,F,3.0,2,2.0
1803,2017045477,9,F,3.0,2,2.0
1833,2017043012,62,M,0.0,1,1.0
1834,2017043012,46,M,1.0,2,1.0
1835,2017043012,48,F,1.0,2,2.0
1897,2017075164,63,M,2.0,1,1.0
1898,2017075164,54,M,0.0,2,1.0
1899,2017075164,55,M,0.0,3,1.0
1904,2017077839,81,F,2.0,1,1.0
1921,2017042841,14,M,3.0,1,1.0
1922,2017042841,17,F,2.0,1,2.0
2063,2017047655,82,F,3.0,1,1.0
2064,2017047655,50,F,2.0,2,1.0
2173,2017042805,61,F,1.0,1,1.0
2226,2017048701,23,F,2.0,1,1.0
2227,2017048701,20,F,3.0,1,2.0
2228,2017048701,22,M,0.0,1,2.0
2297,2017044602,46,M,0.0,1,1.0
2298,2017044602,55,F,2.0,2,4.0
2308,2017047698,86,M,1.0,1,1.0
2309,2017047698,84,F,4.0,1,2.0
2310,2017047698,31,M,0.0,2,1.0
2339,2017043064,46,M,0.0,1,1.0
2340,2017043064,5,M,2.0,2,7.0
2466,2017045819,61,M,1.0,1,1.0
2479,2017045169,65,F,1.0,1,1.0
2480,2017045169,33,M,2.0,2,1.0
2545,2017046138,20,F,0.0,1,1.0
2546,2017046138,58,F,8.0,2,1.0
2547,2017046138,58,F,2.0,2,2.0
2548,2017046138,14,F,0.0,2,2.0
2549,2017046138,15,M,8.0,2,2.0
2575,2017043080,47,M,0.0,1,1.0
2576,2017043080,54,M,2.0,2,7.0
2577,2017026732,60,M,3.0,1,1.0
2578,2017026732,57,M,2.0,2,1.0
2579,2017026732,18,M,0.0,2,2.0
2704,2017041797,49,M,2.0,1,1.0
2705,2017041797,71,F,0.0,2,1.0
2706,2017041797,60,F,0.0,2,2.0
2797,2017040725,58,M,2.0,2,1.0
2798,2017040725,64,M,2.0,2,2.0
2884,2017046382,52,F,2.0,1,1.0
2885,2017046382,69,M,3.0,2,1.0
2913,2017037018,55,M,1.0,1,1.0
2914,2017037018,34,M,0.0,2,1.0
2915,2017037018,53,M,0.0,2,2.0
