,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
125,2005005367,1,4.0,1.0,1,1996.0,FORD,0,P4D,1.0
166,2005062605,1,4.0,1.0,1,2003.0,LEXS,0,P4D,1.0
167,2005062605,2,4.0,1.0,1,1993.0,MITS,0,P4D,1.0
202,2006005223,1,50.0,4.0,1,1995.0,FORD,0,TPK,1.0
215,2005174595,1,4.0,1.0,1,1993.0,STRN,0,P4D,1.0
216,2005174595,2,4.0,5.0,5,,UNKN,0,P4D,4.0
217,2005174595,3,4.0,1.0,1,1999.0,VOLK,0,P4D,1.0
218,2005174595,4,12.0,7.0,1,1995.0,PLYM,0,PSV,1.0
219,2005190401,1,6.0,1.0,1,,CHEV,0,PSW,1.0
404,2005202932,1,4.0,1.0,1,1988.0,BUIC,0,P4D,9.0
449,2005202932,2,2.0,1.0,1,1995.0,CHEV,0,PCP,9.0
453,2005414840,1,4.0,1.0,1,1993.0,NISS,0,P4D,1.0
454,2005414840,2,,31.0,30,,,0,,
479,2005133118,1,15.0,6.0,1,,CHEV,0,PUT,1.0
506,2005191559,1,40.0,7.0,1,1984.0,CHEV,0,TVN,1.0
527,2005196082,1,4.0,1.0,1,2001.0,CHEV,0,P4D,1.0
528,2005196082,2,6.0,1.0,1,2003.0,SUBA,0,PSW,1.0
546,2005155220,1,4.0,1.0,1,,CHEV,0,P4D,1.0
547,2005155220,2,4.0,1.0,1,,VOLK,0,P4D,1.0
616,2005153420,1,4.0,1.0,1,2003.0,NISS,0,P4D,1.0
668,2005143669,1,9.0,13.0,1,,OTHR,0,P,1.0
669,2005143669,2,9.0,,51,,,0,P,
708,2005405607,1,2.0,1.0,1,1994.0,HOND,0,PCP,4.0
709,2005405607,2,,31.0,30,,,0,PCP,
809,2005167196,1,15.0,6.0,1,1997.0,FORD,0,PUT,1.0
810,2005167196,2,15.0,6.0,1,2005.0,,0,TUT,1.0
834,2005201534,1,2.0,1.0,1,1990.0,HOND,0,PCP,9.0
880,2005201534,2,51.0,4.0,1,1997.0,CHEV,0,T,9.0
931,2005152979,1,5.0,1.0,1,1995.0,FORD,0,P4H,1.0
932,2005152979,2,4.0,4.0,1,,FORD,0,P4D,1.0
945,2005143280,1,9.0,4.0,1,,GMC,0,P,1.0
946,2005143280,2,9.0,1.0,1,,CHEV,0,P,1.0
957,2006023225,1,4.0,1.0,1,1997.0,PONT,0,P4D,1.0
958,2006023225,2,,31.0,30,,,0,P4D,
973,2006007218,1,2.0,1.0,1,2004.0,PONT,0,PCP,1.0
1062,2005167347,1,4.0,1.0,1,2000.0,BUIC,0,P4D,1.0
1063,2005167347,2,50.0,1.0,1,1995.0,DODG,0,TPK,1.0
1096,2005131912,1,15.0,6.0,1,,LNDR,0,TSW,1.0
1097,2005131912,2,15.0,4.0,1,,FORD,0,TSW,1.0
1138,2005419181,1,15.0,6.0,1,1996.0,FORD,0,PUT,1.0
1140,2006006785,1,15.0,6.0,1,1999.0,FORD,0,PUT,1.0
1146,2005125478,1,12.0,1.0,1,2000.0,DODG,0,PSV,1.0
1147,2005125478,2,4.0,1.0,5,1995.0,DODG,0,P4D,4.0
1148,2005125478,3,4.0,1.0,1,1993.0,CHEV,0,P4D,1.0
1169,2005086946,1,4.0,1.0,1,1987.0,HOND,0,P4D,1.0
