,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
51,2019017459,1,15.0,1.0,1,2004.0,TOYT,0,T4W,1.0
52,2019017459,2,15.0,1.0,1,2012.0,HOND,0,T4W,1.0
57,2019068244,1,4.0,1.0,1,2015.0,CHEV,0,P4D,1.0
58,2019068244,2,73.0,4.0,2,2007.0,FORD,1,TTB,2.0
59,2019040729,1,,31.0,30,,,0,,
60,2019040729,2,4.0,1.0,1,2010.0,KIA,0,P4D,1.0
61,2019102709,1,51.0,4.0,1,2008.0,TOYT,0,TCW,1.0
76,2019134067,1,4.0,1.0,1,2017.0,SUBA,0,P4D,1.0
77,2019134067,2,,31.0,30,,,0,,
142,2019032033,1,69.0,6.0,1,2018.0,NISS,0,T,1.0
143,2019032033,2,75.0,5.0,1,2006.0,FRHT,0,TTR,1.0
145,2019132992,1,4.0,1.0,1,2012.0,MERZ,0,P4D,1.0
146,2019132992,2,4.0,1.0,1,2014.0,VOLK,0,P4D,1.0
176,2019128442,1,69.0,6.0,1,2018.0,HOND,0,T,3.0
177,2019128442,2,,31.0,30,,,0,,
278,2020005303,1,2.0,1.0,1,2010.0,CHEV,0,PCP,1.0
367,2019095405,1,2.0,1.0,1,1997.0,LEXS,0,PCP,1.0
439,2019052104,1,3.0,1.0,1,2017.0,HYUN,0,P3P,1.0
440,2019052104,2,4.0,1.0,1,2005.0,NISS,0,P4D,1.0
441,2019086407,1,28.0,2.0,1,2000.0,YAMA,0,MRC,1.0
442,2019086407,2,51.0,4.0,1,2016.0,TOYT,0,TCW,1.0
552,2019090550,1,75.0,5.0,1,2011.0,FRHT,0,TTR,1.0
553,2019090550,2,15.0,6.0,2,2015.0,JEEP,1,T4W,2.0
554,2019090550,3,69.0,6.0,2,2019.0,JEEP,1,T,2.0
555,2019090550,4,20.0,2.0,2,2000.0,HD,1,MRS,2.0
556,2019090550,5,40.0,7.0,2,2007.0,DODG,1,TSV,2.0
557,2019090550,6,,31.0,30,,,0,,
562,2019058640,1,28.0,2.0,1,2005.0,HOND,0,MRC,1.0
604,2019098872,1,9.0,1.0,1,2018.0,MAZD,0,P,1.0
605,2019098872,2,20.0,2.0,1,2002.0,HD,0,MRS,1.0
711,2019044801,1,41.0,7.0,1,2000.0,CHRY,0,TES,1.0
712,2019044801,2,4.0,1.0,1,2013.0,HYUN,0,P4D,1.0
789,2019087166,1,,20.0,30,,,0,,1.0
790,2019087166,2,51.0,4.0,1,2005.0,FORD,0,T4C,1.0
807,2019038202,1,9.0,1.0,1,2019.0,TOYT,0,P,1.0
808,2019038202,2,15.0,6.0,1,2015.0,CADI,0,T4W,1.0
817,2019022131,1,4.0,1.0,1,2003.0,BUIC,0,P4D,1.0
818,2019022131,2,,31.0,30,,,0,,
847,2019076349,1,4.0,1.0,1,2000.0,CHEV,0,P4D,1.0
934,2019041863,1,9.0,1.0,1,2018.0,CHEV,0,P,1.0
935,2019041863,2,4.0,1.0,1,2010.0,FORD,0,P4D,1.0
936,2019041863,3,15.0,1.0,1,2012.0,GMC,0,T4W,1.0
968,2019063906,1,4.0,1.0,1,2006.0,BUIC,0,P4D,1.0
969,2019063906,2,69.0,6.0,1,2019.0,HOND,0,T,1.0
988,2019052421,1,20.0,2.0,1,2006.0,HD,0,MRS,1.0
1042,2019075529,1,4.0,1.0,1,2012.0,CADI,0,P4D,1.0
1043,2019075529,2,4.0,1.0,1,2013.0,HOND,0,P4D,1.0
1045,2019039283,1,15.0,1.0,1,2012.0,SUBA,0,T4W,1.0
1046,2019039283,2,,31.0,30,,,0,,
1064,2019056644,1,51.0,4.0,1,2008.0,FORD,0,T4C,1.0
1096,2019093098,1,24.0,13.0,1,2007.0,YAMA,0,MAT,1.0
1097,2019093098,2,4.0,1.0,1,2015.0,TOYT,0,P4D,1.0
1104,2019064428,1,20.0,2.0,1,2009.0,HD,0,MRS,1.0
1153,2019111027,1,15.0,6.0,1,2013.0,FORD,0,T4W,1.0
1154,2019111027,2,15.0,6.0,1,2017.0,JEEP,0,T4W,1.0
1156,2019123218,1,29.0,2.0,1,2019.0,HD,0,M,1.0
1201,2020004717,1,51.0,4.0,1,2005.0,CHEV,0,T4C,1.0
1226,2019025238,1,4.0,1.0,1,2014.0,CHEV,0,P4D,1.0
1227,2019025238,2,,31.0,30,,,0,,
1228,2019025238,3,6.0,1.0,2,2016.0,SUBA,1,PSW,2.0
1239,2019079163,1,15.0,6.0,1,2008.0,MERC,0,T4W,1.0
1240,2019079163,2,2.0,1.0,3,1990.0,CADI,0,PCP,2.0
1241,2019079163,3,,31.0,30,,,0,,
1256,2019031615,1,4.0,1.0,1,2000.0,BUIC,0,P4D,1.0
1278,2019068735,1,1.0,1.0,1,2010.0,BMW,0,PCV,1.0
1279,2019068735,2,28.0,2.0,1,2002.0,SUZI,0,MRC,1.0
1289,2019035915,1,51.0,5.0,1,2017.0,FORD,0,TCB,1.0
1290,2019035915,2,15.0,6.0,1,2014.0,CHEV,0,T4W,1.0
1315,2019062876,1,20.0,2.0,1,2001.0,HD,0,MRS,1.0
1355,2019062021,1,4.0,1.0,1,2015.0,CHEV,0,P4D,1.0
1356,2019062021,2,,31.0,30,,,0,,
1482,2019022026,1,51.0,4.0,1,2016.0,GMC,0,TCW,1.0
1519,2019005549,1,4.0,1.0,1,2014.0,TOYT,0,P4D,1.0
1520,2019005549,2,39.0,3.0,1,2010.0,BLUI,0,TBU,1.0
1521,2019005549,3,4.0,1.0,1,2009.0,INFI,0,P4D,1.0
1545,2019082193,1,15.0,1.0,1,2013.0,HOND,0,T4W,1.0
1546,2019082193,2,4.0,1.0,1,2010.0,HOND,0,P4D,1.0
1556,2019057775,1,15.0,6.0,1,2004.0,TOYT,0,T4W,1.0
1557,2019057775,2,20.0,2.0,1,1985.0,KAWK,0,MRS,1.0
1561,2019129489,1,,99.0,5,,,0,,4.0
1562,2019129489,2,,31.0,30,,,0,,
1586,2019071021,1,9.0,1.0,1,2018.0,MAZD,0,P,1.0
1587,2019071021,2,51.0,4.0,3,1999.0,DODG,0,T4C,2.0
1588,2019071021,3,,31.0,30,,,0,,
1597,2019069375,1,51.0,4.0,1,2006.0,FORD,0,TPK,1.0
1598,2019069375,2,20.0,2.0,1,2004.0,VCTY,0,MRS,1.0
1625,2019114656,1,4.0,1.0,1,2002.0,TOYT,0,P4D,1.0
1626,2019114656,2,,31.0,30,,,0,,
1645,2019077237,1,28.0,2.0,1,2003.0,BMW,0,MRC,1.0
1652,2019063970,1,15.0,6.0,5,2009.0,JEEP,0,T4W,4.0
1653,2019063970,2,4.0,1.0,2,2007.0,MERC,1,P4D,2.0
1656,2019036372,1,51.0,4.0,1,2017.0,RAM,0,TPK,1.0
1712,2019020789,1,15.0,6.0,1,2006.0,JEEP,0,T4W,1.0
1713,2019020789,2,51.0,4.0,1,2014.0,CHEV,0,T4C,1.0
1718,2019029245,1,15.0,6.0,1,2017.0,TOYT,0,T4W,1.0
1719,2019029245,2,,31.0,30,,,0,,
1768,2019011763,1,51.0,4.0,1,2007.0,CHEV,0,T4C,1.0
1769,2019011763,2,4.0,1.0,1,2004.0,VOLK,0,P4D,1.0
1807,2019019810,1,15.0,6.0,1,2007.0,MAZD,0,T4W,1.0
1808,2019019810,2,4.0,1.0,1,2013.0,CHRY,0,P4D,1.0
1850,2019094713,1,4.0,1.0,1,2013.0,CHEV,0,P4D,1.0
1851,2019094713,2,51.0,4.0,1,2012.0,CHEV,0,T4C,1.0
2079,2019126265,1,69.0,6.0,1,2019.0,CHEV,0,T,1.0
2236,2019101920,1,5.0,1.0,1,2015.0,MITS,0,P4H,1.0
2420,2019043564,1,4.0,1.0,1,2003.0,LEXS,0,P4D,1.0
2421,2019043564,2,,31.0,30,,,0,,
2464,2020005685,1,69.0,4.0,1,2014.0,FORD,0,T,1.0
2508,2019089743,1,9.0,1.0,1,2017.0,NISS,0,P,1.0
2530,2020005685,2,4.0,1.0,1,2009.0,FORD,0,P4D,1.0
2540,2019095113,1,79.0,5.0,5,,,0,,4.0
2541,2019095113,2,,31.0,30,,,0,,
2646,2019104917,1,51.0,4.0,1,1996.0,FORD,0,TPC,1.0
2647,2019104917,2,20.0,2.0,1,2001.0,HD,0,MRS,1.0
2648,2019104917,3,20.0,2.0,1,2007.0,YAMA,0,MRS,1.0
2651,2019043703,1,20.0,2.0,1,2005.0,HD,0,MRS,1.0
2662,2019095508,1,24.0,13.0,1,,HOND,0,MAT,1.0
2672,2019091390,1,3.0,1.0,1,1997.0,VOLK,0,P2H,1.0
2673,2019091390,2,,20.0,30,,,0,,1.0
2692,2019030300,1,2.0,1.0,1,1994.0,FORD,0,PCP,1.0
2743,2019016658,1,41.0,7.0,1,2000.0,CHEV,0,TES,1.0
2756,2019069060,1,,31.0,30,,,0,,
2757,2019069060,2,15.0,6.0,1,2012.0,JEEP,0,T4W,1.0
2794,2019111186,1,15.0,6.0,1,2004.0,FORD,0,T4W,1.0
2812,2019087671,1,4.0,1.0,1,2001.0,HOND,0,P4D,1.0
2907,2019062495,1,20.0,2.0,1,2009.0,YAMA,0,MRS,1.0
2912,2019104163,1,9.0,1.0,1,2017.0,MAZD,0,P,1.0
2913,2019104163,2,15.0,6.0,1,2016.0,HOND,0,T4W,1.0
2983,2019121237,1,15.0,6.0,1,2015.0,CADI,0,T4W,1.0
2984,2019121237,2,,31.0,30,,,0,,
3063,2019091631,1,4.0,1.0,1,2014.0,CHEV,0,P4D,4.0
3064,2019091631,2,,31.0,30,,,0,,
3193,2019085521,1,9.0,1.0,1,2018.0,CHEV,0,P,1.0
3287,2019110042,1,24.0,13.0,5,,,0,,4.0
3288,2019110042,2,15.0,6.0,1,2011.0,FORD,0,T4W,1.0
3326,2019078124,1,15.0,6.0,1,2007.0,CHRY,0,T4W,1.0
3327,2019045463,1,4.0,1.0,1,2003.0,LINC,0,P4D,1.0
3379,2019049453,1,24.0,13.0,1,,POLS,0,MAT,1.0
3427,2019041098,1,6.0,1.0,1,2004.0,SUBA,0,PSW,1.0
3428,2019041098,2,15.0,6.0,2,2015.0,NISS,1,T4W,2.0
3585,2019101414,1,51.0,4.0,1,2008.0,DODG,0,TCW,1.0
3613,2020011615,1,9.0,1.0,1,1999.0,HOND,0,,1.0
3614,2020011615,2,4.0,1.0,1,2003.0,BUIC,0,P4D,1.0
3622,2019092315,1,,31.0,30,,,0,,
3623,2019092315,2,40.0,1.0,1,2014.0,CHRY,0,TSV,1.0
3640,2019088048,1,20.0,2.0,1,2014.0,HD,0,MRS,1.0
3641,2019055538,1,4.0,1.0,1,2009.0,ACUR,0,P4D,1.0
3642,2019055538,2,29.0,2.0,1,2017.0,HOND,0,M,1.0
3649,2019078540,1,4.0,1.0,1,2005.0,CHEV,0,P4D,1.0
3650,2019078540,2,69.0,6.0,1,2019.0,TOYT,0,T,1.0
3651,2019078540,3,15.0,6.0,1,2016.0,GMC,0,T4W,1.0
3729,2019005414,1,3.0,1.0,1,2007.0,TOYT,0,P2H,1.0
3783,2019082021,1,,99.0,5,,,0,,4.0
3784,2019082021,2,,31.0,30,,,0,,
3834,2020005186,1,9.0,1.0,1,2018.0,CHEV,0,P,1.0
3835,2020005186,2,4.0,1.0,1,2017.0,CHRY,0,P4D,1.0
