,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
201377,2013097954,2,4.0,1.0,1,2006.0,CHEV,0,P4D,1.0
201455,2013056440,1,20.0,2.0,1,2013.0,HD,0,MRS,1.0
201528,2013009025,1,15.0,6.0,1,2002.0,HOND,0,PUT,1.0
201620,2013030555,1,4.0,1.0,1,2005.0,TOYT,0,P4D,1.0
201721,2013088247,1,4.0,1.0,1,1999.0,BUIC,0,P4D,1.0
201722,2013088247,2,20.0,2.0,1,2007.0,HD,0,MRS,1.0
201749,2013008760,1,41.0,7.0,1,2000.0,CHEV,0,TEC,1.0
201750,2013008760,2,,31.0,30,,,0,,
201801,2013090108,1,15.0,6.0,1,1995.0,HOND,0,PUT,1.0
201887,2013069743,1,51.0,5.0,1,1990.0,FORD,0,TCC,1.0
202009,2013041440,1,51.0,4.0,1,2002.0,CHEV,0,TPK,1.0
202150,2013074858,1,2.0,1.0,1,1996.0,STRN,0,PCP,1.0
202151,2013074858,2,6.0,1.0,1,2011.0,OTHR,0,PSW,1.0
202196,2013006320,1,51.0,4.0,1,1992.0,FORD,0,TPK,1.0
202388,2013012264,1,4.0,1.0,1,2012.0,MITS,0,P4D,1.0
202602,2013131259,1,51.0,4.0,1,2012.0,CHEV,0,TCW,1.0
202603,2013131259,2,4.0,1.0,1,2013.0,BMW,0,P4D,1.0
202761,2013115939,1,51.0,4.0,1,2014.0,DODG,0,TPK,1.0
202791,2013096589,1,28.0,2.0,1,2011.0,HOND,0,MRC,1.0
202811,2013098056,1,4.0,1.0,1,2007.0,DODG,0,P4D,1.0
202844,2013128133,1,15.0,6.0,1,1994.0,TOYT,0,PUT,1.0
202870,2013065008,1,24.0,13.0,1,,HOND,0,,1.0
202917,2013065282,1,4.0,1.0,1,2001.0,CHEV,0,P4D,1.0
202918,2013065282,2,73.0,5.0,2,2001.0,OTHR,1,TTB,2.0
202989,2013132797,1,15.0,6.0,1,2007.0,JEEP,0,T4W,1.0
203005,2013038998,1,4.0,1.0,1,1997.0,BUIC,0,P4D,1.0
203006,2013038998,2,20.0,2.0,1,2005.0,SUZI,0,MRS,1.0
203169,2013091183,1,23.0,2.0,1,2007.0,SUZI,0,MEN,1.0
203179,2014003732,1,75.0,5.0,1,2009.0,FRHT,0,TTR,1.0
203186,2013069705,1,4.0,1.0,1,1999.0,STRN,0,P4D,1.0
203401,2013130471,1,2.0,1.0,1,1994.0,PONT,0,PCP,1.0
203402,2013130471,2,15.0,6.0,1,2008.0,HYUN,0,PUT,1.0
