,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
1,2013045922,40.572252,-75.475211,39,39301,5,6,,,1,0,2
47,2014021402,41.442826,-75.621585,35,35415,2,3,,,1,0,7
57,2014022230,40.195536,-79.841986,64,64103,2,5,,,1,0,2
89,2014021673,40.651178,-75.408037,48,48206,1,7,,,0,1,1
228,2014021632,41.24548,-76.990545,41,41301,1,1,,,0,1,4
281,2014023279,40.013767,-76.669547,66,66227,2,1,,,1,0,7
299,2014023345,40.475033,-79.937063,2,2301,2,1,,,0,1,0
317,2014022729,41.809858,-76.499166,8,8231,2,7,,,1,0,2
323,2014021800,41.365085,-76.044337,40,40434,2,2,,,0,1,1
330,2014022949,40.552058,-79.674105,64,64218,2,4,,,1,0,7
346,2014023540,40.127692,-80.383922,62,62203,2,6,,,1,0,7
369,2014022731,41.522502,-75.951136,65,65203,1,7,,,1,0,6
382,2014023586,41.240741,-78.884042,33,33218,2,6,,,1,0,0
515,2014023591,40.687737,-80.095709,10,10212,1,4,,,1,0,7
576,2014022246,40.425399,-79.964492,2,2301,2,5,,,0,1,4
628,2014023036,42.114194,-80.09625,25,25302,2,5,,,0,1,8
688,2014022519,40.122199,-74.960212,9,9202,2,5,,,1,0,4
794,2014022383,40.307666,-79.375866,64,64412,2,5,,,1,0,8
829,2014022903,42.076982,-80.112847,25,25213,2,6,,,1,0,8
905,2014021902,40.540776,-75.639362,39,39209,2,2,,,0,1,1
962,2014021976,40.114653,-75.277922,46,46107,2,6,,,1,0,1
1177,2014021780,40.32806,-75.949044,6,6427,2,3,,,1,0,1
1213,2014022555,40.975769,-80.470225,37,37206,2,3,,,1,0,7
1226,2014022351,40.099686,-78.822936,55,55220,2,4,,,1,0,7
1361,2014022793,40.462818,-80.139547,2,2115,2,3,,,1,0,2
1417,2014023683,40.964876,-77.615109,14,14224,2,7,,,2,0,7
1497,2014023428,40.341688,-79.814493,2,2477,2,1,,,1,0,2
1503,2014022566,40.47365,-78.532501,7,7201,1,6,,,2,0,1
1663,2014023251,40.497068,-79.806671,2,2113,2,1,,,1,0,7
1785,2014022031,39.867861,-75.369184,23,23301,2,3,,,0,1,8
1796,2014022175,40.960639,-76.575944,47,47206,2,4,,,1,0,4
1816,2014021245,41.18743,-75.972477,40,40101,2,3,,,0,1,8
1905,2014021514,40.609269,-79.564639,3,3216,2,7,,,1,0,7
2009,2014002817,41.112161,-75.407667,45,45203,1,2,,,1,0,2
2199,2014021534,40.330017,-76.511524,38,38101,2,3,,,1,0,1
2214,2014023207,40.050453,-76.303674,36,36301,2,7,,,1,0,4
2224,2014002062,40.149135,-79.939379,62,62211,1,6,,,1,0,7
2359,2014021469,40.133773,-77.040152,66,66201,2,3,,,2,0,2
2381,2014023229,40.866917,-75.193667,48,48216,2,7,,,0,1,7
2526,2014021293,40.646264,-78.400427,7,7202,2,1,,,1,0,7
2623,2014001564,40.114528,-80.240707,62,62201,1,5,,,1,0,7
2642,2014000106,40.621521,-75.473239,39,39102,1,4,,,1,0,5
2820,2014000883,40.578574,-79.749966,64,64305,1,6,,,1,1,4
2882,2014002189,40.548505,-79.777475,2,2121,1,6,,,0,1,4
2939,2014002192,39.925967,-75.279188,23,23111,1,1,,,0,1,8
2971,2014001649,39.762952,-77.572001,28,28215,1,6,,,0,1,7
2980,2014002924,41.366537,-79.705633,60,60206,1,7,,,1,0,7
3023,2014002884,39.83462,-76.914917,66,66211,1,5,,,0,1,2
3171,2014001470,40.313568,-78.916775,11,11427,1,6,,,1,0,7
3312,2014000705,39.956979,-75.354114,23,23112,1,5,,,1,0,7
3355,2014000086,40.079325,-75.321653,46,46220,1,4,,,1,0,8
3381,2014001690,40.37073,-78.958878,11,11228,1,1,,,0,1,7
3439,2014001695,40.24395,-75.238164,46,46211,1,7,,,1,0,7
3496,2014000953,40.349225,-79.688465,64,64101,1,4,,,1,0,7
3534,2014001700,40.265728,-77.25998,21,21208,1,7,,,1,0,6
3609,2014000195,40.463471,-79.930682,2,2301,1,4,,,1,0,8
3690,2014008810,42.109969,-79.976886,25,25210,1,4,,,1,0,0
3815,2014008740,39.728393,-77.663086,28,28215,1,1,,,0,1,7
3820,2014008055,41.119099,-80.007639,10,10221,1,1,,,1,0,99
3828,2014002543,40.959814,-80.434823,37,37206,1,6,,,1,0,2
3887,2014007984,39.75617,-77.580809,28,28406,1,7,,,0,1,8
3960,2014002489,40.442261,-79.952368,2,2301,1,2,,,1,0,8
3971,2014008763,39.977928,-75.820766,15,15301,1,7,,,1,0,1
4077,2014006558,39.926655,-75.304943,23,23404,1,1,,,1,1,4
4112,2014000225,40.295348,-76.002619,6,6103,1,4,,,1,0,7
4194,2014000246,39.863974,-75.416572,23,23101,1,4,,,1,0,4
4383,2014009049,39.97039,-78.024286,29,29206,1,2,,,1,0,7
4454,2014007571,40.315923,-76.929526,21,21101,1,6,,,1,0,7
4574,2014007653,41.034219,-79.556778,16,16211,1,7,,,1,0,7
4600,2014008462,40.900833,-79.446192,3,3202,1,7,,,1,0,2
4649,2014008398,40.096278,-77.057028,66,66210,1,4,,,0,1,8
4694,2014007502,39.936601,-75.682739,15,15243,1,6,,,2,0,6
4810,2014007663,41.609993,-79.785984,60,60214,1,6,,,1,0,7
4815,2014008894,41.963065,-75.659754,57,57212,1,4,,,0,1,7
4857,2014006625,41.348805,-79.947117,60,60210,1,1,,,1,0,7
4888,2014007600,40.187966,-74.867833,9,9208,1,7,,,1,0,1
4962,2014007385,40.605551,-75.471074,39,39301,1,6,,,1,0,4
5045,2014006780,40.171999,-74.834063,9,9208,1,4,,,1,0,8
5108,2014007459,40.454825,-79.994438,2,2301,1,7,,,1,0,1
5118,2014008424,40.144615,-74.814992,9,9421,1,1,,,0,1,8
5156,2014009036,41.911663,-79.841948,25,25217,1,2,,,1,0,2
5253,2014008374,41.935978,-78.653679,42,42202,1,2,,,1,1,7
5296,2014007124,40.698983,-79.669267,3,3223,1,4,,,1,0,7
5326,2014013987,41.030477,-75.309623,45,45101,1,4,,,1,0,7
5329,2014013243,41.219802,-80.017533,43,43230,1,3,,,1,0,4
5514,2014007787,40.151847,-75.025719,9,9225,1,4,,,1,0,1
5528,2014014057,40.590455,-79.736289,64,64306,2,7,,,1,0,8
5636,2014013256,40.629773,-77.972773,31,31229,1,5,,,0,1,7
5663,2014008678,40.459971,-79.866254,2,2113,1,3,,,1,0,7
5778,2014013273,39.866629,-76.252895,36,36208,1,4,,,1,0,7
5806,2014012589,41.003594,-80.364361,37,37301,1,4,,,0,1,4
5883,2014007674,40.40408,-77.010168,22,22213,1,5,,,1,0,4
5885,2014006208,40.467543,-76.260009,6,6239,1,2,,,1,0,7
5921,2014008689,41.604247,-76.090103,65,65209,1,4,,,0,1,7
5999,2014007948,40.063658,-74.966141,9,9202,1,1,,,1,0,7
6048,2014014030,41.175818,-77.325818,18,18217,2,7,,,0,1,0
6093,2014013970,41.410399,-79.852802,60,60409,1,6,,,1,0,7
6150,2014006220,40.028886,-75.5882,15,15254,1,4,,,1,0,7
6191,2014007687,40.973321,-80.519012,37,37206,1,7,,,0,1,4
6241,2014006224,41.239764,-77.017108,41,41301,1,4,,,1,0,8
6301,2014014041,40.638634,-79.898537,2,2220,2,7,,,0,1,7
6318,2014007912,41.895397,-77.476593,58,58230,1,7,,,1,0,7
6395,2014013300,40.637724,-76.364933,53,53224,1,1,,,0,1,7
6398,2014007699,41.236171,-75.928145,40,40101,1,7,,,1,0,1
6421,2014013301,40.589955,-76.318359,53,53233,1,3,,,0,1,7
6530,2014012709,41.173265,-75.678413,40,40203,1,3,,,1,0,8
6577,2014013386,41.254582,-80.4335,43,43303,1,6,,,1,0,7
6582,2014015023,40.765275,-75.565691,48,48207,2,3,,,1,0,2
6626,2014014128,41.209387,-79.389412,16,16402,2,1,,,1,0,1
6672,2014014420,40.692052,-80.455973,4,4430,2,2,,,0,1,7
6739,2014013536,40.623074,-75.450404,39,39301,1,6,,,1,0,4
6767,2014012101,40.369541,-76.940664,22,22211,1,7,,,1,0,7
6773,2014014073,40.78708,-76.962898,54,54207,1,6,,,1,0,7
6800,2014012786,40.464711,-79.854254,2,2113,1,5,,,1,0,7
6834,2014012861,39.996567,-77.302287,1,1214,1,3,,,1,0,7
6882,2014013476,39.960679,-76.611291,66,66233,1,2,,,1,0,4
6883,2014014284,39.885503,-79.958754,30,30203,2,1,,,1,0,7
6954,2014012180,40.281888,-76.520084,38,38211,1,5,,,1,0,7
6990,2014014222,41.983538,-76.373493,8,8236,1,2,,,1,0,7
7163,2014012598,40.827252,-75.704465,13,13406,1,4,,,1,0,8
7164,2014013344,39.895892,-75.315275,23,23107,1,5,,,1,0,8
7191,2014012599,40.334663,-75.961086,6,6429,1,5,,,0,1,8
7572,2014014185,40.182759,-75.517779,46,46222,1,2,,,1,0,7
7722,2014010995,41.208574,-79.390011,16,16204,1,7,,,1,0,2
7740,2014012370,41.782261,-79.78725,20,20203,1,7,,,1,0,4
7786,2014014638,40.459266,-80.190007,2,2213,1,2,,,0,1,4
7956,2014012234,41.807522,-75.840754,57,57204,1,1,,,1,0,99
8023,2014014648,40.998967,-79.495925,16,16211,1,5,,,0,1,7
8034,2014011020,39.921511,-77.122022,1,1220,1,5,,,1,0,7
8079,2014013835,40.354268,-77.423236,50,50215,1,2,,,1,0,7
8101,2014014589,40.107923,-80.140547,62,62218,1,4,,,1,0,7
8105,2014014651,40.836103,-79.632402,3,3417,2,7,,,1,0,4
8155,2014012325,40.748196,-75.791306,53,53237,1,1,,,0,1,7
8293,2014014585,40.292815,-79.463038,64,64217,1,6,,,0,1,8
8297,2014013844,40.281651,-76.927448,21,21101,1,3,,,1,0,8
8299,2014012393,40.032521,-77.515132,28,28213,1,3,,,1,0,7
8424,2014012959,40.502475,-80.364176,4,4209,1,4,,,1,0,7
8567,2014013715,40.408693,-76.98533,22,22213,1,2,,,1,0,7
8579,2014012407,40.562881,-76.004983,6,6238,1,7,,,1,0,4
8730,2014013191,40.351853,-75.959984,6,6429,1,5,,,0,1,7
8798,2014010474,39.823696,-75.867001,15,15229,1,4,,,1,0,7
8908,2014010479,39.853796,-75.992426,15,15237,1,4,,,1,0,7
9066,2014010282,40.842199,-75.897852,13,13412,1,3,,,1,0,4
9309,2014010295,40.074527,-76.48473,36,36230,1,6,,,1,0,7
9397,2014011112,40.352799,-79.97801,2,2476,1,1,,,0,1,7
