,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
91,2006109256,26,M,1.0,1,1.0
157,2007009209,20,F,3.0,1,1.0
158,2007009209,19,F,2.0,1,2.0
159,2007009209,18,M,3.0,1,2.0
160,2007009209,19,M,4.0,1,2.0
161,2007009209,18,M,3.0,1,2.0
183,2007011132,43,F,0.0,1,1.0
184,2007011132,55,M,4.0,2,1.0
185,2007011132,54,F,2.0,2,2.0
268,2006043254,17,M,2.0,1,1.0
269,2006043254,65,M,0.0,2,1.0
353,2006101716,29,M,0.0,1,1.0
354,2006101716,2,F,1.0,2,7.0
447,2006050369,31,M,1.0,1,1.0
685,2006054996,28,M,2.0,1,1.0
686,2006054996,17,M,0.0,2,1.0
687,2006054996,24,F,0.0,2,2.0
688,2006054996,56,F,0.0,3,1.0
726,2007004344,26,M,2.0,1,1.0
742,2006083537,36,F,4.0,1,1.0
743,2006083537,49,M,2.0,2,1.0
797,2006058548,49,F,2.0,1,1.0
798,2006058548,53,F,3.0,2,1.0
842,2006112400,43,M,0.0,1,1.0
843,2006112400,12,M,2.0,2,7.0
879,2006064570,26,M,3.0,1,1.0
880,2006064570,27,M,4.0,1,2.0
881,2006064570,28,M,0.0,1,2.0
882,2006064570,99,U,0.0,2,1.0
883,2006064570,50,M,2.0,3,1.0
884,2006064570,52,F,3.0,3,2.0
922,2007005233,21,M,0.0,1,1.0
923,2007005233,23,M,0.0,1,2.0
924,2007005233,14,M,2.0,2,7.0
1011,2006045858,26,M,0.0,1,1.0
1012,2006045858,20,F,2.0,1,2.0
1014,2006028783,27,M,0.0,1,1.0
1015,2006028783,44,M,4.0,2,4.0
1016,2006028783,22,F,2.0,2,5.0
1444,2007004146,40,F,1.0,1,7.0
1445,2007004146,20,M,0.0,2,1.0
1446,2007004146,19,F,0.0,2,2.0
1547,2006027058,38,M,1.0,1,1.0
1560,2007003481,77,M,1.0,1,1.0
1561,2007003481,58,M,2.0,2,1.0
1562,2007003481,59,F,4.0,3,1.0
1754,2006102136,34,F,2.0,1,1.0
1845,2006035551,27,M,1.0,1,1.0
1850,2006074827,40,F,2.0,1,1.0
1851,2006074827,26,M,0.0,2,1.0
1852,2006074827,25,F,0.0,2,2.0
1853,2006074827,25,M,0.0,2,2.0
1854,2006074827,23,F,4.0,2,2.0
1930,2006055984,23,F,2.0,1,1.0
1931,2006055984,20,M,0.0,2,1.0
1974,2006064219,25,M,2.0,1,1.0
1985,2006106116,34,M,2.0,1,1.0
1986,2006106116,22,M,2.0,2,1.0
1987,2006106116,21,F,2.0,2,2.0
2021,2006031921,62,F,0.0,1,1.0
2022,2006031921,31,M,2.0,2,1.0
2029,2006083154,42,M,2.0,1,1.0
2030,2006083154,35,F,2.0,1,2.0
2102,2006081862,50,M,0.0,1,1.0
2103,2006081862,25,M,2.0,2,1.0
2104,2006081862,22,M,0.0,3,1.0
2238,2006033202,19,M,2.0,1,1.0
2256,2006058793,54,F,0.0,1,1.0
2257,2006058793,80,F,2.0,2,1.0
2308,2006057032,45,M,2.0,1,1.0
2309,2006057032,35,M,8.0,1,2.0
2310,2006057032,29,F,8.0,1,2.0
2358,2006104862,30,M,1.0,1,1.0
2359,2006104862,16,M,4.0,1,2.0
2388,2006080181,99,F,9.0,1,1.0
2389,2006080181,99,M,9.0,1,2.0
2390,2006080181,99,M,9.0,1,2.0
2391,2006080181,86,M,1.0,2,1.0
2397,2006100193,54,M,2.0,1,1.0
2563,2006074236,18,M,2.0,1,1.0
2564,2006074236,27,F,0.0,2,1.0
2816,2006116445,14,F,2.0,1,7.0
2817,2006116445,35,F,0.0,2,1.0
2818,2006116445,59,F,0.0,2,2.0
2819,2006116445,8,M,0.0,2,2.0
2877,2007003459,61,M,1.0,1,1.0
2878,2007003459,50,M,0.0,2,1.0
2936,2006096948,24,M,2.0,1,1.0
2937,2006096948,24,M,1.0,1,2.0
3018,2007015290,21,M,2.0,1,1.0
3021,2006085751,32,F,1.0,1,1.0
3078,2006065067,24,M,1.0,1,1.0
3321,2006029284,48,F,2.0,1,1.0
3364,2006112533,42,F,0.0,1,1.0
3365,2006112533,71,F,0.0,1,2.0
3366,2006112533,77,M,2.0,1,2.0
3367,2006112533,46,M,0.0,1,2.0
3400,2007019913,42,M,0.0,1,1.0
3401,2007019913,79,F,1.0,2,7.0
3463,2006121461,94,M,9.0,1,1.0
3464,2006121461,14,M,2.0,2,4.0
3552,2006051239,21,M,4.0,1,1.0
3553,2006051239,1,M,1.0,1,2.0
3554,2006051239,42,F,3.0,2,1.0
3572,2006019031,31,M,2.0,1,1.0
3573,2006019031,30,M,0.0,1,2.0
3574,2006019031,36,M,0.0,2,1.0
3655,2006112463,66,M,0.0,1,1.0
3656,2006112463,21,M,2.0,2,7.0
3747,2006103370,27,M,1.0,1,1.0
3748,2006103370,76,F,0.0,2,1.0
3767,2006040982,18,M,2.0,1,1.0
3768,2006040982,18,M,1.0,1,2.0
3769,2006040982,16,F,1.0,1,2.0
3779,2006086336,34,M,1.0,1,1.0
3937,2006082483,79,M,3.0,1,1.0
3938,2006082483,76,F,2.0,1,2.0
3939,2006082483,16,F,0.0,2,1.0
3940,2006082483,45,F,0.0,2,2.0
3941,2006082483,16,F,0.0,2,2.0
3948,2006116310,46,F,0.0,1,1.0
3949,2006116310,56,M,2.0,2,1.0
3950,2006116310,45,F,4.0,3,1.0
3975,2006049979,48,F,2.0,1,1.0
4007,2006025870,50,M,0.0,1,1.0
4008,2006025870,62,M,2.0,2,7.0
4093,2006048261,36,M,1.0,1,1.0
4094,2006048261,44,M,0.0,2,1.0
4095,2006030537,20,M,2.0,1,1.0
4096,2006030537,38,M,2.0,2,1.0
4110,2006031702,21,M,2.0,1,1.0
4111,2006031702,20,M,3.0,1,2.0
4112,2006031702,21,M,2.0,1,2.0
4138,2006060826,35,M,0.0,1,1.0
4139,2006060826,11,M,0.0,1,2.0
4140,2006060826,20,M,0.0,2,1.0
4141,2006060826,99,M,0.0,2,2.0
4142,2006060826,33,F,2.0,3,7.0
4173,2006096868,32,M,1.0,1,1.0
4174,2006096868,37,M,4.0,2,1.0
4175,2006096868,14,M,4.0,2,2.0
4279,2006076842,42,M,2.0,1,1.0
4318,2006031112,17,M,0.0,1,1.0
4319,2006031112,17,M,1.0,1,2.0
4444,2006049962,37,M,2.0,1,1.0
4445,2006049962,37,F,4.0,2,1.0
4446,2006049962,13,F,4.0,2,2.0
4447,2006049962,9,M,4.0,2,2.0
4648,2006045898,63,F,1.0,1,1.0
4649,2006045898,35,M,3.0,2,1.0
4650,2006045898,9,M,4.0,2,2.0
4651,2006045898,13,M,4.0,2,2.0
4814,2006028601,35,M,2.0,1,1.0
4827,2006098534,24,M,2.0,1,1.0
4828,2006098534,22,M,2.0,1,2.0
4966,2006073929,49,M,2.0,1,1.0
4967,2006073929,48,F,3.0,1,2.0
4968,2006097889,21,M,2.0,1,1.0
4969,2006097889,21,M,8.0,1,2.0
4988,2006042395,76,F,2.0,1,1.0
4989,2006042395,35,M,0.0,2,1.0
4990,2006042395,39,M,0.0,2,8.0
4991,2006042395,99,M,4.0,3,8.0
5007,2006020939,73,F,0.0,1,1.0
5008,2006020939,6,F,2.0,2,7.0
5176,2006053690,25,M,4.0,1,1.0
5177,2006053690,99,M,4.0,1,2.0
5178,2006053690,99,M,4.0,2,1.0
5179,2006053690,99,M,2.0,2,2.0
5180,2006053690,99,M,0.0,2,2.0
5311,2006103284,49,M,2.0,1,1.0
5449,2006107565,22,M,0.0,1,1.0
5450,2006107565,17,F,2.0,2,1.0
5716,2006121866,72,F,3.0,1,1.0
5717,2006121866,70,M,3.0,1,2.0
5718,2006121866,14,F,2.0,1,2.0
5719,2006121866,66,M,4.0,2,1.0
5720,2006121866,64,F,3.0,2,2.0
5763,2006206327,17,M,2.0,1,1.0
5824,2006126224,21,F,2.0,1,1.0
5855,2006085208,53,M,4.0,1,1.0
5856,2006085208,50,F,2.0,1,2.0
5857,2006085208,20,U,4.0,1,2.0
5858,2006085208,20,M,3.0,1,2.0
5859,2006085208,60,M,3.0,2,1.0
5860,2006085208,56,F,3.0,2,2.0
5867,2006026966,44,M,2.0,1,1.0
5868,2006026966,38,F,3.0,2,2.0
5869,2006026966,48,M,0.0,2,1.0
5877,2006088680,38,M,2.0,1,1.0
5986,2006092759,21,M,2.0,1,1.0
5987,2006092759,75,M,0.0,2,1.0
6079,2006038043,44,M,0.0,1,1.0
6080,2006038043,43,F,0.0,1,2.0
6081,2006038043,65,F,2.0,2,1.0
6082,2006038043,95,F,2.0,2,2.0
6101,2006092790,48,M,0.0,1,1.0
6102,2006092790,10,M,2.0,2,4.0
6181,2007005921,53,M,2.0,1,1.0
6182,2007005921,31,F,2.0,2,1.0
6236,2006029447,59,M,0.0,1,1.0
6237,2006029447,77,M,1.0,2,7.0
6335,2007011333,38,F,1.0,1,1.0
6434,2006041874,20,M,2.0,1,1.0
6440,2006114616,58,M,1.0,1,1.0
6441,2006114616,51,M,0.0,2,1.0
6478,2006064281,34,M,2.0,1,1.0
6479,2006064281,29,F,8.0,1,2.0
6480,2006064281,6,M,8.0,1,2.0
6481,2006064281,1,F,0.0,1,2.0
6482,2006064281,1,F,0.0,1,2.0
6522,2006074330,25,M,1.0,1,1.0
6523,2006074330,26,M,0.0,2,1.0
6524,2006074330,15,M,0.0,2,2.0
6525,2006074330,1,F,0.0,2,2.0
6526,2006074330,11,M,0.0,2,2.0
6527,2006206868,56,M,0.0,1,1.0
6528,2006206868,49,M,2.0,2,1.0
6562,2006120838,17,F,3.0,1,1.0
6563,2006120838,17,F,2.0,1,2.0
6568,2006018887,28,M,2.0,1,1.0
6730,2006070626,13,M,1.0,1,1.0
6731,2006070626,39,M,0.0,2,1.0
6838,2006090050,19,F,4.0,1,1.0
6839,2006090050,24,M,2.0,2,1.0
7002,2006080832,26,F,2.0,1,1.0
7003,2006080832,68,M,0.0,2,1.0
7004,2006080832,65,F,0.0,2,2.0
7052,2006096562,35,M,1.0,1,1.0
7165,2006023779,70,M,2.0,1,1.0
7166,2006023779,31,M,3.0,2,1.0
7255,2006102128,64,M,2.0,1,1.0
7256,2006102128,37,F,4.0,2,1.0
7257,2006099257,45,M,2.0,1,1.0
7472,2006082722,57,M,2.0,1,1.0
7565,2006067752,39,M,2.0,1,1.0
7566,2006067752,82,F,4.0,2,1.0
7567,2006113833,17,F,3.0,1,1.0
7568,2006113833,19,M,4.0,1,2.0
7569,2006113833,17,F,3.0,1,2.0
7570,2006113833,66,M,2.0,2,1.0
7610,2006030489,51,M,2.0,1,1.0
7703,2006085815,45,M,2.0,1,1.0
7942,2006109644,23,F,2.0,1,1.0
7943,2006109644,50,M,4.0,2,1.0
7956,2006069280,19,F,0.0,1,1.0
7957,2006069280,16,F,0.0,1,2.0
7958,2006069280,43,F,2.0,2,1.0
7959,2006069280,70,M,2.0,2,2.0
8102,2006083882,34,M,2.0,1,1.0
8155,2007025556,39,M,1.0,1,1.0
8186,2006032480,51,M,1.0,1,1.0
8187,2006032480,44,F,2.0,2,1.0
8256,2006037518,29,M,3.0,1,1.0
8257,2006037518,31,M,1.0,1,2.0
8279,2006105792,35,M,2.0,1,1.0
8280,2006105792,35,M,0.0,2,1.0
8281,2006105792,40,F,0.0,2,2.0
8370,2006055746,35,M,4.0,1,1.0
8371,2006055746,99,F,3.0,1,2.0
8372,2006055746,42,F,2.0,2,1.0
8373,2006055746,43,M,3.0,2,2.0
8377,2006071077,70,M,1.0,1,1.0
8378,2006071077,42,M,0.0,2,1.0
8450,2006083882,25,F,4.0,2,1.0
8451,2006083882,26,M,0.0,2,2.0
8768,2007004370,40,M,0.0,1,1.0
8769,2007004370,34,M,1.0,1,2.0
8841,2006051109,28,M,2.0,1,1.0
8924,2006050352,17,M,2.0,1,1.0
8925,2006050352,16,M,2.0,1,2.0
8937,2006083225,48,M,2.0,1,1.0
8938,2006083225,17,F,3.0,1,2.0
8940,2006114558,57,M,0.0,1,1.0
8941,2006114558,45,M,1.0,2,1.0
9014,2006204196,36,M,2.0,1,1.0
9015,2007009404,65,M,0.0,1,1.0
9016,2007009404,16,M,2.0,2,7.0
9064,2006091115,26,M,1.0,1,1.0
9065,2006091115,34,F,0.0,2,1.0
9066,2006091115,48,M,0.0,2,2.0
9094,2006040885,64,M,2.0,1,1.0
9101,2006087978,17,F,2.0,1,1.0
9102,2006087978,17,F,0.0,1,2.0
