,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
3,2005000012,40.135656,-76.615497,36,36237,1,7,,,0,1,4
51,2005001009,40.532778,-80.176715,2,2452,1,2,,,0,1,8
54,2005001018,40.442375,-75.348946,9,9415,1,3,,,0,1,4
83,2005001552,40.331389,-75.458021,46,46210,1,2,,,1,0,2
284,2005004033,40.617222,-79.830919,2,2220,1,2,,,0,1,7
294,2005004599,40.490652,-79.644051,64,64219,1,4,,,2,0,2
299,2005004707,40.107641,-75.610037,15,15251,1,4,,,1,0,7
329,2005005179,40.340296,-79.967417,2,2454,1,5,,,1,0,4
353,2005005264,,,44,44205,1,5,,,1,0,7
404,2005005334,40.150762,-76.571777,36,36225,1,5,,,1,0,2
423,2005005367,40.206944,-76.038335,36,36202,1,1,,,1,0,7
429,2005005374,40.184017,-76.600842,36,36225,1,7,,,2,0,4
556,2005005536,41.366667,-75.967069,40,40206,1,2,,,2,1,2
587,2005006416,40.710601,-75.245534,48,48205,1,3,,,0,1,4
755,2005010691,40.218332,-76.473402,36,36225,1,4,,,1,0,7
757,2005010695,40.343632,-79.991828,2,2403,1,4,,,0,1,2
998,2005014921,40.1469,-76.966,66,66219,1,1,,,1,0,7
1148,2005019834,40.271789,-75.166756,9,9205,1,7,,,1,0,7
1152,2005019838,40.545054,-80.149126,2,2459,1,7,,,1,0,7
1174,2005019861,40.1741,-76.5958,36,36225,1,2,,,1,0,4
1180,2005019867,40.1788,-76.5874,36,36225,1,3,,,1,0,7
1205,2005019899,40.329071,-75.646022,6,6405,1,6,,,1,0,7
1219,2005020080,,,48,48211,1,5,,,1,0,7
1221,2005020137,40.695649,-80.136078,10,10212,1,7,,,1,0,4
1227,2005020622,40.4713,-79.5899,64,64219,1,1,,,1,0,1
1234,2005021241,40.345823,-76.387941,38,38212,1,7,,,1,0,7
1321,2005023684,40.435,-79.824181,2,2419,1,7,,,2,1,7
1360,2005024965,39.825,-77.258667,1,1204,2,4,,,0,1,2
1377,2005025466,40.621111,-77.560789,44,44205,2,4,,,0,1,2
1389,2005026135,,,46,46102,1,1,,,0,1,7
1417,2005027737,40.720834,-76.191266,53,53425,1,7,,,1,0,6
1427,2005028037,40.248757,-79.876792,2,2204,1,7,,,1,0,99
1444,2005028119,40.739167,-75.421439,48,48211,2,3,,,1,1,4
1470,2005029329,40.0329,-75.5855,15,15254,2,6,,,1,0,5
1583,2005030388,40.322214,-79.926101,2,2440,2,4,,,1,1,4
1613,2005032394,40.549748,-79.959455,2,2118,1,1,,,1,0,4
1628,2005032912,40.292778,-79.874817,2,2302,2,3,,,0,1,2
1697,2005037019,41.073851,-76.416005,19,19219,2,6,,,3,0,2
1716,2005037231,40.727778,-79.925608,10,10222,2,5,,,1,1,2
1779,2005037703,40.477423,-78.724013,11,11205,1,2,,,1,0,1
1782,2005037710,40.2365,-76.1273,36,36210,1,7,,,1,0,0
1791,2005037748,,,36,36235,2,7,,,1,0,5
1814,2005038192,40.910796,-76.476283,19,19208,2,3,,,0,1,2
1827,2005038362,41.241811,-76.995653,41,41301,1,4,,,1,0,4
1896,2005038694,,,39,39301,1,5,,,1,0,4
2022,2005039223,40.6965,-80.3854,4,4201,1,3,,,1,0,1
2128,2005039775,40.253915,-75.659617,46,46416,1,3,,,1,0,8
2242,2005040275,,,38,38208,2,7,,,1,0,6
2286,2005040356,,,58,58221,1,4,,,1,0,1
2301,2005040475,40.464484,-79.930088,2,2301,1,2,,,1,0,8
2342,2005042391,40.879006,-79.952071,10,10101,1,6,,,1,0,4
2379,2005042656,40.454,-79.952,2,2301,1,5,,,1,0,4
2420,2005042834,,,2,2301,1,7,,,3,0,7
2471,2005043276,40.469259,-78.755083,11,11205,1,4,,,2,0,4
2539,2005043835,,,7,7301,1,2,,,1,0,7
2592,2005044031,40.322136,-76.789206,22,22208,1,5,,,1,0,1
2674,2005044206,40.3889,-75.9203,6,6411,1,7,,,1,0,1
2695,2005044269,41.349581,-79.710892,60,60206,1,5,,,1,0,4
