,CRN,STREET_NAME
5,2018059571,PRICETOWN RD
14,2018120267,WILLIAM PENN HW
68,2018136526,CAMBRIA ST
69,2018136526,ARAMINGO AV
121,2018090654,BURNT CABINS RD
139,2018104005,CREEK RD
140,2018104005,STREET RD
159,2018094754,SR 0611 HW
169,2018115167,ROBERTS AV
170,2018115167,BERKLEY ST
182,2018087786,VIETNAM VETERANS MEM HW
277,2018030824,BETHEL RD
282,2018066409,BEAU ST
283,2018106164,PARK RD
284,2018106164,LIPP RD
285,2018026592,AMERICAN LEGION MEM HW
327,2018039287,HILDEBRANT RD
339,2018111652,KENNETH AV
340,2018111652,KING ST
374,2018101526,MORGANTOWN RD
413,2018115395,CHAPMAN LAKE RD
474,2018052304,BETHLEHEM PK
475,2018052304,LINDENWOLD AV
476,2018052304,LINDENWOLD TE
590,2018082230,HILTON HOTEL LT
603,2018079724,SR 0054 HW
649,2018070761,RENOVO RD
680,2018130571,LINCOLN HW
681,2018130571,LINCOLN HW
682,2018130571,SKELLYTOWN RD
692,2018012962,WAYNESBORO PK
760,2018097771,EAST/WEST PK
765,2018101184,THIRD ST
766,2018101184,MARKET ST
767,2018101184,MARKET ST
837,2018010038,BUCKTAIL TRAIL HW
842,2018016122,MARS CRIDER RD
877,2018066458,NEW BALTIMORE PK
878,2018066458,PASCHALL MILL RD
939,2018131048,ALLENTOWN PK
996,2018042798,MARKET ST
1009,2018130685,BUSTLETON AV
1010,2018130685,BUSTLETON AV
1011,2018130685,STANWOOD ST
1075,2018082796,HANCOCK ST
1080,2018030705,HERMITAGE ST
1081,2018030705,RIDGE AV
1090,2018062159,RICHARD C FRAME HW
1167,2018074497,POINT PLEASANT PK
1168,2018074497,CARVERSVILLE RD
1217,2018103023,ALLENTOWN RD
1286,2018065205,NEWARK RD
1349,2018052424,SR 0028 HW
1399,2018055514,RAMP E RD
1400,2018055514,SR 0070 RR
1420,2018031372,NOBLE ST
1422,2018031372,LANCASTER AV
1423,2018031372,LANCASTER AV
1429,2018072713,HOMEWOOD AV
1430,2018061459,HARRISBURG PK
1431,2018072713,FRANKSTOWN AV
1534,2018127028,BLACK HORSE RD
1535,2018127028,POTTSTOWN PK
1561,2019000702,PRATT ST
1564,2019000702,FRANKFORD AV
1565,2019000702,FRANKFORD AV
1584,2018132901,LINCOLN HW
1606,2018054063,POINT BREEZE AV
1665,2018036887,OLD YORK RD
1710,2018029640,DERRY ST
1754,2018117393,PHILO ST
1755,2018117393,MAIN AV
1762,2018112381,FRANKFORD AV
1772,2018038492,QUENTIN RD
1774,2018038492,SPRING HILL LN
1787,2018058479,LINCOLN HW
1808,2018053858,LINCOLN HW
1868,2018070935,STEWART AV
1869,2018070935,STEWART AV
1870,2018070935,INDUSTRIAL HW
1871,2018070935,INDUSTRIAL HW
1887,2018092145,LINDEN RD
1889,2018092145,TOPTON RD
1890,2018092145,HINTERLEITER RD
1975,2018033000,RACCOON VALLEY RD
1986,2018036825,SR 0191 HW
1992,2018089556,MAIN ST
1993,2018089556,FRIEDENS RD
2099,2018120153,MOORESTOWN RD
2184,2018058745,SR 0079 HW
2221,2018026917,BROAD ST
2226,2018028014,CARLISLE RD
2227,2018028014,CONEWAGO RD
2300,2018036032,SR 0085 SH
2309,2018096893,SR 0408 HW
2327,2018075719,VIETNAM VETERANS MEMOR HW
2339,2018126149,WAGGONERS GAP RD
2354,2018018874,MOOSIC ST
2356,2018093877,NEW CASTLE INT/RAMP J RD
2396,2018137359,RANDOLPH ST
2403,2018006574,KINGS HW
2476,2018101417,CASANOVA RD
2483,2018014841,PEPPERMINT RD
2484,2018014841,RICHLANDTOWN PK
2489,2018049942,SCHOENERSVILLE RD
2492,2018049942,JACKSONVILLE RD
2493,2018049942,SCHOENERSVILLE RD
2542,2018057318,DINNERBELL RD
2544,2018057318,PITTSBURGH RD
2545,2018057318,PITTSBURGH RD
2604,2018088101,RESERVOIR RD
2713,2018058391,GRAND ARMY OF THE REP HW
2794,2018062879,EMMAUS AV
2849,2018108054,GIBSONIA HW
2856,2018133461,PARKSIDE AV
2866,2018052960,E 7TH ST
2905,2018125206,GREENS DR
2943,2019005077,283RD FIELD ARTILLERY MEM HW
2953,2018070147,AUTUMN HILL DR
3009,2018027944,MARION AV
3010,2018027944,LINCOLN HW
3011,2018027944,TRENTON AV
3045,2018110801,SARVER RD
3049,2019008483,TENTH AV
3050,2019008483,TENTH AV
3051,2019008483,MORGAN ST
3052,2018010553,CRABTREE RD
3139,2019000877,RAMP D RD
3150,2018059534,NEW SCHUYLKILL RD
3199,2018112381,TORRESDALE AV
3389,2018108006,BROADWAY WY
3390,2018108006,FIOT AV
3459,2018035157,HEATHER DR
3462,2018035157,CHESTNUT HILL RD
3484,2018036913,GREEN LN
3494,2018022416,FRIEDENSBURG RD
3549,2018105678,DELAWARE EX
3584,2018123462,WALTON AV
3585,2018123462,51ST ST
3663,2018059509,E HIGH ST
3664,2018059509,S LINCOLN AV
3680,2018030229,MORGANTOWN RD
3771,2018084704,SCENIC DR
3772,2018084704,BANETOWN RD
3881,2019000846,SPRING LANE RD
3883,2019000846,ORE BANK RD
3884,2019000846,BLUE-GRAY HW
3898,2018093543,MARKET ST
3914,2018070391,ROUND HILL RD
3915,2018070391,ROUND HILL ET
3916,2018070391,SCENERY DR
3921,2018064534,WALNUT ST
3928,2018033969,NEWVILLE RD
3934,2018024412,NORTHEAST EX
3943,2018060494,PERRY HW
3947,2018109595,ROOSEVELT BL
3950,2018132123,BETHEL CHURCH RD
3962,2018043849,WEST CHESTER PK
3975,2018056065,MONTGOMERY RUN RD
3986,2018070908,CHERRY LN
3995,2018041732,TOWNSHIP LINE RD
4076,2018081195,FREEMANSBURG AV
4077,2018066729,WARMINSTER AV
4078,2018066729,COUNTY LINE RD
4079,2018066729,COUNTY LINE RD
4101,2018032516,SR 0202 SH
4120,2018090587,MOUNT GRETNA RD
4138,2018130135,TENTH ST
4139,2018130135,EMMAUS AV
4185,2018007156,FIFTH AV
4205,2018079964,HAYMAKER RD
4206,2018079964,REGAL CT
4257,2018059927,WRIGHT RD
4269,2018075863,15TH ST
4270,2018075863,MARKET ST
4297,2018021604,MADISON AV CONN FR 28 SH
4340,2018104684,JOHNSTON ST
4341,2018104684,S 4TH ST
4342,2018104684,FOURTH ST
4345,2018111952,DIXIE RUN RD
4393,2018136725,LINCOLN HW
4458,2018000007,DAVIS ST
4488,2018071526,WEST CHESTER PK
4525,2018101572,VIETNAM VETERANS MEMOR HW
4526,2018103615,NORTHEAST EX
4538,2018001826,SIXTEENTH ST
4615,2018139017,SR 0235 HW
4710,2019081323,BENTLEYVILLE RD
4741,2018132939,INDUSTRIAL PARK RD
4787,2018137430,PENN LINCOLN PY
4802,2019005339,AMERICAN LEGION MEM HW
4845,2018057471,SR 0089 HW
4909,2018080224,BEACH LAKE HW
4910,2018080224,BAVARIAN HILL RD
4965,2018020193,MAIN ST
4966,2018020193,MONROE ST
5013,2018082950,DELAWARE EX
5015,2018123511,SIXTYFIFTH ST
5023,2019010674,PENNSYLVANIA AV
5134,2018094691,GARFIELD ST
5135,2018094691,MAIN ST
5149,2018013088,LAKE ARIEL HW
5150,2018042472,BETHLEHEM PK
5155,2018042472,BETHLEHEM PK
5156,2018042472,BETHLEHEM PK
5157,2018042472,W MILL RD
5174,2018133313,ALLENTOWN BL
5175,2018133313,ALLENTOWN BL
5176,2018133313,SCHOOL DR
5310,2018136215,VALLEY BROOK RD
5311,2018136215,PETERS LN
5365,2018068852,SUMNEYTOWN PK
5366,2018068852,WAMBOLD RD
5368,2018116968,PINE GLEN RD
5378,2018071706,LONG LN
5448,2018046022,OXFORD ST
5494,2018076495,PENINSULA DR
5497,2018076495,LAKE RD
5498,2018076495,PENINSULA DR
5523,2018085461,CAMP HOLLOW RD
5524,2018074002,SR 0068 HW
5561,2018025872,WALNUT ST
5565,2018036468,LOGAN BL
5619,2018009729,RIVERSIDE DR
5622,2018064293,MARS VALENCIA RD
5650,2018115924,PITTSBURGH RD
5658,2018025783,MARSHALL ST
5659,2018025783,CYPRESS ST
5718,2018107677,ALLENTOWN PK
5743,2018072256,POTTSTOWN BP
5760,2018109769,CREEK VIEW DR
5763,2018109769,EASTBROOK RD
5796,2018011107,DEKALB PK
5817,2018075153,OLD BERWICK RD
5878,2018115529,LEHIGH VALLEY HW
6029,2018098756,LINCOLN WY
6030,2018039245,COOL SPRINGS RD
6035,2018039245,RAMP D RD
6044,2018089222,STATE ST
6045,2018089222,HARBOR BRIDGE EDINBURG RD
6050,2018133616,MAHANTONGO MOUNTAIN RD
6070,2018076647,LINCOLN HW
6094,2018080240,OUTCROP RD
6117,2018074301,LANCASTER AV
6118,2018074301,REHRERSBURG RD
6185,2018068871,OSTERHOUT ST
6195,2018067874,NORTH ST
6196,2018114389,LOCUST RIDGE RD
6216,2018108663,UPLAND RD
6276,2018044440,BALTIMORE AV
6293,2018090800,LEHIGH GAP RD
6340,2018011223,PERRYSVILLE AV
6358,2018058007,STERRETTANIA RD
6387,2018090056,NOBLE RD
6391,2018041179,SHEAKLEYVILLE GRNVILLE RD
6429,2018083063,BEDFORD ST
6430,2018083063,LOUTHER ST
6495,2018024714,HIGHFIELD DR
6536,2018111366,WILLIAM PENN HW
6538,2018090010,LITTLE VALLEY RD
6539,2018090010,OLD PLANK RD
6540,2018090010,LITTLE VALLEY RD
6568,2018060365,MAIDENCREEK RD
6572,2018038958,OLD PHILADELPHIA PK
6574,2018051502,COLORADO RD
6593,2019017132,GODFREY AV
6594,2019017132,GODFREY AV
6595,2019017132,FRONT ST
6599,2018116101,OXFORD RD
6600,2018116101,SCHOOL HOUSE RD
6615,2018029375,VFW OF US MEM HW
6699,2018135747,MCKEE RD
6720,2018045426,UNION ST
6749,2018052400,RIDGE RD
