,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
1,2012068637,1,12.0,6.0,1,2005.0,JEEP,0,T2W,1.0
18,2012065984,1,9.0,1.0,51,,,0,,
19,2012065984,2,20.0,2.0,1,2000.0,HD,0,MRS,1.0
25,2012003437,1,4.0,1.0,1,2003.0,VOLK,0,P4D,1.0
127,2012062622,1,4.0,1.0,1,1998.0,BMW,0,P4D,1.0
128,2012062622,2,79.0,5.0,1,1998.0,KNNW,0,,1.0
198,2012032923,1,15.0,6.0,1,1998.0,GMC,0,T4W,1.0
248,2012054899,1,4.0,1.0,1,2005.0,CHEV,0,P4D,1.0
249,2012054899,2,,20.0,30,,,0,,1.0
331,2012097281,1,3.0,1.0,1,1996.0,EGIL,0,P2H,1.0
336,2012054191,1,15.0,6.0,1,1997.0,CHEV,0,PUT,1.0
371,2012005295,1,24.0,13.0,1,,YAMA,0,MAT,1.0
372,2012005295,2,4.0,1.0,1,2006.0,LINC,0,P4D,1.0
396,2012095787,1,20.0,2.0,1,2000.0,HD,0,MRS,1.0
397,2012095787,2,4.0,1.0,1,2000.0,OLDS,0,P4D,1.0
485,2012058513,1,28.0,2.0,1,2009.0,HOND,0,MRC,1.0
491,2012088115,1,15.0,6.0,1,2005.0,HOND,0,PUT,1.0
492,2012088115,2,,31.0,30,,,0,,
506,2012080685,1,4.0,1.0,1,2007.0,STRN,0,P4D,1.0
507,2012080685,2,,31.0,30,,,0,,
553,2012058926,1,4.0,1.0,1,2000.0,VOLK,0,P4D,1.0
593,2012060541,1,28.0,2.0,1,2005.0,OTHR,0,MRC,1.0
594,2012060541,2,15.0,6.0,1,1999.0,JEEP,0,T4W,1.0
595,2012060541,3,15.0,6.0,1,2004.0,FORD,0,PUT,1.0
619,2012072286,1,15.0,6.0,1,1996.0,JEEP,0,T4W,1.0
687,2012118886,1,4.0,1.0,1,2012.0,CHEV,0,P4D,1.0
692,2012131622,1,,31.0,30,,,0,,
693,2012131622,2,4.0,1.0,1,1995.0,DODG,0,P4D,1.0
698,2012104537,1,15.0,6.0,1,2007.0,CHRY,0,PUT,1.0
699,2012104537,2,4.0,1.0,1,2012.0,CHEV,0,P4D,1.0
700,2012104537,3,15.0,6.0,1,2013.0,FORD,0,PUT,1.0
757,2012079346,1,4.0,1.0,1,2009.0,HOND,0,P4D,1.0
860,2012091840,1,29.0,2.0,1,2005.0,HOND,0,,1.0
861,2012091840,2,3.0,1.0,3,2000.0,TOYT,0,P2H,2.0
897,2012089654,1,41.0,7.0,1,2003.0,DODG,0,TES,1.0
940,2012077836,1,4.0,1.0,1,2001.0,PONT,0,P4D,1.0
955,2012026931,1,79.0,5.0,1,1998.0,NISS,0,,1.0
956,2012026931,2,,20.0,30,,,0,,1.0
963,2012108416,1,15.0,1.0,1,2007.0,DODG,0,PUT,1.0
964,2012108416,2,4.0,1.0,1,2001.0,PONT,0,P4D,1.0
988,2012011749,1,51.0,4.0,1,1998.0,FORD,0,TPK,1.0
989,2012034408,1,3.0,1.0,1,2005.0,ACUR,0,P2H,1.0
990,2012034408,2,,31.0,30,,,0,,
998,2012038395,1,4.0,1.0,1,2011.0,MAZD,0,P4D,1.0
999,2012038395,2,4.0,1.0,1,2006.0,CHEV,0,P4D,1.0
1000,2012038395,3,4.0,1.0,1,2005.0,FORD,0,P4D,1.0
1040,2012122774,1,3.0,1.0,1,2000.0,MITS,0,P2H,1.0
1041,2012122774,2,4.0,1.0,1,1997.0,AUDI,0,P4D,1.0
1048,2012062022,1,4.0,1.0,1,2010.0,BUIC,0,P4D,1.0
1049,2012062022,2,20.0,2.0,1,2012.0,HD,0,MRS,1.0
1050,2012062022,3,4.0,1.0,1,2007.0,PONT,0,P4D,1.0
1058,2012036689,1,,20.0,30,,,0,,1.0
1059,2012036689,2,51.0,4.0,1,1997.0,GMC,0,TPC,1.0
1130,2012082248,1,41.0,7.0,1,1997.0,DODG,0,TES,1.0
1181,2012082248,2,20.0,2.0,1,2003.0,HD,0,MRS,1.0
1278,2012047575,1,4.0,1.0,1,1998.0,MRCU,0,P4D,1.0
1279,2012047575,2,4.0,1.0,1,2005.0,MRCU,0,P4D,1.0
1280,2012047575,3,4.0,1.0,1,2009.0,SUBA,0,P4D,1.0
1281,2012089075,1,3.0,1.0,1,2007.0,TOYT,0,P2H,1.0
1338,2013004514,1,20.0,2.0,1,1994.0,HD,0,MRS,1.0
1339,2013004514,2,15.0,6.0,1,2006.0,FORD,0,PUT,1.0
1369,2012042787,1,4.0,1.0,1,2003.0,STRN,0,P4D,1.0
1370,2012042787,2,6.0,1.0,1,2004.0,FORD,0,PSW,1.0
1406,2012084367,1,3.0,1.0,1,1994.0,HOND,0,P2H,1.0
1528,2012106682,1,4.0,1.0,1,2001.0,STRN,0,P4D,1.0
1637,2012032871,1,23.0,2.0,1,2002.0,KAWK,0,MT,1.0
1702,2012113149,1,4.0,1.0,1,1994.0,BUIC,0,P4D,1.0
1709,2012056340,1,15.0,6.0,1,2003.0,CHEV,0,PUT,1.0
1710,2012056340,2,20.0,2.0,1,2002.0,HD,0,MRS,1.0
1838,2012073828,1,2.0,1.0,1,1995.0,HOND,0,PCP,9.0
