,CRN,STREET_NAME
35,2020092210,BROADWAY BL
36,2020092210,WALL AV
43,2020078941,KITTANNING ST
44,2020078941,KITTANNING ST
45,2020078941,CRESCENT ST
137,2020061605,PARK AV
138,2020061605,MORNINGSIDE AV
198,2020088898,LORETTO AV
204,2020038452,S PINE ST
207,2020038452,E BIRCH ST
215,2020027400,CECIL B MOORE ST
216,2020027400,N 8TH ST
253,2020053830,ARONA RD
287,2020084827,ORANGE ST
288,2020084827,BLAIR ST
317,2020066668,SR 0054 HW
340,2020029773,LOCUST GROVE RD
341,2020029773,EASTERN BL
432,2020028480,PERRY HW
444,2020051407,BRUCETON RD
454,2020013670,DERRY ST
455,2020029797,SR 0029 HW
499,2020048818,LOWER MACUNGIE RD
517,2020048820,LINCOLN HW
531,2020039024,LEBANON CHURCH RD
557,2020048150,PINE GROVE RD
582,2020026301,QUAKER CHURCH RD
768,2020039960,PASSYUNK AV
859,2020099557,SANSOM ST
860,2020099557,55TH ST
867,2020088596,SPRING ST
896,2020071338,MAIN ST
954,2020057897,FLANNERY RD
970,2020064963,CASTOR AV
973,2020064963,CASTOR AV
974,2020064963,UNRUH AV
986,2020058798,SMITHBRIDGE RD
987,2020058798,TEMPLE RD
988,2020058798,KIRK RD
1001,2020050300,MAIN ST
1003,2020050300,MAIN ST
1004,2020050300,SR 0054 HW
1030,2020071590,AMERICAN PY
1045,2020092613,SR 0183 HW
1046,2020092613,LONG RUN RD
1062,2020036117,CHRISTOPHER COLUMBUS BL
1063,2020036117,CHRISTOPHER COLUMBUS BL
1064,2020036117,SNYDER AV
1065,2020036117,SNYDER AV
1116,2020029107,GREEN LN
1125,2020074573,CREEK RD
1144,2020046051,CHESTNUT ST
1190,2020008552,GOOD DR
1216,2020109680,EASTON RD
1217,2020109680,SUSQUEHANNA RD
1380,2020103266,VIETNAM VETERANS MEMOR HW
1411,2020066777,KEYSTONE ST
1419,2020112973,N 33RD ST
1420,2020112973,THIRTYTHIRD ST
1421,2020112973,DAUPHIN ST
1577,2020105945,VIETNAM VETERANS MEMOR HW
1594,2020051884,MARKET ST
1595,2020051884,MARKET ST
1596,2020051884,E MARKET ST
1597,2020051884,S ROCKBURN ST
1599,2020082917,HANCOCK ST
1730,2020049805,
1734,2020100851,SR 0611 HW
1744,2020059551,HARBISON AV
1745,2020059551,LEVICK ST
1746,2020059551,HARBISON AV
1747,2020059551,BROUS AV
1769,2020076854,SR 0219 SH
1770,2020076854,RAMP K RD
1781,2020025621,EIGHTH AV
1783,2020025621,GRANT ST
1784,2020025621,WILLIAM MARKS DR
1830,2020095897,BROAD ST
1831,2020095897,HORSHAM RD
1853,2020036679,LINCOLN HW
1891,2020013785,CARLISLE ST
1899,2020032221,PEANUT RD
1911,2020069926,ESSINGTON AV
2001,2020061835,DELTA RD
2039,2020081951,SCHUYLKILL EX
2125,2020073594,SMITHVILLE AV
2154,2020041985,STATE ST
2266,2020101785,OIL CITY RD
2360,2020059936,EAST BERLIN RD
2361,2020059936,MARKET ST
2377,2020088239,LANDISVILLE RD
2476,2020034183,NEW LONDON RD
2552,2020066950,CLARKSBURG RD
2571,2020086008,SR 0235 SH
2574,2020086008,TROXELVILLE RD
2605,2020076269,SHORT RUN RD
2689,2020070630,EAGLE RD
2690,2020070630,PINEVILLE RD
2709,2020023617,HOLLAND HILL RD
2819,2021006265,Z H CONFAIR MEMORIAL HW
2821,2020045356,HAMILTON SOUTH ST
2851,2020090104,RIDGE PK
2857,2020085270,CHRISTINE RD WE
2858,2020085270,CEMETARY RD
2859,2020085270,UNION SQUARE RD
2896,2020112411,ROGERS FERRY RD
2905,2020038224,PUMPKIN HILL RD
2908,2020084807,HOMESTEAD GRAYS BR
2910,2020096994,C ST
2911,2020096994,TIOGA ST
2992,2020078310,WAGNER BL
2994,2020078310,JAMES RD
3030,2020054934,HOUTZDALE TO OSCEO HW
3036,2020078355,MAIN ST
3061,2020048177,TANOMA RD
3094,2020055487,CROSSTOWN BL
3118,2020049560,5TH ST
3158,2020086663,SR 0287 SH
3165,2020089616,STATE ST
3278,2020104966,8TH ST
3279,2020102613,JOHNSVILLE BL
3280,2020104966,W RIDGE AV
3281,2020104966,RIDGE AV
3376,2020057733,LANKENAU HOSPITAL RD
3377,2020057733,LANCASTER AV
3381,2020057733,LANCASTER AV
3403,2020025425,NORTH CENTER AV
3404,2020025425,LAKE RD
3405,2020098410,WILLIAM PENN HW
3459,2020025496,ALLENTOWN BL
3460,2020025496,ALLENTOWN BL
3461,2020025496,HILL DR
3480,2020022550,NORTH FORK RD
3484,2020081147,MOUNTAIN RD
3485,2020081147,CHURCH RD
3497,2020032836,GRAYBILL RD
3611,2020050437,SHERMANS VALLEY RD
3729,2020095510,MINE RD
3730,2020095510,BIRCH RD
3731,2020081814,BREDINSBURG RD
3820,2020026432,EDGMONT AV
3821,2020026432,EDGMONT AV
3822,2020026432,TWELFTH ST
3825,2020096836,MARKET ST
3832,2020051889,MURRYSVILLE RD
3833,2020051889,CHERRY DR
3868,2021002062,HUFFS CHURCH RD
3869,2021002062,HUNTER FORGE RD
3870,2020064900,MAINLINE TU
3899,2020056715,POLECAT HOLLOW RD
3926,2020103168,PINE ST
3998,2020099597,FREDERICK PK
4053,2020066220,FRONT ST
4166,2020011000,26TH ST
4167,2020011000,YORK ST
4169,2020062898,SR 0061 SH
4170,2020062898,SR 0443 SH
4171,2020062898,JUG HANDLE RD
4173,2020062898,SR 0061 SH
4207,2020040174,
4209,2020079104,RAYMOND P SHAFFER HW
4287,2021001129,SR 0056 SH
4289,2020060935,WALLSVILLE RD
4298,2020025626,ROOSEVELT BL
4299,2020025626,PRATT ST
4337,2020068100,AMERICAN LEGION MEM HW
4346,2020080033,SUGAR LOAF RD
4397,2020009017,PERKASIE RD
4433,2020081890,MANOR ST
4441,2020081890,MAIN ST
4442,2020081890,MANOR ST
4451,2020092177,GETTYSBURG RD
4452,2020092177,HUMMEL AV
4453,2020092177,EIGHTEENTH ST
4454,2020092177,18TH ST
4517,2020062493,MACDADE BL
4520,2020062493,WILLOWS AV
4531,2020071800,RIDGEVIEW DR
4534,2020071800,SR 0309 HW
4535,2020071800,SR 0309 HW
4628,2020081791,S RIVER RD
4641,2020066703,HANOVER RD
4642,2020090382,WILLIAM FLINN HW
4643,2020090382,WILLIAM FLINN HW
4644,2020090382,SPENCER LANE ET
4660,2020044749,FREEMANSBURG AV
4661,2020044749,SIXTH ST
4677,2020063869,SAW MILL RUN BL
4691,2020018608,HILL RD
4746,2020107379,KINGS HW
4768,2020060731,EDGEHILL RD
4769,2020092565,VIETNAM VETERANS MEMOR HW
4776,2020107245,WYNWOOD DR
4800,2020060915,MAINLINE TU
4801,2020104350,WASHINGTON RD
4809,2020083016,BARTRAM AV
4817,2020073354,SYLVAN GROVE RD
4889,2020048503,GEARING RD
4921,2020035441,WALT WHITMAN BR
4924,2020057410,N RIVER RD
4994,2020069685,CHESTERVILLE RD
4997,2020050134,BUSTLETON AV
5014,2020098592,SR 0078 HW
5023,2020113804,COLEBROOK RD
5031,2020020348,PISGAH RD
5076,2020080420,ROY E FURMAN HW
5129,2020013761,PINEY CREEK RD
5218,2020046955,SEVENTH ST
5219,2020046955,FULTON ST
