,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
2,2011054249,16,M,2.0,1,4.0
3,2011054249,17,F,0.0,2,1.0
4,2011054249,14,M,0.0,2,2.0
5,2011054249,42,F,0.0,2,2.0
6,2011054249,1,M,0.0,2,2.0
7,2011054249,17,F,0.0,2,2.0
8,2011054249,14,F,0.0,2,2.0
236,2012010519,36,M,0.0,1,1.0
237,2012010519,52,M,2.0,2,7.0
267,2011087172,64,M,4.0,1,1.0
268,2011087172,68,F,1.0,1,2.0
269,2011087172,27,F,4.0,2,1.0
270,2011087172,41,M,0.0,3,1.0
271,2011087172,37,F,0.0,3,2.0
320,2011080936,40,M,2.0,1,1.0
321,2011080936,33,F,8.0,1,2.0
328,2011082491,27,F,2.0,1,1.0
329,2011082491,39,M,0.0,2,1.0
344,2011106226,72,M,1.0,1,1.0
345,2011106226,25,F,8.0,2,1.0
395,2011064439,24,M,0.0,1,1.0
396,2011064439,24,M,0.0,1,2.0
397,2011064439,26,M,2.0,2,7.0
546,2011073533,56,M,4.0,1,1.0
547,2011073533,70,M,3.0,2,7.0
548,2011073533,30,F,4.0,3,7.0
549,2011073533,12,F,3.0,4,7.0
550,2011073533,12,F,2.0,5,7.0
551,2011073533,77,F,2.0,6,7.0
630,2011083851,21,M,2.0,1,1.0
685,2011027205,21,M,1.0,1,1.0
686,2011061504,75,F,1.0,1,1.0
687,2011061504,78,F,0.0,2,1.0
993,2011017694,19,M,1.0,1,1.0
994,2011017694,19,M,2.0,2,7.0
1051,2011120625,20,M,1.0,1,1.0
1122,2011082282,19,M,1.0,1,1.0
1143,2011018323,75,M,0.0,1,1.0
1144,2011018323,74,F,0.0,1,2.0
1145,2011018323,62,F,1.0,2,7.0
1481,2011077787,34,M,2.0,1,1.0
1482,2011126657,48,M,2.0,1,1.0
1774,2011062048,57,M,4.0,2,1.0
1775,2011062048,53,F,2.0,2,2.0
1971,2011061280,65,M,0.0,1,1.0
1972,2011061280,40,M,2.0,2,1.0
2112,2011017353,18,F,2.0,1,1.0
2121,2011104524,37,M,2.0,1,1.0
2125,2011043153,11,F,2.0,1,4.0
2126,2011043153,24,F,0.0,2,1.0
2127,2011043153,53,M,0.0,2,2.0
2151,2011112698,71,M,1.0,1,7.0
2152,2011112698,18,M,0.0,2,1.0
2153,2011112698,18,M,0.0,2,2.0
2219,2011107037,14,M,4.0,1,1.0
2220,2011107037,13,M,2.0,1,2.0
2221,2011107037,15,M,4.0,1,2.0
2222,2011107037,15,F,4.0,1,2.0
2226,2011079497,20,M,3.0,1,1.0
2227,2011079497,21,M,2.0,1,2.0
2449,2011094627,19,M,2.0,1,1.0
2506,2011002959,28,M,2.0,1,1.0
2507,2011002959,47,F,1.0,2,1.0
2530,2011134671,69,F,0.0,1,1.0
2531,2011134671,23,F,1.0,2,7.0
2702,2011067693,45,F,2.0,1,1.0
2703,2011067693,39,F,4.0,1,2.0
2735,2011108237,58,M,1.0,1,1.0
2811,2011083980,27,F,2.0,1,1.0
2812,2011083980,41,M,4.0,2,1.0
2833,2011083246,54,M,2.0,1,1.0
3017,2012011102,20,M,1.0,1,1.0
3018,2012011102,48,M,3.0,2,1.0
3019,2012011102,47,F,3.0,2,2.0
3101,2011031406,99,U,0.0,1,1.0
3102,2011031406,46,M,2.0,2,7.0
3108,2011086296,33,F,3.0,1,1.0
3109,2011086296,24,F,4.0,1,2.0
3110,2011086296,24,M,4.0,1,2.0
3111,2011086296,26,M,0.0,2,1.0
3112,2011086296,27,M,2.0,2,2.0
3281,2011106957,24,M,2.0,1,1.0
3309,2012006898,20,M,4.0,1,1.0
3310,2012006898,21,M,3.0,1,2.0
3311,2012006898,18,F,3.0,1,2.0
3312,2012006898,19,F,3.0,1,2.0
3313,2012006898,18,F,1.0,1,2.0
3370,2011073979,25,M,2.0,1,1.0
3405,2011024989,63,M,2.0,1,1.0
3491,2011101705,19,M,2.0,1,1.0
3492,2011101705,43,M,0.0,2,1.0
3603,2011116722,26,M,2.0,1,2.0
3604,2011116722,27,F,0.0,1,1.0
3642,2011062964,58,M,3.0,1,1.0
3643,2011062964,35,F,2.0,1,2.0
3649,2012013300,62,F,8.0,1,1.0
3650,2012013300,69,F,3.0,1,2.0
3651,2012013300,22,F,0.0,2,1.0
3652,2012013300,36,M,4.0,3,1.0
3653,2012013300,59,M,1.0,4,1.0
3747,2011067519,48,F,2.0,1,1.0
3748,2011067519,71,M,0.0,2,1.0
3764,2011071934,31,M,2.0,1,1.0
3765,2011071934,33,F,2.0,2,1.0
3770,2011038512,20,F,2.0,1,1.0
3771,2011038512,4,M,2.0,1,2.0
3788,2011043240,87,M,0.0,1,1.0
3789,2011043240,35,F,2.0,2,1.0
3790,2011043240,12,M,2.0,2,2.0
3791,2011043240,3,F,4.0,2,2.0
3830,2011048556,49,M,2.0,1,1.0
3849,2011053530,29,M,0.0,1,1.0
3850,2011053530,8,M,4.0,1,2.0
3851,2011053530,8,M,4.0,1,2.0
3852,2011053530,10,M,4.0,1,2.0
3853,2011053530,6,F,2.0,1,2.0
3854,2011053530,10,F,2.0,1,2.0
3855,2011053530,10,M,4.0,1,2.0
3856,2011053530,99,U,0.0,1,2.0
3857,2011053530,99,U,0.0,1,2.0
3858,2011053530,99,U,0.0,1,2.0
3859,2011053530,99,U,0.0,1,2.0
3860,2011053530,99,U,0.0,1,2.0
3861,2011053530,99,U,0.0,1,2.0
3862,2011053530,99,U,0.0,1,2.0
3863,2011053530,99,U,0.0,1,2.0
3864,2011053530,99,U,0.0,1,2.0
3865,2011053530,99,U,0.0,1,2.0
3866,2011053530,99,U,0.0,1,2.0
3867,2011053530,99,U,0.0,1,2.0
3868,2011053530,99,U,0.0,1,2.0
3869,2011053530,36,F,4.0,2,1.0
3870,2011053530,44,F,4.0,2,2.0
3871,2011053530,10,F,4.0,2,2.0
3896,2011103427,21,M,0.0,1,1.0
3897,2011103427,31,M,0.0,1,2.0
3898,2011103427,53,F,2.0,2,1.0
3899,2011103427,22,M,3.0,2,2.0
3900,2011103427,20,M,4.0,2,2.0
3921,2011083941,26,M,2.0,1,1.0
4105,2012007822,19,F,1.0,1,1.0
4106,2012007822,19,F,1.0,1,2.0
4146,2011035596,16,F,2.0,1,1.0
4147,2011035596,16,F,2.0,1,2.0
4148,2011035596,22,M,3.0,2,1.0
4163,2011097258,16,F,1.0,1,1.0
4216,2011030952,16,M,1.0,1,1.0
4217,2011030952,15,M,3.0,1,2.0
4311,2011046134,54,M,2.0,1,1.0
4345,2011073667,51,M,1.0,1,1.0
4346,2011073667,45,M,4.0,2,1.0
