,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
41,2019006426,40.396246,-79.998129,2,2301,1,6,,,1,0,1
53,2019006405,40.449096,-80.119429,2,2115,1,5,,,1,0,4
76,2019005221,40.531016,-80.190061,2,2213,1,7,,,1,0,1
221,2019005549,40.165583,-75.26225,46,46225,1,2,,,0,1,4
242,2019005703,40.593295,-75.474751,39,39301,1,3,,,1,0,8
276,2019002173,40.709327,-76.187376,53,53208,1,6,,,0,1,8
299,2019002107,40.292233,-75.309008,46,46103,1,7,,,1,0,4
311,2019006635,40.439333,-79.664917,64,64437,1,6,,,2,0,2
320,2019006743,40.177181,-75.048625,9,9225,1,3,,,1,0,7
331,2019006744,40.330314,-80.183812,62,62206,1,3,,,1,0,4
422,2019005450,40.329787,-76.857214,22,22101,1,1,,,1,0,4
445,2019006662,40.222321,-74.90989,9,9216,1,1,,,1,0,4
539,2019005356,40.441808,-75.820067,6,6235,1,1,,,0,1,0
587,2019005888,39.953573,-76.743394,66,66301,1,4,,,1,0,8
646,2019004311,40.115017,-75.127553,46,46101,1,6,,,1,0,2
772,2019004199,40.681133,-80.40886,4,4201,1,7,,,1,1,7
783,2019006816,40.684437,-76.198534,53,53301,1,6,,,1,0,8
794,2019005395,40.917889,-75.463336,45,45210,1,1,,,1,0,7
800,2019006594,39.913597,-77.660744,28,28401,1,4,,,1,0,4
803,2019006824,40.056851,-76.736876,66,66207,1,7,,,2,0,7
809,2019004789,40.063458,-76.432647,36,36239,1,7,,,0,1,8
828,2019004149,40.11362,-74.956186,9,9202,1,6,,,1,0,7
893,2019006929,40.163786,-75.479223,46,46222,1,2,,,1,0,8
921,2019001338,40.032241,-75.467778,15,15215,1,4,,,0,1,8
937,2019005934,40.60784,-78.671491,11,11212,1,3,,,0,1,7
944,2019004344,40.214298,-76.096673,36,36210,1,6,,,1,0,1
957,2019001345,41.407687,-75.683055,35,35302,1,5,,,0,1,8
