,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
45,2008000919,41.584167,-80.300392,20,20220,1,3,,,1,0,7
48,2008000944,40.311387,-78.979701,11,11225,1,3,,,1,0,4
76,2008001047,40.258811,-77.036015,21,21212,1,4,,,1,0,4
78,2008001059,40.306111,-76.582756,38,38406,1,4,,,0,1,4
159,2008001626,40.115945,-75.184805,46,46108,1,6,,,1,0,8
271,2008002284,39.735764,-77.554059,28,28215,1,6,,,0,1,7
342,2008002388,41.127708,-78.711279,17,17228,1,5,,,1,1,4
358,2008002411,41.4181,-75.6127,35,35407,1,7,,,1,0,7
405,2008003517,40.554874,-79.758741,64,64305,1,1,,,1,0,7
452,2008004029,40.274844,-76.631529,22,22202,1,5,,,0,1,4
480,2008004089,40.304167,-75.143857,9,9205,1,3,,,1,0,4
590,2008004284,40.555833,-75.997396,6,6238,1,1,,,1,0,7
617,2008004322,40.362222,-76.432349,38,38209,1,5,,,1,0,4
709,2008004615,40.551944,-75.620206,39,39209,1,4,,,1,0,4
757,2008004682,41.445833,-76.945886,41,41206,1,1,,,1,0,7
834,2008005198,40.253719,-79.817486,2,2105,1,6,,,1,0,7
877,2008006358,40.179769,-80.26552,62,62302,1,2,,,0,1,0
886,2008006378,40.2149,-77.0813,21,21212,1,3,,,1,0,7
1112,2008007904,40.763913,-75.395237,48,48211,1,1,,,0,1,7
1167,2008007977,41.305565,-79.907201,60,60220,1,3,,,0,1,7
1208,2008008029,40.998699,-75.269798,45,45205,1,3,,,1,0,7
1209,2008008030,41.022563,-75.304744,45,45101,1,5,,,1,0,7
1226,2008008049,40.075641,-75.505428,15,15236,1,6,,,1,0,7
1246,2008008252,39.993,-75.5907,15,15254,1,1,,,1,0,7
1270,2008008441,40.101881,-74.863667,9,9401,1,5,,,1,0,1
1282,2008008457,40.488056,-79.629208,64,64219,1,2,,,1,0,4
1326,2008008525,39.929722,-75.532125,15,15235,1,1,,,1,0,6
1424,2008008632,40.398464,-77.207422,50,50203,1,7,,,1,0,7
1450,2008008665,40.588053,-75.712647,39,39213,1,3,,,1,0,7
1537,2008008817,40.801918,-78.051402,14,14407,1,2,,,1,0,1
1569,2008008890,40.595197,-79.574456,64,64431,1,5,,,1,0,7
1588,2008009006,39.722932,-78.940843,55,55208,1,3,,,1,0,7
1607,2008009026,41.255,-76.896706,41,41211,1,3,,,1,0,1
1621,2008009047,40.978575,-75.609417,13,13211,1,2,,,1,0,0
1664,2008009098,40.231198,-75.317212,46,46216,1,5,,,1,0,2
1774,2008009258,40.313335,-79.477106,64,64217,1,4,,,2,0,7
1940,2008009499,40.510193,-78.398179,7,7301,1,6,,,0,1,8
1972,2008009532,40.646131,-76.818253,49,49209,1,5,,,1,0,2
2006,2008009571,40.854722,-79.895315,10,10301,1,6,,,1,0,7
2023,2008009588,39.798185,-77.000264,1,1203,1,3,,,0,1,1
2047,2008009613,39.868263,-80.473207,30,30216,1,3,,,1,0,0
2074,2008009642,40.884444,-75.165209,48,48214,1,5,,,1,0,7
2095,2008009665,40.5059,-80.1479,2,2403,1,3,,,1,0,2
2148,2008009729,40.618611,-79.301724,32,32201,1,3,,,1,0,4
2169,2008009752,40.908827,-79.949663,10,10205,1,2,,,1,0,2
2288,2008009874,40.968921,-78.599172,17,17225,1,1,,,1,0,7
2490,2008010090,40.560556,-75.452031,39,39101,1,5,,,1,0,7
2492,2008010092,40.585278,-75.575264,39,39209,1,1,,,1,0,7
2506,2008010106,41.377222,-75.391301,63,63218,1,3,,,1,0,8
2522,2008010123,40.807234,-75.939062,53,53428,1,1,,,1,0,6
2538,2008010139,40.515278,-75.704079,6,6224,1,7,,,0,1,7
2585,2008010190,41.683333,-79.410158,61,61404,1,7,,,1,0,7
2616,2008010222,39.910994,-77.821077,28,28212,1,7,,,1,0,2
2703,2008010319,41.250833,-75.853366,40,40304,1,3,,,1,0,2
2719,2008010337,40.134144,-75.539942,15,15233,1,3,,,1,0,8
2776,2008010406,40.531972,-80.336531,4,4209,1,7,,,1,0,7
2784,2008010414,41.887222,-79.065456,61,61211,1,4,,,1,0,2
2799,2008010429,39.745,-78.123491,29,29208,1,5,,,1,0,2
2893,2008010549,40.861944,-79.798614,10,10228,1,5,,,1,0,1
2907,2008010563,41.013866,-76.867605,59,59205,1,5,,,1,0,5
2929,2008010587,40.0875,-74.927054,9,9202,1,5,,,1,0,1
2931,2008010589,40.816668,-75.595205,13,13207,1,5,,,1,0,7
2933,2008010592,40.213971,-75.325968,46,46113,1,2,,,1,0,1
3008,2008010687,40.458621,-79.908008,2,2301,1,6,,,1,0,7
3020,2008010714,40.102763,-75.711037,15,15238,1,7,,,1,0,7
3046,2008010877,40.095278,-75.616831,15,15251,1,6,,,1,0,2
3048,2008010879,40.535278,-79.639223,64,64219,1,4,,,2,0,7
3142,2008011152,39.747778,-78.848812,55,55222,1,5,,,0,1,8
3152,2008011163,41.073333,-79.237091,16,16218,1,6,,,0,1,4
3153,2008011164,40.966667,-78.08866,17,17210,1,6,,,0,1,7
3181,2008011192,41.368654,-79.782821,60,60206,1,4,,,1,0,4
3194,2008011205,41.6475,-79.405755,61,61213,1,1,,,1,0,7
3218,2008011232,39.783889,-75.948724,15,15211,1,6,,,1,0,4
3222,2008011240,40.406389,-76.071129,6,6229,1,5,,,1,0,7
3260,2008011282,41.398333,-75.331344,63,63218,1,1,,,2,0,7
3345,2008011435,41.4639,-78.6703,24,24209,1,4,,,0,1,4
3372,2008011463,39.790556,-76.184128,36,36219,1,5,,,1,0,7
3405,2008011499,40.7192,-80.2085,4,4211,1,7,,,1,0,7
3523,2008012658,39.941667,-77.202569,1,1202,1,7,,,1,0,4
3560,2008012697,40.256111,-76.376532,38,38402,1,5,,,1,0,4
3613,2008012851,39.970929,-76.751438,66,66231,1,1,,,1,0,4
3633,2008012872,40.9975,-78.317583,17,17206,1,5,,,2,1,2
3634,2008012873,40.898889,-80.009201,10,10216,1,7,,,1,0,4
3651,2008012892,39.758333,-76.016274,15,15211,1,6,,,2,0,7
3783,2008013396,40.464444,-79.92637,2,2301,1,6,,,1,0,8
3791,2008013464,40.291818,-78.455064,7,7207,1,4,,,1,0,4
3828,2008013861,40.537656,-79.593243,64,64219,1,6,,,0,1,6
3929,2008014523,40.431778,-79.893284,2,2463,1,1,,,2,0,4
4005,2008014603,39.977074,-80.334056,30,30214,1,7,,,1,0,7
4013,2008014611,41.126846,-78.873183,33,33222,1,7,,,1,0,7
4018,2008014616,41.692397,-78.855136,42,42215,1,6,,,1,0,7
4040,2008014639,42.163611,-79.867377,25,25214,1,5,,,1,0,7
4070,2008014670,40.2575,-76.881163,22,22301,1,7,,,1,0,7
4087,2008014689,41.501685,-80.403249,20,20221,1,7,,,1,0,7
4100,2008014702,40.978356,-76.890575,59,59205,1,5,,,1,0,8
4115,2008014718,40.218287,-78.207996,31,31203,1,6,,,1,0,7
4164,2008014770,41.005971,-76.164889,40,40202,1,1,,,1,0,0
4321,2008015040,40.210668,-80.226814,62,62227,1,2,,,2,0,1
4330,2008015049,40.194553,-80.342194,62,62203,1,7,,,1,0,7
4400,2008015123,41.154444,-77.349209,18,18219,1,7,,,1,0,7
4418,2008015141,40.377248,-76.828697,22,22211,1,6,,,1,0,7
4460,2008015188,41.334714,-75.960983,40,40405,1,6,,,1,0,7
4500,2008015230,40.127321,-75.090005,46,46105,1,4,,,1,0,7
4510,2008015240,39.960556,-76.514147,66,66216,1,6,,,1,0,2
4511,2008015241,39.991667,-76.559221,66,66216,1,7,,,1,0,7
4597,2008015336,40.015882,-79.512383,26,26219,1,6,,,1,0,6
4685,2008015430,40.642606,-76.151983,53,53218,1,5,,,3,0,1
4693,2008015440,40.065202,-74.968388,9,9202,1,6,,,2,0,1
4807,2008015561,40.079454,-76.535216,36,36211,1,3,,,1,0,2
4812,2008015566,40.447778,-75.898873,6,6222,1,7,,,0,1,8
4873,2008015632,40.716472,-79.10232,32,32218,1,5,,,1,0,4
4903,2008015664,40.9425,-77.794281,14,14404,1,1,,,1,0,0
4912,2008015673,40.102222,-76.778603,66,66204,1,3,,,1,0,7
4955,2008015719,40.1363,-75.1772,46,46109,1,1,,,1,0,7
5000,2008015793,40.887569,-80.117602,10,10223,1,2,,,0,1,1
5001,2008015794,40.907222,-80.123813,10,10223,1,3,,,0,1,7
5010,2008015804,41.029342,-76.62045,47,47203,1,1,,,1,0,7
5041,2008015838,40.703774,-75.418117,48,48204,1,1,,,1,0,4
5071,2008015871,41.387222,-75.551034,35,35217,1,4,,,0,1,7
5094,2008015898,40.834,-76.5089,49,49212,1,3,,,1,0,7
5131,2008015948,39.783611,-76.867154,66,66218,1,1,,,1,0,7
5163,2008015980,39.866728,-75.999554,15,15237,1,3,,,1,0,7
5166,2008015983,40.078611,-75.317363,46,46107,1,3,,,1,0,1
5308,2008016417,40.015278,-76.573786,66,66212,1,3,,,2,0,2
5329,2008016553,40.523341,-75.825145,6,6232,1,7,,,1,0,7
5382,2008016615,41.225278,-77.027008,41,41409,1,5,,,1,0,7
5386,2008016619,40.449167,-80.107268,2,2115,1,6,,,1,0,8
5402,2008016636,40.576944,-75.528115,39,39103,1,2,,,0,1,5
5418,2008016656,40.309167,-79.363265,64,64204,1,6,,,0,2,7
5424,2008016662,40.517411,-79.475444,64,64202,1,5,,,0,1,7
5439,2008016678,41.062778,-77.344746,18,18211,1,4,,,0,1,7
5444,2008016684,40.868611,-76.803185,54,54208,1,4,,,2,1,2
5487,2008016729,41.165239,-76.158774,40,40231,1,3,,,1,0,7
5512,2008016807,40.3538,-75.8608,6,6220,1,2,,,1,0,7
5561,2008016887,40.9675,-80.365998,37,37213,1,5,,,1,0,0
5632,2008017568,41.391667,-80.329208,43,43209,2,6,,,1,0,2
5644,2008017580,40.140493,-79.652769,64,64216,1,3,,,1,0,7
5701,2008017642,40.215575,-78.771655,55,55217,1,5,,,2,0,7
5739,2008017686,39.911389,-77.669572,28,28401,2,1,,,2,0,4
5754,2008017705,40.13605,-79.666906,64,64216,1,3,,,2,0,7
5804,2008017755,40.85461,-80.282258,37,37216,2,6,,,1,0,7
5856,2008017810,40.526435,-79.819809,2,2466,2,1,,,0,1,7
5897,2008017853,42.040639,-80.288253,25,25205,2,6,,,1,0,7
5903,2008017859,40.206389,-76.705398,22,22207,1,7,,,1,0,2
5916,2008017872,40.515287,-76.36004,53,53221,2,6,,,2,0,7
5964,2008017924,40.304167,-76.902416,22,22101,1,3,,,1,0,4
5981,2008017942,41.504235,-75.676674,35,35219,1,3,,,1,0,8
6010,2008017975,40.187976,-75.572854,15,15213,2,1,,,1,1,7
6020,2008017985,39.991111,-77.056906,1,1212,2,1,,,0,1,0
6148,2008018297,39.830958,-77.226767,1,1407,1,7,,,2,0,7
6240,2008018446,40.103688,-75.125594,46,46410,1,6,,,0,1,7
6249,2008018455,41.330454,-75.926743,40,40220,2,7,,,1,0,8
6253,2008018461,40.834201,-75.708724,13,13406,1,6,,,1,0,4
6265,2008018487,40.3038,-75.8558,6,6214,1,3,,,1,0,4
6266,2008018488,40.295736,-75.864518,6,6214,1,1,,,1,0,4
6367,2008018804,40.160112,-76.58687,36,36407,1,4,,,1,0,7
6376,2008018813,40.051111,-75.791131,15,15244,1,5,,,1,0,7
6391,2008018846,40.279533,-80.107696,62,62222,1,7,,,1,0,7
6438,2008018949,40.792681,-77.846014,14,14410,1,1,,,1,0,4
6494,2008019084,40.160278,-75.047768,9,9225,1,4,,,1,0,1
6561,2008019154,41.395,-78.753876,24,24209,1,5,,,0,1,7
6562,2008019155,41.358611,-78.551112,24,24203,1,4,,,1,1,4
6633,2008019229,40.182398,-77.375929,21,21219,2,6,,,1,0,7
6674,2008019272,40.420954,-76.105717,6,6229,1,3,,,2,0,6
6715,2008019317,41.241983,-76.082675,40,40216,2,1,,,1,0,7
6724,2008019330,41.391389,-74.95608,51,51210,2,1,,,0,1,7
6813,2008019459,41.151974,-79.403197,16,16213,2,1,,,1,0,7
6831,2008019477,40.94,-77.642761,14,14224,1,3,,,1,0,7
6844,2008019491,40.181779,-76.193763,36,36408,1,6,,,1,0,4
6845,2008019492,39.935,-75.199781,67,67301,1,2,,,1,0,7
6864,2008019511,40.400833,-75.587549,6,6401,1,1,,,1,0,7
6886,2008019536,40.992222,-75.99315,40,40214,1,6,,,1,2,4
7000,2008019656,41.951664,-75.29312,63,63202,1,3,,,1,0,7
7065,2008019752,40.429953,-79.957778,2,2301,1,6,,,1,0,1
7145,2008019845,40.382778,-79.929878,2,2301,1,4,,,1,0,7
7152,2008019856,40.2725,-75.7766,6,6203,1,7,,,1,0,4
7204,2008019916,40.794664,-75.971148,53,53428,1,3,,,1,0,8
7214,2008019927,40.486327,-80.054008,2,2404,2,3,,,1,0,1
7258,2008019973,40.252806,-79.979558,62,62228,2,2,,,1,0,7
7347,2008020073,41.339482,-75.025717,51,51201,1,1,,,1,0,7
7354,2008020081,41.739167,-75.89822,57,57208,2,3,,,0,1,7
7367,2008020105,39.945556,-76.829187,66,66205,1,5,,,0,1,4
7368,2008020109,42.076944,-80.171206,25,25213,1,5,,,0,1,7
7370,2008020117,41.148611,-75.375419,45,45203,1,2,,,0,1,8
7422,2008020178,40.465,-78.413009,7,7210,2,1,,,1,0,0
7444,2008020202,40.46,-75.549642,39,39210,1,5,,,0,1,4
7471,2008020234,39.854144,-75.375449,23,23301,1,3,,,0,1,1
7477,2008020248,41.970931,-78.593098,42,42206,2,5,,,0,1,4
7500,2008020272,40.272778,-79.896135,2,2471,2,2,,,1,0,2
7523,2008020472,40.462848,-75.350334,9,9220,2,4,,,0,1,8
7538,2008020987,40.354722,-74.993433,9,9221,2,6,,,2,0,2
7542,2008020991,40.327156,-78.698711,11,11223,1,6,,,1,0,7
7597,2008021048,41.170669,-80.05705,43,43219,2,1,,,0,1,7
