,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
37,2007021588,1,51.0,4.0,1,1991.0,CHEV,0,TPC,1.0
38,2007021588,2,51.0,4.0,1,1999.0,FORD,0,T4C,1.0
39,2007021588,3,6.0,1.0,1,1990.0,VOLK,0,PSW,1.0
139,2007089104,1,4.0,1.0,1,1992.0,BUIC,0,P4D,1.0
140,2007089104,2,51.0,4.0,1,1997.0,DODG,0,TPC,1.0
151,2007044638,1,4.0,1.0,1,2002.0,DODG,0,P4D,1.0
152,2007044638,2,,31.0,30,,,0,,
153,2007044134,1,4.0,1.0,1,1999.0,HYUN,0,P4D,1.0
211,2007044134,2,15.0,6.0,1,2004.0,ISU,0,PUT,1.0
212,2007029071,1,,31.0,30,,,0,,
213,2007029071,2,4.0,1.0,1,2004.0,NISS,0,P4D,1.0
397,2007027839,1,4.0,1.0,1,2000.0,VOLK,0,P4D,1.0
442,2007202260,1,12.0,6.0,1,2004.0,MITS,0,PUT,9.0
540,2007028207,1,5.0,1.0,1,2005.0,FORD,0,P5D,1.0
541,2007028207,2,51.0,4.0,1,1999.0,FORD,0,T4C,1.0
542,2007028207,3,51.0,4.0,1,2003.0,DODG,0,TCW,1.0
684,2007110330,1,,31.0,30,,,0,,
685,2007110330,2,9.0,1.0,1,2002.0,FORD,0,P,1.0
691,2007041759,1,51.0,4.0,1,1984.0,FORD,0,TPK,1.0
714,2007122694,1,99.0,99.0,1,2005.0,PONT,0,,1.0
730,2007110478,1,15.0,6.0,1,2002.0,SUZI,0,PUT,1.0
731,2007110478,2,20.0,2.0,1,2006.0,SUZI,0,MRS,1.0
784,2007095949,1,4.0,1.0,1,2000.0,STRN,0,P4D,1.0
808,2007090669,1,20.0,2.0,1,2004.0,HOND,0,MRS,1.0
1000,2007053714,1,51.0,4.0,1,2005.0,CHEV,0,TPK,1.0
1001,2007053714,2,4.0,1.0,2,2007.0,BMW,1,P4D,2.0
1122,2007084726,1,20.0,2.0,1,1996.0,HD,0,MRS,1.0
1164,2007103828,1,,31.0,30,,,0,,
1165,2007103828,2,51.0,4.0,1,2007.0,CHEV,0,TCW,1.0
1218,2008017069,1,51.0,5.0,1,2004.0,OTHR,0,TCC,1.0
1219,2008017069,2,,31.0,30,,,0,,
1232,2007063685,1,15.0,6.0,1,1993.0,JEEP,0,T4W,1.0
1257,2007046966,1,9.0,1.0,1,2001.0,,0,,1.0
1258,2007046966,2,4.0,1.0,1,1986.0,CHEV,0,P4D,1.0
1269,2008000496,1,9.0,1.0,1,2003.0,FORD,0,,1.0
1370,2007044933,1,15.0,6.0,1,2005.0,GMC,0,T4W,1.0
1379,2007094885,1,20.0,2.0,1,2000.0,HD,0,MRS,1.0
1411,2007027474,1,4.0,1.0,1,2004.0,CHEV,0,P4D,1.0
1412,2007027474,2,4.0,1.0,1,1999.0,MITS,0,P4D,1.0
1413,2007027474,3,4.0,1.0,1,1991.0,OLDS,0,P4D,1.0
1418,2007044605,1,15.0,1.0,1,1999.0,LINC,0,PUT,1.0
1427,2007101000,1,20.0,2.0,1,1985.0,YAMA,0,MRS,1.0
1486,2007060937,1,6.0,1.0,1,1984.0,CHEV,0,PSW,1.0
1588,2007078612,1,4.0,1.0,1,1992.0,OLDS,0,P4D,1.0
1589,2007078612,2,75.0,5.0,1,2000.0,VOLV,0,TDS,1.0
1633,2007108601,1,75.0,5.0,1,2005.0,MACK,0,TTM,1.0
1634,2007108601,2,75.0,5.0,2,2006.0,OTHR,1,TDS,2.0
1669,2007124272,1,9.0,1.0,1,1968.0,CHEV,0,P,1.0
1670,2007124272,2,4.0,1.0,1,2006.0,HYUN,0,P4D,1.0
1671,2007124272,3,4.0,1.0,2,1994.0,LEXS,1,P4D,2.0
1746,2007095977,1,6.0,1.0,1,1993.0,FORD,0,PSW,1.0
1747,2007095977,2,51.0,4.0,1,2007.0,FORD,0,T4C,1.0
1828,2008033119,1,9.0,1.0,5,,,0,,4.0
1829,2008033119,2,99.0,99.0,5,,,0,,4.0
