,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
53,2008047003,1,12.0,7.0,1,2006.0,DODG,0,PSV,1.0
221,2008066559,1,4.0,1.0,1,1994.0,MAZD,0,P4D,1.0
222,2008066559,2,15.0,6.0,1,2006.0,HOND,0,PUT,1.0
272,2008132043,1,20.0,2.0,1,2006.0,KAWK,0,MRS,1.0
362,2008078853,1,4.0,1.0,1,1989.0,HOND,0,P4D,1.0
363,2008078853,2,41.0,7.0,1,2002.0,GMC,0,TCG,1.0
428,2008081210,1,2.0,1.0,1,2001.0,CHEV,0,PCP,1.0
429,2008081210,2,4.0,1.0,1,2002.0,CHEV,0,P4D,1.0
430,2008081210,3,15.0,1.0,1,2005.0,KIA,0,PUT,1.0
486,2008004615,1,4.0,1.0,1,2005.0,CHEV,0,P4D,1.0
487,2008004615,2,4.0,1.0,1,1996.0,FORD,0,P4D,1.0
580,2008028674,1,4.0,1.0,1,2006.0,ACUR,0,P4D,1.0
581,2008028674,2,2.0,1.0,1,2005.0,DODG,0,P2P,1.0
605,2008054879,1,5.0,1.0,1,1994.0,FORD,0,P4H,1.0
646,2008100206,1,2.0,1.0,1,2008.0,HOND,0,PCP,1.0
647,2008100206,2,4.0,1.0,1,2006.0,CHEV,0,P4D,1.0
648,2008100206,3,,31.0,30,,,0,,
649,2008100206,4,4.0,1.0,2,1996.0,MITS,1,P4D,2.0
650,2008100206,5,5.0,1.0,2,1991.0,PLYM,1,P4H,2.0
651,2008100206,6,51.0,4.0,2,1994.0,FORD,1,TPK,2.0
742,2008138778,1,51.0,4.0,1,2002.0,DODG,0,TCW,1.0
760,2008022029,1,4.0,1.0,1,2000.0,NISS,0,P4D,1.0
795,2008105547,1,25.0,2.0,1,2001.0,HOND,0,MMS,1.0
822,2008095890,1,51.0,4.0,1,1996.0,FORD,0,TPS,1.0
823,2008095890,2,51.0,4.0,1,1994.0,DODG,0,TPK,1.0
881,2008049056,1,3.0,1.0,1,1993.0,EGIL,0,P2H,1.0
885,2008071140,1,51.0,4.0,1,1994.0,FORD,0,TPK,1.0
1022,2008083307,1,4.0,1.0,1,2008.0,HOND,0,P4D,1.0
1023,2008083307,2,20.0,2.0,1,1986.0,HD,0,MRS,1.0
