,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
108,2015108567,1,4.0,1.0,1,2006.0,PONT,0,P4D,1.0
118,2015063147,1,2.0,1.0,1,1999.0,HOND,0,PCP,1.0
119,2015063147,2,51.0,5.0,1,2000.0,MACK,0,TCC,1.0
163,2016013255,1,15.0,6.0,1,2007.0,MERZ,0,PUT,1.0
164,2016013255,2,51.0,4.0,1,2008.0,CHEV,0,TPK,1.0
184,2015104292,1,24.0,13.0,1,,UNKN,0,,1.0
185,2015104292,2,15.0,1.0,1,2004.0,FORD,0,PUT,1.0
271,2015098199,1,4.0,1.0,1,2010.0,TOYT,0,P4D,1.0
338,2015115201,1,4.0,1.0,1,2013.0,HOND,0,P4D,1.0
339,2015115201,2,4.0,1.0,1,2008.0,FORD,0,P4D,1.0
447,2015044746,1,29.0,2.0,1,,HOND,0,,1.0
448,2015044746,2,4.0,1.0,1,2004.0,HOND,0,P4D,1.0
450,2015058493,1,20.0,2.0,1,1981.0,HOND,0,MRS,1.0
451,2015058493,2,,31.0,30,,,0,,
574,2015070766,1,15.0,6.0,1,2009.0,JEEP,0,T4W,1.0
577,2015129370,1,4.0,1.0,1,2006.0,DODG,0,P4D,1.0
578,2015129370,2,15.0,6.0,1,2006.0,MRCU,0,PUT,1.0
581,2015059169,1,15.0,6.0,1,2004.0,CHEV,0,PUT,1.0
676,2015106487,1,4.0,1.0,1,2015.0,HYUN,0,P4D,1.0
677,2015106487,2,,20.0,30,,,0,,1.0
789,2015104658,1,15.0,6.0,1,2009.0,NISS,0,PUT,1.0
790,2015104658,2,4.0,1.0,1,2014.0,TOYT,0,P4D,1.0
791,2015104658,3,51.0,4.0,1,2015.0,CHEV,0,T4C,1.0
839,2015016290,1,3.0,1.0,1,2001.0,VOLK,0,P2H,3.0
840,2015016290,2,3.0,1.0,1,2001.0,VOLK,0,P2H,1.0
841,2015047071,1,4.0,1.0,1,2003.0,,0,P4D,1.0
842,2015047071,2,51.0,5.0,1,2012.0,PTRB,0,TCC,1.0
843,2015047071,3,51.0,5.0,1,2012.0,PTRB,0,TCC,1.0
844,2015047071,4,51.0,4.0,1,2013.0,GMC,0,TCW,1.0
870,2015045161,1,20.0,2.0,1,2010.0,HD,0,MRS,1.0
888,2015112625,1,28.0,2.0,1,2007.0,KAWK,0,MRC,1.0
902,2015108243,1,51.0,4.0,1,2004.0,FORD,0,TPK,1.0
903,2015108243,2,98.0,98.0,2,,BMW,1,,2.0
951,2015036715,1,4.0,1.0,1,2002.0,TOYT,0,P4D,1.0
952,2015036715,2,15.0,1.0,2,2003.0,PONT,1,PUT,2.0
1121,2016003040,1,24.0,13.0,1,2015.0,OTHR,0,MAT,1.0
1228,2015003082,1,15.0,6.0,1,2006.0,JEEP,0,T4W,1.0
1278,2015117312,1,49.0,7.0,5,,UNKN,0,,4.0
1279,2015117312,2,,31.0,30,,,0,,
1339,2015110797,1,2.0,1.0,1,2002.0,CHEV,0,PCP,1.0
1340,2015110797,2,4.0,1.0,1,2006.0,CHEV,0,P4D,1.0
1341,2015128140,1,,12.0,1,,OTHR,0,,2.0
1342,2015128140,2,,31.0,30,,,0,,
1382,2015058922,1,15.0,6.0,1,2011.0,JEEP,0,T4W,1.0
1383,2015058922,2,,31.0,30,,,0,,
