,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
20,2012021286,40.230099,-79.995562,62,62228,2,2,,,2,0,2
63,2012022098,41.17267,-79.269754,16,16204,2,1,,,1,0,7
64,2012021293,39.84736,-75.375846,23,23301,2,4,,,1,0,1
96,2012022548,40.723686,-76.386101,53,53201,2,2,,,1,0,4
203,2012023167,40.449468,-80.107379,2,2115,2,2,,,1,0,4
257,2012022572,39.877654,-75.352036,23,23107,2,2,,,1,0,2
260,2012021453,42.085403,-79.964436,25,25208,1,1,,,1,0,0
298,2012023193,40.3792,-78.733555,11,11223,2,4,,,1,0,4
339,2012021215,40.319017,-77.15587,50,50202,1,6,,,1,0,7
382,2012022459,40.699541,-80.305621,4,4404,2,1,,,1,0,8
390,2012021615,41.296359,-75.328862,63,63207,2,4,,,1,0,7
415,2012022236,40.664267,-78.252666,7,7407,2,6,,,0,1,8
441,2012022664,40.754093,-75.538616,48,48207,2,1,,,1,0,4
497,2012022807,41.595878,-79.965845,20,20216,2,4,,,0,1,7
499,2012022395,40.668886,-75.223635,48,48217,1,3,,,0,1,1
562,2012023334,41.128629,-78.828754,33,33222,2,4,,,1,0,7
592,2012022750,42.124322,-80.042932,25,25302,2,3,,,1,0,4
669,2012021849,41.769811,-77.213165,58,58203,2,7,,,1,0,0
685,2012022754,40.586121,-80.035824,2,2108,2,1,,,0,1,6
752,2012023219,,,7,7212,2,1,,,1,0,7
931,2012021587,41.871993,-79.878311,25,25217,2,4,,,0,1,4
940,2012022339,39.935084,-79.187811,55,55215,2,5,,,0,1,7
941,2012023239,40.547698,-75.553144,39,39104,2,2,,,1,0,7
958,2012021588,41.243014,-76.578639,41,41212,1,7,,,1,0,2
967,2012023240,40.965105,-75.945574,40,40214,2,7,,,0,1,7
969,2012022352,40.998232,-78.269047,17,17216,1,5,,,0,1,5
971,2012023397,40.697652,-80.117163,10,10212,2,5,,,0,1,1
973,2012022415,39.827775,-77.249969,1,1204,2,6,,,1,0,8
1027,2012022840,40.001449,-78.363882,5,5226,2,4,,,1,0,5
1051,2012021803,40.053171,-75.122189,46,46102,2,7,,,1,0,7
1098,2012021738,41.993062,-80.000954,25,25220,2,1,,,2,0,2
1102,2012021805,39.906729,-76.670775,66,66102,2,3,,,1,0,4
1194,2012022709,40.192578,-75.521976,46,46112,2,5,,,1,0,1
