,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
23,2007000085,40.782143,-78.034684,14,14216,1,2,,,2,0,7
41,2007000162,39.9474,-75.3495,23,23112,1,3,,,1,0,8
48,2007000301,,,2,2403,1,2,,,1,0,4
60,2007000334,41.3229,-75.9426,40,40220,1,4,,,1,0,4
88,2007000420,40.7273,-80.2437,4,4211,1,4,,,1,0,7
100,2007000438,41.637428,-80.155897,20,20301,1,4,,,0,1,7
108,2007000451,41.405043,-79.83815,60,60301,1,4,,,1,0,4
123,2007000504,40.313106,-78.905705,11,11409,1,4,,,1,0,8
127,2007000516,40.351741,-80.011492,2,2476,1,5,,,1,0,2
136,2007000899,40.39606,-79.905235,2,2448,1,5,,,1,0,2
210,2007001047,40.684167,-75.521477,39,39102,1,3,,,1,0,4
230,2007001073,40.648978,-75.475663,39,39102,1,6,,,1,0,7
256,2007001102,40.779722,-75.412682,48,48211,1,7,,,1,0,5
310,2007001166,40.314722,-76.440224,38,38208,1,2,,,0,1,4
320,2007001177,40.487778,-80.189452,2,2213,1,1,,,1,0,7
362,2007001251,40.531667,-79.596244,64,64219,1,4,,,1,0,1
399,2007001324,40.1817,-75.1354,46,46204,1,2,,,1,0,8
419,2007001377,40.959444,-76.586725,47,47206,1,1,,,1,0,7
421,2007001386,40.255,-80.163676,62,62220,1,7,,,1,0,8
493,2007001488,40.0198,-75.5481,15,15208,1,6,,,1,0,7
502,2007001501,39.992778,-75.288509,46,46104,1,2,,,1,0,2
598,2007001980,40.344025,-76.443621,38,38102,1,6,,,1,0,8
654,2007003577,40.473611,-75.163309,9,9223,1,5,,,1,0,4
760,2007003699,40.6875,-80.186265,4,4211,1,7,,,1,0,4
812,2007003758,40.392644,-75.492294,46,46415,1,3,,,1,0,7
914,2007003883,40.6815,-80.3003,4,4202,1,7,,,0,1,2
1003,2007004007,40.151389,-76.249908,36,36235,1,4,,,1,0,8
1043,2007004078,40.4942,-79.9596,2,2118,1,2,,,1,0,7
1057,2007004096,40.376111,-80.097728,2,2102,1,7,,,1,0,7
1124,2007004174,40.621944,-80.23087,4,4102,1,3,,,1,0,2
1159,2007004661,40.374,-80.099,2,2102,1,5,,,1,0,4
1224,2007004740,40.297931,-75.309841,46,46203,1,3,,,1,0,4
1226,2007004745,39.8251,-76.9985,66,66103,1,2,,,1,0,4
1233,2007004783,40.404722,-80.083552,2,2415,1,6,,,1,0,1
1238,2007004788,40.430156,-80.064399,2,2421,1,6,,,0,1,8
1267,2007006258,40.523611,-79.58971,64,64219,1,6,,,2,0,2
1283,2007006275,,,7,7210,1,7,,,1,0,7
1287,2007006279,39.965,-75.594696,15,15247,1,5,,,1,0,8
1363,2007006366,40.97,-76.418577,19,19204,1,6,,,1,0,7
1364,2007006367,40.028576,-75.624298,15,15254,1,7,,,2,0,4
1387,2007006393,39.816376,-75.757602,15,15225,1,5,,,1,0,4
1400,2007006408,40.318056,-79.383559,64,64412,1,2,,,1,0,4
1436,2007006450,40.572392,-75.390313,39,39211,1,2,,,1,0,4
1451,2007006465,40.766667,-75.238996,48,48213,1,6,,,1,0,7
1478,2007006496,40.281101,-76.832318,22,22101,1,6,,,0,1,7
1509,2007006619,41.439444,-75.617523,35,35407,1,5,,,1,0,4
1527,2007006640,40.46,-79.588298,64,64219,1,7,,,2,0,4
1563,2007006681,39.912222,-77.050408,1,1218,1,7,,,3,0,2
1568,2007006687,40.867218,-77.737457,14,14221,1,5,,,0,1,8
1618,2007006749,40.186667,-76.836398,66,66208,1,7,,,1,0,99
1629,2007006764,40.483619,-80.009178,2,2301,1,2,,,0,1,7
1630,2007006767,40.617155,-75.441109,39,39301,1,7,,,0,2,8
1648,2007007026,40.294481,-80.067309,62,62222,1,1,,,1,0,7
1664,2007007174,40.305556,-76.423983,38,38208,1,3,,,1,0,2
1681,2007007192,40.30881,-78.906106,11,11409,1,5,,,2,0,7
1682,2007007193,41.248752,-80.490965,43,43303,1,5,,,0,1,7
1763,2007007320,40.403459,-80.030508,2,2301,1,1,,,1,0,7
1959,2007007905,40.362,-75.9426,6,6301,1,3,,,1,0,7
2041,2007008087,39.766886,-77.50892,28,28215,1,3,,,1,0,7
2043,2007008090,40.839167,-77.787347,14,14204,1,6,,,1,0,7
2056,2007008115,40.346022,-79.881789,2,2304,1,1,,,1,0,7
2129,2007008593,40.691111,-80.314278,4,4404,1,5,,,1,0,2
2170,2007008722,40.532888,-79.609823,64,64219,1,2,,,1,0,0
2183,2007008735,40.066389,-76.598471,36,36211,1,5,,,1,0,2
2218,2007008785,39.982843,-76.592525,66,66216,1,7,,,1,0,7
2239,2007008840,40.1225,-74.959734,9,9202,1,3,,,1,0,4
2278,2007008919,40.398496,-80.027796,2,2301,1,3,,,1,0,7
2529,2007009544,40.345156,-79.840666,2,2304,1,6,,,1,0,4
2531,2007009546,40.352222,-79.856711,2,2304,1,5,,,1,0,8
2544,2007009570,40.257609,-75.542034,46,46205,1,2,,,1,0,7
2620,2007009962,40.755278,-80.436547,4,4217,1,1,,,3,0,7
2653,2007010000,39.874722,-76.821006,66,66221,1,1,,,1,0,1
2655,2007010002,39.835584,-75.725711,15,15225,1,6,,,1,1,7
2667,2007010016,40.665278,-75.511921,39,39102,1,7,,,2,2,4
2683,2007010035,40.395833,-75.136874,9,9219,1,1,,,1,0,7
2721,2007010075,40.17,-80.250556,62,62219,1,6,,,1,0,7
2793,2007010171,40.349167,-76.911444,22,22101,1,4,,,0,1,7
2813,2007010203,40.569291,-75.430964,39,39101,1,4,,,2,0,1
2820,2007010222,40.114444,-75.121874,46,46101,1,5,,,1,0,4
2844,2007011040,40.758889,-75.361214,48,48211,1,7,,,1,0,7
2850,2007011046,40.67397,-75.474887,48,48409,1,4,,,1,0,4
2885,2007011082,40.111898,-76.031941,36,36213,1,7,,,1,0,7
2978,2007011257,40.365556,-75.990924,6,6237,1,4,,,0,1,4
3045,2007011342,40.370437,-79.975188,2,2413,1,4,,,1,0,8
3053,2007011350,41.245248,-75.876346,40,40304,1,4,,,1,0,4
3118,2007011445,40.111389,-74.878923,9,9101,1,4,,,2,0,4
3131,2007011520,41.023889,-77.905627,14,14220,1,2,,,0,2,7
3204,2007011852,40.211111,-75.544176,46,46205,1,3,,,1,0,7
3217,2007011929,40.951266,-78.972624,33,33406,1,7,,,2,0,7
3240,2007011957,40.221944,-76.980073,21,21103,1,5,,,1,0,4
3268,2007011991,40.008333,-75.698663,15,15403,1,1,,,0,1,8
3300,2007012062,40.289444,-80.333219,62,62217,2,6,,,3,0,2
3371,2007012273,40.306944,-76.329216,38,38204,1,6,,,1,0,2
3396,2007012315,39.941944,-76.410895,36,36223,1,5,,,1,0,2
3590,2007012792,41.337285,-75.939731,40,40206,1,7,,,1,0,7
3622,2007012824,40.213889,-79.91042,2,2204,2,7,,,1,0,7
3635,2007012837,40.188333,-76.325275,36,36235,2,2,,,1,0,4
3646,2007012852,41.073333,-75.32603,45,45101,1,4,,,1,1,2
3941,2007013804,40.822075,-75.862322,13,13409,2,6,,,1,0,7
3943,2007013806,40.321111,-79.829087,2,2304,1,3,,,0,1,4
3981,2007013846,40.278333,-76.822395,22,22208,1,6,,,1,0,4
3990,2007013856,41.3033,-75.8287,40,40219,1,2,,,1,0,1
4097,2007014012,40.255,-80.163503,62,62220,1,5,,,1,0,1
4119,2007014041,41.322222,-77.09508,41,41214,2,7,,,0,1,0
4165,2007014094,40.281944,-74.907223,9,9224,1,3,,,1,0,0
4168,2007014098,40.805833,-75.720127,13,13208,2,4,,,1,0,2
4204,2007014139,41.051111,-77.157473,18,18211,1,2,,,1,0,0
4207,2007014145,39.889167,-77.584605,28,28204,1,2,,,1,0,2
4338,2007014368,39.796,-78.2313,29,29210,1,4,,,1,0,7
4345,2007014375,41.921111,-78.018573,52,52213,1,5,,,1,0,7
4349,2007014384,41.2511,-76.9758,41,41219,1,4,,,1,0,4
4356,2007014397,40.143733,-77.062064,21,21207,1,2,,,0,1,4
4365,2007014423,40.191173,-80.356043,62,62203,1,4,,,1,0,7
4389,2007014470,40.268056,-79.372777,64,64217,1,2,,,1,0,7
4461,2007014588,40.276992,-80.002536,62,62228,1,1,,,2,0,7
4483,2007014622,40.418056,-80.102907,2,2102,1,3,,,1,0,5
4537,2007014727,40.134306,-75.445663,46,46222,1,7,,,1,0,7
4625,2007014891,40.6659,-79.934,2,2118,2,3,,,1,0,7
4671,2007014951,40.169259,-79.811216,64,64103,2,7,,,1,0,2
4678,2007014965,39.9868,-78.2607,5,5206,1,1,,,1,0,7
4694,2007014987,40.154444,-79.555636,64,64206,1,6,,,1,0,4
4697,2007014994,40.864167,-75.098338,48,48214,1,2,,,1,0,7
4772,2007015088,40.610471,-75.470264,39,39301,1,7,,,1,0,4
4840,2007015229,40.328889,-75.904531,6,6301,1,3,,,1,0,8
4873,2007015312,40.381111,-75.933991,6,6102,1,5,,,1,0,4
5111,2007015800,40.6095,-79.9209,2,2207,2,4,,,1,0,7
5115,2007015804,40.407222,-78.436171,7,7203,1,6,,,1,0,1
5188,2007015884,41.6055,-80.3759,20,20220,2,1,,,1,0,2
5194,2007015891,40.458611,-79.588007,64,64219,2,1,,,1,0,7
5272,2007016008,41.144064,-75.952268,40,40226,2,1,,,1,0,7
5355,2007016096,40.153611,-76.159786,36,36238,2,3,,,1,0,7
5432,2007016176,39.940278,-76.762865,66,66231,2,6,,,1,0,7
5549,2007016306,40.184453,-77.239039,21,21213,1,7,,,1,0,0
5552,2007016309,40.614167,-80.095534,2,2481,1,3,,,0,1,7
5557,2007016314,40.144883,-77.158182,21,21213,1,3,,,0,1,4
5558,2007016315,40.676944,-76.180212,53,53218,1,7,,,0,1,7
5580,2007016337,40.463611,-79.906184,2,2301,1,3,,,1,0,1
5652,2007016413,40.018611,-76.742172,66,66217,1,4,,,1,0,1
5659,2007016420,40.353238,-76.347221,38,38205,1,4,,,1,0,8
5738,2007016511,40.0222,-75.6169,15,15254,2,5,,,2,0,1
5739,2007016512,40.368236,-79.983441,2,2413,2,5,,,1,0,4
5805,2007016587,41.0098,-80.3398,37,37217,1,5,,,1,0,7
5859,2007016650,40.412778,-80.010169,2,2301,1,5,,,0,1,7
5947,2007016740,40.335556,-75.965353,6,6429,1,2,,,0,1,4
5992,2007016792,40.363333,-79.400394,64,64204,1,6,,,1,0,4
6180,2007016988,39.84638,-75.365965,23,23301,1,4,,,1,0,4
6570,2007017405,39.904722,-79.664989,26,26214,1,3,,,1,0,0
6572,2007017408,39.909167,-79.765285,26,26214,1,5,,,1,0,7
6611,2007017453,40.088889,-77.508941,21,21215,1,6,,,1,0,4
6631,2007017474,40.611944,-78.794038,11,11203,1,6,,,1,0,7
6654,2007017498,40.246389,-79.935051,62,62228,1,1,,,1,0,7
6668,2007017513,40.210278,-79.748637,64,64215,1,5,,,2,0,2
6669,2007017514,40.263333,-80.170215,62,62220,1,6,,,1,0,7
6720,2007017570,39.902778,-77.863639,28,28210,1,5,,,1,0,1
6758,2007017612,40.162512,-77.194439,21,21213,1,5,,,1,0,4
6805,2007017662,41.101111,-79.896837,10,10220,1,1,,,1,0,7
6827,2007017686,42.125663,-80.000208,25,25210,1,2,,,1,0,7
6835,2007017694,41.195833,-79.931564,60,60208,1,4,,,1,0,4
6947,2007017813,41.761389,-75.403603,63,63213,1,5,,,1,0,7
