,CRN,STREET_NAME
49,2016041613,BALTIMORE PK
50,2016041613,DALEVILLE JENNERSVILLE RD
60,2016053272,YETTER CT
104,2016035556,HIGHLAND RD
105,2016035556,FALLOWFIELD RD
133,2016091375,PAXTON ST
174,2016051386,S DELAWARE DR
239,2016084792,PINE ST
240,2016084792,MAIN ST
241,2016084792,MARILYN HORN WY
248,2016094809,WILLIAM PENN HW
251,2016096010,GREEN ST
264,2016114027,BRIDGE ST
278,2016033757,MAIN ST
296,2016112671,ROSE VALLEY RD
315,2016018714,RED HILL RD
389,2016096740,RAMP C RD
390,2016096740,ARTHUR GARDNER HW
391,2016096740,RAMP D RD
396,2016059108,NEWARK RD
427,2016114572,DELAWARE EX
446,2016108073,CONWAY WALLROSE RD
462,2016033321,MEADVILLE RD
557,2016090432,LITITZ PK
576,2016057067,NEWBURG RD
592,2016101215,6TH ST
593,2016101215,SPRING AV
596,2016124594,HARRISBURG PK
630,2016063263,GRANGE RD
637,2016045384,PENNSYLVANIA AV
638,2016045384,SHERIDAN ST
678,2016050265,LINCOLN HW
708,2016045907,CARLISLE RD
727,2016123385,PLANK RD
738,2016110631,PLANK RD
739,2016027434,UPPER MATEER RD
771,2016127697,HORNER ST
772,2016127697,VALLEY PK
773,2016132526,LOW ST
774,2016132526,FOURTH ST
775,2017003832,BUFFALO RD
793,2016117859,COUDERSPORT PK
818,2016111466,BOWMANS MILL RD
838,2016014952,RAYMOND P SHAFER HW
935,2016027846,SR 0940 SH
966,2016045171,PENN AV
974,2016029545,MAIN ST
975,2016029545,BLAINSPORT RD
976,2016029545,WINDY MANSION RD
981,2016078761,CARLISLE PK
983,2016108221,
1004,2016042961,WILLIAM FLINN HW
1013,2016073139,RAMP C RD
1014,2016073139,Z H CONFAIR MEMORIAL HW
1040,2016058358,NORTHEAST EX
1054,2016026700,MCGOVERN BL
1098,2016092406,BEE LINE HW
1099,2016092406,DUBOIS TO SABULA RD
1100,2016092406,CORAL REEF RD
1161,2016008167,HAVERFORD AV
1162,2016008167,FORTYEIGHTH ST
1197,2016092120,MAIN ST
1226,2016054682,GRAFFIUS AV ET
1272,2016054991,HARVEY AV
1273,2016054991,NEW ALEXANDRIA RD
1276,2016054837,CUMBERLAND ST
1437,2016058316,COVINGTON INDUSTRIAL PL
1438,2016058316,DRINKER PK
1439,2016058316,DRINKER PK
1449,2016128194,BERNVILLE RD
1459,2016087719,PASCHALL AV
1460,2016087719,FORTYNINTH ST
1500,2016071130,GEORGE ST
1501,2016091308,WHITE TOP RD
1509,2016072705,PARKHILL DR
1533,2016015034,MAIN ST
1575,2016060668,KEYSTONE SHORTWAY HW
1576,2016075814,KEYSTONE SHORTWAY RD
1587,2016057261,RICHMOND ST
1588,2016057261,HEISTERS LN
1589,2016057261,FIFTH ST
1590,2016057261,FIFTH ST
1642,2016105189,WANNER RD
1679,2016137464,MAIN ST
1728,2016020927,BETHEL RD
1729,2016030719,SOUTH CONCOURSE DR
1730,2016030719,BELMONT AV
1731,2016030719,BELMONT AV
1875,2016118047,SR 0085 SH
1922,2016125609,TURNPIKE RAMP RD
1941,2016117958,EASTON RD
1942,2016117958,QUARRY RD
2054,2016089259,PYMATUNING STATE PARK ROAD PS
2055,2016089259,TWENTYEIGHTH DIVISION HW
2187,2016027205,THRUSH DR
2188,2016027205,GILBERTSVILLE RD
2189,2016027205,GROSSER RD
2233,2016047373,BEDMINSTER RD
2266,2016117839,COUDERSPORT PK
2341,2016109229,BUTLER RD
2345,2016011118,
2346,2016128316,BUFFALO PITTSBURGH HW
2348,2016030808,DRY TAVERN RD
2376,2016094897,STATE ST
2377,2016094897,UNION SQUARE RD
2378,2016094897,STATE ST
2382,2016094897,RAMP H RD
2396,2016090028,QUARRY RD
2458,2016051634,BAKERSTOWN/WARRENDALE RD
2472,2016050292,AMERICAN LEGION MEM HW
2566,2016083959,BRIDGE ST
2568,2016076208,AMERICAN LEGION MEM HW
2613,2016092069,BROWN ST
2615,2016092069,BROAD ST
2616,2016092069,BROAD ST
2622,2016016680,LOG TAVERN RD
2648,2016020045,CROTON AV
2696,2016029027,BRUNSWICK DR
2705,2016075408,SR 0011 HW
2725,2016082424,COUNTY LINE RD
2726,2016082424,HOFFMANSVILLE RD
2809,2016102603,
2871,2016099718,KEYSER AV
2915,2016072851,OXFORD RD
2923,2016044118,REBERS BRIDGE RD
3007,2016052758,WOODLAND AV
3008,2016052758,WALNUT ST
3039,2016112578,RAMP J RD
3041,2016112578,WESLEY DR
3042,2016112578,ROSSMOYNE RD
3048,2016032321,TURNPIKE ST
3049,2016032321,UNKNOWN RD
3102,2016070724,HOUTZTOWN RD
3501,2016065834,PERRY HW
3564,2016054953,WASHINGTON TOWNSHIP BL
3575,2016050595,5TH AV
3576,2016050595,HALKET ST
3701,2017005797,FRANK D OREILLY HW
3715,2016069518,SCALP AV
3816,2016068139,SAFE HARBOR RD
3819,2016128084,SR 3017 SH
3820,2016128084,HAMILTON WE
3842,2016102495,AMERICAN LEGION MEM HW
3888,2016087773,DRY TAVERN RD
3901,2016116919,MARINE CORPS LEAG MEM HW
3902,2016116919,MARINE CORPS LEAG MEM HW
3903,2016116919,PINCHTOWN RD
3926,2016047827,FRONT ST
3960,2016135584,SLAB RUN RD
3999,2016087107,SWAMP RD
4033,2016046674,BERRYSBURG RD
4052,2016079899,HAZLETON AV
4088,2016081790,BUFFALO RD
4099,2017015140,ROCHESTER INT/RAMP E RD
4100,2017015140,OHIO RIVER BL
4127,2016097446,PENNINGTON RD
4133,2017009968,AMERICAN LEGION MEM HW
4134,2016025997,BRIDGE ST
4135,2016025997,BRIDGE ST
4136,2016025997,TACONY ST
4137,2016025997,TACONY ST
4138,2016097769,TURKEY HOLLOW RD
4195,2016083079,EBERLE RD
4256,2016099363,RIDGE PK
4396,2016111243,WOODLAND RD
4419,2016024636,VFW OF US MEM HW
4432,2016044936,WALNUT ST
4521,2016053855,SCHUYLKILL EX
4548,2016103046,LINCOLN ST
4550,2016103046,WEST ST
