,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
43,2022013335,40.537109,-80.00839,2,2116,2,7,922.0,,1,0,8
51,2022011788,40.434634,-79.987586,2,2301,1,4,2140.0,,1,0,1
52,2022016296,39.983992,-76.377339,36,36223,2,7,1734.0,,1,0,98
152,2022006684,40.046354,-77.489337,21,21215,1,5,815.0,,1,0,1
167,2022015008,40.309622,-76.389283,38,38212,2,4,1617.0,,1,0,8
207,2022011384,40.204636,-79.322053,64,64203,1,4,901.0,,1,0,7
255,2022016538,40.417148,-76.100763,6,6229,1,1,240.0,,1,1,2
329,2022015883,40.34792,-76.371386,38,38212,2,6,1521.0,,1,0,0
368,2022017482,40.901756,-75.079589,48,48214,1,7,1755.0,,0,1,7
427,2022005038,41.250418,-79.459587,16,16410,1,5,801.0,,1,0,4
468,2022018066,40.385719,-77.293644,50,50216,2,4,704.0,,1,0,2
496,2022016272,40.312032,-75.540644,46,46212,2,7,1613.0,,0,1,2
501,2022017564,40.022851,-75.223544,46,46104,2,7,1937.0,,1,0,7
532,2022005079,41.188156,-79.233044,16,16204,1,5,700.0,,1,0,7
585,2022009389,40.82985,-79.815879,10,10228,1,5,920.0,,2,0,2
586,2022012152,41.344756,-75.900514,40,40220,1,3,1816.0,,1,0,7
636,2022016429,40.789353,-76.502868,49,49101,2,2,820.0,,1,0,7
650,2022004297,40.011442,-75.200419,67,67301,1,1,1130.0,,1,0,2
668,2022015347,40.480765,-79.928316,2,2301,2,7,2004.0,,1,0,8
681,2022005549,39.90694,-76.939227,66,66223,1,7,406.0,,1,0,7
707,2022015208,41.296516,-80.424269,43,43220,2,4,2009.0,,1,0,2
745,2022008540,41.276194,-75.858202,40,40103,1,2,1250.0,,1,0,1
795,2022008923,40.091975,-79.202983,55,55209,1,2,1815.0,,1,0,5
861,2022013857,41.225613,-75.933367,40,40101,2,5,1919.0,,1,0,8
885,2022013489,40.184906,-80.161125,62,62227,1,2,1246.0,,2,0,1
1043,2022015974,41.205797,-74.938761,51,51202,1,7,1311.0,,1,0,2
1074,2022005517,40.582282,-77.905368,31,31215,1,5,1849.0,,1,0,1
1090,2022004853,40.643388,-75.431473,39,39201,1,5,1315.0,,1,0,1
1096,2022015738,41.125405,-75.291802,45,45208,1,7,2048.0,,0,1,7
1102,2022016307,39.965201,-75.276481,23,23111,2,2,552.0,,1,0,4
1106,2022013315,40.513059,-75.385069,39,39403,2,7,853.0,,1,0,2
1120,2022001620,39.895353,-75.417744,23,23207,1,7,130.0,,1,0,7
1131,2022016999,39.745481,-78.294651,29,29210,2,5,2055.0,,1,0,7
1138,2022015147,40.095062,-75.361354,46,46220,2,4,1615.0,,1,0,4
1237,2022003392,40.095121,-75.173356,46,46102,1,7,1448.0,,1,0,7
1361,2022009232,39.866358,-75.345531,23,23107,1,7,245.0,,1,0,5
1372,2022009278,40.264809,-78.2539,5,5213,1,3,707.0,,1,0,7
1405,2022007443,40.587053,-75.580641,39,39209,1,4,1614.0,,1,0,1
1440,2022005408,40.512575,-79.524686,64,64202,1,6,1713.0,,1,0,8
1470,2022017754,40.139562,-75.690313,15,15210,2,4,147.0,,1,0,7
1537,2022017603,40.150986,-75.251114,46,46225,2,4,2052.0,,0,1,98
1574,2022011882,40.67594,-80.048181,10,10201,1,7,246.0,,1,0,2
1599,2022016539,39.880425,-79.717797,26,26218,1,1,1455.0,,0,1,7
1703,2022011175,39.974631,-78.91436,55,55223,1,7,1805.0,,1,0,1
1713,2022017224,40.638767,-75.445516,39,39201,1,3,2047.0,,1,0,7
1733,2022017162,41.417974,-79.835744,60,60409,1,7,1744.0,,2,0,4
1796,2022009377,40.208524,-76.610273,22,22201,1,4,750.0,,1,0,7
1808,2022010783,41.067951,-78.476386,17,17223,1,2,458.0,,1,0,7
