,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
12,2018031935,39.98526,-75.742098,15,15243,1,2,811.0,,1,0,2
22,2018029976,40.011,-75.147361,67,67301,1,1,357.0,,1,0,7
67,2018025657,40.272986,-78.833658,11,11222,3,5,949.0,,1,0,8
130,2018038104,42.078944,-80.050936,25,25213,3,5,14.0,,1,0,4
135,2018008025,40.500044,-80.221987,2,2213,1,1,1301.0,,1,0,4
187,2018010777,40.601729,-75.485161,39,39301,1,6,1858.0,,1,0,4
249,2018038155,40.776038,-76.466968,49,49210,3,4,113.0,,0,1,7
265,2018032550,39.928143,-76.606058,66,66233,1,5,1830.0,,1,0,4
267,2018034755,40.263068,-76.934373,21,21101,3,7,950.0,,0,1,6
277,2018025415,40.106833,-75.116639,46,46101,2,4,1401.0,,0,1,8
281,2018040441,41.005869,-78.841047,33,33208,4,5,711.0,,1,0,2
328,2018012813,40.604836,-75.46223,39,39301,1,6,2058.0,,1,0,8
351,2018044177,40.945028,-80.384868,37,37206,3,2,1712.0,,0,1,4
359,2018043507,40.587513,-75.380328,48,48210,2,4,2217.0,,1,0,1
445,2018030476,40.632463,-79.995964,2,2216,3,2,1450.0,,1,1,6
478,2018019760,40.072349,-75.831539,15,15244,2,2,1822.0,,0,1,6
530,2018030217,39.845418,-75.425593,23,23110,3,6,937.0,,1,1,4
584,2018041988,40.643361,-80.030013,2,2216,4,3,553.0,,2,0,7
594,2018037891,40.230722,-76.134759,36,36405,3,5,1938.0,,1,0,8
597,2018066157,39.973077,-75.213696,67,67301,6,5,1950.0,,0,1,5
626,2018040371,40.452543,-75.643599,6,6211,2,4,719.0,,0,1,2
630,2018009771,39.94225,-75.250113,23,23427,1,7,2315.0,,2,0,7
686,2018013846,39.953482,-76.649236,66,66233,1,6,1758.0,,1,0,7
695,2018006169,40.365232,-75.915343,6,6301,1,6,1841.0,,1,0,4
698,2018037926,39.952234,-79.652959,26,26214,2,4,2141.0,,0,1,8
701,2018007603,40.272606,-75.776617,6,6203,1,2,643.0,,1,0,4
705,2018034679,40.029,-76.23575,36,36215,3,1,1253.0,,0,1,8
746,2018031157,40.376815,-77.15255,50,50202,2,5,615.0,,0,1,4
780,2018039218,40.057616,-75.152523,67,67301,3,5,1055.0,,0,1,4
894,2018062096,40.135975,-79.592133,64,64206,5,2,336.0,,0,1,7
911,2018037637,40.102651,-76.560873,36,36211,3,7,1010.0,,2,1,2
944,2018012622,39.936576,-76.644138,66,66233,1,7,1105.0,,2,0,4
945,2018031611,39.76507,-77.610367,28,28215,3,3,1658.0,,3,2,2
1017,2018029978,40.026296,-75.125268,67,67301,1,1,242.0,,1,0,8
1019,2018026592,40.270856,-77.039941,21,21212,1,6,641.0,,2,0,5
1030,2018032065,40.756333,-75.940867,53,53237,3,1,614.0,,0,1,7
1031,2018041309,39.871961,-75.297607,23,23109,3,4,1149.0,,1,0,7
1039,2018039287,41.354766,-75.934358,40,40206,3,1,520.0,,1,0,7
1050,2018012809,39.973019,-75.58366,15,15247,1,4,606.0,,2,0,1
1053,2018018040,41.122681,-75.37357,45,45403,1,6,2017.0,,2,0,4
1059,2018040276,40.112931,-78.350741,5,5209,3,3,1249.0,,1,0,1
1067,2018007203,39.849589,-78.197331,29,29202,1,2,900.0,,1,0,7
1068,2018029495,40.040633,-75.367857,23,23106,3,3,2009.0,,0,1,8
1083,2018028014,40.038241,-76.888746,66,66205,2,3,906.0,,2,0,4
1099,2018039972,40.388844,-76.5604,38,38207,3,2,727.0,,0,1,2
1148,2018003030,40.053683,-76.412876,36,36239,1,7,417.0,,1,1,7
1304,2018026871,40.017947,-75.149347,67,67301,1,6,407.0,,1,0,8
1311,2018003368,39.837461,-75.377346,23,23301,1,1,1354.0,,1,0,4
1379,2018027684,40.000936,-75.166408,67,67301,1,7,45.0,,1,0,4
1382,2018031891,41.59777,-75.337591,63,63404,2,3,959.0,,0,1,8
1389,2018038699,40.417199,-77.021092,50,50212,3,4,2117.0,,0,1,0
1425,2018009647,40.739554,-78.416671,17,17218,1,6,1556.0,,1,0,7
1426,2018030186,40.085707,-75.023809,67,67301,1,2,542.0,,1,0,7
1434,2018011047,40.666658,-77.498192,44,44205,1,4,1857.0,,1,0,7
1457,2018035691,40.34478,-78.940924,11,11301,3,7,1915.0,,1,0,7
1476,2018030500,39.899928,-75.262536,23,23102,3,2,2310.0,,0,1,4
1525,2018020895,41.059601,-75.080582,45,45207,1,3,245.0,,1,0,7
1693,2018043593,40.472694,-78.6,11,11209,4,3,810.0,,2,0,7
1715,2018028615,39.882139,-76.826121,66,66221,2,5,1.0,,1,0,7
1737,2018043749,41.867689,-79.148748,61,61211,3,7,2229.0,,0,1,7
1854,2018034460,40.802319,-76.706567,49,49213,3,7,327.0,,1,0,7
1966,2018026876,40.097156,-75.018134,67,67301,1,3,1954.0,,1,0,4
2007,2018039114,40.181697,-77.191926,21,21213,3,6,1246.0,,1,0,1
2061,2018023471,39.722881,-77.355819,1,1213,2,6,1009.0,,2,0,1
2123,2018015101,39.919498,-76.708648,66,66102,1,7,2119.0,,1,0,7
2174,2018015808,40.976536,-76.506406,19,19216,2,1,1816.0,,1,0,4
2177,2018040374,40.586685,-76.520925,53,53222,3,1,709.0,,0,1,99
2178,2018039677,39.998839,-77.920891,29,29209,3,7,642.0,,0,1,7
2251,2018038830,39.817999,-76.042448,36,36205,2,7,1341.0,,3,1,2
2264,2018001352,41.078437,-76.400885,19,19219,1,3,2044.0,,1,0,7
2303,2018040053,40.524859,-78.355182,7,7210,2,7,1557.0,,0,1,8
2314,2018003431,40.430329,-80.000672,2,2301,1,1,307.0,,1,0,7
2319,2018040215,40.393827,-75.50152,46,46415,4,5,1104.0,,1,0,6
2447,2018003951,40.23284,-76.932838,21,21401,1,3,1139.0,,0,1,5
2500,2018003919,41.753779,-80.197046,20,20206,1,7,1133.0,,1,0,7
2565,2018016465,39.910816,-77.669872,28,28401,1,5,2225.0,,0,1,8
2582,2018017189,41.928792,-77.820714,52,52203,1,7,2153.0,,2,1,7
2591,2018002101,40.945879,-78.375095,17,17205,1,3,2122.0,,1,0,7
2608,2018003344,41.839778,-78.589836,42,42209,1,6,848.0,,2,0,2
2690,2018020818,40.392139,-75.612988,6,6243,2,5,645.0,,1,0,7
2693,2018005881,40.009385,-80.180939,62,62201,1,2,1055.0,,2,0,7
2695,2018003811,40.437704,-79.972679,2,2301,1,2,1610.0,,1,0,8
2787,2018016600,41.183223,-80.504962,43,43224,1,5,2247.0,,2,0,4
2802,2018002528,40.306619,-79.575101,64,64209,1,4,2139.0,,1,0,4
2838,2018005810,40.329133,-78.563505,7,7207,1,6,1636.0,,2,0,2
2858,2018015087,40.224283,-76.619249,22,22201,1,1,1540.0,,1,0,2
2893,2018017177,40.486551,-76.898322,22,22204,2,3,1414.0,,0,1,7
2918,2018003371,40.25793,-76.856309,22,22301,1,1,1503.0,,2,0,2
2955,2018001545,40.596251,-75.340615,48,48301,1,2,1511.0,,1,0,7
3030,2018003352,41.300629,-79.301754,16,16207,1,7,243.0,,3,0,7
3061,2018011733,40.140891,-80.173356,62,62201,1,1,322.0,,0,1,7
3081,2018008201,40.627733,-79.66845,64,64201,1,4,1146.0,,1,0,7
3082,2018007749,40.141596,-79.410103,64,64212,1,2,1530.0,,1,0,7
3126,2018005878,39.750392,-79.082277,55,55416,1,1,1804.0,,1,0,7
3180,2018002163,40.046611,-75.421309,15,15215,1,5,2155.0,,1,0,8
3219,2018002208,40.919889,-76.906361,59,59202,1,5,2330.0,,0,2,7
3261,2018000347,39.96671,-75.271287,23,23111,1,2,2020.0,,1,0,8
3270,2018006078,40.750336,-79.081366,32,32218,1,4,1125.0,,0,1,2
3377,2018005645,41.513217,-78.721304,24,24209,1,3,1645.0,,0,1,2
3437,2018003168,40.038216,-76.747666,66,66217,1,6,1709.0,,1,0,1
3540,2018002830,40.452066,-75.36111,9,9220,1,7,758.0,,1,0,7
3671,2018000007,41.382313,-75.701084,35,35302,1,2,51.0,,0,1,7
3695,2018018878,40.326193,-79.792492,2,2477,2,5,2132.0,,0,1,7
3714,2018012202,40.165848,-75.303074,46,46225,1,3,2327.0,,1,0,1
3727,2018006862,40.573956,-75.87129,6,6215,1,1,716.0,,1,0,7
3729,2018023322,41.905933,-79.769709,25,25217,2,6,833.0,,1,0,7
3736,2018006799,40.264203,-75.130802,9,9227,1,1,1657.0,,1,0,4
3741,2018008097,39.907042,-77.539915,28,28203,1,7,1109.0,,1,0,4
3742,2018011043,39.781253,-79.970362,30,30204,1,2,1433.0,,0,1,4
3754,2018014841,40.5324,-75.332568,9,9222,2,6,2321.0,,1,0,7
3759,2018018478,40.147202,-79.534757,64,64416,2,7,2028.0,,1,0,7
3762,2018010553,40.338505,-79.506167,64,64209,1,5,1935.0,,0,1,7
3805,2018007745,40.191742,-80.019928,62,62221,1,5,1302.0,,1,0,7
3825,2018011743,41.407287,-75.722573,35,35414,1,4,1733.0,,2,0,7
3874,2018000648,40.646028,-80.228583,4,4403,1,3,1218.0,,1,0,7
