,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
25,2010032211,1,51.0,4.0,1,2006.0,CHEV,0,T4C,3.0
139,2010028513,1,1.0,1.0,1,1997.0,VOLK,0,PCV,1.0
222,2010124659,1,2.0,1.0,5,2000.0,PONT,0,PCP,4.0
223,2010124659,2,,31.0,30,,,0,,
233,2010110349,1,4.0,1.0,1,2004.0,DODG,0,P4D,1.0
234,2010110349,2,41.0,7.0,1,1999.0,CHEV,0,TES,1.0
235,2010110349,3,2.0,1.0,1,2001.0,HOND,0,PCP,1.0
280,2010034645,1,15.0,1.0,1,1992.0,ISU,0,PUT,3.0
281,2010034645,2,51.0,4.0,1,2006.0,NISS,0,TCW,1.0
282,2010034645,3,29.0,2.0,1,2007.0,OTHR,0,,1.0
328,2010029990,1,24.0,13.0,1,,YAMA,0,,1.0
329,2010029990,2,75.0,5.0,1,2009.0,PTRB,0,TDS,1.0
366,2010034209,1,4.0,1.0,1,2000.0,CHEV,0,P4D,1.0
367,2010034209,2,6.0,1.0,1,2001.0,VOLV,0,PSW,1.0
417,2010049503,1,,20.0,30,,,0,,1.0
418,2010049503,2,4.0,1.0,1,2005.0,HYUN,0,P4D,1.0
447,2010024463,1,4.0,1.0,1,1995.0,FORD,0,P4D,1.0
448,2010024463,2,4.0,1.0,1,2006.0,VOLK,0,P4D,1.0
449,2010024463,3,41.0,7.0,1,2003.0,FORD,0,TCG,1.0
650,2010063307,1,15.0,6.0,1,2004.0,FORD,0,PUT,1.0
651,2010063307,2,12.0,6.0,1,2004.0,JEEP,0,T2W,1.0
898,2010053142,1,12.0,7.0,1,2008.0,CHRY,0,PSV,1.0
899,2010053142,2,20.0,2.0,1,2006.0,OTHR,0,MRS,1.0
913,2010101074,1,4.0,1.0,1,1995.0,OLDS,0,P4D,1.0
914,2010101074,2,51.0,4.0,1,1997.0,DODG,0,TPK,1.0
971,2010096168,1,4.0,1.0,1,2007.0,CHEV,0,P4D,1.0
989,2010033563,1,6.0,1.0,1,1993.0,CHEV,0,PSW,1.0
1038,2010020458,1,1.0,1.0,1,2007.0,FORD,0,PCV,1.0
1066,2010076438,1,20.0,2.0,1,2001.0,HOND,0,MRS,1.0
1068,2010111697,1,4.0,1.0,1,1995.0,HOND,0,P4D,1.0
1144,2010014876,1,4.0,1.0,1,2000.0,LEXS,0,P4D,1.0
1145,2010014876,2,,31.0,30,,,0,,
1175,2010030159,1,75.0,5.0,1,2007.0,KNNW,0,TDS,1.0
1176,2010030159,2,75.0,5.0,1,2000.0,VOLV,0,TDS,1.0
1221,2010096057,1,4.0,1.0,1,1997.0,FORD,0,P4D,1.0
1222,2010096057,2,73.0,4.0,1,1999.0,ISU,0,TTB,1.0
1257,2010104327,1,4.0,1.0,1,2002.0,STRN,0,P4D,1.0
1258,2010104327,2,15.0,1.0,1,2000.0,MRCU,0,PUT,1.0
1259,2010104327,3,4.0,1.0,1,1998.0,DODG,0,P4P,1.0
1295,2010114750,1,12.0,7.0,1,2002.0,CHEV,0,PSV,1.0
1320,2010112261,1,51.0,4.0,1,2003.0,CHEV,0,TCW,1.0
1321,2010112261,2,98.0,98.0,2,2003.0,OTHR,1,,2.0
1399,2010067979,1,,31.0,30,,,0,,
1400,2010067979,2,12.0,6.0,1,1989.0,JEEP,0,T2W,1.0
1433,2010050402,1,51.0,4.0,1,1995.0,ISU,0,TPK,1.0
1434,2010050402,2,51.0,4.0,1,2004.0,CHEV,0,TPK,1.0
1437,2010084596,1,69.0,5.0,5,2007.0,FORD,0,TYY,4.0
1438,2010084596,2,,31.0,30,,,0,,
1439,2010090806,1,41.0,7.0,1,2003.0,CHEV,0,TCG,1.0
1440,2010090806,2,75.0,5.0,1,2001.0,KNNW,0,TDS,1.0
1441,2010090806,3,4.0,1.0,1,2009.0,HOND,0,P4D,1.0
1480,2010096372,1,4.0,1.0,1,1999.0,CHEV,0,P4D,1.0
1481,2010096372,2,4.0,1.0,1,2002.0,TOYT,0,P4D,1.0
1504,2010038181,1,20.0,2.0,1,1993.0,UNKN,0,MRS,1.0
1505,2010038181,2,4.0,1.0,1,2001.0,KIA,0,P4D,1.0
1528,2010099089,1,2.0,1.0,1,2001.0,PONT,0,PCP,1.0
1594,2011001197,1,4.0,1.0,1,1998.0,FORD,0,P4D,1.0
1642,2010019073,1,4.0,1.0,1,1993.0,FORD,0,P4D,1.0
1643,2010019073,2,2.0,1.0,1,2010.0,FORD,0,PCP,1.0
1663,2010103293,1,12.0,7.0,1,1997.0,DODG,0,PSV,1.0
1674,2010037016,1,4.0,1.0,1,2007.0,DODG,0,P4D,1.0
1675,2010037016,2,4.0,1.0,1,1995.0,STRN,0,P4D,1.0
1676,2010037016,3,15.0,6.0,1,2005.0,TOYT,0,PUT,1.0
1786,2010032617,1,4.0,1.0,1,1999.0,KIA,0,P4D,1.0
1838,2010074002,1,4.0,1.0,5,1996.0,BUIC,0,P4D,4.0
1839,2010074002,2,20.0,2.0,1,1998.0,HD,0,MRS,1.0
2070,2010035197,1,2.0,1.0,1,1997.0,DODG,0,P2P,1.0
2071,2010035197,2,51.0,4.0,1,2000.0,FORD,0,TCH,1.0
2072,2010035197,3,15.0,6.0,1,2009.0,FORD,0,PUT,1.0
2073,2010035197,4,51.0,4.0,1,2002.0,CHEV,0,T3C,1.0
2116,2010043754,1,9.0,1.0,1,,CHEV,0,,1.0
2117,2010043754,2,9.0,1.0,1,2008.0,MERZ,0,,1.0
2118,2010043754,3,,31.0,30,,,0,,
2177,2011008116,1,15.0,6.0,1,2006.0,FORD,0,PUT,1.0
2178,2011008116,2,73.0,4.0,1,2007.0,ISU,0,TTB,1.0
2235,2010034628,1,9.0,1.0,5,,TOYT,0,,4.0
2236,2010034628,2,,31.0,30,,,0,,
2321,2010023034,1,73.0,5.0,1,2001.0,MACK,0,TTM,1.0
2322,2010023034,2,73.0,4.0,1,2007.0,MITS,0,TTB,1.0
2323,2010023034,3,51.0,4.0,1,2000.0,FORD,0,TPK,1.0
2324,2010023034,4,15.0,1.0,1,2007.0,CHEV,0,PUT,1.0
2325,2010023034,5,4.0,1.0,1,2006.0,HOND,0,P4D,1.0
2326,2010023034,6,4.0,1.0,1,2002.0,HOND,0,P4D,1.0
2327,2010023034,7,12.0,7.0,1,1997.0,PLYM,0,PSV,1.0
2395,2010054347,1,51.0,4.0,1,2004.0,CHEV,0,TCB,1.0
2396,2010054347,2,41.0,7.0,1,2005.0,CHEV,0,TCG,1.0
2461,2010104427,1,12.0,1.0,1,2006.0,CHRY,0,PSV,1.0
2462,2010104427,2,9.0,1.0,1,2002.0,CHRY,0,,1.0
2464,2010097947,1,4.0,1.0,1,2004.0,CHEV,0,P4D,1.0
2465,2010097947,2,15.0,6.0,1,2003.0,FORD,0,PUT,1.0
2466,2010097947,3,4.0,1.0,1,2006.0,BUIC,0,P4D,1.0
2467,2010097947,4,4.0,1.0,1,1993.0,OLDS,0,P4D,1.0
2505,2010057203,1,4.0,1.0,1,1992.0,TOYT,0,P4D,1.0
2506,2010057203,2,75.0,5.0,1,2007.0,FRHT,0,TDS,1.0
2555,2010034332,1,3.0,1.0,1,1992.0,CHEV,0,P2H,1.0
2556,2010034332,2,5.0,1.0,1,2002.0,MAZD,0,P4H,1.0
2557,2010034332,3,4.0,1.0,1,2010.0,TOYT,0,P4D,1.0
2660,2010115774,1,2.0,1.0,1,2001.0,HOND,0,PCP,1.0
2686,2010094826,1,4.0,1.0,1,2003.0,CHRY,0,P4D,1.0
2687,2010094826,2,20.0,2.0,1,2003.0,HOND,0,MRS,1.0
2688,2010094826,3,15.0,6.0,1,2004.0,JEEP,0,T4W,1.0
2689,2010094826,4,5.0,1.0,1,2004.0,PONT,0,P4H,1.0
2858,2010008793,1,51.0,4.0,1,2000.0,CHEV,0,TPC,1.0
2859,2010008793,2,51.0,4.0,1,1996.0,FORD,0,TCB,1.0
2891,2010045709,1,4.0,1.0,1,1997.0,MAZD,0,P4D,1.0
2954,2010112297,1,75.0,5.0,1,2005.0,KNNW,0,TDS,1.0
2977,2010119057,1,5.0,1.0,1,2010.0,NISS,0,P4H,1.0
3045,2010089488,1,4.0,1.0,1,1996.0,PONT,0,P4D,1.0
3061,2010081275,1,4.0,1.0,1,2004.0,AUDI,0,P4D,1.0
3085,2011005365,1,4.0,1.0,1,2009.0,HOND,0,P4D,1.0
3119,2010083043,1,5.0,1.0,1,1995.0,VOLK,0,P4H,1.0
3120,2010083043,2,15.0,6.0,1,2008.0,CHEV,0,PUT,1.0
3121,2010083043,3,4.0,1.0,1,1999.0,CHEV,0,P4D,1.0
3131,2010121039,1,15.0,6.0,1,1998.0,FORD,0,PUT,1.0
3167,2010081886,1,4.0,1.0,1,2003.0,AUDI,0,P4D,1.0
3206,2010097521,1,39.0,3.0,1,2001.0,OTHR,0,,1.0
3207,2010097521,2,4.0,1.0,1,1995.0,MRCU,0,P4D,1.0
3329,2011003487,1,4.0,1.0,1,2008.0,CHEV,0,P4D,1.0
3330,2011003487,2,4.0,1.0,1,1995.0,HOND,0,P4D,1.0
3346,2010074822,1,51.0,4.0,1,2002.0,DODG,0,TCW,1.0
3347,2010074822,2,4.0,1.0,1,1999.0,,0,P4D,1.0
3348,2010074822,3,4.0,1.0,1,2008.0,DODG,0,P4D,1.0
3369,2010037512,1,15.0,6.0,1,2000.0,FORD,0,PUT,1.0
3451,2010088343,1,51.0,4.0,1,2001.0,DODG,0,T4C,1.0
3469,2010130424,1,4.0,1.0,1,2005.0,SUBA,0,P4D,1.0
3587,2010108178,1,4.0,1.0,1,2002.0,FORD,0,P4D,1.0
3588,2010108178,2,20.0,2.0,1,2004.0,HD,0,MRS,1.0
3673,2011002042,1,51.0,4.0,1,2010.0,DODG,0,TCW,1.0
3699,2010110225,1,4.0,1.0,1,1995.0,CHEV,0,P4D,1.0
3700,2010110225,2,75.0,5.0,1,2007.0,FRHT,0,TDS,1.0
3756,2010103501,1,24.0,13.0,1,,YAMA,0,,1.0
3788,2010048073,1,20.0,2.0,1,2008.0,HD,0,MRS,1.0
3795,2010108425,1,73.0,7.0,1,2004.0,FORD,0,TIC,1.0
3796,2010108425,2,51.0,4.0,2,2008.0,DODG,1,TCW,2.0
3909,2010074117,1,4.0,1.0,1,2003.0,DODG,0,P4D,1.0
3910,2010074117,2,15.0,6.0,1,2003.0,TOYT,0,PUT,1.0
3911,2010074117,3,4.0,1.0,1,2004.0,INFI,0,P4D,1.0
3960,2010083791,1,4.0,1.0,1,2096.0,HOND,0,P4D,1.0
4002,2010061649,1,4.0,1.0,1,1997.0,FORD,0,P4D,1.0
4003,2010061649,2,51.0,4.0,1,2008.0,FORD,0,TCW,1.0
4019,2010102870,1,51.0,4.0,1,1996.0,FORD,0,TPK,1.0
4020,2010108725,1,,31.0,30,,,0,,
4021,2010108725,2,4.0,1.0,1,2010.0,TOYT,0,P4D,1.0
4030,2010035334,1,20.0,2.0,1,2001.0,HD,0,MRS,1.0
4043,2010068499,1,29.0,2.0,1,1982.0,SUZI,0,,1.0
4044,2010068499,2,49.0,7.0,2,2008.0,FORD,1,,2.0
4153,2010023747,1,4.0,1.0,1,1995.0,CHEV,0,P4D,1.0
4154,2010023747,2,4.0,1.0,1,2000.0,MRCU,0,P4D,1.0
