,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
107,2015086115,54,M,2.0,1,1.0
244,2015093248,29,F,4.0,2,1.0
245,2015093248,85,F,2.0,1,2.0
246,2015093248,92,M,3.0,1,1.0
403,2015074448,64,M,1.0,1,1.0
404,2015074448,51,M,0.0,2,1.0
558,2015122963,32,M,2.0,1,1.0
559,2015122963,47,M,0.0,2,1.0
569,2015096067,66,F,0.0,2,2.0
570,2015096067,69,M,0.0,2,1.0
571,2015096067,23,M,2.0,1,1.0
631,2015094091,51,M,4.0,1,1.0
632,2015094091,63,M,2.0,2,1.0
633,2015094091,59,F,2.0,2,2.0
792,2015076693,36,M,1.0,1,1.0
799,2015098270,64,M,0.0,2,1.0
800,2015098270,50,F,2.0,1,7.0
907,2015018574,22,M,2.0,1,1.0
947,2015084716,46,M,2.0,1,1.0
990,2015102992,18,M,4.0,1,1.0
991,2015102992,22,M,0.0,1,2.0
992,2015102992,17,M,4.0,1,2.0
993,2015102992,18,F,2.0,1,2.0
994,2015102992,17,F,0.0,1,2.0
995,2015102992,17,F,2.0,1,2.0
998,2015083790,55,F,2.0,1,1.0
1058,2015096951,30,M,0.0,2,1.0
1059,2015096951,24,M,1.0,1,4.0
1079,2015084695,51,M,2.0,1,1.0
1080,2015084695,81,M,4.0,2,1.0
1124,2015031564,23,F,2.0,1,1.0
1178,2015083115,42,M,2.0,1,2.0
1179,2015083115,32,M,0.0,1,1.0
1220,2015120263,53,M,0.0,1,1.0
1221,2015120263,22,M,2.0,2,7.0
1278,2015122957,65,M,1.0,1,1.0
1279,2015122957,24,M,4.0,2,1.0
1280,2015122957,43,M,4.0,2,2.0
1365,2015103662,19,F,2.0,1,2.0
1366,2015103662,18,M,3.0,1,1.0
1394,2015120656,58,F,2.0,1,2.0
1395,2015120656,72,M,3.0,1,2.0
1396,2015120656,18,M,4.0,1,1.0
1519,2015034416,74,M,0.0,1,1.0
1520,2015034416,71,F,2.0,1,2.0
1521,2015034416,42,F,0.0,2,1.0
1522,2015034416,4,M,0.0,2,2.0
1544,2015099022,41,M,8.0,1,1.0
1545,2015099022,24,F,1.0,2,7.0
1546,2015099022,25,M,1.0,3,7.0
1626,2015028964,47,F,2.0,1,1.0
1669,2015122675,71,M,0.0,1,1.0
1670,2015122675,31,M,1.0,2,1.0
1713,2015093002,67,M,2.0,1,1.0
1714,2015093002,99,F,0.0,1,2.0
1715,2015093002,99,F,0.0,1,2.0
1716,2015093002,99,M,0.0,1,2.0
1717,2015093002,99,M,8.0,2,1.0
1781,2015085857,53,M,0.0,1,1.0
1782,2015085857,56,M,2.0,2,1.0
1903,2015095674,51,F,2.0,1,1.0
1959,2015094368,40,F,2.0,1,1.0
2142,2015065090,2,F,2.0,1,2.0
2143,2015065090,4,M,2.0,1,2.0
2144,2015065090,26,F,3.0,1,2.0
2145,2015065090,32,M,4.0,1,1.0
2189,2015103654,25,F,0.0,4,1.0
2190,2015103654,29,M,0.0,3,1.0
2191,2015103654,61,M,0.0,2,1.0
2192,2015103654,23,M,2.0,1,2.0
2193,2015103654,23,M,0.0,1,1.0
2196,2015083596,63,M,1.0,1,1.0
2307,2015102706,49,M,2.0,1,1.0
2308,2015102706,72,M,0.0,2,1.0
2309,2015102913,18,M,4.0,1,1.0
2310,2015102913,18,M,2.0,1,2.0
2311,2015102913,17,M,4.0,1,2.0
2312,2015102913,45,M,4.0,2,1.0
2410,2015085835,50,M,1.0,1,1.0
2578,2015027889,16,M,0.0,2,2.0
