,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
20,2011031406,1,39.0,3.0,5,,,0,,4.0
21,2011031406,2,,31.0,30,,,0,,
27,2011086296,1,4.0,1.0,1,2004.0,HYUN,0,P4D,1.0
28,2011086296,2,15.0,6.0,1,2007.0,KIA,0,PUT,1.0
34,2011064439,1,24.0,13.0,1,2005.0,OTHR,0,MAT,1.0
35,2011064439,2,,31.0,30,,,0,,1.0
142,2011040585,1,4.0,1.0,1,2009.0,CHEV,0,P4D,1.0
187,2011069868,1,24.0,13.0,1,2010.0,POLS,0,MAT,1.0
209,2011015166,1,51.0,4.0,1,2005.0,FORD,0,TCW,1.0
210,2011015166,2,73.0,5.0,1,1998.0,FORD,0,TTM,1.0
212,2011044534,1,73.0,7.0,1,2009.0,GMC,0,TIC,1.0
213,2011044534,2,41.0,7.0,1,1996.0,FORD,0,TES,1.0
302,2011089883,1,4.0,1.0,1,2005.0,CHEV,0,P4D,1.0
303,2011089883,2,15.0,6.0,1,2001.0,JEEP,0,T4W,1.0
393,2012010519,1,41.0,7.0,1,2002.0,DODG,0,TES,1.0
394,2012010519,2,,31.0,30,,,0,,
494,2011109499,1,51.0,4.0,1,2000.0,FORD,0,TPK,1.0
604,2011048166,1,,1.0,1,2008.0,MAZD,0,PC4,1.0
662,2011079409,1,24.0,13.0,1,,HOND,0,,1.0
693,2011106957,1,4.0,1.0,1,1999.0,DODG,0,P4D,1.0
842,2012006898,1,15.0,6.0,1,2001.0,NISS,0,PUT,1.0
854,2011034391,1,4.0,1.0,1,2006.0,HYUN,0,P4D,1.0
873,2011007008,1,15.0,6.0,1,2003.0,JEEP,0,T4W,1.0
874,2011007008,2,12.0,7.0,1,1999.0,PLYM,0,PSV,1.0
967,2011030324,1,4.0,1.0,1,2003.0,DODG,0,P4D,1.0
1007,2011095555,1,15.0,6.0,1,1998.0,FORD,0,PUT,1.0
1008,2011095555,2,4.0,1.0,1,2002.0,PONT,0,P4D,1.0
1072,2011018793,1,51.0,4.0,1,1989.0,GMC,0,TPC,1.0
1073,2011018793,2,15.0,6.0,1,1999.0,JEEP,0,T4W,1.0
1076,2011069600,1,23.0,2.0,1,2009.0,KAWK,0,MEN,1.0
1226,2011110024,1,51.0,4.0,1,2005.0,DODG,0,TCW,1.0
1227,2011110024,2,51.0,4.0,1,2004.0,FORD,0,TPK,1.0
1452,2011083956,1,51.0,4.0,1,1999.0,DODG,0,T4C,1.0
1456,2011109403,1,51.0,4.0,1,1999.0,FORD,0,TCB,1.0
1457,2011109403,2,4.0,1.0,1,2000.0,FORD,0,P4D,1.0
1608,2011087622,1,20.0,2.0,1,2008.0,HD,0,MRS,1.0
1609,2011087622,2,2.0,1.0,1,2011.0,CHEV,0,PCP,1.0
1692,2011117878,1,24.0,13.0,1,,HOND,0,MAT,1.0
1693,2011117878,2,6.0,1.0,1,2010.0,VOLK,0,PSW,1.0
1694,2011117878,3,4.0,1.0,1,2001.0,ACUR,0,P4D,1.0
2051,2011087172,1,4.0,1.0,1,2004.0,INFI,0,P4D,1.0
2052,2011087172,2,2.0,1.0,1,2007.0,HOND,0,PCP,1.0
2053,2011087172,3,15.0,6.0,1,2011.0,JEEP,0,T4W,1.0
2082,2011009498,1,4.0,1.0,1,2004.0,MAZD,0,P4D,1.0
2084,2011093987,1,6.0,1.0,1,1994.0,FORD,0,PSW,1.0
2151,2011080339,1,15.0,6.0,1,2006.0,SUBA,0,PUT,1.0
2223,2011078428,1,15.0,6.0,1,2000.0,CHEV,0,PUT,1.0
2317,2011079639,1,5.0,1.0,1,2002.0,MAZD,0,P4H,1.0
2318,2011079639,2,3.0,1.0,1,1997.0,HOND,0,P2H,1.0
2332,2011078619,1,4.0,1.0,1,2005.0,SUBA,0,P4D,1.0
2401,2011069074,1,15.0,6.0,1,2003.0,JEEP,0,T4W,1.0
2402,2011069074,2,15.0,1.0,1,2008.0,DODG,0,PUT,1.0
2403,2011069074,3,15.0,1.0,1,2004.0,CHEV,0,PUT,1.0
2429,2011025272,1,41.0,7.0,1,1998.0,FORD,0,TES,1.0
2430,2011025272,2,4.0,1.0,1,1999.0,HOND,0,P4D,1.0
2431,2011025272,3,4.0,1.0,1,2010.0,HOND,0,P4D,1.0
2432,2011025272,4,2.0,1.0,1,2008.0,FORD,0,PCP,1.0
2490,2011126607,1,2.0,1.0,1,2002.0,HOND,0,PCP,1.0
2508,2011032878,1,3.0,1.0,1,2008.0,MITS,0,P2H,1.0
2560,2011118363,1,,31.0,30,,,0,,
2561,2011118363,2,15.0,6.0,1,2008.0,JEEP,0,T4W,1.0
2653,2011097510,1,15.0,6.0,1,2002.0,DODG,0,PUT,1.0
2660,2011058131,1,4.0,1.0,1,2002.0,OLDS,0,P4D,3.0
2802,2011080936,1,29.0,2.0,1,2010.0,OTHR,0,,1.0
2820,2011080539,1,20.0,2.0,1,2002.0,SUZI,0,MRS,1.0
2855,2011086110,1,51.0,4.0,1,2002.0,FORD,0,TPK,1.0
2875,2011050011,1,19.0,6.0,5,9999.0,KIA,0,,4.0
2876,2011050011,2,20.0,2.0,1,2007.0,SUZI,0,MRS,1.0
2877,2011050011,3,15.0,6.0,1,2006.0,JEEP,0,T4W,1.0
2884,2011082491,1,2.0,1.0,1,2002.0,HOND,0,PCP,1.0
2885,2011082491,2,4.0,1.0,1,2009.0,TOYT,0,P4D,1.0
2992,2012004405,1,4.0,1.0,1,1985.0,CHEV,0,P4D,1.0
2993,2012004405,2,4.0,1.0,1,2003.0,BUIC,0,P4D,1.0
3059,2011106226,1,41.0,7.0,1,2003.0,CHEV,0,TEC,1.0
3060,2011106226,2,15.0,6.0,1,2005.0,FORD,0,PUT,1.0
3150,2012009815,1,4.0,1.0,1,1998.0,STRN,0,P4D,1.0
3151,2012009815,2,51.0,4.0,1,2011.0,CHEV,0,TCW,1.0
3152,2012009815,3,2.0,1.0,2,2000.0,FORD,1,PCP,2.0
3186,2011013996,1,4.0,1.0,1,2007.0,DODG,0,P4D,1.0
3191,2011070557,1,4.0,1.0,1,1996.0,CHEV,0,P4D,1.0
3205,2011119536,1,15.0,6.0,1,2005.0,CHEV,0,PUT,1.0
3239,2011034862,1,69.0,4.0,5,2001.0,DODG,0,,3.0
3242,2011124040,1,4.0,1.0,1,1996.0,TOYT,0,P4D,1.0
3253,2011037053,1,4.0,1.0,1,2005.0,DODG,0,P4D,1.0
3297,2011031924,1,15.0,6.0,1,2001.0,SUZI,0,PUT,1.0
3298,2011031924,2,51.0,4.0,1,2004.0,FORD,0,T4C,1.0
3379,2011078436,1,20.0,2.0,1,2002.0,YAMA,0,MRS,1.0
3515,2011108682,1,4.0,1.0,1,2002.0,PONT,0,P4D,1.0
3516,2011108682,2,,31.0,30,,,0,,
3517,2011108682,3,,31.0,30,,,0,,
3572,2011128235,1,2.0,1.0,1,2003.0,NISS,0,PCP,3.0
3573,2011128235,2,2.0,1.0,1,2003.0,MERZ,0,PCP,1.0
3596,2011079932,1,9.0,1.0,1,1967.0,CHEV,0,,1.0
3602,2012010653,1,4.0,1.0,1,2008.0,MERZ,0,P4D,1.0
3681,2011050967,1,2.0,1.0,1,2006.0,FORD,0,PCP,1.0
3682,2011050967,2,75.0,5.0,1,2008.0,VOLV,0,TDS,1.0
3686,2011051791,1,15.0,6.0,1,2010.0,JEEP,0,T4W,1.0
3717,2011019607,1,4.0,1.0,1,2004.0,DODG,0,P4D,1.0
3768,2011130774,1,4.0,1.0,1,2010.0,MRCU,0,P4D,1.0
3845,2011078302,1,69.0,4.0,51,,,0,,
3908,2011078302,2,15.0,6.0,1,2000.0,SUBA,0,PUT,1.0
4018,2011014869,1,51.0,4.0,1,1993.0,CHEV,0,TPK,1.0
4019,2011014869,2,15.0,6.0,1,1998.0,JEEP,0,T4W,1.0
4020,2011014869,3,15.0,6.0,1,2005.0,HOND,0,PUT,1.0
4093,2011050118,1,15.0,6.0,1,1997.0,FORD,0,PUT,1.0
4104,2011061655,1,73.0,5.0,1,1996.0,OTHR,0,TTM,1.0
4237,2011055198,1,4.0,1.0,1,1996.0,,0,P4D,1.0
4238,2011055198,2,,31.0,30,,,0,,
4239,2011061925,1,28.0,2.0,1,1989.0,YAMA,0,MRC,1.0
