,CRN,STREET_NAME
45,2014103521,CARRICK SHOPPING CENTER LT
65,2015003454,RAMP B RD
117,2014125526,FRANKLIN ST
118,2014125526,SIXTH ST
182,2014041246,STREET RD
183,2014041246,WILMINGTON PK
184,2014041246,WILMINGTON PK
203,2014092915,PERRY HW
246,2014119863,
368,2014023586,SR 0028 SH
394,2014087485,GOOD HOPE RD
395,2014087485,HERMITAGE RD
396,2014087485,HERMITAGE RD
421,2014108357,SR 0080 SH
685,2014077507,BLUE COURSE DR
738,2014099263,WHITAKER AV
770,2014104062,CROGHAN PK
835,2014132450,MIDDLE RD
853,2014114331,AMERICAN LEGION MEM HW
936,2014034321,AMERICAN LEGION MEM HW
1047,2014077597,CENTER ST ET
1061,2014098829,CONCORD RD
1108,2014128570,NEWVILLE RD
1109,2014128570,ALLEN RD
1150,2014109176,SWEDESFORD RD
1151,2014109176,SWEDESFORD RD
1152,2014109176,HOWELLVILLE RD
1153,2014109176,SWEDESFORD RD
1221,2014081916,FRYSTOWN RD
1278,2014088618,RAMP CH RD
1279,2014088618,PENNS LANDING RD
1384,2014049943,RIDDLEMOSER RD
1435,2014030237,NEW HOLLAND RD
1571,2014066879,LITTLE COVE RD
1577,2014121272,SILVER ST
1583,2014112594,MILFORD RD
1639,2014106614,SLAG RD
1640,2014106614,KEYSTONE PARK RD
1641,2014106614,STATE PARK RD
1663,2014098693,PETONI PL
1664,2014098693,POQUESSING AV
1665,2014098693,BUSTLETON AV
1666,2014098693,BUSTLETON AV
1742,2014047167,MCALEVYS FORT RD
1743,2014047167,WHIPPLE DAM RD
1763,2014027136,LONE PINE RD
1967,2014067398,OPPOSUM LAKE RD
1968,2014067398,MOUNT ZION RD
2035,2014080957,TWENTYEIGHTH ST
2036,2014080957,TWENTYEIGHT ST
2037,2014080957,GETTYSBURG RD
2038,2014080957,GETTYSBURG RO
2039,2014080957,HARTZDALE DR
2077,2014026389,HAMILTON SOUTH ST
2298,2014085439,
2442,2014112565,Z H CONFAIR MEMORIAL HW
2470,2014060428,HARTS RUN RD
2542,2014066129,WALNUT ST
2543,2014066129,WALNUT ST
2544,2014066129,WALNUT ST
2545,2014066129,WALNUT ST
2546,2014066129,THIRTYSIXTH ST
2547,2014066129,FOX ST
2553,2014112963,FIFTH ST
2554,2014112963,WASHINGTON ST
2555,2014112963,N 5TH SQ
2581,2014128630,SPRINGBORO RD
2600,2015006934,BETHEL HILL RD
2601,2015006934,SR 0118 HW
2646,2014099294,ROSE RD
2666,2014043317,FRANKSTOWN RD
2888,2014122145,LEHIGH VALLEY TH
2909,2014129535,MILL CREEK RD
2910,2014129535,MILL CREEK RD
2971,2014049385,MOSELEM SPRINGS RD
2983,2014117731,RAYMOND P SHAFFER HW
3068,2015002205,BENJAMIN FRANKLIN HW
3082,2014035522,LOUDON ST
3138,2014124567,WOODVIEW RD
3190,2014004211,CLEAR SPRING LN
3191,2014004211,OAKRIDGE DR
3278,2014086590,Z H CONFAIR MEMORIAL HW
3364,2014049891,ROOSEVELT BL
3376,2015002692,PHILMONT AV
3389,2014057830,PENN LINCOLN PY
3390,2014064924,NEW CASTLE RD
3398,2014048434,SR 0286 HW
3401,2014043237,LEWIS RD
3402,2014069981,SR 0066 HW
3403,2014069981,SR 0356 HW
3446,2014061162,SOMERSET PK
3447,2014061162,MILLION DOLLAR HW
3480,2014028106,PLEASANT VALLEY RD
3632,2014054347,AMERICAN LEGION MEM HW
3694,2014021800,LAKESIDE DR
3739,2014068567,YORK ST
3806,2014053848,OLD BETHLEHEM PK
3936,2014118168,DECATUR ST
3990,2015000539,HANSEL FORK RD
3991,2015000539,STEWART HILL RD
4008,2014056467,STATE RD
4009,2014056467,SHADELAND AV
4035,2014045641,UNION BL
4036,2014045641,KEARNEY ST
4077,2014059046,RAMP RD
4078,2014059046,CHRISTOPHER COLUMBUS BL
4079,2014059046,CHRISTOPHER COLUMBUS BL
4081,2014100383,LEBANON RD
4110,2014103076,STREET RD
4111,2014103076,STATE RD
4136,2014113743,LINCOLN HW
4145,2014123759,PARK AND LOCK RD
4146,2014123759,WILKES-BARRE TWP BL
4147,2014123759,CASEY AV
4182,2014121599,MOLLY PITCHER HW
4281,2014115586,HARBISON AV
4427,2014017834,RAYMOND P SHAFER HW
4438,2014039739,MAIN ST
4439,2014039739,MAIN ST
4440,2014039739,RAMP D RD
4507,2014000705,SPROUL RD
4550,2014018720,NEIL RD
4551,2014018720,AIRPORT RD
4597,2014042957,NEWARK RD
4600,2014049129,CLAYSTOWN RD
4617,2014004698,MAIN ST
4618,2014004698,CHESTNUT ST
4620,2014087939,BROAD ST
4621,2014087939,BROAD ST
4622,2014087939,JACKSON ST
4635,2015004889,MARKET ST
4670,2014054747,OREGON PK
4671,2014054747,WHITEMARSH DR
4852,2014088065,CHRISTOPHER COLUMBUS BL
4859,2014029919,TEMPERANCE HILL RD
4869,2014048739,BUFFALO PITTSBURGH HW
4879,2014073022,GRAND ARMY OF THE REPUBLIC HW
4887,2014039147,OHIO RIVER BL
4888,2014039147,OHIO RIVER BL
4889,2014039147,EIGHTH AV
4894,2014097100,FARMINGTON AV
4895,2014097100,STATE ST
4933,2015048601,CHURCH LN
4934,2015048601,MYRA AV
4960,2014089078,SHALER ST
4986,2014080100,BRUSHWOOD RD
5054,2014007663,SR 0027 SH
5146,2014066797,MAIN ST
5147,2014066797,YORK AV
5148,2014066797,PLANE ST
5151,2014078606,FURNACE RD
5289,2014049159,MAIN ST
5406,2014109384,COLUMBIA BL
5475,2014098684,POPLAR ST
5476,2014098684,VINEYARD ST
5542,2014048146,E COREY ST
5575,2014033305,W FOURTH ST
5602,2014091822,SMITH RD
5603,2014091822,PITTSBURGH RD
5604,2014091822,ASH ST
5605,2014075930,WHITESTOWN RD
5606,2014101135,KECKSBURG RD
5869,2014038265,LEHIGH AV
5901,2014092181,PLANK RD
5938,2014075347,VERONA RD
5972,2014128334,BRISTOL PK
6084,2014055011,OLD SWEDE RD
6156,2014045032,SKELP MOUNTAIN RD
6190,2014099593,SR 222 HW
6191,2014099593,RAMP CA RD
6279,2014039128,SR 0115 SH
6298,2014120399,PLANK RD
6333,2014038656,EAST/WEST PK
6339,2014097100,POTTSTOWN BOYERTOWN BP
6340,2014097100,POTTSTOWN BOYERTOWN BP
6348,2014059070,WALNUT ST
6351,2014066671,CARLETON AV
6392,2014088403,VINE ST
6393,2014088403,2ND ST
