,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
45,2011023526,40.574069,-80.238121,4,4103,2,1,12.0,1255.0,1,0,7
86,2011021490,39.937277,-77.675985,28,28205,1,3,21.0,2110.0,0,1,7
114,2011021491,40.358037,-77.317928,50,50219,2,7,20.0,2009.0,0,1,2
191,2011022404,40.052916,-76.971205,66,66229,2,6,5.0,515.0,1,0,7
209,2011022264,41.448894,-75.640081,35,35302,2,4,19.0,1925.0,1,0,4
213,2011022734,41.008453,-75.302186,45,45206,1,4,21.0,2143.0,0,1,0
321,2011022269,40.491245,-79.601107,64,64219,2,3,13.0,1309.0,1,0,6
329,2011023271,39.936494,-75.218561,67,67301,1,7,17.0,1745.0,0,1,8
377,2011022271,39.787171,-77.369113,1,1406,2,4,16.0,1610.0,1,0,99
415,2011022412,40.590393,-75.370879,48,48210,1,3,12.0,1200.0,1,1,2
432,2011021641,40.414293,-79.846314,2,2431,2,3,12.0,1231.0,1,0,7
452,2011021325,39.925334,-75.408855,23,23207,2,7,7.0,700.0,1,0,7
591,2011022142,40.508526,-78.645199,11,11202,2,1,2.0,210.0,1,0,7
658,2011022704,40.798669,-77.654274,14,14218,2,7,10.0,1010.0,1,0,4
663,2011022357,40.711775,-79.398376,3,3219,1,7,0.0,45.0,1,0,8
670,2011022866,41.284123,-79.117651,33,33205,2,7,0.0,51.0,1,0,7
828,2011022339,40.433444,-79.869712,2,2478,1,3,4.0,430.0,1,0,7
863,2011022428,40.577481,-75.454986,39,39301,2,2,0.0,51.0,0,1,8
891,2011022429,40.04568,-75.016368,67,67301,1,2,3.0,336.0,0,1,8
902,2011022166,41.086821,-80.085514,43,43214,2,4,16.0,1613.0,1,0,4
919,2011022430,40.02718,-75.098845,67,67301,1,5,2.0,225.0,0,1,7
947,2011022431,40.027583,-75.109987,67,67301,1,1,3.0,358.0,0,1,7
1058,2011021808,40.243065,-79.894829,2,2204,2,7,3.0,330.0,1,0,0
1075,2011023630,39.962813,-78.830086,55,55202,1,1,22.0,2242.0,0,1,7
1130,2011022656,40.314871,-75.130621,9,9403,2,5,19.0,1945.0,1,0,7
1138,2011021740,41.849816,-79.872807,20,20203,1,7,4.0,403.0,0,1,7
1213,2011022224,40.829473,-75.479584,45,45204,2,6,1.0,135.0,0,1,7
1335,2011022381,40.449876,-77.511184,34,34209,2,2,23.0,2330.0,1,0,7
1451,2011002959,40.482375,-78.713827,11,11411,1,5,14.0,1417.0,1,1,2
1652,2011021876,41.628246,-76.930863,58,58228,1,2,21.0,2132.0,0,1,7
1730,2011002919,41.817355,-80.17623,20,20206,1,3,18.0,1813.0,1,0,7
1754,2011001985,41.145588,-75.92151,40,40226,1,1,11.0,1152.0,2,0,0
1808,2011021471,41.165197,-76.895617,41,41207,2,7,2.0,243.0,0,1,7
1839,2011002036,41.438864,-79.706178,60,60302,1,7,1.0,110.0,1,0,2
1884,2011021337,41.546259,-76.729591,56,56206,2,7,18.0,1815.0,1,0,8
1904,2011021889,40.451433,-77.3183,50,50214,2,4,9.0,945.0,1,0,7
1956,2011001467,40.169908,-75.919729,6,6207,1,7,9.0,912.0,1,0,7
2054,2011021163,41.765389,-77.742861,52,52223,2,6,9.0,930.0,1,0,7
2147,2011002746,40.969184,-76.612337,47,47401,1,3,16.0,1601.0,1,0,7
2320,2011002227,40.173055,-80.253088,62,62302,1,7,8.0,824.0,1,0,8
2325,2011022924,40.588515,-75.473897,39,39301,1,3,15.0,1510.0,1,0,1
2351,2011001626,40.159756,-79.561228,64,64206,1,7,0.0,54.0,1,1,7
2404,2011002233,40.107773,-75.318461,46,46107,1,4,1.0,112.0,1,0,4
2499,2011023011,40.001778,-75.212681,67,67301,1,3,21.0,2100.0,1,0,8
2509,2011001185,40.174068,-75.002941,9,9218,1,7,6.0,630.0,0,1,7
2523,2011022525,41.451702,-75.636416,35,35406,2,4,12.0,1245.0,1,0,4
2527,2011023012,40.7501,-75.294751,48,48215,1,4,14.0,1451.0,1,0,4
2670,2011021185,41.062833,-77.140194,59,59206,1,2,11.0,1141.0,1,0,7
2781,2011007181,40.038659,-76.267856,36,36215,1,5,3.0,339.0,1,0,7
2791,2011008086,40.235915,-75.690973,15,15228,1,4,9.0,914.0,1,0,2
2793,2011007360,41.968831,-78.762156,42,42202,1,4,12.0,1200.0,1,0,7
2856,2011002429,40.697954,-80.467713,4,4430,1,4,13.0,1325.0,0,1,7
2887,2011007875,40.516704,-80.192432,2,2213,1,6,12.0,1213.0,0,1,7
3020,2011007412,40.56003,-75.393534,39,39211,1,6,22.0,2218.0,1,0,7
