,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
49,2021015504,1,4.0,1.0,1,2009.0,CHEV,0,P4D,1.0
50,2021015504,2,69.0,4.0,1,2019.0,NISS,0,T,1.0
60,2021034366,1,15.0,6.0,1,2005.0,CHEV,0,T4W,1.0
61,2021034366,2,69.0,6.0,1,2020.0,FORD,0,T,1.0
79,2021042085,1,,31.0,30,,,0,,
80,2021042085,2,4.0,1.0,1,2008.0,CHRY,0,P4D,1.0
129,2021051527,1,,22.0,30,,,0,,1.0
130,2021051527,2,75.0,5.0,1,2005.0,MACK,0,TTR,1.0
201,2021095576,1,15.0,6.0,1,2014.0,GMC,0,T4W,1.0
267,2021087802,1,20.0,2.0,1,2008.0,HD,0,MRS,1.0
281,2021077701,1,4.0,1.0,1,2014.0,TOYT,0,P4D,3.0
282,2021077701,2,6.0,1.0,1,2013.0,SUBA,0,PSW,1.0
288,2021067372,1,29.0,2.0,1,2021.0,HOND,0,M,1.0
389,2022001422,1,9.0,1.0,1,2019.0,INFI,0,P,1.0
390,2022001422,2,4.0,1.0,2,2007.0,CHRY,1,P4D,2.0
406,2021100222,1,1.0,1.0,1,2002.0,MITS,0,PCV,1.0
407,2021100222,2,9.0,1.0,1,2017.0,NISS,0,P,1.0
462,2021120322,1,41.0,7.0,5,2009.0,FORD,0,TCG,3.0
463,2021120322,2,,24.0,21,,,0,,
487,2022001486,1,4.0,1.0,1,2006.0,NISS,0,P4D,1.0
488,2022001486,2,15.0,6.0,1,2013.0,KIA,0,T4W,1.0
492,2021117357,1,28.0,2.0,1,2013.0,SUZI,0,MRC,1.0
493,2021117357,2,9.0,1.0,51,,DODG,0,,
560,2021046874,1,28.0,2.0,1,1991.0,HOND,0,MRC,1.0
566,2021082301,1,4.0,1.0,1,2014.0,CHEV,0,P4D,1.0
569,2021065375,1,4.0,1.0,1,2015.0,VOLK,0,P4D,1.0
570,2021050129,1,69.0,5.0,1,2019.0,FRHT,0,T,1.0
608,2021025646,1,29.0,2.0,1,2018.0,HD,0,M,1.0
647,2021044110,1,15.0,6.0,1,2006.0,CHEV,0,T4W,1.0
648,2021044110,2,51.0,4.0,1,2008.0,CHEV,0,T4C,1.0
653,2021061553,1,20.0,2.0,1,2006.0,HD,0,MRS,1.0
654,2021061553,2,4.0,1.0,1,2009.0,KIA,0,P4D,1.0
722,2021047643,1,5.0,1.0,1,2013.0,FORD,0,P4H,1.0
733,2021065676,1,69.0,1.0,1,2017.0,NISS,0,T,1.0
734,2021065676,2,4.0,1.0,1,2012.0,DODG,0,P4D,1.0
735,2021065676,3,,20.0,30,,,0,,
834,2021039249,1,4.0,1.0,1,2006.0,NISS,0,P4D,1.0
931,2021069530,1,51.0,4.0,1,2009.0,GMC,0,T4C,1.0
932,2021069530,2,20.0,2.0,1,2007.0,HD,0,MRS,1.0
937,2021034318,1,20.0,2.0,1,2006.0,HOND,0,MRS,1.0
1010,2021089804,1,9.0,1.0,1,2017.0,NISS,0,P,1.0
1011,2021089804,2,51.0,4.0,1,2013.0,GMC,0,TCW,1.0
1095,2021034137,1,15.0,6.0,1,2006.0,FORD,0,T4W,1.0
1096,2021034137,2,,31.0,30,,,0,,
1140,2021063494,1,3.0,1.0,1,2001.0,PONT,0,P2H,1.0
1167,2021004278,1,15.0,6.0,1,2015.0,TOYT,0,T4W,1.0
1168,2021004278,2,,31.0,30,,,0,,
1199,2021068872,1,4.0,1.0,1,2011.0,CHEV,0,P4D,1.0
1200,2021068872,2,,20.0,30,,,0,,1.0
1201,2021068872,3,,20.0,30,,,0,,1.0
1202,2021068872,4,,20.0,30,,,0,,1.0
1203,2021068872,5,,20.0,30,,,0,,1.0
1295,2021033707,1,,31.0,30,,,0,,
1296,2021033707,2,15.0,6.0,1,2002.0,CHEV,0,T4W,1.0
1310,2021104953,1,,99.0,1,,UNKN,0,,1.0
1311,2021104953,2,,99.0,5,,UNKN,0,,4.0
1364,2021061691,1,15.0,6.0,1,2003.0,GMC,0,T4W,1.0
1389,2021099056,1,51.0,4.0,1,2008.0,FORD,0,T4C,1.0
1390,2021099056,2,15.0,6.0,2,2014.0,JEEP,1,T4W,2.0
1496,2022000652,1,4.0,1.0,1,2012.0,CHEV,0,P4D,1.0
1525,2021121092,1,4.0,1.0,1,2014.0,CHEV,0,P4D,1.0
1526,2021121092,2,,,51,,,0,,
1638,2021004924,1,51.0,4.0,1,2006.0,FORD,0,TCB,1.0
1639,2021004924,2,69.0,6.0,1,2018.0,HOND,0,T,1.0
1727,2021046980,1,4.0,1.0,1,2017.0,HYUN,0,P4D,1.0
1728,2021046980,2,2.0,1.0,1,1983.0,CHEV,0,PCP,1.0
1743,2021095106,1,9.0,1.0,1,2017.0,NISS,0,P,1.0
1759,2021071109,1,3.0,1.0,1,2007.0,TOYT,0,P2H,1.0
1776,2021044449,1,69.0,4.0,5,,UNKN,0,,4.0
1777,2021044449,2,28.0,2.0,1,2004.0,HOND,0,MRC,1.0
1787,2021057221,1,15.0,6.0,1,2015.0,FORD,0,T4W,1.0
1829,2021017805,1,4.0,1.0,1,2006.0,FORD,0,P4D,1.0
1830,2021060274,1,4.0,1.0,1,2007.0,NISS,0,P4D,1.0
1831,2021060274,2,69.0,6.0,1,2020.0,CHEV,0,T,1.0
1859,2021058801,1,15.0,1.0,1,2009.0,SUBA,0,T4W,1.0
1860,2021058801,2,20.0,2.0,1,1989.0,HOND,0,MRS,1.0
1861,2021075041,1,4.0,1.0,1,2011.0,TOYT,0,P4D,1.0
1887,2021017805,2,5.0,1.0,1,2006.0,MAZD,0,P4H,1.0
1924,2021124470,1,51.0,4.0,1,2002.0,CHEV,0,T3C,1.0
1985,2021039353,1,4.0,1.0,1,2014.0,TOYT,0,P4D,1.0
1986,2021039353,2,69.0,5.0,1,2020.0,FORD,0,T,1.0
1994,2021042121,1,24.0,13.0,1,,OTHR,0,,1.0
2193,2021059401,1,4.0,1.0,1,2001.0,PLYM,0,P4D,1.0
2194,2021059401,2,51.0,1.0,1,1999.0,FORD,0,TPK,1.0
2200,2021015524,1,,31.0,30,,,0,,
2201,2021015524,2,51.0,4.0,1,2015.0,RAM,0,TCW,1.0
2208,2021055456,1,20.0,2.0,1,2007.0,HD,0,MRS,1.0
2209,2021055456,2,5.0,1.0,1,2010.0,VOLK,0,P4H,1.0
2212,2021048906,1,1.0,1.0,1,2005.0,BMW,0,PCV,1.0
2327,2021051662,1,5.0,1.0,1,2007.0,PONT,0,P4H,1.0
2465,2021084515,1,4.0,1.0,1,2009.0,MITS,0,P4D,1.0
2466,2021084515,2,20.0,2.0,1,1998.0,HOND,0,MRS,1.0
2486,2021070936,1,28.0,2.0,1,2004.0,SUZI,0,MRC,1.0
2487,2021116661,1,69.0,6.0,1,2020.0,SUBA,0,T,1.0
2488,2021116661,2,51.0,4.0,1,1999.0,DODG,0,TPK,1.0
2621,2021086016,1,15.0,6.0,1,2001.0,CHEV,0,T4W,1.0
