,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
40,2014065117,65,M,3.0,1,1.0
41,2014065117,57,M,1.0,1,2.0
42,2014048146,47,M,2.0,1,1.0
43,2014048146,99,F,3.0,1,2.0
45,2014073041,18,M,4.0,1,1.0
46,2014073041,18,M,4.0,1,2.0
47,2014073041,18,M,3.0,1,2.0
48,2014073041,19,M,2.0,1,2.0
49,2014073041,24,F,1.0,2,2.0
50,2014073041,30,M,2.0,2,1.0
84,2014082861,67,M,2.0,1,1.0
85,2014082861,62,F,4.0,1,2.0
282,2014056467,42,M,0.0,1,1.0
283,2014056467,35,M,2.0,2,1.0
498,2014043317,78,F,2.0,1,1.0
548,2014117947,46,M,2.0,1,1.0
549,2014117947,40,M,4.0,1,2.0
550,2014117947,53,M,0.0,2,1.0
551,2014117947,48,M,3.0,3,1.0
552,2014117947,53,F,3.0,3,2.0
597,2014123759,61,F,2.0,1,1.0
626,2014064439,22,M,2.0,1,1.0
627,2014064439,51,F,2.0,2,1.0
778,2014103813,63,M,2.0,1,1.0
1098,2014125526,51,M,0.0,1,1.0
1099,2014125526,53,F,4.0,1,2.0
1100,2014125526,37,M,2.0,1,2.0
1101,2014125526,69,F,0.0,2,1.0
1158,2014100785,93,F,1.0,1,1.0
1159,2014100785,19,M,0.0,2,1.0
1160,2014100785,36,M,0.0,3,1.0
1285,2014035522,20,M,0.0,1,1.0
1286,2014035522,65,F,2.0,2,1.0
1287,2014035522,55,M,0.0,3,1.0
1418,2014124567,21,M,2.0,1,1.0
1419,2014124567,20,M,4.0,2,1.0
1488,2014121798,42,M,2.0,1,1.0
1489,2014121798,29,M,1.0,2,1.0
1639,2014062688,26,M,2.0,1,1.0
1640,2014062688,20,F,2.0,1,2.0
1858,2014112048,30,M,2.0,1,1.0
1859,2014112048,19,M,3.0,2,1.0
1937,2014034747,17,F,2.0,1,1.0
1938,2014034747,15,F,2.0,1,2.0
1939,2014034747,30,M,2.0,2,1.0
2095,2014084334,30,M,2.0,1,1.0
2096,2014084334,72,M,2.0,2,1.0
2230,2014036581,20,M,1.0,1,1.0
2375,2014068620,57,M,2.0,1,1.0
2376,2014068620,29,F,2.0,2,7.0
2377,2014068620,32,M,4.0,3,7.0
2476,2014078606,26,F,2.0,1,1.0
2510,2014068567,19,M,2.0,1,1.0
2570,2014038760,72,F,2.0,1,1.0
2571,2014038760,19,M,8.0,2,1.0
2845,2014080077,58,M,2.0,1,1.0
2919,2014076689,38,F,1.0,1,1.0
2960,2014075837,99,F,0.0,1,1.0
2961,2014075837,52,M,2.0,2,1.0
3014,2014128630,50,M,2.0,1,1.0
3052,2014045641,61,M,8.0,1,1.0
3053,2014045641,55,M,8.0,1,2.0
3054,2014045641,75,M,2.0,2,1.0
3127,2014098684,24,M,1.0,1,1.0
3129,2014038304,28,M,2.0,1,1.0
3130,2014038304,34,M,2.0,1,2.0
3131,2014038304,25,M,2.0,1,2.0
3157,2014120163,88,F,1.0,1,1.0
3158,2014120163,50,M,4.0,2,2.0
3159,2014120163,54,M,0.0,2,2.0
3174,2014052123,25,M,2.0,1,1.0
3175,2014052123,21,F,2.0,1,2.0
3176,2014052123,22,F,2.0,1,2.0
3177,2014052123,60,F,2.0,2,1.0
3178,2014052123,86,F,2.0,2,2.0
3179,2014052123,23,F,4.0,3,1.0
3191,2014037447,50,M,2.0,1,1.0
3321,2014084470,28,F,0.0,1,1.0
3322,2014084470,22,M,0.0,1,2.0
3323,2014084470,85,M,2.0,2,7.0
3335,2014052260,48,M,2.0,1,1.0
3394,2014058657,32,F,1.0,1,1.0
3395,2014077960,27,M,0.0,1,1.0
3396,2014077960,22,F,2.0,1,2.0
3397,2014077960,33,F,0.0,2,1.0
3398,2014077960,27,M,0.0,3,1.0
3442,2014117176,61,F,4.0,1,1.0
3443,2014117176,40,M,2.0,2,1.0
3491,2014101135,18,M,2.0,1,1.0
3704,2014129535,30,M,0.0,1,1.0
3705,2014129535,62,M,2.0,2,1.0
3912,2014060907,18,F,2.0,1,1.0
3915,2015002205,56,F,1.0,1,1.0
3916,2015002205,57,M,0.0,2,1.0
3935,2014052691,38,M,0.0,1,1.0
3936,2014052691,32,M,4.0,2,1.0
3937,2014052691,30,F,2.0,2,2.0
4011,2014112594,51,M,2.0,1,1.0
4012,2014112594,47,F,2.0,1,2.0
4013,2014112594,68,M,0.0,2,1.0
4014,2014112594,62,F,4.0,2,2.0
4153,2014103521,83,F,2.0,1,7.0
4154,2014103521,99,U,0.0,2,1.0
4207,2014087630,43,M,3.0,1,1.0
4208,2014087630,32,M,2.0,2,1.0
4259,2014087939,22,M,0.0,1,1.0
4260,2014087939,62,F,2.0,2,7.0
4421,2014086590,48,M,1.0,1,1.0
4422,2014086590,44,M,3.0,2,1.0
4423,2014086590,55,M,0.0,3,1.0
4441,2014090491,30,M,2.0,1,1.0
4442,2014090491,40,M,3.0,1,2.0
4443,2014090491,30,M,3.0,1,2.0
4444,2014090491,25,M,0.0,2,1.0
4445,2014090491,24,F,0.0,2,2.0
4446,2014090491,35,M,4.0,3,1.0
4447,2014090491,3,M,0.0,3,2.0
4453,2014039191,14,M,0.0,1,2.0
4454,2014039191,54,F,2.0,2,7.0
4468,2014119863,19,F,2.0,1,1.0
4476,2014098935,30,F,2.0,1,1.0
4477,2014098935,30,F,3.0,1,2.0
4478,2014098935,37,M,3.0,1,2.0
4479,2014098935,49,F,3.0,2,1.0
4630,2014057830,25,M,4.0,1,1.0
4631,2014057830,25,F,2.0,1,2.0
4632,2014057830,22,F,4.0,1,2.0
4633,2014057830,24,F,4.0,2,1.0
4634,2014057830,25,M,0.0,3,1.0
4635,2014057830,71,M,0.0,4,1.0
4678,2014112516,23,M,2.0,1,1.0
4679,2014112516,42,M,4.0,2,1.0
4680,2014112516,55,F,0.0,2,2.0
4681,2014112516,50,M,3.0,3,1.0
4690,2014063497,48,M,0.0,1,1.0
4691,2014063497,29,M,2.0,2,4.0
4856,2014097846,36,M,2.0,1,1.0
4857,2014097846,29,M,4.0,2,1.0
4858,2014097846,24,F,4.0,3,1.0
