,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
23,2024006464,39.904514,-75.224183,67,67301,1,3,,,1,0,6
25,2024006565,40.354845,-76.399774,38,38209,1,2,,,1,0,4
37,2024000999,41.145412,-75.916676,40,40226,1,4,,,1,0,2
53,2024006794,40.244006,-75.613594,46,46416,1,1,,,1,0,8
138,2024004598,40.128503,-75.11551,46,46101,1,4,,,1,0,4
182,2024003482,41.07092,-75.436829,45,45216,1,6,,,1,0,7
193,2024004795,41.476038,-79.734639,60,60211,1,3,,,1,0,7
387,2024001505,41.001242,-76.752215,47,47204,1,2,,,0,1,7
421,2024002105,39.894254,-78.673236,5,5215,1,3,,,1,0,7
468,2024001843,40.059447,-75.148697,67,67301,1,2,,,1,0,7
600,2024005058,40.398725,-79.635888,64,64102,1,5,,,1,0,7
687,2024001842,40.0626,-75.17081,67,67301,1,2,,,1,0,4
694,2024003243,40.046003,-75.158158,67,67301,1,5,,,1,0,8
702,2024005005,41.750617,-77.196068,58,58203,1,7,,,1,0,8
755,2024009377,39.989208,-75.990848,36,36232,1,7,,,2,0,4
799,2024011571,40.394892,-76.270561,6,6223,1,6,,,0,1,7
837,2024008713,40.114151,-75.76189,15,15241,1,1,,,1,0,7
871,2024004324,40.482688,-75.524188,39,39210,1,7,,,1,0,2
978,2024001785,41.354366,-75.231824,51,51208,1,4,,,1,0,1
1051,2024000886,40.615211,-75.445222,39,39301,1,2,,,2,0,2
1105,2024001582,41.208204,-80.456765,43,43303,1,3,,,1,0,4
1107,2024009295,40.238051,-78.927309,55,55205,1,5,,,1,0,7
1151,2024011673,40.581806,-76.815574,22,22217,1,5,,,1,1,7
1161,2024009242,41.009562,-80.359644,37,37301,1,4,,,1,0,1
1185,2024007006,40.545806,-80.220194,2,2103,1,3,,,0,1,7
1250,2024003916,40.697919,-76.223883,53,53220,1,7,,,1,0,4
1270,2024004855,40.104414,-75.424026,46,46220,1,7,,,0,2,7
1291,2024003183,40.988621,-75.23542,45,45214,1,2,,,1,0,4
1607,2024009369,40.320181,-75.444207,46,46223,1,4,,,1,0,4
1612,2024009781,40.21368,-76.880481,66,66208,1,7,,,0,1,2
1697,2024005254,40.038239,-76.323529,36,36301,1,7,,,1,0,4
1711,2024006691,41.178543,-79.755598,60,60219,1,6,,,1,0,7
1837,2024000006,40.127277,-75.361549,46,46111,1,2,,,1,0,1
1854,2024009622,40.800709,-76.419662,49,49210,1,2,,,1,0,0
1893,2024008427,40.652306,-79.792583,2,2202,1,7,,,2,0,4
1896,2024005196,40.297504,-75.91947,6,6103,1,7,,,4,1,2
1918,2024009979,40.040919,-76.395725,36,36214,1,4,,,1,0,0
1922,2024003853,41.411527,-75.681304,35,35302,1,4,,,0,1,8
1926,2024008991,40.824725,-77.642722,14,14218,1,4,,,1,0,7
1999,2024009896,41.660668,-80.313538,20,20226,1,4,,,0,1,1
2141,2024006680,40.121458,-75.128696,46,46101,1,1,,,1,0,4
2144,2024009438,40.812537,-75.528555,13,13207,1,2,,,1,0,7
2168,2024008445,40.530625,-79.627513,64,64219,1,2,,,1,0,4
2192,2024008959,40.758219,-75.985419,53,53232,1,1,,,1,0,7
2232,2024010165,42.123079,-80.082617,25,25302,1,7,,,0,1,8
2277,2024008968,41.048133,-76.851894,49,49216,1,4,,,0,2,2
2316,2024005527,40.717719,-75.773959,39,39206,1,4,,,1,0,7
2500,2024009049,40.188521,-76.18189,36,36408,1,2,,,1,0,1
2506,2024004811,40.759736,-77.006186,54,54213,1,2,,,0,1,7
2598,2024005730,40.60552,-75.459797,39,39301,1,1,,,1,0,4
2692,2024004235,40.465611,-75.837556,6,6232,1,5,,,0,1,7
2775,2024009294,40.825076,-75.908846,53,53403,1,7,,,1,0,2
2803,2024008501,39.958494,-78.508546,5,5204,1,7,,,0,1,0
2854,2024012043,40.996561,-78.00299,14,14220,1,1,,,1,0,7
