,CRN,STREET_NAME
30,2006118586,LINCOLN WY
62,2006064219,LIMESTONE RD
63,2006064219,GUMTREE RD
83,2006043254,BAKER HILL RD
165,2006060826,FORRY AV
166,2006060826,EDGAR ST
183,2006054448,
231,2006096868,WILDWOOD RD
316,2006035551,SECOND STREET PK
321,2006074827,COUNTY LINE RD
322,2006074827,GREENE RD
323,2006074827,COUNTY LINE RD
326,2006031450,PHEASANT DR
328,2006043312,STREET RD
329,2006043312,WILLOPENN DR
342,2006131644,CYPRESS ST
345,2006131644,MILL RD
346,2007002090,GREAT COVE RD
400,2006039804,
494,2006113908,KEYSTONE SHORTWAY RD
536,2007019359,PULASKI MERCER RD
551,2006049882,BURNT HOUSE RD
556,2006049882,OLD YORK RD
580,2006056628,NUTT RD
680,2006085847,MILLER RD
681,2006085847,
682,2006085847,CHEESE PLANT RD
724,2006129267,ZIMMERMAN RD
731,2006090317,
732,2006090317,MARKET ST
733,2006090317,MARSHALL ST
758,2006032472,MT LAUREL AV
775,2006122115,28TH DIVISION HW
776,2006122115,WEAVERLAND RD
848,2006091534,WOODS RD
849,2006091534,HEITH RD
854,2006094037,
877,2006028546,SEYBERTOWN RD
910,2006052108,BLOOMINGROVE RD
922,2006113585,CENTER ST
943,2006068854,UPPER GODFREY RD
992,2006101608,ROOSEVELT BL
993,2006101608,LOTT AV
994,2006101608,ROOSEVELT BL
998,2006200211,
1033,2007025439,
1054,2006073718,WILLIAM PENN HW
1282,2006047967,CONESTOGA RD
1340,2006116519,FORTYFIFTH ST
1341,2006116519,CONSHOHOCKEN AV
1357,2006052186,WALNUT ST
1371,2006100432,NORHT TENTH ST
1378,2006204237,
1475,2007029590,LEHIGH AV
1478,2007029590,MASCHER ST
1522,2007011132,
1537,2006101716,HAZEL AV
1561,2007009209,DOBLER RD
1565,2006025870,HIGH ST
1566,2006025870,ALLEGHENY ST
1567,2006025870,HIGH ST
1608,2006114006,DELAWARE EX
1659,2007021028,PAINTER RD
1672,2006074236,LINCOLN HW
1741,2006033202,WATSON AV
1818,2007001272,CHURCH ST
1884,2006026424,
1891,2006106862,E MUD PK
1906,2006106125,PENFIELD TO TYLER RD
2063,2006097686,FORT DUQUESNE BR
2085,2006039699,BROUWERS DR
2108,2007017652,KEENE ST
2124,2006075181,
2156,2006209128,BROADWAY ST
2221,2006092213,
2265,2006084861,ROARING RUN RD
2323,2006093870,
2343,2006072448,SUNBURY ST
2347,2006113676,VAN PATTON DR
2348,2006113676,CARLISLE PK
2388,2006117595,AMERICAN LEGION MEM HW
2394,2006080057,
2412,2006061026,DETORKSVILLE RD
2413,2006065039,BENJAMIN FRANKLIN HW
2436,2007015732,SR 0183 SH
2445,2006078960,SILLYMAN ST
2446,2006078960,BIRCH ST
2454,2006087722,LIONS HEALTH CAMP RD
2470,2007011632,VIETNAM VETERANS MEMOR HW
2600,2006044970,
2627,2006047760,CHURCH ST
2629,2006047760,MONTEREY LN
2630,2006076961,TOWNVILLE RD
2675,2006064006,HARMONY RD
2682,2006069044,EIGHTEENTH ST
2684,2006042679,WELL RD
2725,2006018604,SUGAR RUN RD
2729,2006099905,CROW CREEK RD
2749,2006096406,GULPH RD
2772,2006063252,FORTYSIXTH ST
2774,2006063252,WALNUT ST
2817,2007004752,OLD MILL RD
2827,2006087607,WHITEHALL RD
2863,2007032572,SOUTH ST
2866,2006082007,MAIVERN AV
2900,2007004441,SR 0309 SH
2901,2007004441,SR 0309 SH
2902,2007004441,MELODY LN
2907,2006086013,WALES RD
2908,2006086013,DONLIN RD
2921,2006115208,BALTIMORE PK
2922,2006115208,BAYARD RD
2923,2006115208,BAYARD RD
2937,2006124735,EDGEMONT ST
2991,2006119480,HARRISON VALLEY RD
3032,2007004344,SOAP HOLLOW RD
3062,2006100193,MILFORD RD
3063,2006080181,WAGNER AV
3064,2006080181,OLNEY AV
3092,2006073929,EAST MC MURRAY RD
3093,2006097889,
3099,2006050369,
3142,2006033838,LINCOLN HW
3143,2006033838,LINCOLN HW
3144,2006033838,DWIGHT D EISENHOWER HW
3145,2006033838,DWIGHT D EISENHOWER HW
3227,2007011533,WILLIAMS RUN RD
3228,2007011533,GAP RD
3254,2006040982,SOUTHWOOD DR
3268,2006086336,COUNTY LINE RD
3337,2006079222,THIRTYFOURTH ST
3338,2006079222,THIRTYFOURTH ST
3339,2006079222,MARKET ST
3340,2006079222,MARKET ST
3361,2006084202,INTERCHANGE RD
3517,2007030464,ROCK ST
3518,2007030464,OAK ST
3651,2006087325,GILLINGHAM RD
3664,2006050953,
3665,2006050953,WALMART ENT RD
3732,2006097658,COLD SPRINGS RD
3845,2006096039,LINCOLN HW
3915,2006093093,WEIGESTER ST
3916,2006093093,PROSPECT ST
3941,2006101614,NORRIS ST
3942,2006083105,WALNUT ST
3943,2006083105,FIFTYSIXTH ST
4031,2006077198,
4032,2006077198,RAMP C RD
4128,2006019464,ADMIRAL PEARY HW
4160,2006086484,UPPER SWIFTWATER RD
4213,2006064006,KEISTER RD
4250,2006052328,OLD WILLIAM PENN HW
4275,2006049077,CARLISLE PK
4276,2006049077,LAKE MEADE RD
4277,2006049077,LAKE MEADE RD
4284,2006028500,
4494,2006069942,
4530,2006032582,BROAD ST
4531,2006032582,ROCKLAND ST
4608,2006049962,CLEARFIELD VALLEY BL
4648,2006058548,CHEMICAL RD
4649,2006058548,CHEMICAL RD
4650,2006058548,GALLAGHER RD
4673,2007025440,SUMMERSON MOUNTAIN RD
4675,2006068265,FINGERBOARD RD
4676,2006068265,BUCK VALLEY RD
4677,2006068265,MCKIBBIN LN
4687,2006098709,RIDGE RD
4723,2006020939,EAST ST
4898,2006078622,PLANK RD
4907,2006052609,FRONT ST
4920,2006026291,LAUDERMILCH RD
4936,2006095676,KINGS HW
4968,2006111186,CAMPUS BL
4969,2006111186,ALICE GRIM BL
4970,2006111186,WEST CHESTER PK
4971,2006111186,WEST CHESTER PK
5022,2006104087,SEVENTH ST
5057,2006200217,CIRCLE ST
5058,2006200217,SR 0051 SH
5246,2007034262,COLUMBIA RD
5302,2006092215,PENNINGTON RD
5400,2006065837,AMVET MEM HW
5412,2006065555,CHEW AV
5413,2006065555,PRICE ST
5467,2006096869,CARROLLS TRACT RD
5481,2006050917,PENN AV
5482,2006050917,MILL ST
5483,2006050917,MILL ST
5484,2006088340,BUTCHER SHOP RD
5485,2006088340,
5486,2006088340,INDUSTRIAL PARK RD
5501,2006093321,LINDEN ST
5542,2006033866,BUFFALO RD
5561,2006085520,WILSON RD
5648,2006037808,RIDGE AV
5649,2006037808,HUNTING PARK AV
5650,2006037808,HUNTING PARK AV
5651,2006037808,RIDGE AV
5652,2006037808,RIDGE AV
5658,2006020603,GLENDALE VALLEY BL
5719,2006042031,LAKE ST
5720,2006042031,KEYSTONE AV
5724,2006053366,NEW GERMANY RD
5809,2006045897,ALLEGHENY RD
5841,2006096598,INTERCHANGE RD
5920,2006050758,SECOND AV
5944,2006095338,WEIKERT RD
5956,2006110676,CREEK RD
5957,2006127126,
5997,2006061956,RAMP C RD
5998,2006061956,ALLENTOWN PK
6003,2006121868,
6004,2006121868,PLUMVILLE RD
6079,2007001350,MANOR RD
6080,2007001350,KINGS HW
6114,2006075091,S SPROUL RD
6137,2006056471,BROAD ST
6153,2006092417,SEVENTIETH ST
6179,2006104862,
6185,2006049979,
6286,2006051225,
6287,2006051225,LIBERTY RD
6289,2006079836,BEN FRANKLIN HW
6300,2006108616,
6319,2006081862,
6328,2006096948,
6365,2006112533,MOUNTAIN VIEW DR
6377,2007019913,KENSINGTON AV
6498,2006044496,
6499,2006044496,
6500,2006044496,TO 8036/0250 RD
6502,2006051766,DEVONSHIREHEIGHT RD
6520,2007039925,KNOXLYN RD
6521,2006098532,
6546,2006077209,IRONVILLE PK
6549,2006200733,
6570,2006068899,MARKET ST
6571,2006068899,KELLER ST
6594,2006203449,EWING HILL RD
6633,2006106538,STATE RD
6634,2006104267,GLENWOOD AV
6635,2006104267,FIFTH ST
6661,2006100705,COUNTY LINE RD
6810,2007002639,
6905,2006078558,CONCORD RD
6906,2006078558,BALTIMORE PK
