,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
35,2023012915,39.977471,-78.538303,5,5201,1,1,1140.0,,1,0,7
51,2023005043,40.997184,-80.335511,37,37301,1,1,1956.0,,1,0,4
79,2023005795,40.640564,-76.092789,53,53235,1,6,1753.0,,2,0,1
120,2023013411,39.848523,-75.756969,15,15225,1,7,1835.0,,1,0,7
128,2023009957,40.515013,-80.008404,2,2116,1,6,2254.0,,0,1,8
163,2023006055,40.334572,-76.772559,22,22208,1,7,2131.0,,1,0,7
167,2023012837,40.6198,-75.459383,39,39301,2,1,230.0,,1,0,7
237,2023005992,40.202958,-75.124931,9,9226,1,4,1704.0,,0,1,1
245,2023005344,40.974652,-78.552314,17,17226,1,6,1144.0,,0,1,4
249,2023005851,39.992033,-75.140183,67,67301,1,7,2229.0,,2,1,4
307,2023004958,40.385306,-80.044917,2,2109,1,4,946.0,,1,0,5
344,2023004834,39.738409,-77.469868,28,28215,1,7,2251.0,,1,0,98
388,2023013088,39.808918,-77.103206,1,1216,1,1,201.0,,4,0,7
412,2023006162,41.050844,-75.995286,40,40204,1,2,424.0,,1,0,1
439,2023005915,41.155076,-75.959139,40,40226,1,4,1255.0,,1,0,7
453,2023004980,40.095768,-76.272392,36,36101,1,2,1359.0,,1,0,7
509,2023008165,40.552188,-80.019984,2,2116,1,2,308.0,,1,0,7
518,2023002384,40.029116,-75.205996,67,67301,1,4,2048.0,,0,1,8
526,2023013168,40.327105,-75.994096,6,6237,1,1,1940.0,,1,0,8
574,2023004325,40.435469,-79.973273,2,2301,1,4,1943.0,,0,1,8
591,2023012001,41.286599,-76.908581,41,41238,1,1,2149.0,,1,0,7
657,2023013167,41.485492,-75.717393,35,35404,1,5,736.0,,1,0,4
679,2023006583,40.559447,-79.959299,2,2207,1,5,2033.0,,1,0,7
707,2023012093,39.976897,-76.74391,66,66301,2,7,1202.0,,1,0,1
716,2023004228,42.11585,-80.090635,25,25302,1,5,1911.0,,1,0,8
740,2023006131,41.078617,-77.547953,18,18203,1,1,208.0,,0,1,7
743,2023013597,42.03533,-80.029887,25,25216,2,7,1755.0,,1,0,7
762,2023004971,39.961042,-75.603986,15,15414,1,6,1901.0,,1,0,8
766,2023006157,40.204645,-79.584091,64,64209,1,2,1924.0,,1,0,8
825,2023011919,40.492519,-79.965761,2,2118,1,3,2219.0,,1,0,4
860,2023013860,40.629658,-75.342836,48,48301,2,3,1833.0,,1,0,8
867,2023009576,40.094755,-75.290011,46,46107,1,7,413.0,,1,0,2
908,2023011943,40.074484,-76.357243,36,36214,1,3,1725.0,,1,0,4
931,2023005820,40.672515,-75.214791,48,48217,1,2,1547.0,,1,0,6
973,2023004565,40.691351,-80.260055,4,4414,1,4,517.0,,0,1,8
1013,2023005918,40.823594,-77.052085,54,54203,1,5,822.0,,1,0,8
1053,2023012268,40.058571,-75.045254,67,67301,2,7,218.0,,1,0,1
1060,2023004679,39.916926,-75.333441,23,23108,1,6,1056.0,,0,1,8
1086,2023011581,39.842607,-77.224385,1,1204,1,2,1520.0,,1,0,1
1093,2023011933,40.462605,-79.804042,2,2113,2,6,2235.0,,2,0,2
1117,2023004895,39.978684,-75.157874,67,67301,1,6,44.0,,1,0,8
1129,2023012854,40.345037,-76.446832,38,38102,1,2,1251.0,,1,0,4
1242,2023016724,40.710528,-75.643179,39,39212,2,7,508.0,,1,0,7
1257,2023005340,40.480506,-76.930956,22,22204,1,3,658.0,,0,1,7
1292,2023022439,40.390994,-75.325546,9,9229,3,1,2020.0,,1,0,7
1314,2023002140,40.135356,-75.542147,15,15212,1,6,1.0,,0,1,2
1319,2023005917,40.44247,-80.023919,2,2301,1,7,326.0,,0,1,8
1350,2023016268,41.962777,-78.399834,42,42205,1,6,1533.0,,1,0,4
1410,2023010067,40.0587,-76.364393,36,36214,1,3,2355.0,,1,0,7
1426,2023017640,40.630418,-78.740385,11,11227,2,2,844.0,,2,0,4
1467,2023017162,41.034813,-76.596649,47,47209,2,7,556.0,,1,0,0
1478,2023012530,40.970211,-78.066314,14,14219,1,3,2332.0,,0,1,2
1576,2023016507,40.032116,-76.298385,36,36301,2,6,1810.0,,1,0,8
1579,2023017338,40.314595,-75.132765,9,9403,1,6,1509.0,,1,0,8
1676,2023015082,39.947948,-75.963654,15,15252,2,5,1245.0,,0,1,1
1684,2023013499,40.062592,-76.541847,36,36211,2,7,910.0,,1,0,4
1691,2023000791,40.000978,-75.142697,67,67301,1,1,133.0,,1,0,8
1698,2023019692,40.695472,-80.265433,4,4409,1,2,152.0,,1,1,7
1788,2023016234,,-80.078889,2,2212,2,2,1846.0,,0,1,4
1798,2023012296,40.599576,-79.947521,2,2207,2,1,2152.0,,1,0,4
1821,2023002630,40.044086,-76.298065,36,36301,1,4,1808.0,,1,1,5
1889,2023017126,40.295932,-76.979114,21,21103,2,5,1628.0,,0,1,7
1908,2023021304,40.786963,-75.286922,48,48203,2,7,1915.0,,1,0,1
1942,2023011405,41.288547,-76.136389,40,40227,1,6,1249.0,,1,0,7
1949,2023017200,39.935531,-75.214152,67,67301,2,2,2320.0,,1,0,2
2019,2023017576,40.994715,-75.391199,45,45206,2,7,1822.0,,1,0,1
2025,2023000384,40.123639,-74.868355,9,9101,1,2,739.0,,1,0,5
2036,2023017705,40.455675,-75.946839,6,6228,2,5,1005.0,,0,1,7
2069,2023011886,40.374564,-75.237573,9,9210,2,6,1252.0,,1,0,4
2083,2023021511,40.093441,-75.41718,46,46220,1,7,333.0,,0,1,2
2091,2023013588,40.933146,-77.004298,59,59201,1,7,1807.0,,1,0,8
2158,2023021467,41.245047,-75.871931,40,40304,2,5,1303.0,,1,0,4
2202,2023016179,40.443015,-80.052733,2,2301,2,7,1800.0,,1,0,7
2268,2023017518,40.072892,-75.075887,67,67301,2,3,1740.0,,1,0,8
2303,2023011746,40.843246,-79.994,10,10211,1,1,932.0,,0,1,7
2329,2023016010,40.038638,-75.36358,23,23106,2,7,1423.0,,1,0,8
2351,2023007385,41.202146,-75.907606,40,40101,1,3,840.0,,1,0,7
2380,2023020636,39.939444,-77.21894,1,1202,1,6,1413.0,,1,0,2
2388,2023000370,39.927371,-75.268247,23,23427,1,2,1247.0,,1,0,8
2401,2023016168,39.973486,-76.849408,66,66205,2,1,1717.0,,1,0,7
