,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
113,2010088402,27,M,2.0,1,1.0
114,2010088402,58,F,4.0,2,1.0
163,2010041298,79,F,2.0,1,1.0
164,2010041298,63,M,2.0,2,1.0
289,2010037512,77,F,2.0,1,1.0
496,2010032617,17,M,1.0,1,1.0
519,2010114099,36,F,3.0,1,1.0
520,2010114099,40,M,1.0,2,1.0
521,2010114099,25,F,0.0,3,1.0
543,2010066935,47,M,1.0,1,1.0
633,2011124527,31,M,0.0,1,1.0
634,2011124527,18,F,2.0,2,7.0
639,2010047769,43,M,1.0,1,1.0
765,2010088499,29,M,2.0,1,1.0
766,2010088499,49,F,0.0,2,1.0
767,2010088499,17,M,0.0,2,2.0
907,2010061649,16,M,2.0,1,1.0
908,2010061649,16,M,2.0,1,2.0
909,2010061649,15,M,3.0,1,2.0
910,2010061649,13,M,3.0,1,2.0
911,2010061649,15,M,3.0,1,2.0
912,2010061649,36,M,3.0,2,1.0
922,2010060620,28,F,1.0,1,1.0
969,2010040922,30,M,2.0,1,1.0
970,2010040922,21,F,0.0,1,2.0
971,2010040922,53,M,3.0,2,1.0
981,2011025709,39,F,2.0,1,1.0
982,2011025709,33,F,2.0,1,2.0
983,2011025709,17,F,3.0,1,2.0
984,2011025709,22,F,4.0,3,2.0
985,2011025709,21,F,4.0,3,2.0
1012,2010032211,51,M,2.0,1,1.0
1243,2010012082,39,F,2.0,1,1.0
1285,2010085206,26,M,4.0,1,1.0
1286,2010085206,38,F,2.0,1,2.0
1316,2010072367,42,M,2.0,1,1.0
1333,2010110349,24,M,4.0,1,1.0
1334,2010110349,24,M,4.0,1,2.0
1335,2010110349,24,M,0.0,1,2.0
1336,2010110349,42,F,2.0,2,1.0
1337,2010110349,60,F,3.0,2,2.0
1338,2010110349,14,F,4.0,2,2.0
1339,2010110349,5,F,4.0,2,2.0
1340,2010110349,51,F,0.0,3,1.0
1346,2010112930,18,F,2.0,1,1.0
1347,2010112930,43,M,8.0,2,1.0
1440,2010115697,21,M,2.0,1,1.0
1441,2010115697,21,M,3.0,1,2.0
1474,2010107889,49,M,0.0,1,1.0
1475,2010107889,63,M,2.0,2,1.0
1481,2010036133,19,F,4.0,1,1.0
1482,2010036133,21,F,4.0,1,2.0
1483,2010036133,1,F,9.0,1,2.0
1484,2010036133,30,M,2.0,2,1.0
1734,2010105802,35,M,2.0,1,1.0
1735,2010105802,62,M,2.0,1,2.0
1809,2010016622,28,F,8.0,1,1.0
1810,2010016622,48,F,8.0,1,2.0
1811,2010016622,49,M,8.0,1,2.0
1812,2010016622,38,M,2.0,1,2.0
1846,2010034628,99,U,9.0,1,1.0
1847,2010034628,56,F,2.0,2,7.0
1875,2010098878,33,M,2.0,1,1.0
1876,2010098878,17,M,0.0,2,1.0
1889,2010124659,21,M,9.0,1,1.0
1890,2010124659,62,F,2.0,2,7.0
1944,2010104321,50,M,2.0,1,1.0
1945,2010104321,27,F,4.0,2,1.0
1969,2010080358,64,M,2.0,1,1.0
2057,2010052277,21,M,0.0,1,1.0
2058,2010052277,47,F,2.0,2,1.0
2103,2010031664,87,M,0.0,1,1.0
2104,2010031664,82,F,0.0,1,2.0
2105,2010031664,46,M,2.0,2,1.0
2127,2010059334,71,M,2.0,1,1.0
2244,2011001270,54,M,0.0,1,1.0
2245,2011001270,17,M,2.0,2,1.0
2246,2011001270,42,F,3.0,2,2.0
2247,2011001270,46,M,2.0,3,7.0
2373,2010074117,19,F,2.0,1,1.0
2374,2010074117,54,F,3.0,1,2.0
2375,2010074117,48,F,3.0,2,1.0
2376,2010074117,46,F,3.0,2,2.0
2377,2010074117,16,F,4.0,2,2.0
2378,2010074117,38,M,0.0,3,1.0
2518,2010043250,19,F,1.0,1,1.0
2692,2010019588,99,U,9.0,1,1.0
2693,2010019588,50,F,2.0,2,7.0
2716,2010016744,68,M,1.0,1,1.0
2717,2010016744,43,F,3.0,2,1.0
2718,2010016744,19,F,2.0,2,2.0
2719,2010016744,1,F,4.0,2,2.0
2772,2010014876,71,M,0.0,1,1.0
2773,2010014876,62,F,0.0,1,2.0
2774,2010014876,31,F,2.0,2,7.0
2889,2010011378,21,M,2.0,1,1.0
2890,2010011378,38,M,0.0,2,1.0
3131,2010028513,38,F,2.0,1,1.0
3132,2010065350,77,F,4.0,1,1.0
3133,2010065350,21,M,2.0,2,1.0
3226,2010031708,21,F,0.0,1,1.0
3227,2010031708,50,M,0.0,2,1.0
3228,2010031708,17,M,0.0,2,2.0
3229,2010031708,47,F,2.0,2,2.0
3311,2010119541,21,M,2.0,1,4.0
3312,2010119541,31,M,0.0,2,1.0
3313,2010119541,14,M,0.0,2,2.0
3314,2010119541,5,M,0.0,2,2.0
3379,2010083791,19,M,0.0,1,1.0
3380,2010083791,18,M,2.0,1,2.0
3630,2010114627,43,M,2.0,1,1.0
3631,2010114627,53,M,4.0,2,1.0
3699,2010089943,69,M,1.0,1,1.0
3714,2010066299,57,M,0.0,1,1.0
3715,2010066299,26,M,2.0,2,1.0
3746,2010108970,19,M,2.0,1,1.0
3767,2010082596,24,F,4.0,1,1.0
3768,2010082596,27,M,2.0,1,2.0
3769,2010082596,2,M,4.0,1,2.0
3770,2010082596,9,M,3.0,1,2.0
3771,2010082596,37,M,0.0,2,1.0
3772,2010082596,1,M,0.0,2,2.0
3786,2010096057,65,F,1.0,1,1.0
3787,2010096057,51,M,4.0,2,1.0
3973,2010047668,35,M,1.0,1,1.0
4107,2010067172,63,F,2.0,1,1.0
4116,2011000292,34,M,2.0,1,1.0
4219,2010082968,56,F,2.0,1,1.0
4257,2010130424,25,M,2.0,1,1.0
4298,2010074822,44,M,1.0,1,1.0
4299,2010074822,56,F,0.0,2,1.0
4300,2010074822,81,M,0.0,2,2.0
4301,2010074822,68,M,3.0,3,1.0
4524,2010129784,37,M,1.0,1,1.0
4525,2010129784,60,M,8.0,2,1.0
4526,2010129784,48,F,8.0,2,2.0
4538,2010101410,24,M,4.0,1,1.0
4539,2010101410,25,M,2.0,1,2.0
4540,2010101410,33,M,4.0,2,1.0
4588,2010043164,32,M,2.0,1,1.0
4589,2010043164,34,M,0.0,2,1.0
4590,2010043164,59,M,0.0,2,2.0
4609,2010109689,20,F,2.0,1,1.0
4632,2010064877,45,F,1.0,1,7.0
4633,2010064877,20,M,0.0,2,1.0
4634,2010064877,16,F,0.0,2,2.0
