,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
14,2014055535,1,20.0,2.0,1,2013.0,HD,0,MRS,1.0
126,2014101163,1,51.0,4.0,1,1996.0,CHEV,0,TPC,1.0
173,2014033635,1,4.0,1.0,1,2006.0,VOLK,0,P4D,1.0
174,2014033635,2,6.0,1.0,1,2000.0,SUBA,0,PSW,1.0
190,2015000893,1,2.0,1.0,1,1995.0,PONT,0,PCP,1.0
191,2015000893,2,4.0,1.0,1,2008.0,MITS,0,P4D,1.0
353,2014035522,1,5.0,1.0,1,2010.0,HOND,0,P4H,1.0
354,2014035522,2,15.0,6.0,1,2000.0,FORD,0,PUT,1.0
355,2014035522,3,4.0,1.0,1,2002.0,FORD,0,P4D,1.0
401,2014042957,1,4.0,1.0,1,2004.0,HYUN,0,P4D,1.0
402,2014042957,2,51.0,4.0,1,1997.0,MAZD,0,TPK,1.0
407,2014049129,1,51.0,4.0,1,2004.0,FORD,0,TCW,1.0
419,2014123747,1,4.0,1.0,1,2014.0,TOYT,0,P4D,1.0
556,2014106614,1,29.0,2.0,1,2014.0,HD,0,,1.0
609,2014028012,1,19.0,6.0,5,,,0,,4.0
610,2014028012,2,15.0,6.0,1,2012.0,TOYT,0,PUT,1.0
646,2014108121,1,69.0,4.0,1,2012.0,NISS,0,,1.0
656,2014103521,1,,31.0,30,,,0,,
657,2014103521,2,19.0,6.0,5,,,0,,4.0
723,2014030237,1,4.0,1.0,1,2001.0,HOND,0,P4D,1.0
724,2014030237,2,41.0,7.0,1,1993.0,PLYM,0,TES,1.0
855,2014124567,1,29.0,2.0,1,2006.0,HOND,0,,1.0
856,2014124567,2,29.0,2.0,1,2005.0,YAMA,0,,1.0
862,2014033060,1,4.0,1.0,1,1993.0,TOYT,0,P4D,1.0
903,2014083645,1,28.0,2.0,1,2014.0,KAWK,0,MRC,1.0
1021,2014092181,1,51.0,4.0,1,1997.0,CHEV,0,TPC,1.0
1022,2014092181,2,15.0,6.0,1,2001.0,DODG,0,PUT,1.0
1252,2014004211,1,2.0,1.0,1,2003.0,CHEV,0,PCP,1.0
1253,2014004211,2,15.0,6.0,1,1994.0,JEEP,0,T4W,1.0
1273,2014062688,1,28.0,2.0,1,2002.0,KAWK,0,MRC,1.0
1555,2014125526,1,51.0,4.0,1,1998.0,DODG,0,T4C,1.0
1556,2014125526,2,5.0,1.0,1,2009.0,SUZI,0,P4H,1.0
1612,2015003454,1,75.0,5.0,1,2004.0,MACK,0,TTR,1.0
1679,2014112594,1,4.0,1.0,1,2002.0,PONT,0,P4D,1.0
1680,2014112594,2,15.0,6.0,1,2008.0,JEEP,0,T4W,1.0
1697,2014085613,1,12.0,7.0,1,2014.0,CHRY,0,PSV,1.0
