,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,HOUR_OF_DAY,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
36980,2020030812,41.559811,-77.646969,52,52219,2,1,,,1,0,0
36989,2020047059,39.97073,-75.969053,15,15252,6,2,,,1,0,6
37006,2020000612,40.43804,-79.994361,2,2301,1,5,,,1,0,8
37067,2020001408,40.280817,-76.539111,38,38211,1,6,,,1,0,4
37084,2020006699,39.756653,-76.677991,66,66426,1,2,,,1,0,1
37123,2020046493,40.004797,-75.296937,46,46104,6,1,,,1,0,7
37154,2020023780,41.225241,-80.216688,43,43206,1,5,,,1,0,7
37172,2020023808,40.112484,-76.06274,36,36213,3,5,,,1,0,1
37177,2020009793,40.085776,-75.402043,46,46220,1,7,,,1,0,4
37181,2020014131,40.832442,-76.868883,54,54208,1,4,,,1,0,7
37208,2020000835,40.603113,-75.485832,39,39301,1,5,,,1,0,4
37219,2020029871,39.731862,-77.433975,1,1213,3,6,,,1,0,7
37239,2020042717,40.537391,-75.729466,6,6224,4,3,,,1,0,7
37282,2020030284,39.995819,-75.138425,67,67301,3,6,,,1,0,5
37284,2020037168,39.936286,-75.625613,15,15203,5,5,,,0,1,7
37330,2020038196,40.004294,-77.962177,29,29209,4,6,,,1,0,8
37346,2020045646,41.027664,-76.867745,59,59210,5,7,,,0,1,1
37415,2020004846,40.440573,-79.833884,2,2419,1,1,,,1,0,7
37421,2020046714,39.874394,-79.353089,55,55213,6,7,,,1,1,7
37439,2020047184,40.247839,-76.811498,22,22102,6,6,,,1,0,1
37446,2020029331,41.626111,-76.142526,65,65201,3,2,,,1,0,2
37449,2020047187,40.246476,-79.635858,64,64209,6,7,,,1,0,4
37498,2020045344,39.970561,-79.028079,55,55221,5,2,,,0,1,4
37501,2020068159,39.980815,-76.277059,36,36240,8,1,,,1,0,7
37515,2020045634,40.459679,-76.278493,6,6239,5,1,,,0,1,4
37548,2020048136,40.841598,-80.21465,4,4206,6,5,,,0,1,2
37565,2020007520,41.476301,-75.625124,35,35406,1,5,,,1,0,7
37576,2020050756,40.4053,-76.20102,6,6223,5,6,,,1,0,4
37628,2020041099,40.552938,-76.008739,6,6238,5,1,,,2,0,1
37654,2020027878,41.136352,-77.437653,18,18301,3,5,,,1,0,4
37664,2020048177,40.700486,-79.047156,32,32218,6,4,,,0,1,7
37673,2020000935,40.965535,-78.091496,17,17210,1,4,,,1,0,7
37677,2020045332,41.919349,-79.046172,61,61208,5,1,,,0,1,0
37720,2020028954,39.844528,-78.193003,29,29202,3,6,,,1,0,7
37724,2020045642,39.995139,-75.346816,23,23103,5,1,,,0,1,0
37737,2020046693,40.737762,-76.551493,49,49202,5,1,,,0,1,0
37738,2020045891,41.099478,-76.398275,19,19219,2,5,,,1,0,7
37762,2020017851,40.340333,-75.940611,6,6301,2,1,,,1,0,7
37784,2020001538,40.852713,-79.901605,10,10301,1,4,,,1,0,1
37795,2020036086,40.415593,-80.011138,2,2301,5,7,,,1,0,2
37866,2020047176,40.427167,-75.765638,6,6234,6,5,,,1,0,7
37867,2020000586,40.239732,-76.852295,22,22414,1,5,,,1,0,98
37896,2020044695,40.137836,-75.36235,46,46111,6,6,,,0,1,7
37915,2020047617,40.35183,-76.451359,38,38209,6,2,,,0,2,2
37982,2020045336,40.554431,-75.264812,9,9222,5,4,,,0,1,7
38079,2020046251,40.113767,-75.323046,46,46413,6,7,,,1,1,2
38092,2020047767,40.376578,-75.821417,6,6202,5,6,,,0,1,7
38097,2020010791,41.054206,-78.478704,17,17223,1,7,,,1,0,7
38151,2020045323,40.694197,-75.607417,39,39207,5,5,,,0,1,0
38211,2020045289,40.651166,-75.501036,39,39102,3,2,,,0,1,4
38217,2020053503,39.825681,-75.890863,15,15229,6,5,,,1,0,2
38238,2020046110,41.955225,-77.427453,58,58207,6,2,,,1,0,7
38246,2020046273,40.461306,-80.031639,2,2301,6,7,,,0,3,7
38296,2020045934,40.786859,-75.167351,48,48208,5,6,,,0,1,2
38298,2020047200,40.034934,-79.213634,55,55209,6,1,,,0,1,7
38364,2020047259,40.292449,-76.793838,22,22208,6,2,,,1,0,4
38394,2020038637,41.633508,-77.932672,52,52220,5,1,,,1,0,1
38398,2020041445,40.050993,-79.205059,55,55209,5,1,,,0,1,0
38405,2020000663,40.006476,-75.11771,67,67301,1,4,,,1,0,1
38407,2020045443,40.353774,-75.952935,6,6301,6,5,,,1,0,1
38425,2020020303,41.460881,-75.850252,65,65205,2,1,,,1,0,7
38434,2020051527,41.126615,-76.359661,19,19207,6,2,,,3,2,7
38437,2020046582,41.50405,-75.722115,35,35208,6,4,,,1,0,4
38442,2020007326,40.804743,-80.234617,4,4210,1,7,,,1,0,7
38469,2020043407,40.471973,-75.069759,9,9223,5,6,,,1,0,98
38478,2020019430,41.547635,-76.409317,56,56201,2,6,,,1,0,7
38505,2020048380,41.074179,-76.95839,59,59210,6,6,,,1,0,7
38539,2020045639,39.943098,-75.143111,67,67301,5,6,,,0,1,1
38540,2020001521,40.010697,-75.862666,15,15245,1,6,,,1,0,7
38556,2020002934,40.644867,-80.084669,2,2212,1,2,,,1,0,7
38592,2020047301,39.920083,-75.213006,67,67301,6,2,,,8,2,2
38600,2020049807,39.858649,-75.529759,23,23204,6,2,,,1,0,4
38618,2020046180,39.782493,-76.90356,66,66218,6,7,,,1,1,4
38620,2020047271,40.765943,-80.352039,4,4203,6,2,,,1,0,6
38631,2020002038,40.382237,-79.99589,2,2301,1,3,,,1,0,8
38666,2020048162,41.616619,-78.32735,12,12205,6,7,,,1,0,0
38778,2020017465,39.939444,-77.21894,1,1202,2,4,,,1,0,2
38830,2020027589,40.221075,-80.213993,62,62227,1,6,,,1,0,1
38833,2020046984,41.511282,-76.644692,56,56204,6,1,,,0,1,7
38880,2020050775,40.346008,-75.927552,6,6301,6,2,,,2,0,2
38955,2020005800,41.202362,-77.433303,18,18221,1,4,,,1,0,7
38956,2020052923,40.470214,-78.839725,11,11421,6,2,,,1,0,4
38981,2020047451,40.421829,-76.538734,38,38215,6,5,,,1,0,1
39033,2020046318,40.809082,-77.634851,14,14218,5,6,,,2,0,4
39036,2020000483,40.563241,-75.385729,39,39211,1,4,,,1,0,7
39037,2020046704,41.599252,-79.985981,20,20216,6,4,,,1,0,7
39163,2020033482,41.243132,-78.72543,24,24205,4,6,,,1,0,7
39185,2020016704,40.350358,-79.835519,2,2304,1,3,,,1,0,7
39223,2020047318,40.193566,-75.260367,46,46207,6,3,,,0,1,1
39248,2020046338,40.329067,-75.609012,46,46201,6,6,,,2,0,7
39262,2020001565,40.424803,-80.042649,2,2435,1,6,,,1,0,8
39289,2020047788,39.995972,-78.268303,5,5206,6,5,,,1,0,7
39349,2020017574,39.957046,-77.313005,1,1214,1,6,,,1,0,2
39381,2020049793,40.055401,-80.235074,62,62201,3,7,,,0,1,7
39396,2020040638,40.496872,-75.658556,6,6219,5,5,,,1,0,7
39402,2020051030,40.022286,-75.148402,67,67301,6,3,,,1,1,8
39404,2020002741,40.598858,-75.483851,39,39301,1,3,,,1,0,8
39410,2020030800,41.503989,-79.355883,27,27207,4,4,,,1,0,7
39411,2020000293,40.054174,-75.071346,67,67301,1,4,,,1,0,8
39419,2020005114,41.804479,-79.093848,61,61214,1,6,,,1,0,7
39422,2020046051,40.528054,-75.50793,39,39405,5,7,,,1,0,5
39426,2020008706,40.794741,-80.334748,4,4405,1,1,,,1,0,8
39427,2020047459,40.350968,-77.436934,50,50215,6,2,,,1,0,7
39437,2020021729,41.780595,-78.020475,52,52402,2,3,,,1,0,2
39463,2020002776,40.435714,-79.770886,2,2446,1,2,,,1,0,8
39497,2020048451,40.132206,-75.879344,15,15219,6,5,,,1,0,7
39501,2020018074,41.800626,-80.373181,20,20411,1,7,,,1,0,7
39565,2020047653,40.828031,-80.002125,10,10211,6,2,,,1,0,7
39573,2020046078,40.4479,-76.352133,6,6205,6,7,,,1,1,4
39582,2020003833,41.625796,-80.203206,20,20230,1,6,,,1,0,7
39586,2020047263,40.545238,-75.672414,39,39209,6,1,,,0,1,8
39607,2020069991,40.921157,-78.206411,17,17224,8,3,,,0,1,2
39610,2020071919,40.743337,-76.595436,49,49220,8,7,,,0,1,7
39731,2020039886,40.552001,-79.819431,2,2208,5,7,,,1,0,7
39779,2020033471,40.05755,-77.652842,28,28206,3,4,,,1,0,7
39808,2020033731,39.891866,-75.235953,67,67301,4,7,,,1,0,1
39814,2020047764,39.831064,-75.428934,23,23110,5,4,,,1,0,7
39820,2020069949,39.921553,-75.216614,67,67301,8,3,,,1,0,4
39832,2020071454,41.337089,-74.830001,51,51203,8,7,,,1,0,4
39979,2020071644,41.915121,-79.337957,61,61221,8,1,,,1,1,4
39986,2020071052,40.629304,-75.469863,39,39102,8,7,,,1,0,1
40023,2020071178,40.408117,-80.048855,2,2435,9,3,,,1,0,4
40075,2020062548,40.453982,-75.383861,9,9214,3,4,,,1,0,7
40086,2020071639,42.075856,-80.20679,25,25205,8,6,,,0,1,7
40125,2020071163,40.219514,-79.718398,64,64215,8,7,,,1,0,4
40126,2020070806,40.703791,-78.898533,32,32214,7,6,,,0,1,98
40133,2020031834,40.176839,-75.080843,9,9226,3,3,,,1,0,4
40140,2020069955,40.340231,-79.967255,2,2454,8,6,,,1,0,4
40177,2020070253,40.138559,-76.586443,36,36225,7,6,,,0,1,8
40192,2020047246,40.356518,-75.531721,46,46212,6,3,,,1,0,4
40212,2020066496,39.930232,-78.164123,29,29202,8,6,,,1,0,0
40249,2020003425,40.361298,-79.982516,2,2476,1,6,,,1,0,1
40277,2020045767,40.247755,-80.222559,62,62207,6,4,,,0,2,7
40294,2020070528,40.546392,-76.811238,22,22403,8,5,,,1,0,4
40336,2020040753,40.261731,-76.85916,22,22301,5,2,,,1,0,5
40341,2020071049,40.039919,-76.285401,36,36220,7,5,,,1,0,8
40381,2020069999,39.917321,-75.439418,23,23207,8,6,,,0,1,6
40391,2020055523,41.237129,-75.887078,40,40304,7,3,,,0,1,8
40430,2020034454,39.89585,-75.192558,67,67301,4,6,,,1,0,5
40452,2020071256,41.226026,-80.264936,43,43204,8,5,,,0,1,1
40453,2020031958,40.020356,-75.153729,67,67301,4,4,,,3,0,7
40483,2020039024,40.346332,-79.956502,2,2473,5,4,,,1,0,1
40511,2020031543,40.261873,-75.368087,46,46209,4,2,,,1,0,8
40567,2020024254,40.727861,-78.042389,14,14206,3,4,,,1,0,7
40579,2020040512,40.377894,-80.216697,2,2214,5,6,,,1,0,7
40663,2020025871,40.21008,-77.183077,21,21402,3,4,,,1,0,4
40664,2020040029,40.640839,-80.50045,4,4415,3,7,,,1,0,7
40677,2020070708,40.014538,-77.975089,29,29205,8,6,,,1,0,7
40754,2020047780,40.528723,-76.073891,6,6241,6,2,,,1,0,1
40790,2020071246,40.572404,-75.539883,39,39103,7,5,,,1,0,7
40823,2020070699,39.940489,-76.48375,66,66202,8,5,,,2,0,7
40885,2020070298,40.642461,-76.017697,53,53207,8,4,,,0,1,2
40913,2020069992,40.873284,-76.963899,54,54206,8,5,,,0,1,2
40916,2020071338,40.119877,-75.356169,46,46413,9,4,,,1,0,4
40925,2020071388,40.347103,-75.029289,9,9221,8,3,,,1,0,4
40938,2020046184,40.535608,-76.410875,53,53221,5,1,,,1,0,1
40954,2020040362,39.837784,-75.442496,23,23110,5,4,,,1,0,98
40959,2020070461,41.716017,-75.589353,57,57207,8,6,,,1,1,98
40969,2020077034,40.273588,-76.846673,22,22412,9,7,,,1,0,7
40973,2020080227,41.861624,-75.249435,63,63202,9,1,,,1,0,7
40997,2020069872,40.118769,-74.864264,9,9101,8,7,,,1,0,7
41005,2020064654,40.971017,-76.009845,40,40428,8,4,,,0,1,7
41011,2020042447,40.440269,-80.082221,2,2301,5,3,,,1,0,1
41021,2020029819,39.9514,-75.39397,23,23112,3,6,,,1,0,7
41028,2020042635,39.894117,-75.294849,23,23420,5,7,,,1,0,7
41041,2020039903,40.44791,-79.068381,32,32222,5,7,,,1,0,4
41059,2020036836,40.31546,-75.606675,46,46201,5,7,,,2,0,7
41079,2020070706,39.723022,-78.268617,29,29203,8,5,,,1,0,7
41248,2020070352,42.13911,-80.076696,25,25302,8,6,,,0,1,7
41254,2020035339,40.480744,-75.374871,9,9220,4,5,,,1,0,4
41289,2020071156,40.448892,-76.514353,38,38215,8,7,,,1,0,1
41290,2020071972,40.00713,-75.094069,67,67301,8,1,,,0,2,4
41295,2020032912,40.443999,-78.230553,7,7215,3,6,,,1,0,98
41312,2020038864,40.210013,-79.840786,2,2204,5,5,,,2,0,2
41322,2020071251,39.962614,-75.726867,15,15243,8,5,,,1,0,7
41354,2020071044,40.263244,-76.862853,22,22301,8,6,,,1,0,1
41356,2020038228,41.792636,-76.882911,8,8208,5,6,,,1,0,7
41367,2020030681,39.940698,-75.224153,67,67301,3,3,,,1,0,4
41368,2020043314,40.406438,-79.829926,2,2467,6,4,,,1,0,4
41437,2020071696,40.532332,-75.782999,6,6224,8,1,,,1,0,2
41483,2020065586,40.310611,-75.998305,6,6103,8,6,,,1,0,7
41488,2020044088,40.619807,-79.143236,32,32408,5,7,,,1,0,8
41511,2020070889,39.894189,-78.995547,55,55204,7,7,,,0,1,0
41516,2020070188,41.470608,-75.428996,63,63209,8,4,,,1,0,4
41527,2020035376,40.604608,-75.472806,39,39301,4,2,,,1,0,7
41532,2020039975,40.487246,-79.576656,64,64219,5,2,,,1,0,98
41599,2020025998,40.021472,-80.298917,62,62216,3,1,,,1,0,0
41607,2020041860,39.875216,-75.288019,23,23109,3,3,,,1,0,1
41612,2020070625,40.398382,-75.27042,9,9207,8,5,,,1,0,4
41724,2020030904,39.970153,-75.145021,67,67301,4,5,,,1,0,8
41793,2020037473,40.272722,-80.468278,62,62214,3,2,,,1,0,8
