,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
19,2006000090,40.3025,-75.149054,9,9205,1,2,,,0,1,7
58,2006000166,,,36,36235,1,3,,,1,0,7
66,2006000181,40.285,-76.968458,21,21103,1,2,,,0,1,7
106,2006000321,40.378056,-79.804179,2,2111,1,5,,,1,0,8
125,2006001095,39.994167,-76.602619,66,66212,1,5,,,1,0,99
126,2006001097,40.5326,-79.6225,64,64219,1,6,,,1,0,7
192,2006002132,41.199444,-80.487893,43,43303,1,1,,,0,1,7
242,2006002197,,,22,22301,1,5,,,1,0,4
250,2006002266,40.599722,-79.577966,64,64431,1,6,,,1,0,4
261,2006002390,40.338056,-76.439414,38,38208,1,2,,,0,1,1
301,2006002446,,,15,15247,1,5,,,1,0,99
306,2006002473,40.613333,-79.743744,2,2409,1,2,,,0,1,4
338,2006003498,41.343611,-75.918886,40,40220,1,4,,,2,0,4
370,2006003676,40.650278,-80.078793,2,2212,1,5,,,1,0,2
384,2006003894,40.435147,-75.340993,9,9415,1,5,,,1,0,8
404,2006004303,40.301944,-76.579804,38,38210,1,4,,,1,0,8
413,2006004325,41.233056,-80.476499,43,43303,1,6,,,1,0,8
459,2006004392,40.14,-76.54295,36,36225,1,7,,,1,0,7
505,2006004476,40.475278,-79.734116,2,2466,1,1,,,1,0,4
608,2006004592,40.033333,-75.76435,15,15204,1,3,,,0,1,4
620,2006004605,41.211944,-79.378557,16,16402,1,3,,,1,0,8
644,2006004639,40.235278,-77.081034,21,21212,1,4,,,1,0,4
718,2006004738,40.493056,-79.9649,2,2118,1,7,,,0,1,7
725,2006004745,,,39,39211,1,5,,,1,0,2
728,2006004748,39.958611,-76.694844,66,66101,1,4,,,1,0,8
738,2006004771,41.430833,-80.380369,43,43227,1,5,,,2,0,2
775,2006004842,40.170721,-80.257425,62,62302,1,1,,,1,0,7
797,2006005665,40.378333,-75.101596,9,9219,1,6,,,1,0,7
839,2006005716,41.23,-80.239956,43,43407,1,7,,,1,0,1
884,2006005767,41.0089,-76.5064,19,19210,1,3,,,0,1,7
895,2006005781,40.2275,-75.093573,9,9228,1,4,,,1,0,4
962,2006007050,40.505833,-80.223289,2,2213,1,4,,,1,0,8
975,2006007064,40.116111,-75.248697,46,46224,1,2,,,1,0,7
1004,2006007150,40.733889,-75.229808,48,48205,1,4,,,0,1,7
1015,2006007161,,,19,19206,1,6,,,1,0,7
