,CRN,STREET_NAME
175115,2019047331,BAUGHMAN HOLLOW RD
175121,2019082721,HEMPSTEAD RD
175122,2019082721,OAK GROVE DR
175123,2019082721,PITNEY RD
175131,2019062404,SILVER SPRING BL
175132,2019062404,BORGER RD
175133,2019062404,GREENZWEIG RD
175144,2019120753,MAHANOY AV
175175,2019054649,MAIN ST
175198,2019088264,BUFFALO PITTSBURGH HW
175199,2019088264,WESTVILLE RD
175267,2019072463,DUPONT HW
175350,2019108896,CHARLES ST
175351,2019108896,GROVE AV
175371,2019100204,MAIN ST
175382,2019124458,KENNETT OXFORD BP
175391,2019122875,HORSHAM RD
175392,2019122875,HORSHAM RD
175393,2019122875,LANSDALE AV
175394,2019122875,TAYLOR RD
175411,2019059542,FRANKFORD AV
175449,2019133683,WHARTON FURNACE RD
175508,2019091115,SR 2006 HW
175604,2019086907,VOUGH LN
175609,2020000842,CONNEAUT LAKE RD
175641,2019059100,VIRGINIA AV
175658,2019038686,BLOOMING GROVE RD
175687,2019084794,JEROME ST
175703,2019111222,HORMTOWN RD
175719,2019015312,NEW HOLLAND PK
175720,2019015312,NEW HOLLAND PK
175721,2019015312,RAMP C RD
175722,2019015312,RAMP D RD
175772,2019075891,HIGH POINT DR
175785,2019068667,JEFFERSON ST
175786,2019068667,CUNNINGHAM ST
175802,2019126634,BENJAMIN FRANKLIN HW
175803,2019126634,BENJAMIN FRANKLIN HW
175804,2019126634,MATHEWS RD
175820,2019082705,CONSTITUTION AV
175932,2019106266,MCCLELLANDTOWN RD
175933,2019106266,BUKOVITZ FARM RD
175934,2019106266,MESSMORE RD
175968,2019043962,HERSHEY RD
175977,2019075905,RIDGE PK
176022,2019015732,AMVET MEM HW
176067,2019087074,DUBLIN PK
176068,2019087074,STERNER MILL RD
176114,2019034106,TILGHMAN ST
176119,2020010664,Z H CONFAIR MEMORIAL HW
176195,2019131627,S COTTONWOOD RD
176226,2019101085,BEDFORD ST
176227,2019101085,HERRON PL
176228,2019101085,MAY ST
176278,2019094699,WEST NEWTON RUFFSDALE RD
176307,2019003834,GOUCHER ST
176308,2019003834,PLAZA DR
176429,2019077015,MERWINSBURG RD
176456,2019129064,LONGS RUN RD
176461,2019079172,MCCLELLANDTOWN RD
176480,2019104909,STREET RD
176481,2019104909,WALNUT RD
176617,2019096765,PAGE HOLLOW RD
176689,2019040152,INTERCHANGE RD
176722,2019097072,PINE RD
176723,2019097072,MERMAID LN
176730,2019090234,CONODOGUINET PK
176789,2019037630,SHAFFER RD
176790,2019037630,HORSE FARM RD
176791,2019037630,CARLSON RD
176802,2019060833,LANCASTER PK
176803,2019060833,RIVER RD
176819,2019078670,BROADWAY ST
176820,2019078670,TURBOT AV
176823,2019054090,KRUMSVILLE RD
176859,2020005727,STATION RD
176860,2020005727,BENJAMIN FRANKLIN HW
176868,2019060053,VIRGINIA AV
176869,2019060053,MERRIMAC AV
176921,2019061515,SHIPPENSBURG RD
176963,2019084873,HOERNERSTOWN RD
176964,2019084873,DUKE ST
176965,2019088779,SR 0447 HW
177002,2019055709,SR 0222 HW
177003,2019055709,SR 0222 HW
177004,2019055709,KROCKS RD
177049,2019109322,BETHANY PK
177090,2019114464,MACDADE BL
177129,2019092598,68TH AV
177136,2019091382,MYRTLE AV
177137,2019091382,HARTMAN ST
177169,2019092937,HANOVER ST
177170,2019092937,HANOVER ST
177204,2019067760,SNYDERTOWN RD
177225,2019047824,HAYDEN BL
177226,2019047824,HAYDEN BL
177227,2019047824,WEIGLES HILL RD
177240,2020000407,STRASBURG RD
