,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
10,2017021485,40.041184,-75.126511,67,67301,2,6,,,1,0,8
23,2017010478,40.336251,-75.925856,6,6301,1,4,,,1,0,4
24,2017028655,40.518979,-80.004788,2,2116,3,4,,,1,0,4
89,2017021981,40.061844,-75.136664,67,67301,2,6,,,1,0,4
138,2017031388,39.782744,-76.67931,66,66426,2,7,,,1,0,8
156,2017030483,39.998274,-78.239078,5,5206,3,6,,,1,0,1
164,2017030466,40.136864,-75.201304,46,46109,3,5,,,1,0,5
174,2017032231,40.858324,-76.233019,53,53424,3,3,,,1,0,4
232,2017016175,41.242723,-77.064662,41,41301,1,1,,,1,0,7
264,2017004097,40.727534,-76.194187,53,53425,1,5,,,1,1,4
275,2017030648,40.04421,-80.430074,62,62210,2,5,,,0,1,7
338,2017021239,40.1454,-75.154548,46,46109,2,2,,,0,1,7
349,2017017870,39.987619,-76.674319,66,66227,2,6,,,1,0,7
380,2017030664,40.027145,-80.248017,62,62216,3,4,,,3,1,4
382,2017031496,41.298378,-75.214717,51,51204,2,4,,,1,0,7
470,2017031049,40.292005,-78.910944,11,11301,3,4,,,1,0,8
490,2017018365,40.89643,-75.324673,45,45212,2,1,,,1,0,4
509,2017014835,,,60,60409,1,6,,,1,0,2
516,2017018925,41.732516,-77.652248,52,52403,1,3,,,1,0,8
528,2017021493,39.997931,-75.117267,67,67301,2,4,,,1,0,2
549,2017012877,39.933998,-77.695396,28,28205,1,7,,,1,0,7
576,2017031518,41.027753,-78.826797,33,33208,3,3,,,1,0,7
609,2017031449,41.913514,-77.583835,58,58230,3,6,,,1,0,1
641,2017032540,40.429643,-77.602998,34,34212,3,7,,,0,1,1
651,2017013764,40.17425,-79.603839,64,64206,2,4,,,1,0,7
676,2017020297,41.230526,-80.493554,43,43302,2,1,,,2,0,7
