,CRN,UNIT_NUM,BODY_TYPE,VEH_TYPE,UNIT_TYPE,MODEL_YR,MAKE_CD,NON_MOTORIST,VINA_BODY_TYPE_CD,DVR_PRES_IND
75,2024085118,1,29.0,2.0,1,2021.0,KAWK,0,M,1.0
76,2024085118,2,9.0,1.0,1,2021.0,NISS,0,P,1.0
106,2024084294,1,75.0,5.0,1,2004.0,PTRB,0,TTR,1.0
107,2024084294,2,4.0,1.0,1,2006.0,HOND,0,P4D,1.0
108,2024084294,3,69.0,6.0,1,2021.0,CHEV,0,T,1.0
148,2024091299,1,4.0,1.0,1,2010.0,SUZI,0,P4D,1.0
149,2024091299,2,69.0,6.0,1,2020.0,HOND,0,T,1.0
155,2024118318,1,9.0,1.0,1,2015.0,SCIO,0,,1.0
156,2024118318,2,4.0,1.0,1,2014.0,CHEV,0,P4D,1.0
160,2024077061,1,15.0,6.0,1,2009.0,ACUR,0,T4W,1.0
161,2024077061,2,15.0,6.0,1,2016.0,CHEV,0,T4W,1.0
271,2024004324,1,9.0,1.0,1,2017.0,KIA,0,P,1.0
272,2024004324,2,12.0,6.0,1,2016.0,JEEP,0,T2W,1.0
310,2025002185,1,69.0,4.0,1,2018.0,CHEV,0,T,1.0
311,2025002185,2,9.0,1.0,1,2023.0,MITS,0,P,1.0
403,2024026076,1,29.0,2.0,1,2021.0,HD,0,M,1.0
404,2024026076,2,69.0,7.0,1,2021.0,TOYT,0,T,1.0
433,2024051170,1,28.0,2.0,1,2002.0,YAMA,0,MRC,1.0
444,2024017011,1,4.0,1.0,1,2008.0,NISS,0,P4D,1.0
508,2024085577,1,,31.0,30,,,0,,
509,2024085577,2,4.0,1.0,1,2013.0,VOLK,0,P4D,1.0
616,2024028004,1,4.0,1.0,1,2007.0,FORD,0,P4D,1.0
630,2024053980,1,69.0,6.0,1,2020.0,SUBA,0,T,1.0
631,2024053980,2,,31.0,30,,,0,,
639,2024049077,1,15.0,6.0,1,2011.0,JEEP,0,T4W,1.0
655,2024108738,1,29.0,2.0,1,2023.0,HOND,0,M,1.0
661,2024078607,1,4.0,1.0,1,2012.0,BUIC,0,P4D,1.0
662,2024078607,2,,31.0,30,,,0,,
681,2024093680,1,29.0,2.0,1,2022.0,SUZI,0,M,1.0
706,2024054863,1,51.0,4.0,1,2017.0,RAM,0,TCW,1.0
707,2024054863,2,4.0,1.0,1,2012.0,FORD,0,P4D,1.0
708,2024054863,3,69.0,4.0,1,2018.0,FORD,0,T,1.0
775,2024032975,1,51.0,4.0,1,2014.0,RAM,0,TCW,1.0
776,2024032975,2,51.0,4.0,1,2004.0,FORD,0,TCB,1.0
777,2024032975,3,69.0,4.0,1,2019.0,FORD,0,T,1.0
790,2024063446,1,20.0,2.0,1,2002.0,SUZI,0,MRS,1.0
792,2024047497,1,19.0,6.0,5,,JEEP,0,,4.0
793,2024047497,2,9.0,1.0,1,2023.0,NISS,0,P,1.0
814,2024041322,1,,36.0,30,,,0,,
815,2024041322,2,51.0,4.0,1,1999.0,DODG,0,TPC,1.0
842,2024117134,1,15.0,6.0,1,2014.0,DODG,0,T4W,1.0
843,2024117134,2,51.0,4.0,1,2013.0,FORD,0,TCW,1.0
875,2024038809,1,69.0,6.0,1,2019.0,HOND,0,T,1.0
876,2024038809,2,,31.0,30,,,0,,
889,2024031055,1,,31.0,30,,,0,,
890,2024031055,2,49.0,7.0,1,2013.0,CHEV,0,,1.0
997,2024101812,1,41.0,7.0,1,2002.0,FORD,0,TCG,1.0
1036,2024061433,1,29.0,2.0,1,2017.0,HOND,0,M,1.0
1122,2024040071,1,9.0,1.0,1,2019.0,HYUN,0,P,1.0
1123,2024040071,2,69.0,6.0,1,2018.0,TOYT,0,T,1.0
1124,2024040071,3,51.0,4.0,2,2006.0,FORD,1,T4C,2.0
1169,2024043376,1,9.0,1.0,1,2020.0,HYUN,0,P,1.0
1170,2024043376,2,69.0,6.0,1,2019.0,HYUN,0,T,1.0
1171,2024043376,3,75.0,5.0,5,2013.0,VOLV,0,TTR,4.0
1266,2024062712,1,20.0,2.0,1,2011.0,HD,0,MRS,1.0
1286,2024060860,1,15.0,6.0,1,2000.0,JEEP,0,T4W,1.0
1294,2024108672,1,69.0,3.0,1,2018.0,BLUB,0,T,1.0
1295,2024108672,2,51.0,4.0,1,2003.0,CHEV,0,T4C,1.0
1314,2024078263,1,24.0,13.0,1,,YAMA,0,,1.0
1318,2024026708,1,69.0,4.0,1,2021.0,RAM,0,T,1.0
1319,2024026708,2,4.0,1.0,1,2012.0,HOND,0,P4D,1.0
1350,2024026767,1,24.0,13.0,1,2024.0,OTHR,0,,1.0
1351,2024026767,2,,31.0,30,,,0,,
1416,2024055832,1,51.0,4.0,1,1999.0,CHEV,0,T3C,1.0
1417,2024055832,2,4.0,1.0,1,2005.0,CHEV,0,P4D,1.0
1428,2024074518,1,15.0,6.0,1,2011.0,BMW,0,T4W,1.0
1429,2024074518,2,69.0,4.0,1,2020.0,RAM,0,T,1.0
1430,2024074518,3,20.0,2.0,1,2014.0,HD,0,MRS,1.0
1455,2024079173,1,4.0,1.0,1,2014.0,MERZ,0,P4D,1.0
1456,2024079173,2,4.0,1.0,1,2014.0,CHEV,0,P4D,1.0
1468,2024037014,1,4.0,1.0,1,2006.0,CADI,0,P4D,1.0
1521,2024078727,1,69.0,6.0,1,2021.0,FORD,0,T,1.0
1522,2024078727,2,,31.0,30,,,0,,
1545,2024059439,1,15.0,6.0,1,2010.0,TOYT,0,T4W,1.0
1546,2024059439,2,28.0,2.0,1,2002.0,HOND,0,MRC,1.0
1558,2024052140,1,4.0,1.0,1,2015.0,NISS,0,P4D,1.0
1559,2024052140,2,69.0,4.0,1,2019.0,GMC,0,T,1.0
1613,2024092408,1,40.0,7.0,1,2017.0,TOYT,0,TSV,1.0
1614,2024092408,2,4.0,1.0,1,2016.0,CHRY,0,P4D,1.0
1636,2024032550,1,28.0,2.0,1,2007.0,HOND,0,MRC,1.0
1637,2024032550,2,2.0,1.0,1,1995.0,CHEV,0,PCP,1.0
1638,2024032550,3,69.0,6.0,1,2024.0,INFI,0,T,1.0
1655,2024061996,1,4.0,1.0,1,2009.0,FORD,0,P4D,1.0
1656,2024061996,2,28.0,2.0,1,2002.0,KAWK,0,MRC,1.0
1684,2024012220,1,69.0,6.0,1,2021.0,CHEV,0,T,1.0
1705,2025006050,1,9.0,1.0,1,2021.0,NISS,0,P,1.0
1710,2024045463,1,15.0,6.0,1,2013.0,KIA,0,T4W,1.0
1711,2024045463,2,69.0,6.0,2,2022.0,GMC,1,T,2.0
1713,2024108407,1,69.0,6.0,1,2018.0,CHEV,0,T,1.0
1714,2024108407,2,51.0,4.0,1,2011.0,DODG,0,TCW,1.0
1715,2024112351,1,,31.0,30,,,0,,
1716,2024112351,2,9.0,1.0,1,2020.0,ACUR,0,P,1.0
1721,2025000404,1,15.0,6.0,1,2014.0,KIA,0,T4W,1.0
1722,2025000404,2,4.0,1.0,2,2014.0,NISS,1,P4D,2.0
1748,2024012220,2,4.0,1.0,1,2011.0,NISS,0,P4D,1.0
1749,2024012220,3,4.0,1.0,1,2017.0,CHEV,0,P4D,1.0
1750,2024012220,4,9.0,1.0,1,2019.0,AUDI,0,P,1.0
1821,2024049609,1,23.0,2.0,1,2001.0,HOND,0,MT,1.0
1867,2024000006,1,15.0,6.0,1,2003.0,JEEP,0,T4W,1.0
1868,2024000006,2,50.0,4.0,2,2012.0,CHEV,1,TSP,2.0
1886,2024085513,1,25.0,2.0,1,2015.0,YAMA,0,MMS,1.0
1887,2024085513,2,69.0,5.0,1,2023.0,FRHT,0,T,1.0
1921,2024070920,1,20.0,2.0,1,2007.0,HD,0,MRS,1.0
1922,2024070920,2,69.0,6.0,1,2018.0,NISS,0,T,1.0
2027,2024029509,1,4.0,1.0,1,2012.0,BUIC,0,P4D,1.0
2028,2024029509,2,15.0,6.0,1,2010.0,ACUR,0,T4W,1.0
2037,2024067273,1,20.0,2.0,1,1999.0,KAWK,0,MRS,1.0
2119,2024006464,1,51.0,4.0,1,2010.0,FORD,0,TCW,1.0
2120,2024006464,2,69.0,5.0,1,2023.0,FRHT,0,T,1.0
2175,2024092202,1,4.0,1.0,1,2015.0,CHEV,0,P4D,1.0
