,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
64,2013022898,40.684655,-76.898047,54,54204,2,3,930.0,,1,0,7
86,2013022900,40.84029,-77.110571,54,54203,2,5,2124.0,,1,0,7
91,2013021352,40.065117,-77.498992,21,21211,2,5,1908.0,,0,1,8
141,2013022905,40.604955,-77.237947,34,34202,2,4,2009.0,,1,0,7
153,2013021296,41.563484,-80.109783,20,20207,2,6,1030.0,,0,1,7
173,2013021973,40.328372,-75.879455,6,6417,1,3,1933.0,,1,0,8
256,2013021302,41.243308,-76.860371,41,41211,1,3,1642.0,,1,0,4
272,2013021913,40.273713,-76.296062,38,38204,1,7,2314.0,,0,1,7
354,2013021921,40.619772,-76.058015,53,53405,1,5,617.0,,0,1,4
382,2013022404,40.16417,-77.864535,31,31207,1,2,841.0,,1,2,6
439,2013023009,40.086413,-75.235421,46,46108,2,3,1844.0,,1,0,2
529,2013023356,41.18102,-76.991411,41,41239,2,7,1029.0,,1,0,7
532,2013021276,41.472237,-80.413863,43,43208,2,7,1116.0,,1,0,7
557,2013021874,40.735112,-77.242473,54,54211,2,7,239.0,,1,0,7
611,2013023037,39.892269,-76.827144,66,66221,2,3,2120.0,,1,0,7
676,2013022658,41.409096,-75.662327,35,35302,2,6,1350.0,,0,1,8
762,2013021693,40.391706,-78.857736,11,11213,2,6,1322.0,,1,0,2
813,2013023308,40.130403,-76.874081,66,66208,2,1,2133.0,,0,1,7
863,2013022170,40.339428,-75.979105,6,6429,2,4,914.0,,1,0,3
872,2013023092,40.680069,-78.238216,7,7407,2,7,1852.0,,1,0,8
907,2013021428,40.759965,-76.205665,53,53202,2,7,1015.0,,1,0,7
916,2013022525,40.478909,-80.043021,2,2301,2,2,625.0,,1,0,2
921,2013023205,40.106195,-77.025243,66,66201,2,5,840.0,,1,0,7
943,2013022526,40.590981,-77.566202,44,44403,1,4,520.0,,0,1,8
971,2013022527,40.309787,-76.342084,38,38212,2,3,2101.0,,0,1,4
985,2013022309,39.947902,-75.21387,67,67301,1,2,2351.0,,1,0,4
1036,2013021783,40.242164,-75.549292,46,46205,2,4,1444.0,,1,0,4
1112,2013021642,40.518198,-77.235627,50,50218,1,4,953.0,,1,0,4
1133,2013022534,40.839787,-79.91837,10,10101,2,5,1559.0,,1,0,4
1168,2013023323,40.031973,-76.34304,36,36223,2,7,240.0,,0,1,7
1281,2013021648,39.804555,-77.210076,1,1215,2,3,954.0,,1,0,7
1359,2013021590,40.133284,-75.452595,46,46222,2,4,1141.0,,1,0,8
1360,2013022200,40.022972,-75.21707,67,67301,1,7,1245.0,,1,0,8
