,CRN,DEC_LATITUDE,DEC_LONGITUDE,COUNTY,MUNICIPALITY,CRASH_MONTH,DAY_OF_WEEK,ARRIVAL_TM,TIME_OF_DAY,SUSP_SERIOUS_INJ_COUNT,FATAL_COUNT,COLLISION_TYPE
15,2016022813,40.338504,-75.927763,6,6301,2,6,748.0,,1,0,8
90,2016021695,40.317051,-75.440938,46,46223,1,3,855.0,,2,0,7
182,2016022391,40.003539,-75.310411,23,23103,2,1,210.0,,0,1,1
190,2016022909,40.276609,-75.205308,9,9215,2,1,1326.0,,0,1,7
215,2016023665,41.957247,-78.651464,42,42301,2,4,1853.0,,1,0,8
237,2016021781,40.335649,-75.221832,9,9210,2,6,833.0,,1,0,4
253,2016023277,40.23103,-75.138229,9,9227,2,1,20.0,,1,0,8
303,2016023449,39.912211,-77.566188,28,28204,2,2,1618.0,,4,0,4
395,2016022252,40.324978,-75.926133,6,6301,2,4,123.0,,1,0,7
488,2016023786,41.835858,-79.142528,61,61217,2,5,826.0,,1,0,1
511,2016022701,42.072276,-80.18168,25,25213,2,3,509.0,,1,0,7
530,2016023595,40.217117,-75.147994,9,9227,2,1,305.0,,0,1,7
543,2016022765,41.015012,-76.208314,40,40223,2,2,536.0,,1,0,0
562,2016021647,41.108687,-75.960491,40,40208,1,1,556.0,,0,1,4
603,2016023511,40.582644,-79.825605,2,2209,2,1,639.0,,1,0,2
610,2016023408,40.535387,-76.416806,53,53221,2,5,1422.0,,1,0,7
767,2016022773,40.528476,-80.186416,2,2213,2,6,1545.0,,1,0,7
796,2016021748,41.379323,-79.851203,60,60301,2,7,2310.0,,1,0,8
806,2016023415,41.7884,-76.385237,8,8238,1,6,1546.0,,1,0,7
904,2016023393,41.375105,-77.068671,41,41217,1,2,1748.0,,0,1,8
923,2016022576,40.170802,-80.271737,62,62204,2,6,1932.0,,1,0,7
974,2016023421,40.313033,-79.678547,64,64101,2,7,2133.0,,1,0,7
1009,2016021614,40.709432,-78.458123,11,11221,2,3,1516.0,,1,0,7
1038,2016022225,40.80178,-77.868156,14,14410,2,4,1857.0,,0,1,8
1045,2016022304,40.723098,-77.005366,54,54210,2,2,714.0,,1,0,8
1077,2016022371,40.667507,-79.714404,2,2106,2,2,1748.0,,0,1,4
1079,2016023532,39.906513,-76.673016,66,66102,2,1,1612.0,,1,0,2
1151,2016023328,40.691403,-80.282299,4,4422,1,7,1755.0,,1,0,8
1188,2016022376,41.230404,-77.039844,41,41301,2,4,1204.0,,0,1,7
1209,2016022297,41.693452,-77.074213,58,58401,2,3,436.0,,1,0,7
1212,2016022311,40.305741,-76.843476,22,22101,2,7,326.0,,1,0,5
1259,2016023261,39.840365,-75.425033,23,23110,2,6,2106.0,,1,0,2
1284,2016023569,39.879039,-76.241694,36,36229,2,2,1454.0,,1,0,4
1294,2016023355,40.788046,-75.958628,53,53428,2,1,1143.0,,1,0,7
1340,2016023571,39.950913,-75.141064,67,67301,2,1,919.0,,1,0,5
1351,2016022077,41.303235,-75.828764,40,40219,2,2,2044.0,,1,0,4
1390,2016001910,40.234428,-75.137225,9,9227,1,4,1607.0,,0,1,4
1404,2016022065,,,6,6301,2,4,1228.0,,0,1,1
1437,2016023119,40.389937,-75.995741,6,6204,2,3,714.0,,1,0,4
1469,2016023189,40.495223,-78.01504,31,31407,2,6,1907.0,,1,0,8
1554,2016021555,40.312613,-75.947839,6,6301,2,3,1347.0,,1,0,7
1640,2016023209,40.217152,-79.608037,64,64436,2,7,2130.0,,1,0,0
1681,2016022620,40.290982,-75.529771,46,46217,2,2,537.0,,1,0,8
1687,2016022089,40.015857,-79.828953,26,26216,1,2,57.0,,1,0,7
1703,2016001239,40.237607,-79.774313,64,64215,1,7,1909.0,,1,0,1
1736,2016022015,39.937285,-75.162684,67,67301,1,2,1637.0,,1,0,8
1748,2016021320,40.418472,-79.888761,2,2463,2,2,509.0,,1,0,5
1757,2016000474,40.57625,-75.501996,39,39101,1,7,717.0,,1,0,7
1801,2016023133,40.445933,-79.848432,2,2419,2,7,824.0,,1,0,4
1804,2016021323,40.349176,-75.927465,6,6301,2,7,2316.0,,1,0,4
1813,2016000476,40.319544,-80.086569,2,2123,1,7,218.0,,1,0,7
1827,2016022094,42.114307,-79.96976,25,25210,1,4,851.0,,0,1,1
1941,2016023138,40.306711,-76.894768,22,22101,2,7,1333.0,,1,0,2
2017,2016023011,40.858764,-76.798868,49,49302,2,6,1757.0,,1,0,1
2030,2016022177,40.602145,-76.244483,53,53234,2,4,807.0,,1,0,7
2128,2016022586,40.861055,-77.558107,14,14207,2,4,1612.0,,1,0,7
2191,2016022107,39.875783,-75.276477,23,23109,2,1,835.0,,1,0,4
2251,2016021283,39.971077,-75.338217,23,23112,2,2,1709.0,,1,0,1
2328,2016022655,40.605389,-79.551163,3,3216,2,3,2105.0,,1,0,2
2344,2016002733,40.928135,-76.785192,49,49211,1,5,2154.0,,1,0,7
2384,2016022661,40.72335,-76.185995,53,53425,2,6,2224.0,,1,0,7
2463,2016023702,40.301622,-75.248993,9,9215,2,3,552.0,,1,0,7
2557,2016023111,40.437154,-80.19151,2,2214,2,6,1243.0,,1,0,4
2566,2016001899,39.805339,-75.744512,15,15225,1,1,1424.0,,1,0,4
2623,2016000417,40.625545,-75.427193,39,39301,1,7,1732.0,,1,0,8
2665,2016022674,42.136088,-80.067093,25,25302,2,5,1940.0,,1,0,8
2745,2016001406,40.430225,-80.025246,2,2301,1,3,1010.0,,1,0,4
2779,2016001538,39.829462,-79.77146,26,26206,1,7,1602.0,,1,0,1
2831,2016001443,40.661326,-79.760252,2,2202,1,7,2317.0,,2,0,7
2841,2016001800,39.970924,-76.73771,66,66301,1,1,1753.0,,0,1,8
2873,2016006468,39.757706,-77.793939,28,28201,1,4,1810.0,,1,0,7
2902,2016007235,40.281667,-80.236611,62,62207,1,2,2247.0,,1,0,7
2932,2016006497,42.129551,-80.030004,25,25302,1,7,1915.0,,1,0,4
2977,2016001646,40.631571,-75.385044,48,48301,1,3,1756.0,,1,0,7
3000,2016002906,40.309599,-75.984657,6,6103,1,5,1930.0,,1,0,8
3009,2016001810,40.490719,-78.414878,7,7301,1,3,909.0,,0,1,7
3047,2016008841,40.964394,-75.975574,40,40301,1,5,10.0,,0,1,4
3112,2016002911,40.406167,-79.832908,2,2467,1,6,640.0,,0,1,6
3146,2016000189,40.436217,-79.922897,2,2301,1,6,1630.0,,1,0,8
3164,2016000658,39.825786,-75.460346,23,23110,1,7,2315.0,,1,0,7
3253,2016002286,41.413055,-80.385549,43,43403,1,3,1158.0,,1,1,7
3325,2016007284,41.12294,-76.976576,41,41239,1,3,1030.0,,1,0,7
3390,2016000687,40.740573,-80.313688,4,4423,1,6,210.0,,1,0,7
3462,2016008002,41.103228,-77.297356,18,18207,1,5,725.0,,0,1,7
3530,2016000696,42.063174,-80.125642,25,25213,1,1,810.0,,1,0,7
3538,2016000215,41.260858,-80.497751,43,43303,1,6,538.0,,1,0,7
3563,2016001565,40.322735,-76.664112,22,22203,1,6,437.0,,1,0,7
3569,2016001836,40.988159,-80.348897,37,37301,1,4,809.0,,1,0,7
3685,2016007212,40.827306,-75.704307,13,13406,1,1,540.0,,1,0,2
3750,2016001349,40.603316,-75.395916,39,39406,1,3,646.0,,1,0,8
3793,2016001073,41.471898,-79.500849,27,27208,1,1,1713.0,,1,0,7
3820,2016001787,39.844111,-75.772278,15,15225,1,4,25.0,,1,0,7
3836,2016002955,40.147829,-79.536022,64,64416,1,6,1515.0,,1,0,1
3931,2016001710,40.034667,-76.307917,36,36301,1,6,,,1,0,2
3962,2016000344,41.176719,-76.028029,40,40102,1,7,,,0,1,7
3965,2016006457,41.860531,-80.165381,25,25219,1,2,,,1,0,2
3976,2016002960,40.399436,-79.866808,2,2410,1,1,,,0,1,8
3989,2016001086,41.934218,-77.013208,58,58215,1,6,,,1,0,7
4077,2016006908,41.698742,-76.533549,8,8209,1,3,,,1,0,2
