,CRN,AGE,SEX,INJ_SEVERITY,UNIT_NUM,PERSON_TYPE
2811,2022065881,14,M,0.0,1,2.0
2812,2022065881,19,M,0.0,1,2.0
2813,2022065881,47,F,0.0,2,1.0
2814,2022065881,75,F,0.0,2,2.0
2851,2022091328,72,M,2.0,1,1.0
2913,2022011674,24,F,2.0,1,1.0
2941,2022038087,26,M,2.0,1,1.0
2968,2022068843,47,M,1.0,1,1.0
3026,2022116656,38,M,2.0,1,1.0
3046,2022053206,27,M,3.0,1,1.0
3047,2022053206,29,M,9.0,1,2.0
3048,2022053206,33,F,2.0,2,7.0
3101,2022066377,41,M,0.0,1,1.0
3102,2022066377,60,M,2.0,2,7.0
3183,2022108801,20,F,4.0,1,1.0
3184,2022108801,53,M,2.0,2,1.0
3187,2022111721,28,M,2.0,1,1.0
3190,2022009524,59,F,0.0,1,1.0
3191,2022009524,28,M,0.0,1,2.0
3192,2022009524,37,M,1.0,1,9.0
3223,2022042005,38,M,1.0,1,1.0
3224,2022042005,61,M,3.0,2,1.0
3229,2022052000,24,M,2.0,1,1.0
3230,2022052000,52,M,0.0,2,1.0
3231,2022052000,52,F,0.0,2,2.0
3396,2022052792,57,F,0.0,1,1.0
3397,2022052792,36,M,1.0,2,7.0
3418,2022047180,51,M,0.0,1,1.0
3419,2022047180,31,M,0.0,1,2.0
3420,2022047180,23,F,2.0,2,7.0
3421,2022114704,23,F,0.0,1,1.0
3422,2022114704,46,F,2.0,2,1.0
3427,2022110858,58,F,4.0,1,1.0
3428,2022110858,60,F,2.0,1,2.0
3429,2022110858,74,M,0.0,2,1.0
3430,2022110858,22,M,0.0,3,1.0
3431,2022110858,38,F,0.0,4,1.0
3432,2022110858,65,M,0.0,5,1.0
3433,2022110858,30,F,0.0,6,1.0
3434,2022110858,75,F,0.0,7,1.0
3435,2022110858,48,M,0.0,8,1.0
3436,2022110858,39,M,0.0,9,1.0
3437,2022110858,65,M,3.0,10,1.0
3438,2022110858,64,M,0.0,11,1.0
3510,2022043086,20,F,2.0,1,1.0
3511,2022043086,20,F,0.0,2,1.0
3577,2022010861,99,M,9.0,1,1.0
3578,2022010861,27,M,2.0,2,7.0
3649,2022116864,61,F,2.0,1,1.0
3755,2022015008,36,M,0.0,1,1.0
3756,2022015008,8,M,2.0,2,7.0
3757,2022015008,43,F,0.0,3,1.0
3758,2022019367,54,F,2.0,1,1.0
3828,2022051472,43,F,1.0,1,1.0
3829,2022051472,36,F,2.0,2,1.0
3976,2022085143,99,U,9.0,1,1.0
3977,2022085143,5,M,2.0,2,7.0
4066,2022047589,31,M,2.0,1,1.0
4079,2022095221,57,F,3.0,1,1.0
4080,2022095221,13,F,3.0,1,2.0
4081,2022095221,18,M,0.0,2,1.0
4082,2022095221,18,F,2.0,2,2.0
4083,2022095221,36,F,0.0,3,1.0
4112,2022067857,34,M,0.0,1,1.0
4113,2022067857,13,F,2.0,2,4.0
4155,2022064624,49,M,2.0,1,1.0
4267,2022065385,99,U,9.0,1,1.0
4268,2022065385,66,M,2.0,2,7.0
4272,2022092769,35,M,1.0,1,1.0
4280,2022073088,19,M,8.0,1,1.0
4281,2022073088,51,F,2.0,2,1.0
4282,2022073088,55,F,2.0,2,2.0
4319,2022080878,81,M,0.0,1,1.0
4320,2022080878,65,M,2.0,2,7.0
4380,2022074464,21,M,3.0,1,1.0
4381,2022074464,67,M,2.0,2,1.0
4479,2022120779,23,F,2.0,1,1.0
4480,2022120779,30,M,3.0,1,2.0
4481,2022120779,40,F,2.0,1,2.0
4482,2022120779,3,F,3.0,1,2.0
4496,2022007359,17,F,2.0,1,1.0
4532,2022101317,30,M,2.0,1,1.0
4533,2022101317,29,M,0.0,1,2.0
4534,2022101317,19,F,0.0,1,2.0
4583,2022112254,33,M,2.0,1,1.0
4604,2022047286,25,M,0.0,1,1.0
4605,2022047286,22,M,2.0,1,2.0
4628,2022017024,54,M,2.0,1,1.0
4673,2022047023,51,M,0.0,1,1.0
4674,2022047023,85,M,1.0,2,7.0
4720,2022057781,25,M,3.0,1,1.0
4721,2022057781,26,F,3.0,1,2.0
4722,2022057781,59,M,2.0,2,1.0
4769,2022084521,27,F,2.0,1,1.0
4794,2022076266,27,F,0.0,1,1.0
4795,2022076266,62,F,2.0,4,7.0
4806,2022069127,37,M,2.0,1,1.0
4920,2022072910,27,M,2.0,1,1.0
4937,2022077702,65,M,2.0,1,1.0
4938,2022077702,61,M,0.0,2,1.0
4986,2022054441,40,M,2.0,1,1.0
4987,2022054441,46,M,0.0,1,2.0
5023,2022040510,34,F,0.0,1,1.0
5024,2022040510,27,M,2.0,2,1.0
5036,2022014409,64,M,0.0,1,1.0
5037,2022014409,11,M,2.0,2,7.0
5056,2022019674,60,M,0.0,1,1.0
5057,2022019674,62,M,2.0,1,2.0
5096,2022104328,44,M,0.0,1,1.0
5097,2022104328,43,F,0.0,1,2.0
5098,2022104328,32,F,2.0,2,1.0
5099,2022104328,9,F,4.0,2,2.0
5100,2022104328,6,F,4.0,2,2.0
5127,2022090707,37,M,2.0,1,1.0
5128,2022090707,49,F,2.0,2,1.0
5129,2022090707,14,M,0.0,2,2.0
5130,2022090707,39,M,0.0,3,1.0
5174,2022028971,29,F,1.0,1,1.0
5175,2022028971,52,F,2.0,2,1.0
5176,2022028971,27,F,8.0,2,2.0
5177,2022028971,4,M,4.0,2,2.0
5266,2022066722,66,M,1.0,1,1.0
5267,2022092409,64,F,0.0,1,1.0
5268,2022092409,43,M,2.0,2,7.0
5340,2022114836,21,M,2.0,1,1.0
5341,2022114836,36,M,8.0,2,1.0
5366,2022072141,16,M,0.0,1,1.0
5367,2022072141,17,M,3.0,1,2.0
5368,2022072141,19,M,2.0,1,2.0
5369,2022072141,7,M,0.0,1,2.0
5413,2022027431,28,F,4.0,1,1.0
5414,2022027431,99,M,2.0,1,2.0
5533,2022043373,38,M,2.0,1,1.0
5574,2022059947,27,F,2.0,1,1.0
5581,2022015208,17,M,2.0,1,1.0
5582,2022015208,15,F,3.0,1,2.0
5583,2022015208,51,M,3.0,2,1.0
5587,2022065589,49,M,2.0,1,1.0
5698,2022068668,54,M,2.0,1,1.0
5699,2022068668,20,M,2.0,2,1.0
5700,2022077594,54,M,2.0,1,1.0
5706,2022115159,35,M,1.0,1,1.0
5718,2022078476,27,M,2.0,1,1.0
5851,2022013513,67,M,2.0,1,1.0
5880,2022096693,36,M,2.0,1,1.0
5881,2022096693,36,F,1.0,1,2.0
5882,2022096693,14,F,1.0,1,2.0
5883,2022096693,7,F,1.0,1,2.0
5884,2022096693,9,M,1.0,1,2.0
5885,2022096693,4,M,1.0,1,2.0
5886,2022096693,13,M,2.0,1,2.0
5887,2022096693,11,F,2.0,1,2.0
5888,2022096693,9,M,2.0,1,2.0
5889,2022096693,5,F,2.0,1,2.0
5890,2022096693,1,F,2.0,1,2.0
5891,2022096693,2,M,2.0,1,2.0
5892,2022096693,10,M,3.0,1,2.0
5909,2022104304,24,F,2.0,1,1.0
5910,2022104304,22,F,2.0,1,2.0
5911,2022104304,51,M,3.0,2,1.0
5941,2022103741,20,F,1.0,1,4.0
5942,2022103741,49,M,0.0,2,1.0
5997,2022121361,18,M,2.0,1,1.0
5998,2022121361,21,M,2.0,2,1.0
6097,2022117437,16,F,1.0,1,7.0
6098,2022117437,62,F,0.0,2,1.0
6146,2022104246,50,M,2.0,1,1.0
6147,2022104246,37,M,2.0,1,2.0
6148,2022104246,43,M,0.0,2,1.0
6173,2022010774,27,M,2.0,1,1.0
6174,2022010774,24,F,0.0,2,1.0
6276,2022048979,34,F,2.0,1,1.0
6303,2022043150,18,M,2.0,1,1.0
6304,2022043150,13,M,1.0,1,2.0
6305,2022043150,13,M,2.0,1,2.0
6330,2022028051,39,M,2.0,1,1.0
6375,2022116864,33,M,0.0,2,1.0
6424,2022102428,66,M,0.0,1,1.0
6425,2022102428,70,F,2.0,2,1.0
6493,2022101931,25,M,2.0,1,7.0
6494,2022101931,19,F,0.0,2,1.0
6629,2022063520,77,M,2.0,1,1.0
6749,2022038751,58,F,0.0,1,1.0
6750,2022038751,58,F,2.0,2,7.0
6779,2022011948,21,M,0.0,1,1.0
6780,2022011948,21,F,0.0,1,2.0
6781,2022011948,21,M,0.0,1,2.0
6782,2022011948,19,M,2.0,2,7.0
6882,2022051975,37,F,0.0,1,1.0
6883,2022051975,51,M,2.0,2,1.0
6892,2022061313,35,F,0.0,1,1.0
6893,2022061313,43,F,2.0,1,2.0
6899,2022005517,20,M,2.0,1,1.0
6900,2022005517,40,F,3.0,2,1.0
6902,2022089655,29,F,9.0,1,1.0
6903,2022089655,29,M,1.0,2,7.0
6938,2022096931,52,M,4.0,1,1.0
6939,2022096931,27,F,1.0,2,1.0
6941,2022118048,17,F,2.0,1,7.0
6942,2022118048,70,F,0.0,2,1.0
7078,2022087242,99,M,9.0,1,1.0
7079,2022087242,36,M,2.0,2,1.0
7108,2022014906,40,M,2.0,1,1.0
7118,2022029245,57,F,0.0,1,1.0
7119,2022029245,38,M,1.0,2,1.0
7160,2022055368,49,M,2.0,1,1.0
7161,2022055368,20,F,3.0,2,1.0
7162,2022055368,21,M,3.0,2,2.0
7217,2022115939,99,U,0.0,1,1.0
7218,2022115939,36,M,1.0,2,7.0
7250,2022032697,99,U,9.0,1,1.0
7251,2022032697,71,M,2.0,3,7.0
7268,2022103297,57,M,0.0,1,1.0
7269,2022103297,15,M,3.0,1,2.0
7277,2022031881,30,M,3.0,1,1.0
7278,2022031881,29,F,2.0,1,2.0
7295,2022001620,18,F,2.0,1,1.0
7296,2022001620,17,F,8.0,1,2.0
7376,2022078544,75,M,2.0,1,1.0
7411,2022100456,25,M,9.0,1,1.0
