id,dt,lat,lon,city,county,street_1,street_2,crash_type,death_count,severity
20170105A090-2017-00095A,2017-04-13 20:38:00,39.480780,74.914020,BUENA VISTA TWP,ATLANTIC,ROUTE 540,CR 671 / UNION RD,13,0,I
20170105A090-2017-00213A,2017-07-22 20:57:00,39.551580,74.863130,BUENA VISTA TWP,ATLANTIC,9TH ST,JACKSON ROAD,11,0,I
20170105A090-2017-00403A,2017-12-28 09:19:00,39.578200,74.869800,BUENA VISTA TWP,ATLANTIC,ROUTE 557,CR 671 / UNION RD,11,0,I
201701072017008274,2017-08-06 15:57:00,39.577190,74.591340,EGG HARBOR CITY,ATLANTIC,ROUTE 563,CR 624 / CLARKS-LANDING RD,01,0,I
201701082017-00026979,2017-05-03 21:27:00,39.399910,74.561380,EGG HARBOR TWP,ATLANTIC,ROUTE 563,US 40 / US 322,07,0,I
201701082017073605,2017-12-13 18:27:00,39.401750,74.548840,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 608,CR 651 / FIRE RD,07,0,I
20170108A160-2017-00286A,2017-06-04 00:34:00,39.413230,74.551940,EGG HARBOR TWP,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
20170108A160-2017-00319A,2017-06-13 12:55:00,39.405610,74.536110,EGG HARBOR TWP,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
20170109A090-2017-00038A,2017-02-16 09:54:00,39.152150,74.064150,ESTELL MANOR CITY,ATLANTIC,ROUTE 557,,99,0,I
20170110A090-2017-00163A,2017-06-09 21:36:00,39.568270,74.820310,FOLSOM BORO,ATLANTIC,US 322,,13,0,I
201701122017009241,2017-03-04 16:12:00,39.460530,74.616890,HAMILTON TWP,ATLANTIC,ROUTE 575,ALEXANDER DR,04,0,I
201701122017010330,2017-03-11 13:03:00,39.564990,74.730110,HAMILTON TWP,ATLANTIC,ATLANTIC COUNTY 623,BLUEBERRY RD,11,0,I
201701122017010620,2017-03-13 20:38:00,39.489600,74.735650,HAMILTON TWP,ATLANTIC,US 322,TAMMINEN RD,01,0,I
201701122017016971,2017-04-28 12:27:00,39.431740,74.705290,HAMILTON TWP,ATLANTIC,ROUTE 559,BABCOCK RD / CLARKSBURG RD,14,0,I
201701122017017945,2017-05-05 17:55:00,39.449440,74.728540,HAMILTON TWP,ATLANTIC,US 40,CR 617 / RIVER DR / TAYLOR AVE,11,0,I
201701122017023401,2017-06-11 23:35:00,39.456460,74.658100,HAMILTON TWP,ATLANTIC,US 322,CR 614 / COLOGNE AVE,11,0,I
201701122017033224,2017-08-23 10:27:00,39.476010,74.711360,HAMILTON TWP,ATLANTIC,NJ 50,,03,0,I
201701122017038061,2017-09-24 04:20:00,39.473930,74.706280,HAMILTON TWP,ATLANTIC,US 322,CAPE MAY AVE,11,0,I
201701122017049489,2017-12-08 16:47:00,39.455380,74.629070,HAMILTON TWP,ATLANTIC,ROUTE 575,LOMBARD ST,03,0,I
20170112A160-2017-00412A,2017-07-09 16:45:00,39.550300,74.737730,HAMILTON TWP,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,10,0,I
20170112A160-2017-00437A,2017-07-14 07:26:00,39.507440,74.678160,HAMILTON TWP,ATLANTIC,ATLANTIC CITY EXPRESSWAY,,11,0,I
