id,vehicle_number,charge
201701021701-0347,1,                              
201701021703-0438,1,                              
201701021704-0828,1,                              
201701021704-1028,1,39:4-96                       
201701021704-1028,2,                              
201701021704-1028,3,                              
201701021704-1028,4,                              
201701021704-1028,5,                              
201701021705-0445,1,39:4-50                       
201701021707-0176,1,                              
201701021707-1068,1,39:4-50                       
201701021709-0984,1,                              
201701021709-0984,2,39:4-96                       
201701021710-1193,1,DRIVING UNDER THE INFLUENCE/D?
201701021710-1193,2,                              
201701021711-0730,1,                              
201701021712-0020,1,39:4-50                       
201701021712-0778,1,                              
20170105A090-2017-00095A,1,                              
20170105A090-2017-00213A,1,                              
20170105A090-2017-00403A,1,39 4 97                       
201701072017008274,1,NONE                          
201701072017008274,2,                              
201701082017-00000706,1,                              
201701082017-00013643,1,                              
201701082017-00014861,1,39:4-96                       
201701082017-00014861,2,                              
201701082017-00015551,1,39:4-97                       
201701082017-00015551,2,                              
201701082017-00026979,1,39:4-97                       
201701082017-00026979,2,                              
201701082017-00031352,1,39:3-40                       
201701082017-00032717,1,                              
201701082017-00032717,2,                              
201701082017-00035708,1,39:4-50                       
201701082017-00049847,1,                              
201701082017-00050376,1,39:4-97                       
201701082017-00058168,1,39:4-50(G)(1)                 
201701082017-00068431,1,39:4-50                       
201701082017-00068431,2,                              
201701082017-00070756,1,39:4-97                       
201701082017-00070756,2,                              
201701082017-00071890,1,                              
201701082017073605,1,39:4-97                       
201701082017073605,2,                              
20170108A160-2017-00286A,1,39 3 40                       
20170108A160-2017-00319A,1,                              
20170109A090-2017-00038A,1,                              
20170110A090-2017-00163A,1,                              
201701112017-00023734,1,                              
201701112017-00023734,2,                              
201701112017-00025567,1,                              
201701112017-00032626,1,                              
201701122017009241,1,                              
201701122017009241,2,39:4-96                       
201701122017010330,1,39:4-97                       
201701122017010620,1,                              
201701122017010620,2,                              
201701122017016971,1,NONE                          
201701122017017945,1,39:3-40                       
201701122017023401,1,NONE                          
201701122017033224,1,39:4-97                       
201701122017033224,2,                              
201701122017038061,1,                              
201701122017049489,1,NONE                          
201701122017049489,2,                              
20170112A160-2017-00412A,1,39 3 17                       
20170112A160-2017-00437A,1,                              
201701132017-03688,1,39:4-97                       
201701132017-03688,2,                              
20170113I-2017-02364,1,39:4-50                       
20170113I-2017-08078,1,39:4-144                      
20170113I-2017-08078,2,                              
20170113I-2017-08781,1,                              
20170113I-2017-08781,2,                              
20170114I-2017-21086,1,39:4-50                       
20170115I-2017-03964,1,                              
2017011617-11650,1,                              
2017011617-11650,2,                              
20170117I-2017-006653,1,39:4-50                       
20170117I-2017-006653,2,                              
20170117I-2017-006763,1,                              
20170117I-2017-006763,2,39:4-88B                      
