id,vehicle_number,year,make,model,hit_run
201701021701-0347,1,2016,JEEP,COMMANDER, 
201701021703-0438,1,2009,FORD,BUS, 
201701021704-0828,1,1990,CHEVROLET,150,Y
201701021704-1028,1,2001,HYUNDAI,SANTAFE, 
201701021704-1028,2,2002,FORD,EXPLORER, 
201701021704-1028,3,2000,BMW,328, 
201701021704-1028,4,2003,TOYOTA,RAV4, 
201701021704-1028,5,2005,HYUNDAI,TUCON, 
201701021705-0445,1,2005,TOYOTA,SCION, 
201701021707-0176,1,2007,FORD,FUS, 
201701021707-1068,1,2009,HYUNDAI,ACC, 
201701021709-0984,1,2016,JEEP,WAGON,Y
201701021709-0984,2,2005,ACURA,SUV 4 DOOR, 
201701021710-1193,1,2006,DODGE,250,Y
201701021710-1193,2,2016,VOLKSWAGEN,JETTA, 
201701021711-0730,1,1999,TOYOTA,CAM, 
201701021712-0020,1,2001,HONDA,CRV, 
201701021712-0778,1,2011,TOYOTA,CAM, 
20170105A090-2017-00095A,1,2003,HONDA,CRV, 
20170105A090-2017-00213A,1,2006,PONTIAC,GRAND PRIX, 
20170105A090-2017-00403A,1,2001,DODGE,RAM, 
201701072017008274,1,2014,NISSAN,ROG, 
201701072017008274,2,2011,HARLEY DAVIDSON,FLS, 
201701082017-00000706,1,2005,JEEP,WRANGLER, 
201701082017-00013643,1,2001,SUZUKI,SPORTBIKE, 
201701082017-00014861,1,2014,DODGE,AVENGER, 
201701082017-00014861,2,2014,FORD,EXPLORER, 
201701082017-00015551,1,2007,HONDA,CIVIC, 
201701082017-00015551,2,2014,FORD,F150, 
201701082017-00026979,1,2016,HONDA,ACCORD, 
201701082017-00026979,2,2010,HARLEY DAVIDSON,DYNA, 
201701082017-00031352,1,2016,YAMAHA,SUPER SPORT, 
201701082017-00032717,1,2006,CHEVROLET,IMPALA, 
201701082017-00032717,2,2003,NISSAN,MURANO, 
201701082017-00035708,1,2001,TOYOTA,4 RUNNER, 
201701082017-00049847,1,2015,HYUNDAI,SONATA, 
201701082017-00050376,1,2001,DODGE,RAM 1500, 
201701082017-00058168,1,2012,CHEVROLET,EQUINOX, 
201701082017-00068431,1,1999,FORD,RANGER, 
201701082017-00068431,2,2014,NISSAN,FRONTIER, 
201701082017-00070756,1,2005,LEXUS,ES, 
201701082017-00070756,2,2016,YAMAHA,SUPER SPORT, 
201701082017-00071890,1,2006,MERCURY,MILAN, 
201701082017073605,1,2007,MAZDA,CX, 
201701082017073605,2,2006,FORD,FOC, 
20170108A160-2017-00286A,1,2005,LEXUS,ES, 
20170108A160-2017-00319A,1,2007,TOYOTA,SCION TC, 
20170109A090-2017-00038A,1,1998,HONDA,ACCORD, 
20170110A090-2017-00163A,1,2007,DODGE,MAG, 
201701112017-00023734,1,2002,SATURN,SL1, 
201701112017-00023734,2,2016,YAMAHA,STREET, 
201701112017-00025567,1,2005,CHRYSLER,PT CRUISER, 
201701112017-00032626,1,2013,SUZUKI,CRUISER, 
201701122017009241,1,2008,HUMMER,H3, 
201701122017009241,2,1995,NISSAN,MAX, 
201701122017010330,1,2006,CHEVROLET,IMP, 
201701122017010620,1,2005,ACURA,RSX, 
201701122017010620,2,2017,FORD,FUS, 
201701122017016971,1,2005,ACURA,TSX, 
201701122017017945,1,    ,,, 
201701122017023401,1,2012,NISSAN,, 
201701122017033224,1,2013,CHEVROLET,OTH, 
201701122017033224,2,2013,FORD,EC2, 
201701122017038061,1,1997,HONDA,CIV, 
201701122017049489,1,2000,TOYOTA,COR, 
201701122017049489,2,2006,KIA,SPE, 
20170112A160-2017-00412A,1,2006,NISSAN,MURANO, 
20170112A160-2017-00437A,1,2010,CHEVROLET,SILVERADO, 
201701132017-03688,1,1998,MERCURY,MOU, 
201701132017-03688,2,2011,IC,CES, 
20170113I-2017-02364,1,2006,JEEP,WAGON, 
20170113I-2017-08078,1,1997,FORD,EXP, 
20170113I-2017-08078,2,2002,TOYOTA,CAMARY, 
20170113I-2017-08781,1,2008,BUICK,WAGON, 
20170113I-2017-08781,2,1993,FORD,PKUP, 
20170114I-2017-21086,1,2016,CHEVROLET,TRA, 
20170115I-2017-03964,1,2010,FORD,FOC, 
2017011617-11650,1,2015,VOLKSWAGEN,BEETLE, 
2017011617-11650,2,2016,NISSAN,ROGUE, 
20170117I-2017-006653,1,1994,HARLEY DAVIDSON,FXD, 
20170117I-2017-006653,2,2002,YAMAHA,MC, 
20170117I-2017-006763,1,2010,HONDA,ACCORD, 
