id,dt,lat,lon,city,county,street_1,street_2,crash_type,death_count,severity
2010010210-002760,2010-01-07 22:58:00,39.35313,74.45628,ATLANTIC CITY,ATLANTIC,US 40,,13,0,I
2010010210-069308,2010-06-24 11:25:00,39.36079,74.46294,ATLANTIC CITY,ATLANTIC,US 40,,01,0,I
2010010210-074329,2010-07-04 21:25:00,39.36871,74.42291,ATLANTIC CITY,ATLANTIC,DELAWARE AVE,LEXINGTON AVENUE,14,0,I
2010010210-078756,2010-07-14 19:35:00,39.35577,74.44862,ATLANTIC CITY,ATLANTIC,WINCHESTER AVE,MORRIS AVENUE,02,0,I
20100105A090-2010-00149A,2010-06-08 17:48:00,39.59317,74.88172,BUENA VISTA TWP,ATLANTIC,CAINS MILL RD,LAKE GEORGE DRIVE,11,0,I
20100105A090201000019A,2010-01-26 17:55:00,39.49479,74.87329,BUENA VISTA TWP,ATLANTIC,ATLANTIC COUNTY 622,RT 40,13,0,I
2010010810-015536,2010-03-19 19:34:00,39.38296,74.60769,EGG HARBOR TWP,ATLANTIC,ATLANTIC COUNTY 662,RIDGE AVENUE,13,0,I
2010010810-03238,2010-01-16 12:38:00,39.42172,74.58835,EGG HARBOR TWP,ATLANTIC,US 40,RIDGE AVE,03,0,I
2010010810-14310,2010-03-13 18:59:00,39.41220,74.59335,EGG HARBOR TWP,ATLANTIC,WEST JERSEY AVE,RIDGE AVENUE,03,0,I
2010010810-43473,2010-08-08 23:35:00,39.41591,74.57839,EGG HARBOR TWP,ATLANTIC,US 40,FARR AV / RIDDLE AVE,14,0,I
20100108E030/2010-00259A,2010-02-23 15:44:00,39.38781,74.57008,EGG HARBOR TWP,ATLANTIC,GARDEN STATE PARKWAY,,11,0,I
201001112010-00002251,2010-01-23 01:32:00,39.45638,74.54118,GALLOWAY TWP,ATLANTIC,US 30,FIR AVE / GENISTA AVE,11,0,I
