id,vehicle_number,charge
2010010210-002760,1,                              
2010010210-021628,1,                              
2010010210-043920,1,                              
2010010210-065163,1,39:3-40                       
2010010210-069308,1,39:3-44                       
2010010210-069308,2,39:3-76.2F                    
2010010210-069308,3,                              
2010010210-074329,1,                              
2010010210-078756,1,                              
2010010210-078756,2,                              
2010010210-087424,1,                              
2010010210-103899,1,                              
2010010210-107655,1,                              
2010010210-109790,1,                              
2010010210-116800,1,                              
2010010210-127183,1,                              
2010010210-135211,1,                              
20100103I-2010-07108,1,39:6B-2                       
20100103I-2010-07108,2,                              
20100105A090-2010-00081A,1,                              
20100105A090-2010-00081A,2,39:4-97                       
20100105A090-2010-00149A,1,RECKLESS DRIVING              
20100105A090-2010-00157A,1,39:4-50 (DUI)                 
20100105A090-2010-00223A,1,                              
20100105A090-2010-00232A,1,                              
20100105A090201000019A,1,                              
2010010710-4120,1,FAIL TO MAINT                 
2010010810-015536,1,                              
2010010810-03238,1,                              
2010010810-03238,2,39:4-97                       
2010010810-14310,1,                              
2010010810-14310,2,39:4-144                      
2010010810-22224,1,                              
2010010810-37501,1,                              
2010010810-37501,2,39:4-144                      
2010010810-43473,1,                              
2010010810-47599,1,39:4-50                       
2010010810-59797,1,                              
2010010810-59797,2,                              
2010010810-59797,3,                              
2010010810-59797,4,39:4-97                       
2010010810-69063,1,39:4-50                       
20100108E030-2010-01544A,1,                              
20100108E030/2010-00259A,1,                              
20100108E030201000521A,1,                              
20100108E030201001017A,1,                              
20100109A090-2010-00254A,1,39:4-85 IMPROPER PASSING      
20100109A090-2010-00254A,2,                              
201001112010-00002251,1,                              
201001112010-00006881,1,39:4-84                       
201001112010-00006881,2,                              
201001112010-00015684,1,                              
201001112010-00015684,2,39:4-97                       
201001112010-00016840,1,                              
201001112010-00020154,1,39:4-88B                      
201001112010-00024770,1,39:4-88A                      
201001112010-00024964,1,39:4-36                       
201001112010-00025975,1,39:4-144                      
201001112010-00025975,2,                              
201001112010-00027383,1,39:4-97                       
2010011210-09303,1,39:4-97                       
2010011210-14784,1,39:4-96                       
2010011210-14784,2,                              
2010011210-15111,1,                              
2010011210-21467,1,39:4-96                       
2010011210-28260,1,UNLICENSED UNINSURED UNREGIST?
2010011210-28260,2,                              
2010011210-33602,1,39:4-50                       
2010011210-34852,1,39:4-97                       
2010011210-37288,1,SEVERAL                       
2010011210-45767,1,39:4-129                      
2010011210-51432,1,                              
2010011210-59702,1,                              
2010011210-59968,1,                              
2010011210-61404,1,                              
2010011210-61404,2,                              
2010011210-61404,3,                              
2010011210-9736,1,                              
20100113I-2010-06394,1,CARELESS DRIVING              
20100113I-2010-06394,2,                              
20100113I-2010-09515,1,39:4-97                       
20100113I-2010-09515,2,39:4-96                       
20100113I-2010-10653,1,39:4-144                      
20100113I-2010-10653,2,                              
20100113I-2010-13050,1,39:4-50                       
20100113I-2010-15851,1,39:4-96                       
20100113I-2010-15851,2,                              
20100113I-2010-17766,1,RECKLESS DRIVING              
20100113I-2010-17766,2,                              
20100113I-2010-17766,3,UNLICENSED DRIVER ""EXPIRED"" 
20100113I-2010-18155,1,39:4-97                       
20100113I-2010-18155,2,                              
20100113I-2010-20433,1,                              
20100113I-2010-20433,2,                              
20100114I-2010-00292,1,39:3-40                       
20100114I-2010-00464,1,39:4-97                       
20100114I-2010-11528,1,39:4-80                       
2010011610-01029,1,39:4-97                       
2010011610-01029,2,                              
2010011610-08446,1,39:4-36                       
2010011610-10179,1,39:4-35                       
2010011610-12687,1,39:4-85.1                     
2010011610-12687,2,                              
20100117I-2010-003606,1,CARELESS DRIVING              
20100117I-2010-003606,2,                              
201001182010/9264,1,39:4-36                       
201001192010-17282,1,                              
201001192010-46667,1,39:4-50                       
20100120C120201000212A,1,39:4-50                       
20100120E030-2010-00556A,1,39:4-50                       
20100123A090-2010-00020P,1,                              
20100123A090201000360A,1,39:4-144                      
20100123A090201000360A,2,                              
2010020110-077,1,                              
2010020110-077,2,                              
2010020110-10779,1,                              
20100202PI-10-0551,1,39:4-50                       
20100202PI-10-1896,1,DWI UNLICENSED RECKLESS       
2010020310-024119,1,39:3-76.2F                    
2010020310-024119,2,SEE PAGE 2                    
2010020310-13925,1,                              
2010020310-22825,1,                              
2010020310-22825,2,                              
2010020310-22825,3,                              
201002042010-17435,1,                              
2010020510-008081,1,                              
201002062010-227,1,                              
201002072010-007392,1,                              
201002072010-007392,2,                              
2010020810-12020,1,                              
2010020810-13702,1,39:4-50 39:4-45 14 39:4-97 39?
20100208PD-10-001069,1,                              
20100208PD-10-001069,2,                              
201002102010-07338,1,                              
201002102010-12098,1,                              
201002102010-12098,2,                              
201002112010-020314,1,CARELESS DRIVING              
201002112010-020314,2,D.O.T. HELMET REQUIRED        
20100212B250-2010-00007A,1,39:4-96 RECKLESS DRIVING      
20100212B250201000003A,1,39:4-50                       
20100212ER-10-00285,1,39:3-10 39:4-49.1             
20100212ER-10-05106,1,                              
20100212ER-10-05106,2,                              
20100212ER-10-09378,1,                              
20100212ER-10-09378,2,                              
201002132010-002419,1,LEAVING THE SCENE OF ACCIDENT 
201002142010:31252,1,                              
201002142010:31252,2,                              
201002142010:31847,1,                              
201002142010:31847,2,                              
20100215BC-10-035875,1,39:4-97 CARELESS DRIVING      
20100215BC-10-035875,2,                              
20100215R253-10,1,                              
20100215R253-10,2,39:3-10 UNLICENSED            
20100215R754-10,1,39:3-29                       
2010021710-17008,1,                              
2010021710-17008,2,39:4-97                       
2010021715,1,39:4-97                       
2010021715,2,39:3-76.21                    
201002172010-12697,1,                              
2010021810-1247-A-AC,1,                              
2010021810-3513-AC,1,39:4 50                       
2010021810-3513-AC,2,                              
20100218BC-10-019062,1,                              
20100219D030-2010-02762A,1,                              
20100219D030-2010-02762A,2,CARELESS DRIVING (39:4-97)    
20100219I-2010-03319,1,                              
20100219I-2010-039940,1,                              
2010022010-5126,1,39:4-97 CARELESS DRIVING      
2010022010-5444,1,                              
2010022010-5873,1,39:4-50                       
2010022010-5873,2,                              
201002206,1,DWI 39 4-50?                  
201002206,2,RECKLESS DRIVING 39 4-96      
20100221I-2010-004117,1,                              
20100221I-2010-004117,2,                              
20100221I-2010-016719,1,                              
20100221I-2010-029310,1,39:4-50 OPERATE MOTOR VEHICLE?
20100221I-2010-029310,2,                              
2010022210-10894,1,D.W.I                         
2010022210-10894,2,                              
2010022210-10894,3,                              
2010022310-00759,1,                              
2010022310-01274,1,                              
2010022310-12101,1,                              
2010022310-24493,1,                              
2010022310-24493,2,                              
2010022310-31009,1,                              
2010022310-31009,2,39:3-76.2A                    
2010022310-32075,1,                              
201002231000662,1,39:3-29                       
201002231006746,1,                              
201002231009688,1,                              
20100223P,1,                              
2010022424-10-00570,1,                              
2010022424-10-00570,2,                              
20100225I-2010-08941,1,                              
201002271001619,1,                              
201002271003768,1,39:4-96 39:4-98               
